tuple_id,act_dep_time,act_arr_time
1,7:16 a.m.,9:32 a.m.
2,7:58 p.m.,
3,,
4,6:54 a.m.,9:28 a.m.
5,12:41 p.m.,2:50 p.m.
6,,
7,7:25 a.m.,9:45 a.m.
8,4:29 p.m.,7:39 p.m.
9,12:12 p.m.,4:09 p.m.
10,6:08 a.m.,9:05 a.m.
11,10:55 a.m.,1:40 p.m.
12,8:04 a.m.,11:01 a.m.
13,10:18 a.m.,11:56 a.m.
14,8:04 a.m.,8:06 a.m.
15,2:04 p.m.,3:30 p.m.
16,10:10 a.m.,1:27 p.m.
17,12:13 p.m.,2:10 p.m.
18,7:39 a.m.,11:06 a.m.
19,6:57 a.m.,7:40 a.m.
20,11:52 a.m.,2:27 p.m.
21,11:05 a.m.,2:46 p.m.
22,3:36 p.m.,3:33 p.m.
23,7:21 a.m.,10:36 a.m.
24,6:55 p.m.,8:53 p.m.
25,12:11 p.m.,3:16 p.m.
26,6:56 a.m.,7:51 a.m.
27,7:30 a.m.,9:31 a.m.
28,5:08 p.m.,7:55 p.m.
29,8:23 p.m.,9:53 p.m.
30,11:01 a.m.,3:04 p.m.
31,10:54 a.m.,12:50 p.m.
32,,
33,,
34,,
35,7:22 a.m.,10:04 a.m.
36,8:51 a.m.,11:44 a.m.
37,,
38,8:39 p.m.,
39,2:44 p.m.,3:43 p.m.
40,3:27 p.m.,5:43 p.m.
41,7:22 a.m.,11:06 a.m.
42,12:10 p.m.,1:43 p.m.
43,1:19 p.m.,3:13 p.m.
44,8:56 a.m.,10:16 a.m.
45,3:36 p.m.,6:43 p.m.
46,11:40 a.m.,4:56 p.m.
47,4:12 p.m.,6:15 p.m.
48,7:31 a.m.,3:14 p.m.
49,6:10 a.m.,6:19 a.m.
50,7:39 a.m.,11:12 a.m.
51,7:16 a.m.,9:22 a.m.
52,,
53,6:54 a.m.,9:14 a.m.
54,8:48 a.m.,11:30 a.m.
55,9:00 a.m.,9:29 a.m.
56,7:59 p.m.,10:31 p.m.
57,3:50 p.m.,5:14 p.m.
58,,
59,11:41 a.m.,4:54 p.m.
60,10:53 a.m.,11:11 a.m.
61,11:29 p.m.,12/2/11 6:35 a.m.
62,6:10 a.m.,7:04 a.m.
63,,
64,4:10 p.m.,6:25 p.m.
65,,
66,,
67,10:11 a.m.,1:11 p.m.
68,8:26 a.m.,9:56 a.m.
69,7:25 a.m.,9:29 a.m.
70,4:29 p.m.,7:37 p.m.
71,10:54 a.m.,1:36 p.m.
72,,
73,,
74,3:04 p.m.,4:43 p.m.
75,12:13 p.m.,4:08 p.m.
76,,
77,6:09 a.m.,8:50 a.m.
78,11:45 a.m.,5:00 p.m.
79,,
80,,
81,10:19 a.m.,11:50 a.m.
82,2:03 p.m.,3:13 p.m.
83,8:07 a.m.,1:23 p.m.
84,12:56 p.m.,3:09 p.m.
85,12:14 p.m.,1:55 p.m.
86,2:43 p.m.,5:22 p.m.
87,12:07 p.m.,1:11 p.m.
88,,
89,,
90,11:06 a.m.,2:39 p.m.
91,1:43 p.m.,5:24 p.m.
92,,
93,7:22 a.m.,10:34 a.m.
94,6:47 p.m.,7:25 p.m.
95,6:56 p.m.,8:38 p.m.
96,12:12 p.m.,3:04 p.m.
97,,
98,2:04 p.m.,7:20 p.m.
99,,
