crimeid,monthvalue,reportedby,fallswithin,longitude,latitude,locationvalue,lsoacode,lsoaname,outcometype
1c48f6746e20a6e74c4e64dda205ea180cbe9df02066c9c8c020c037353f943a,2022-30,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.278509,52.584816,No location,E01032797,Cambridge 007G,Unable to prosecute suspect
f5f6e307c8179d676282d3316efe742ce96130032dc59fe570f4de60da774e54,20220-3,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.278509,52.584816,No location,E01032797,Cambridge 007G,Unable to prosecute suspect
af66556764bd7d1dc0e16a6ed4003db127ead8daebf2c967b92798b6c5beb926,222-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.278509,52.584816,No location,E01032797,Cambridge 007G,Unable to proseute suspect
074e310ad263624f520c87c32ae6b6e73d416d99ef203f08dce102780df38675,2022-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.278509,52.584816,No location,E01032797,Cambridge 007G,Unable to prosecute suspect
685de6cf01bbf00d1268fac224eda487ed56f175e0756f96010f82ffc582638b,2022-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.278509,52.584816,No location,E01032797,Cambridge 007G,Investigation completbe; no suspect identified
24ff2fe97a72f59d0236cbee90666f1e161574eb2c04d32f09658759c0bda3b2,2022-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.278509,52.584816,No location,E01032797,Cambridge 007G,Investigation complete; no suspect identified
09422e5b8f7df0f7564b6b80d63eec760df71de550f9a57de1b6b61433cb3343,2022-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.278509,52.584816,No location,E01032797,Cambridge 007G,Suspect charged
922b4d2f3e7801239b8444261285fea72021224af978dacd314f8b12154037f0,2022-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.278509,52.584816,No location,E01032797,Cambridge 007G,Unable to prosecute suspect
5b57a985fd8728934c5cbdd84aa4b6ffbf0210ebf4fb5e2eb83a4a8de3e40474,2022-03,Cambridgeshire Constabulayr,Cambridgeshire Constabulary,-0.278509,52.584816,No location,E01032797,Cambridge 007G,Unable to prosecute suspect
03561d8cbe5783ce91d570bc1269c3e064e8e5bb60a6ca593e252464e3e61cda,2022-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.278509,52.584816,No location,E01032797,Cambridge 007G,Investigation complete; no suspect identified
92a6d5ed119edff45d31c76961abca610bc1b71c42d0653f51c0f813b2f5874f,2022-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.278509,52.584816,No location,E01032797,Cambridge 007G,Unable to prosecute suspect
a35b2e3ea59db846f6409b51b1f85d32ce303121c9ceea8f8f535810fd8984aa,2022-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.244992,52.575828,On or near Parking Area,E01015599,Peterborough 014A,Investigation complete; no suspect identified
44ce5c42195dcd4367afe5b4492d94987eff64220d050b839cdcbbc12691921c,2022-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.278509,52.584816,No location,E01032797,Cambridge 007G,Suspect charged
ff080a678292ffb8d623bbb37fbe1232ae38a351fc3de0d4bd97c9d7cbe2ca7c,2022-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.278509,52.584816,No location,E01032797,Cambridge 007G,Investigation complete; no suspect identified
9b16b3e75ffb0becbcb2afed418299b3c2d0d3cb9a683183e796cdfe3ce77c39,2022-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.278509,52.584816,No location,E01032797,Cambridge 007G,Investigation complete; no suspect identified
9a31bd7462f9de9ceef2a46d77724abdc755030aa591d632e7ade73f6b237bed,2022-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.278509,52.584816,No location,E01032797,Cambridge 007G,Investigation complete; no suspect identified
dfb608a1e2313c776ebf086f9b4ac5508c8be11d74a99fc9c0b933321997565f,2022-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.278509,52.584816,No location,E01032797,Cambridge 007G,Unable to prsoecute suspect
db3ee90f24bafa40d930a3aa3240f9a20ad3142d12b3adb8edb81e5d9c4b6f99,2022-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.278509,52.584816,No location,E01032797,Cambridge 007G,Investigation complete; no suspect identified
e1f6ac348e4c5af9c939eb2838cc06d6d2ac862aea564659902284191d470c5f,2022-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.278509,52.584816,No location,E01032797,Cambridge 007G,Unable to prosecute suspect
9ec94b4f7bfcadffb8674862f7254b8f70bcd36e020448bd477e61504a827f49,2022-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.278509,52.584816,No location,E01032797,Cambridge 007G,Investigation complete; no suspect identified
da0347a9de5cb446fa3fe62239b6ed227701f33237d1eb68db6b1868ec6dfe05,2022-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.278509,52.584816,No location,E01032797,Cambridge 007G,Unable to prosecute suspect
4e6a45eedb1fc861867b2b73ee7bdd877823c6bfc3eb5fc1daaaeac7986909ac,2022-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.278509,52.584816,No location,E01015599,Cambridge 007G,Investigation complete; no suspect identified
1da8005f0961960697c59f89a3fdb9609fe6e579392070662e53a39230c8867e,202-203,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.278509,52.584816,No location,E01032797,Cambridge 007G,Investigation complete; no suspect identified
d4c08cf483b2879dd02daeeca835deb9c949e147fbc521613542a1cbdd2a0e43,2022-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.278509,52.584816,No location,E01032797,Cambridge 007G,Investigation complete; no suspect identified
3c2cc51359cc28e9c67960ad3e1ede21b7a52368d53732a0fcc0acd5ffed928d,2022-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.278509,52.584816,No location,E01032797,Cambridge 007G,Investigation complete; no suspect identified
565ac0f63520465d2ee45695095081ef4456f851ebf07f8af029d430013bba5e,2022-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.278509,52.584816,No location,E01032797,Cambridge 007G,Investigation complete; no suspect identified
1917e09896b3a78a8e9b0d4ead4991d54ef448887d5b2050714e0a3bf3a5277a,2022-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.278509,52.584816,No location,E01032797,Cambridge 007G,Investigation complete; no suspect identified
fa3bb08a9a686fa36926cd7765acbdd506bc9b726e35c9b51f4614c0be30a2ea,2022-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.278509,52.584816,No location,E01032797,Cambridge 007G,Investigation complete; no suspect identified
