region_code,region_name,company_code,company_name,branch_code,branch_name,branch_address,branch_post_code,branch_start_date,branch_end_date,contract_type,inventory_facility,transaction_value,transaction_description
Q67,Flanders,09C,Pfizer,G82730,Kingsnorth Medical Practice,Kingsnorth Medical Practice Ashford Road Kingsnorth Ashford Kent,TN233ED,-,-,PMS,No,18042.50,22_Directed_Enhanced_Services_-_Minor_Surgery
Q44,Catalonia,03R,Pfizer,B87021,Great Sutton Medical Centre,Great Sutton Medical Centre Old Chester Road Great Sutton Ellesmere Port,CH663PB,-,-,GMS,No,48276.78,10_PCO_Administered_-_Total_Locum_Allowances
Q71,Asia,08L,Pfizer,G85004,South Axholme Practice,Jenner Health Centre 201 Stanstead Road London,SE231HU,-,-,PMS,No,326900.45,14_Total_QOF_Payments
Q71,Asia,03Y,Globex,G82730,Dr L Hommel & Partners,Great Sutton Medical Centre Old Chester Road Great Sutton Ellesmere Port,HA8 5AT,-,-,GMS,No,4536219.57,19_Directed_Enhanced_Services_-_Improving_Patient_Online_Access
Q50,Midlands,03R,Pfizer,B87021,South Axholme Practice,Jenner Health Centre 201 Stanstead Road London,DN9 1EP,-,-,GMS,Yes,4536219.57,06_Global_Sum_and_MPIG_-_MPIG_Correction_Factor
Q52,Bavaria,02V,Centrica,B86625,Wetherby Surgery,Ashton Clinic Queens Road Ashton In Makerfield Wigan,LS226JS,-,-,GMS,Yes,4536219.57,18_Directed_Enhanced_Services_-_Facilitating_Timely_Diagnosis_and_Support_for_People_with_Dementia
Q52,Bavaria,03R,GlaxoSmithKline,B87021,Dr L A Newland & Partners,Ashton Clinic Queens Road Ashton In Makerfield Wigan,B17 8LG,-,-,PMS,No,547244.77,07_Premises_Payments
Q54,South East England,05P,Pfizer,G82730,Dr Machin P & Partners,Tile Cross Surgery 144 Tile Cross Road Tile Cross Birmingham,LS226JS,-,-,GMS,No,3178.55,18_Directed_Enhanced_Services_-_Facilitating_Timely_Diagnosis_and_Support_for_People_with_Dementia
Q69,Pacific Coast,08L,Pfizer,B87021,Banbury Road Medical Centre,Kingsnorth Medical Practice Ashford Road Kingsnorth Ashford Kent,OX2 7BT,-,-,GMS,No,4536219.57,12_PCO_Administered_-_Appraisal_Appraiser_Costs_in_Respect_of_Locums
Q55,Northeastern England,03Y,Seacrest,G82730,Clay Cross Medical Centre,Kingsnorth Medical Practice Ashford Road Kingsnorth Ashford Kent,S45 9DZ,-,-,GMS,Yes,4536219.57,23_Directed_Enhanced_Services_-_Patient_Participation
Q46,Yorkshire,02H,Pfizer,B86625,Dr Alistair & Partners,Ashton Clinic Queens Road Ashton In Makerfield Wigan,LS226JS,-,-,APMS,No,4536219.57,25_Directed_Enhanced_Services_-_Risk_Profiling_and_Case_Management
