record_key,survey_key,survey_name,sample_key,start_date,end_date,date_type,location_name,data_type,latitude,longitude,projection,aphia_id,species,uncertain,abundance_sacforn,is_dead,sample_comment
JNCCMNCR10389643,JNCCMNCR10000302,1992-97 DWT Prawle littoral survey,JNCCMNCR10021098,1993-05-09,1993-05-09,D,Barler Rock (Little Sleadon Rock to Langerstone Point),Point,50.2166901951889,-3.6553099674986,WGS84,999000887.0,Grey lichens,False,O,False,"Porifera indet crusts has been given a nominal abundance value of Present for this record as in Arev it had no abundance value. Whole area surveyed. Upper/midshore typical exposed species. Ls deep pools, overhangs and surge gullies very interesting with a diverse flora and fauna of less commonly faunal species such as Halurus equisetifolius, Asparagopsis armata and superabundant Tubularia indivisa in the surge gullies. An excellent site with more to be found on a better tide."
JNCCMNCR10390770,JNCCMNCR10000302,1992-97 DWT Prawle littoral survey,JNCCMNCR10021125,1993-09-18,1993-09-18,D,Gorah Rocks (Little Sleadon Rock to Langerstone Point),Point,50.2133970900968,-3.69654442108313,WGS84,999000887.0,Grey lichens,False,O,False,"Ramalina siliquosa has been given a nominal abundance value of Present for this record as in Arev it had no abundance value. One of a few rock outcrops which reach through the uppershore sand and shingle to reach the cliff base at 6-7m ACD. Lichen dominated though not particularly well covered, Ramalina siliquosa short and stubby. Green lichens occasional."
JNCCMNCR10388980,JNCCMNCR10000302,1992-97 DWT Prawle littoral survey,JNCCMNCR10021083,1994-02-12,1994-02-12,D,Great Sleaden Rock (Start Point to Little Sleadon Rock),Point,50.2184881309285,-3.65537218450877,WGS84,999000887.0,Grey lichens,False,A,False,"Ramalina siliquosa, Caloplaca has been given a nominal abundance value of Present for this record as in Arev it had no abundance value. Supralittoral lichens were noted from over 40 metres above the shore, particularly Xanthoria parietina and Ramalina siliquosa, though only the 4-8m ASL band was surveyed. Abundance was high though diversity was not great. Grey lichens abundant."
JNCCMNCR10520931,JNCCMNCR10000302,1992-97 DWT Prawle littoral survey,JNCCMNCR10027157,1996-09-14,1996-09-14,D,"Black Stone, Start Point (Start Point to Little Sleadon Rock)",Point,50.2191407504561,-3.64109630456076,WGS84,999000887.0,Grey lichens,False,R,False,Rugged slate bedrock at the top of an islet. Site used heavily by roosting seabirds and guano was abundant. Lichens restricted to vertical bedrock with reduced guano load.
JNCCMNCR10521704,JNCCMNCR10000302,1992-97 DWT Prawle littoral survey,JNCCMNCR10027184,1996-05-17,1996-05-17,D,Langerstone Point (Langerstone Point to Prawle Point),Point,50.2063418565004,-3.70540361621725,WGS84,999000887.0,Grey lichens,False,A,False,"Supralittoral, predominatly upward facing bedrock, dominated by Caloplaca sp. Lecanora atra and indeterminate grey lickens. Ramalina sp. was abundant, particuarly growing out of fissures. There were several pools in this area, comepltely dominated by Enteromorpha."
JNCCMNCR10389579,JNCCMNCR10000302,1992-97 DWT Prawle littoral survey,JNCCMNCR10021098,1993-05-09,1993-05-09,D,Barler Rock (Little Sleadon Rock to Langerstone Point),Point,50.2166901951889,-3.6553099674986,WGS84,140812.0,Berthella plumula,True,O,False,"Porifera indet crusts has been given a nominal abundance value of Present for this record as in Arev it had no abundance value. Whole area surveyed. Upper/midshore typical exposed species. Ls deep pools, overhangs and surge gullies very interesting with a diverse flora and fauna of less commonly faunal species such as Halurus equisetifolius, Asparagopsis armata and superabundant Tubularia indivisa in the surge gullies. An excellent site with more to be found on a better tide."
JNCCMNCR10397600,JNCCMNCR10000302,1992-97 DWT Prawle littoral survey,JNCCMNCR10021313,1993-09-18,1993-09-18,D,Gorah Rocks (Little Sleadon Rock to Langerstone Point),Point,50.2120384175081,-3.69719703975609,WGS84,140812.0,Berthella plumula,False,O,False,"Decapoda, Porifera has been removed from the species list for this record as more specific related taxa were also present, these are now marked as characterising. A broad gully, 10m wide, with coarse sand on bedrock with overlying large slate boulders (to 1.5m). Algae attached to boulders or bedrocks beneath sand. Sand tolerant species in abundance, including Polyides and Furcellaria. Underboulder very rich with near 100% cover by sponges, didemnids and bryozoans, including Diplosoma spongiforme, Trididemnum cereum and Ophlitaspongia seriata. Decapoda well represented as were fish. A rich habitat."
JNCCMNCR10396270,JNCCMNCR10000302,1992-97 DWT Prawle littoral survey,JNCCMNCR10021277,1993-09-18,1993-09-18,D,Gorah Rocks (Little Sleadon Rock to Langerstone Point),Point,50.2120384175081,-3.69719703975609,WGS84,140812.0,Berthella plumula,False,O,False,"Decapoda, Porifera has been removed from the species list for this record as more specific related taxa were also present, these are now marked as characterising. A broad gully, 10m wide, with coarse sand on bedrock with overlying large slate boulders (to 1.5m). Algae attached to boulders or bedrocks beneath sand. Sand tolerant species in abundance, including Polyides and Furcellaria. Underboulder very rich with near 100% cover by sponges, didemnids and bryozoans, including Diplosoma spongiforme, Trididemnum cereum and Ophlitaspongia seriata. Decapoda well represented as were fish. A rich habitat."
JNCCMNCR10396245,JNCCMNCR10000302,1992-97 DWT Prawle littoral survey,JNCCMNCR10021277,1993-09-18,1993-09-18,D,Gorah Rocks (Little Sleadon Rock to Langerstone Point),Point,50.2120384175081,-3.69719703975609,WGS84,140168.0,Lacuna pallidula,False,O,False,"Decapoda, Porifera has been removed from the species list for this record as more specific related taxa were also present, these are now marked as characterising. A broad gully, 10m wide, with coarse sand on bedrock with overlying large slate boulders (to 1.5m). Algae attached to boulders or bedrocks beneath sand. Sand tolerant species in abundance, including Polyides and Furcellaria. Underboulder very rich with near 100% cover by sponges, didemnids and bryozoans, including Diplosoma spongiforme, Trididemnum cereum and Ophlitaspongia seriata. Decapoda well represented as were fish. A rich habitat."
JNCCMNCR10377140,JNCCMNCR10000302,1992-97 DWT Prawle littoral survey,JNCCMNCR10020781,1992-04-17,1992-04-17,D,"Gara Rock Bay, East Portlemouth (Gammon Head to The Bull)",Point,50.2179911555511,-3.75067603323461,WGS84,883.0,Polychaeta,False,O,False,"Lithophyllum has been removed from the species list for this record as more specific related taxa were also present, these are now marked as characterising. Bedrock of shists and igneous intrusions. Large rocky ridges and , near vertical faces with many overhangs, deep pools and fissures. Actina equina, Barnacles. Nucella lapillus and Patella vulgata were found on the exposed faces. Grantia compressa, Halichondria and Hymeniacion were found in shady places and overhangs with Plumaria elegans. Delesseria was found in shady places in deep pools. Opisthobranch were in fissures, as were many Cancer pagarus and Lipophrys pholis. Ridge adjacent to sandy bay and deep gully parallel to shoreline were surveyed."
JNCCMNCR10374458,JNCCMNCR10000302,1992-97 DWT Prawle littoral survey,JNCCMNCR10020700,1992-03-20,1992-03-20,D,Lannacombe Bay (west) (Little Sleadon Rock to Langerstone Point),Point,50.2189234259971,-3.68762869720401,WGS84,883.0,Polychaeta,False,O,False,"Rhodophycota indet.(non-calc.crusts) has been given a nominal abundance value of Present for this record as in Arev it had no abundance value. Hard slate with igneous intrusions forming high (to 5m) ridges, with many overhangs and vertical faces. Exposed seaward sides had much Lithophyllum / Lithothamnion, Corallina spp, Barnacles, Actina equina and Nucella lapilus. On the sheltered sides there were many sponges (Halichondria, Hymeniacidon, Grantia) as well as Polysiphonia spp. and other filamentous reds. A large plateau extended beyond the ridges to LWST. Little rock was visible, being covered in encrusting red algae and Mastocarpus stellatus and kelp. The pools contained few boulders but there was an increased diversity of algae and fauna."
JNCCMNCR10391047,JNCCMNCR10000302,1992-97 DWT Prawle littoral survey,JNCCMNCR10021136,1992-02-04,1992-02-04,D,Lannacombe Beach West (Little Sleadon Rock to Langerstone Point),Point,50.2217218207365,-3.6807180405353,WGS84,883.0,Polychaeta,False,O,False,"The shore consisted of a rocky platform with many gullies, rockpools, fissures and crevices. A large variety of species were found."
