cell_id,row_number,column_name,old_value,new_value,error_type,fd_rule,violated_dependencies
3535.crimeid,3535,crimeid,736625cdd8858ad280d5c25745c3a584da011b19a7ba6339860a190790ad7447,b58d0eeaa8f592623fb5a52ede8ca8d2a6695c2aa920c20b4673ee487a1e8441,FD_VIOLATION,crimeid -> lastoutcomecategory,[e1]
4866.monthvalue,4866,monthvalue,2021-06,2021n-06,RANDOM_TYPO,,[]
4892.locationvalue,4892,locationvalue,On or near Sports/Recreation Area,On or nar Sports/Recreation Area,RANDOM_TYPO,,[]
3177.lsoaname,3177,lsoaname,Huntingdonshire 009C,Cambridge 012D,FD_VIOLATION,lsoacode -> lsoaname,[e3]
4178.monthvalue,4178,monthvalue,2021-06,021-06,RANDOM_TYPO,,[]
620.crimeid,620,crimeid,6f4826836552fe2c4e8b381dc63fa2bffaca46323daa8088866536bbadf3f7ea,001cfb276d884bcea9c2dfb772f959af402e64a4b29d6f8af896ccf69c1614aa,FD_VIOLATION,crimeid -> lastoutcomecategory,[e1]
2679.lsoacode,2679,lsoacode,E01018102,E01017975,FD_VIOLATION,lsoacode -> lsoaname,"[e2, e3]"
6973.reportedby,6973,reportedby,Cambridgeshire Constabulary,ambridgeshire Constabulary,RANDOM_TYPO,,[]
2429.locationvalue,2429,locationvalue,On or near Northgate Close,On or near Norhgate Close,RANDOM_TYPO,,[]
6944.lastoutcomecategory,6944,lastoutcomecategory,Unable to prosecute suspect,Unable to prosecute supsect,FD_VIOLATION,crimeid -> lastoutcomecategory,[e1]
295.lsoacode,295,lsoacode,E01018008,E01017975,FD_VIOLATION,lsoacode -> lsoaname,"[e2, e3]"
2753.lsoacode,2753,lsoacode,E01018110,E01017975,FD_VIOLATION,lsoacode -> lsoaname,"[e2, e3]"
4830.lsoaname,4830,lsoaname,Peterborough 012B,Peterborough 01B2,FD_VIOLATION,lsoacode -> lsoaname,[e2]
1042.lsoaname,1042,lsoaname,Cambridge 010A,Camridge 010A,FD_VIOLATION,lsoacode -> lsoaname,[e2]
5693.lastoutcomecategory,5693,lastoutcomecategory,Unable to prosecute suspect,Unable to prosecute usspect,FD_VIOLATION,crimeid -> lastoutcomecategory,[e1]
3321.locationvalue,3321,locationvalue,On or near Parking Area,On or near Parkng Area,RANDOM_TYPO,,[]
3264.reportedby,3264,reportedby,Cambridgeshire Constabulary,Camibridgeshire Constabulary,RANDOM_TYPO,,[]
2757.crimeid,2757,crimeid,2afe6d1913c18ce19c1417e8e37c96b8b6787a52b62a1e7d3957f3ac0b7dc69a,96cb81b0b4b11f11e1e2b5030bd10a34daecbb053ae00d6fb618cb3d8d056079,FD_VIOLATION,crimeid -> lastoutcomecategory,[e1]
1791.lsoacode,1791,lsoacode,E01018034,E01017975,FD_VIOLATION,lsoacode -> lsoaname,"[e2, e3]"
527.lsoaname,527,lsoaname,Cambridge 006F,Cambridge 00F,FD_VIOLATION,lsoacode -> lsoaname,[e2]
646.crimeid,646,crimeid,001cfb276d884bcea9c2dfb772f959af402e64a4b29d6f8af896ccf69c1614aa,9fec850f7003c68522a07821f7597b5a098277ced7a32cde4bc21e59864c38c3,FD_VIOLATION,crimeid -> lastoutcomecategory,[e1]
2754.lsoaname,2754,lsoaname,Fenland 011E,Fneland 011E,FD_VIOLATION,lsoacode -> lsoaname,[e2]
4148.crimetype,4148,crimetype,Public order,Pulbic order,RANDOM_TYPO,,[]
64.crimeid,64,crimeid,0d6f78f833257bfde910294374e09d9722d6e84ccbe40c2194c052a73b2bba4b,6743ffbf9141a1533ae305d67fa1e62b1ee46ed78a7423899aa926d2d41276a9,FD_VIOLATION,crimeid -> lastoutcomecategory,[e1]
