peoplewithcontactwithinreviewperiod,clusterdays,maxcontactstoinitialclusterassignment,mindaysinendedclusterepisodes,maxdaystoinitialclusterassignment,dischargesfromhospitalnetfollowedupwithin_sevendays,oncpa,clusterepisodesendednetwith_ho_nos
*,30,*,*,*,*,*,*
245,13635,6,6,531,*,91.5,10
*,50,*,*,*,*,*,*
170,5360,*,1,*,*,j8,10
-,*,*,*,*,*,*,*
210,8985,3,1,197,*,*,5
440,13165,15,1,48,*,10.9,15
-,*,*,*,*,*,*,*
*,*,*,*,*,*,*,*
105,5530,*,1,*,*,*,*
*,30,*,*,*,*,*,*
*,5,*,*,*,*,*,*
*,30,*,*,*,*,*,*
-,r15,*,*,*,*,*,*
0,0115,*,*,*,*,*,*
*,*,*,*,*,*,*,*
r-,5,*,*,*,*,*,*
25,900,*,*,*,*,43.3,*
*,0,*,*,*,*,*,*
-,*,*,*,*,*,*,*
90,720,-,1,-,*,14.1,5
3150,40165,4,1,382,*,*,90
-,*,*,*,*,*,*,*
*,30,*,*,*,*,*,*
,01,*,*,*,*,*,*
135,396q0,*,183,*,*,11.9,*
*,30,*,*,*,*,*,*
220***,7250,*,92,*,*,u25.7,5
*,*,*,*,*,*,*,*
*,30,*,*,*,*,*,*
230,710,1,3,342,*,*,*
*,30,*,*,*,*,*,*
*,30,*,*,*,*,*,*
*,30,*,*,*,*,*,*
*,240,-,*,-,*,*,*
*,110,*,*,*,*,*,*
*,*,*,*,*,*,*,*
*,30,*,*,*,*,*,*
120,4060,*,1,*,*,q44.4,*
*,*,*,*,*,*,*,*
*,90,*,*,*,*,*,*
*,30,*,*,*,*,*,*
*,60,*,*,*,*,*,*
40,165k5,*,*,*,*,50.9,*
*,0,*,*,*,*,*,*
*,60,*,*,*,*,*,*
*,30,*,*,*,*,*,*
*,*,*,*,*,*,*,*
*,*,*,*,*,*,*,*
-,*,*,*,*,*,*,*
*,*,*,*,*,*,*,*
*,*,*,*,*,*,*,*
*,09,*,*,*,*,*,*
*,30,*,*,*,*,*,*
-,30,*,*,*,*,*,*
106k5,41875,*,7,*,*,1.k8,*
*,120,*,*,*,*,*,*
*,*,*,*,*,*,*,*
*,30,*,*,*,*,*,*
190,5965,*,5,*,*,89.6,10
*,*,*,*,*,*,*,*
*,60,*,*,*,*,*,*
110,3m415,*,195,*,*,81.1,*
*,30,*,*,*,*,*,*
*,30,*,*,*,*,*,*
*,135,*,*,*,*,*,*
45,2155,2,7,182,*,8m.1,*
140,6310,1,4,6,*,17.1,*
85,2485,*,*,*,*,*,*
*,*,*,*,*,*,*,*
*,30,*,*,*,*,*,*
*,60,*,*,*,*,*,*
85,3375,*,e2,*,*,15.6,*
*,30,*,*,*,*,*,*
85,2754,*,89,*,*,47.1,*
490,15735,4,5,v164,5,47.6,30
*,*,*,*,*,*,*,*
575,19155,5,26,600,*,22.3,01
*,65,*,*,*,*,*,*
925,28235,5,1,46,*,25.9,25
*,*,*,*,*,*,*,*
*,30,*,*,*,*,*,*
*,35,*,*,*,*,*,*
*,*,*,*,*,*,*,*
*,*,*,*,*,*,*,*
*,30,*,*,*,*,*,*
*,30,*,*,*,*,*,*
10,900,*,*,*,*,30,*
*,*,*,*,*,*,*,*
*,180,*,*,*,*,*,*
975,31110,11,3,814,10,11.u2,60
*,45,-,*,v-,*,*,*
*,90,*,*,*,*,*,*
20,1110,*,*,*,*,28.9,*
*,*,*,*,*,*,*,*
10,5135,4,,9,*,7.1,*
15,60,*,*,*,*,*,*
180,560,3,35,3,*,*,*
