gender,qc_five_five,q_zero_five_one_two,q_zero_fourbii_one_four,q_zero_threea_one_two,q_zero_nine_one_zero,q_zero_four_zero_six,q_one_eighti_zero_seven,q_zero_nine_one_three,q_one_fived_zero_two_zero_six,q_one_fiveca_zero_four,q_one_zerof_zero_seven,q_zero_threea_one_zero,qc_five_six,q_one_fived_zero_four_zero_two,q_zero_four_zero_two,q_zero_nine_zero_one,q_zero_fourbi_zero_five,q_two_seven_zero_four,q_zero_foura_two_two
Man,es,No,No,No,Less often,,Have never done this but I am aware of this,At least once a month,No,Yes,No,No,No,No,6,Onec or twice a day,No,Neither satisfied nor dissatisfied,No
Womn,Yes,No,o,No,Less ofetn,1 -N ot at all interested,Have done/used this in the past 3 months,Several times a day,No,No,No,Yes,No,No,,Several times a day,No,Very satisfied,o
Woman,o,No,kNo,No,Never,d5,Have done/used this in the past 3 months,At least once a month,Yse,Yes,Yes,No,No,Nyo,***,Several times a day,No,Fairly satisfied,No
Man,No,No,oN,o,Less often,9,Have never done this - and I wasn't aware that this was possible,Less often,No,No,Yes,Yes,No,No,10 - Extremely interested,Several times a day,No,Fairly dissatisfied,No
Man,No,Yes,No,No,At least once a week,1 - Not at all interested,Have never done this but I am aware of this,Several times a day,No,Yes,nNo,Yes,No,No,3,Several times a day,No,Fairly satisfied,No
Man,No,Nqo,No,No,Ldess often,1 -Not at all interested,Have never done this but I am aware of this,Less often,No,Yes,Yes,Yes,Yes,No,1 - Not at all interested,Several times a day,No,Very dissatisfied,No
Woman,No,Yes,oN,Yes,Less often,3,Have never done this - and I wasn't aware that this was possible,Never,No,No,No,Yes,No,lNo,8,Several times a day,No,Very satisfied,No
Man,No,No,No,No,Never,1 - Not at all interested,Have never done this but I am aware of this,Never,No,Yes,Yes,Yes,No,No,1 - Not at all interested,Once or twice a day,No,Don't know,No
Woman,No,No,No,No,Never,1 - Not at all interested,Have never done this - and I wasn't aware that this was possible,Never,No,No,Yes,es,No,No,1 - Not at all interested,Once or twice a day,No,Fairly satisfied,No
Womn,Yes,Yes,No,No,Once ort twice a day,7,Have done/used this in the past 3 months,At least once a week,No,Yes,No,No,Yes,No,5,Once or twice a day,Yems,Fairly satisfried,No
Man,No,No,No,o,At least once a month,7,Have never done this but I am aware of this,At least once a month,Yes,Yes,Yes,es,es,oN,,Once or twice a day,No,Fairly satisfied,No
Man,No,No,No,No,Never,1 - Not at all interested,Have never done this - and I wasn't aware that this was possible,Never,No,No,eYs,Yes,No,No,1 - Not at all interested,Several times a day,oN,Neither satisfied nor dissatisfied,No
Man,No,Yes,No,No,At least once a month,9,Have never done this but I am awared of this,At least once a wek,Yes,Yes,Yes,Yes,No,No,n9,Several times a day,No,Fairly atisfied,gNo
Woman,No,lNo,No,No,Never,8,Have never done this - and I wasn't aware that this was possible,Once or twice a day,yNo,No,No,No,No,No,6,Several times a day,Yes,Fairly satisfied,No
Woman,Yes,Yes,No,No,Less often,,Have never done this but I am aware of this,Several times a day,No,Yes,No,No,Yes,No,,Once or twice a day,No,Very satisfied,No
Man,Yes,No,No,No,Never,7,Have never done this but I am aware of this,At least once a week,o,Yes,Yes,Yes,Yes,Nzo,5,Several times a day,No,Fairly dissatisfied,No
Man,Yes,eYs,Nlo,No,Once or twice a day,1 - Not at all interested,Have done/used this in the past 3 months,At least once a week,Yes,Yes,No,Yes,Yes,No,1 - Not at all interested,Once or twice a day,No,Neither satisfied nor dissatisfied,No
Womn,Yes,No,No,No,Never,1 - Not at all interested,Do''nt know,Never,No,No,No,Yes,tNo,No,1 - Not at all interested,Never,No,Very dissatisfied,No
Man,o,Nko,No,No,At least once a week,8,Have done/used this in the past 3 months,Once or twice a day,Yes,Yes,Yes,No,eYs,No,9,Once or twice a day,No,Very satisfied,Yes
Man,o,No,No,No,Neevr,5,Have never done thois but I am aware of this,Never,oN,Yes,Yes,Yes,No,No,z8,Several times a day,No,Fairly satisfied,Yes
Woman,o,o,No,Nso,At least once a weeok,10 - Extremely interested,Have never done this but I am aware of this,Several times a day,Yes,No,No,Yres,Yes,oN,10 - Extremely interested,Severl times a day,Yes,Fairly satisfied,No
Woman,No,No,oN,No,Once or twice a day,3,Have never done this - and I wasn't aware that this was possible,At least once a week,No,No,No,es,oNo,No,1 - Not at all interested,Several times a day,No,Fairly dissatisfied,o
an,Yes,No,No,No,Less often,4,Have never done this but I am aware of this,At least once a week,Ys,o,o,No,No,Yes,6,Several times a day,No,Neither satisfied nor dissatisfied,No
