country,quartervalue,yearend,te_veneers,orgcode,cl_veneers,cl_endodontic,num_radiographs
England,1,2013,0.0,5MX,0.0,342.0,5961.0
England,3,2012,35.0229433,5NC,20.01311046,450.2949853,2917.911504
England,2,2012,0.0,5QD,0.0,3.012365328,10687.87218
England,4,2012,6.0,5LE,5.0,20.0,117.0
England,3,2013,0.0,5C9,0.0,0.0,719.0
England,2,2011,8.060150376,5N9,7.052631579,11.08270677,38.28571429
England,2,2013,75.0,5F7,57.0,237.0,1968.0
England,4,2011,0.0,5LC,0.0,557.0,7489.0
England,4,2013,66.0,5QP,51.0,447.0,3838.0
England,2,2011,0.0,5M3,0.0,1.0,310.0
England,4,2011,0.0,TAN,0.0,388.0,3141.0
England,1,2011,6.000651466,5.00E+01,1.000108578,413.0448426,4564.495548
England,2,2012,0.0,5PG,0.0,0.0,560.1986379
England,4,2012,0.0,5PC,0.0,0.0,464.0373832
England,3,2012,30.02575107,5HY,28.02403434,395.3390558,3517.016309
England,4,2011,38.0,5C2,36.0,981.0,13000.0
England,1,2011,45.01667284,5L3,29.01074472,191.070767,1841.682105
England,2,2012,0.0,5LE,0.0,452.055991,5536.934134
England,1,2011,18.0,5PG,17.0,20.0,106.0
England,2,2012,0.0,5KG,0.0,0.0,708.0
England,2,2013,0.0,5LE,0.0,0.0,311.0
England,1,2012,41.0,5K5,41.0,1222.0,20164.0
England,2,2011,0.0,5M8,0.0,0.0,4624.0
England,3,2012,0.0,5QM,0.0,2.0,1313.0
England,1,2012,1.0,5A9,1.0,390.0,6296.0
England,2,2012,0.0,5LQ,0.0,3.0,1168.0
England,2,2012,11.06707317,5PX,8.048780488,12.07317073,62.37804878
England,1,2011,1.0,5JX,1.0,32.0,445.0
England,1,2011,0.0,5QJ,0.0,1.0,7711.0
England,2,2012,0.0,TAL,0.0,0.0,377.6941312
England,3,2012,0.0,5N4,0.0,1.0,147.0
England,4,2012,0.0,5A8,0.0,0.0,576.1457121
England,2,2013,0.0,5FE,0.0,46.0,383.0
