cell_id,row_number,column_name,old_value,new_value,error_type,fd_rule,violated_dependencies
8254.country,8254,country,England,Enland,RANDOM_TYPO,,[]
9120.country,9120,country,England,Enlgand,RANDOM_TYPO,,[]
2745.orgcode,2745,orgcode,TAC,TCA,RANDOM_TYPO,,[]
537.orgcode,537,orgcode,5K5,55K,RANDOM_TYPO,,[]
4798.country,4798,country,England,Englanyd,RANDOM_TYPO,,[]
4624.country,4624,country,England,Englad,RANDOM_TYPO,,[]
9624.country,9624,country,England,Engladn,RANDOM_TYPO,,[]
3880.orgcode,3880,orgcode,5QQ,Q5Q,RANDOM_TYPO,,[]
6683.orgcode,6683,orgcode,5N8,N58,RANDOM_TYPO,,[]
3577.orgcode,3577,orgcode,5K6,K56,RANDOM_TYPO,,[]
9056.orgcode,9056,orgcode,5D8,5Di8,RANDOM_TYPO,,[]
5306.country,5306,country,England,Engand,RANDOM_TYPO,,[]
1091.orgcode,1091,orgcode,5N1,N1,RANDOM_TYPO,,[]
6582.orgcode,6582,orgcode,5NF,5F,RANDOM_TYPO,,[]
8570.country,8570,country,England,Enland,RANDOM_TYPO,,[]
8283.orgcode,8283,orgcode,TAN,AN,RANDOM_TYPO,,[]
1900.orgcode,1900,orgcode,5L3,53L,RANDOM_TYPO,,[]
9540.orgcode,9540,orgcode,5EM,E5M,RANDOM_TYPO,,[]
4093.country,4093,country,England,Enlgand,RANDOM_TYPO,,[]
9357.orgcode,9357,orgcode,5NN,5N,RANDOM_TYPO,,[]
2282.orgcode,2282,orgcode,5PD,PD,RANDOM_TYPO,,[]
1402.orgcode,1402,orgcode,5NM,5NzM,RANDOM_TYPO,,[]
9486.country,9486,country,England,Egnland,RANDOM_TYPO,,[]
9181.country,9181,country,England,Engand,RANDOM_TYPO,,[]
793.orgcode,793,orgcode,5QF,5QhF,RANDOM_TYPO,,[]
2371.orgcode,2371,orgcode,5PT,5T,RANDOM_TYPO,,[]
9918.country,9918,country,England,Englnad,RANDOM_TYPO,,[]
7418.orgcode,7418,orgcode,5AT,A5T,RANDOM_TYPO,,[]
3517.orgcode,3517,orgcode,5D7,D7,RANDOM_TYPO,,[]
4776.country,4776,country,England,Englnad,RANDOM_TYPO,,[]
5989.country,5989,country,England,Envgland,RANDOM_TYPO,,[]
9838.country,9838,country,England,Egland,RANDOM_TYPO,,[]
4522.orgcode,4522,orgcode,5F1,F1,RANDOM_TYPO,,[]
943.country,943,country,England,Engladn,RANDOM_TYPO,,[]
4471.country,4471,country,England,Engladn,RANDOM_TYPO,,[]
9912.orgcode,9912,orgcode,5ND,5DN,RANDOM_TYPO,,[]
