cell_id,table_id,column_id,row_number,column_name,old_value,new_value,error_type,source_table,source_row,source_column
12.0.3,12,0,3,crimeid_UK_CSV0000000000006906,b83369c86939e9baeb135adf871b76bc733d433e38482e487893ef8682b0fd96,88ba87cc239dbd91a253e6d237c5bb66be69f5ea9628b9cf9895d828d49cc22d,FD_VIOLATION,UK_CSV0000000000006906,3,crimeid
12.1.4,12,1,4,monthvalue_UK_CSV0000000000006906,2202-04,2022-04,RANDOM_TYPO,UK_CSV0000000000006906,4,monthvalue
12.0.6,12,0,6,crimeid_UK_CSV0000000000006906,f72c1da12945ecc70701ed5935be47b5f3adb63fdb77be4aa8521ad8c409b6db,e75d4fb989cbc478da43dfa7c52ff27b7f7d75b61189d142df5ada838fd637cc,FD_VIOLATION,UK_CSV0000000000006906,6,crimeid
12.3.7,12,3,7,fallswithin,Northumbria Polcie,Northumbria Police,RANDOM_TYPO,UK_CSV0000000000006906,7,fallswithin
12.7.7,12,7,7,lsoacode,E01008259,E01008738,FD_VIOLATION,UK_CSV0000000000006906,7,lsoacode
12.0.8,12,0,8,crimeid_UK_CSV0000000000006906,b83369c86939e9baeb135adf871b76bc733d433e38482e487893ef8682b0fd96,27aa1c2bb41d4356c022132660b693efaa4f91bc0f4ac6e42083129be029b223,FD_VIOLATION,UK_CSV0000000000006906,8,crimeid
12.1.8,12,1,8,monthvalue_UK_CSV0000000000006906,2022-0g4,2022-04,RANDOM_TYPO,UK_CSV0000000000006906,8,monthvalue
12.3.8,12,3,8,fallswithin,Norqthumbria Police,Northumbria Police,RANDOM_TYPO,UK_CSV0000000000006906,8,fallswithin
12.7.8,12,7,8,lsoacode,E01027417,E01008866,FD_VIOLATION,UK_CSV0000000000006906,8,lsoacode
12.3.9,12,3,9,fallswithin,Northumbria Poliice,Northumbria Police,RANDOM_TYPO,UK_CSV0000000000006906,9,fallswithin
12.7.9,12,7,9,lsoacode,E01008429,E01027392,FD_VIOLATION,UK_CSV0000000000006906,9,lsoacode
12.7.10,12,7,10,lsoacode,E01027417,E01033543,FD_VIOLATION,UK_CSV0000000000006906,10,lsoacode
