crimeid_UK_CSV0000000000004677,monthvalue_UK_CSV0000000000004677,reportedby,fallswithin,longitude,latitude,locationvalue,lsoacode,lsoaname,outcometype,crimeid_UK_CSV0000000000007187,monthvalue_UK_CSV0000000000007187
eb7d57cc6cb94569843a925b74afe36e16c3242079ad3c5e9a9ce6c6c6cbe948,2020-09,Northumbria Police,Northumbria Police,-1.61311,54.952077,On or near BRIGHTON ROAD,E01008171,Gateshead 008D,Investigation complete; no suspect identified,,
7f859d49dd18569bd4df9d15b19bbdd6d8f177f0f955a36f069bb3afcd043e80,2020i-09,Northumbria Police,Northumbria Police,-1.399739,54.900177,On or near BURNVILLE ROAD,E01008832,Sunderland 018C,Investigation complete; no suspect identified,,
deff2b47e3192cc9f9d7ff087f2e2e628aa6bf28f1745db21ebb2aa1f3ca76f6,2020-09,Northumbria Police,Northumbria Police,-1.583278,54.933341,On or near WYTHBURN PLACE,E01008221,Gateshead 021C,Investigation complete; no suspect identified,,
577993bfd532746f384d375cd06c81972b5fcb31bf4aade92412109a5a0e77f3,2020-09,Northumbria Police,Northumbria kPolice,-1.608236,55.005296,On or near BALMORAL TERRACE,E01008418,Newcastle upon Tyne 005C,Local resolution,,
c3c7f145c4f320bbbeccdfc5a229de2fabb5cf1ff36e10149932a5268dc0c7d8,2020-09,Northumbria Police,Northumbria Police,-1.537474,55.127592,On or near ESTON COURT,E01027392,Northumberland 022A,Investigation complete; no suspect identified,,
eb7d57cc6cb94569843a925b74afe36e16c3242079ad3c5e9a9ce6c6c6cbe948,020-09,Northumbria Police,Northumbria Police,-1.61311,54.952077,On or near BRIGHTON ROAD,E01001871,Gatehsead 008D,Suspect charged,,
588850fecb97a975e06d20435bcaccc20447c810c9286d270a1d04d61421f633,2020-09,Northumbria Police,Northumbria Police,-1.633055,54.968503,On or near CROSS PARADE,E01008439,Newcastle upon Tyne 024E,Investigation complete; no suspect identified,,
295f375b3162e27e2b47fe30b02f09dc5a4874a0d7480fee47d0b2ee7b5da6d5,2020-09,Northumbria Police,Northumbria Police,-1.610594,54.971695,On or near MARKET LANE,E01033543,Newcastle upon Tyne 024G,Suspect charged,,
eb7d57cc6cb94569843a925b74afe36e16c3242079ad3c5e9a9ce6c6c6cbe948,2020-09,Northumbria Police,Northumbria Police,-1.417954,54.866567,On or near ASPEN COURT,E01008802,Sunderland 029D,Investigation complete; no suspect identified,,
1d5c02aae8bb5dd438a558a5b3e8b0e1ffe9f756d4ff498f7dac9f0d2d957631,2020-09,Northumbria Police,Northumbria Police,-1.401789,54.926024,On or near NORTON ROAD,E01008712,Sunderland 004A,Investigation complete; no suspect identified,,
bdae5359407436d73cd4e27045c3cbbc36922699590cb595090a3929401e6f44,2020-09,Northumbria Police,Northumbria Police,-1.866571,54.9698,On or near TYNE GARDENS,E01027496,Northumberland 036B,Investigation complete; no suspect identified,,
5c50974d7ebc8372265d32db01dfd9f668b525d58a879a6c0fa01ad607683c4f,2020-09,Northumbria Police,Northumbria Police,-1.435294,55.039331,On or near GRAFTON ROAD,E01008587,North Tyneside 006C,Suspect charged,,
577993bfd532746f384d375cd06c81972b5fcb31bf4aade92412109a5a0e77f3,2020-09,Northumbria Police,Northumbria Police,-1.624266,54.967919,On or near BLANDFORD STREET,E01033545,Newcastle upon Tyne 024H,Investigation complete; no suspect identified,,
295f375b3162e27e2b47fe30b02f09dc5a4874a0d7480fee47d0b2ee7b5da6d5,202p0-09,Northumbria Police,Northumbria Police,-1.508034,54.996431,On or near ANGLE TERRACE,E01027496,North Tyneside 028D,Investigation complete; no suspect identified,,
eb7d57cc6cb94569843a925b74afe36e16c3242079ad3c5e9a9ce6c6c6cbe948,2020-09,Northumbria Police,Northumbria Police,-1.507528,55.013503,On or near BLACKHILL AVENUE,E01027496,North Tyneside 021D,Investigation complete; no suspect identified,,
eb7d57cc6cb94569843a925b74afe36e16c3242079ad3c5e9a9ce6c6c6cbe948,2020-09,Northumbria Police,Northumbria Police,-1.617415,54.965633,On or near COOKSON'S LANE,E01033545,Newcastle upon Tyne 024H,Suspect charged,,
a0c645d8cc9320fd1f5cecf42b3f2810a6e6c0277f2c54089e6c5f545a109ecc,2020-09,Northumbria Police,Northumbria Police,-1.614816,54.976112,On or near PRUDHOE PLACE,E01008397,Newcastle upon Tyne 024C,Investigation complete; no suspect identified,,
2d7da9149f6ed9abb80077ecbbb5d073cb1de727dd425012a4186d63429bc3b2,2020-09,Northumbria Police,Northumbria Police,-1.517826,55.124865,On or near CHARLTON STREET,E01027431,Northumberland 023C,Investigation complete; no suspect identified,,
af96898293c4038f37a11e8ab473f6132cc4b02ebc75ced8a3d0d608d1e63153,2020-09,Northumbria Police,Northumbria Police,-1.585991,54.976188,On or near Parking Area,E01008304,Newcastle upon Tyne 026C,Suspect charged,,
3e6114fe21fcf0fc084f9659ea4ac64c9653db8018e95fbf0b24e20a6c023289,2020-09,Norzthumbria Police,Northumbria Police,-1.574533,54.922024,On or near WREKENTON ROW,E01008221,Gateshead 021D,Investigation complete; no suspect identified,,
eb7d57cc6cb94569843a925b74afe36e16c3242079ad3c5e9a9ce6c6c6cbe948,2020-09,Northumbria Police,Northumbria Police,-1.543132,55.12658,On or near CHASEDALE CRESCENT,E01027424,Northumberland 022D,Investigation complete; no suspect identified,,
