UK_CSV0000000000000197__00::0::market_class,UK_CSV0000000000000197__00::1::upload_two_fourminave,UK_CSV0000000000000197__00::2::geography,UK_CSV0000000000000197__00::3::technology,UK_CSV0000000000000197__00::4::you_tube_hd_two_fourhr,UK_CSV0000000000000197__00::5::ruralweight,UK_CSV0000000000000197__00::6::region
UK_CSV0000000000000197__00 § 0 § 0,UK_CSV0000000000000197__00 § 1 § 0,UK_CSV0000000000000197__00 § 2 § 0,UK_CSV0000000000000197__00 § 3 § 0,UK_CSV0000000000000197__00 § 4 § 0,UK_CSV0000000000000197__00 § 5 § 0,UK_CSV0000000000000197__00 § 6 § 0
UK_CSV0000000000000197__00 § 0 § 1,UK_CSV0000000000000197__00 § 1 § 1,UK_CSV0000000000000197__00 § 2 § 1,UK_CSV0000000000000197__00 § 3 § 1,UK_CSV0000000000000197__00 § 4 § 1,UK_CSV0000000000000197__00 § 5 § 1,UK_CSV0000000000000197__00 § 6 § 1
UK_CSV0000000000000197__00 § 0 § 2,UK_CSV0000000000000197__00 § 1 § 2,UK_CSV0000000000000197__00 § 2 § 2,UK_CSV0000000000000197__00 § 3 § 2,UK_CSV0000000000000197__00 § 4 § 2,UK_CSV0000000000000197__00 § 5 § 2,UK_CSV0000000000000197__00 § 6 § 2
UK_CSV0000000000000197__00 § 0 § 3,UK_CSV0000000000000197__00 § 1 § 3,UK_CSV0000000000000197__00 § 2 § 3,UK_CSV0000000000000197__00 § 3 § 3,UK_CSV0000000000000197__00 § 4 § 3,UK_CSV0000000000000197__00 § 5 § 3,UK_CSV0000000000000197__00 § 6 § 3
UK_CSV0000000000000197__00 § 0 § 4,UK_CSV0000000000000197__00 § 1 § 4,UK_CSV0000000000000197__00 § 2 § 4,UK_CSV0000000000000197__00 § 3 § 4,UK_CSV0000000000000197__00 § 4 § 4,UK_CSV0000000000000197__00 § 5 § 4,UK_CSV0000000000000197__00 § 6 § 4
UK_CSV0000000000000197__00 § 0 § 5,UK_CSV0000000000000197__00 § 1 § 5,UK_CSV0000000000000197__00 § 2 § 5,UK_CSV0000000000000197__00 § 3 § 5,UK_CSV0000000000000197__00 § 4 § 5,UK_CSV0000000000000197__00 § 5 § 5,UK_CSV0000000000000197__00 § 6 § 5
UK_CSV0000000000000197__00 § 0 § 6,UK_CSV0000000000000197__00 § 1 § 6,UK_CSV0000000000000197__00 § 2 § 6,UK_CSV0000000000000197__00 § 3 § 6,UK_CSV0000000000000197__00 § 4 § 6,UK_CSV0000000000000197__00 § 5 § 6,UK_CSV0000000000000197__00 § 6 § 6
UK_CSV0000000000000197__00 § 0 § 7,UK_CSV0000000000000197__00 § 1 § 7,UK_CSV0000000000000197__00 § 2 § 7,UK_CSV0000000000000197__00 § 3 § 7,UK_CSV0000000000000197__00 § 4 § 7,UK_CSV0000000000000197__00 § 5 § 7,UK_CSV0000000000000197__00 § 6 § 7
UK_CSV0000000000000197__00 § 0 § 8,UK_CSV0000000000000197__00 § 1 § 8,UK_CSV0000000000000197__00 § 2 § 8,UK_CSV0000000000000197__00 § 3 § 8,UK_CSV0000000000000197__00 § 4 § 8,UK_CSV0000000000000197__00 § 5 § 8,UK_CSV0000000000000197__00 § 6 § 8
