quarter_reporting_period,fiscal_year,status,regional_office_code,area_code,geographical_indicator_code,customer_category,level_one_procedure,level_two_procedure,level_three_procedure,immediate_care_procedures,complimentary_bleeding_control,complimentary_bridge_maintenance,complimentary_denture_maintenance,complimentary_prescription_allocation,complimentary_suture_removal,overall_total_value
Q4,2010/2011,Final,5D9,Q30,E16000019,Students,4899,8673,8244,769.2,0,3.6,175,226.5***,3,43456.7
Q4,2008/2009,Final,5QV,Q35,E16000150,Students,5d6837,84579,50952,12001.2,108.,33.6,550,25065,43,312789.5
Spring,2008/2009,Final,5M7,Q36,E16000068,Studnets,10743,23928,p17040,3097.2,***,o27.6,201,341.25,10,37829.47
4,2010/2011,Final,5PY,Q35,E16000131,Students,16565,23145,30144,3844.8,3.6,18,142,857.25,18,50984.22
Spring,2012/2013,Final,5GC,Q35,E16000029,Premixum,3024,15234,20280,1557.6,1.2,0,16,0,p2,87921.5
Q4,2008/2009,Final,5JX,Q31,E16000043,Adult,7387,978,1008,907.2,0,0,0,46.5,1,48201.3
Q4,2010/2011,Final,5M7,Q39,E16000139,Premium,8021,23322,30348,343.6,1.2,3.6,54,135,3,84592.7
Q4,2008/2009,Final,5D9,Qx30,E16000019,Adult,3091,4545,93w6,205.2,0,1.2,,1.25,0,13579.42
Q4,2010/2011,Final,5FE,Q38,E16000027,Prmeium,3697,11487,16404,1700.4,0,0,22,51,,509871
Q4,2012/2013,Final,5QV,31,E16000043,Adult,734,7335,948,837.6,0,0,0,9.75,2,30587.92
Q4,2007/2008,Final,5D9,Q31,E16000097,Premium,2326,6939,7464,1116,1.2,0,44,86.25,2,23489.99
Sring,20102011,Final,5M7,Q37,E16000107,Students,52247,85359,62136,10988.4,1.2,36,305,1355.25,40,32759h1.73
Qe4,2010/2011,Final,5D9,Q32,E16000102,Adult,20249,24939,960,2072.4,0,0,0,159.75,0,92034.22
Spring,2009/2010,Final,5F7,Q31,E16000026,Premium,4477,21576,14988,2124,0,3.6,57,108.75,0,59827.50
Spring,2010/2011,Final,5PY,Q36,E16000030,Students,6037,10470,11892,2203.2,0,2.4,30,240,2,45987.3
Q4,2008/2009,Final,5CN,Q34,E16000015,Premium,2168,4983,3576,1a128,0,0,19,33.75,1,24576.50
Spring,2006/2007,Final,5ND,Q30,E16000085,Senior,.,.,v.,.,36,230a.4,640,8189.25,170,25896.75
Qk4,2007/2080,Final,5LE,Q36,E16000059,Premium,3353,1566,8488,1434,0,4.8,66,69,3,60594.2
Spring,2006/2007,Final,5NF,Q13,E16000087,Students,850b42,130098,92556,18438,0,0,0,0,***,482920.0
Spring,2006/20v07,Final,5LD,Q36,E16000058,Students,2404,52152,45540,4855.2,0,0,0,0,0,25674b5.8
Q4,2008/2009,Final,5NE,Q13,E16000086,Adult,17796,22758,1164,1684.8,a0,0,1,180.75,2,92734.89
Spring,2011/2012,Final,5M7,Q35,E16000128,Prmium,2468,9006,13164,1034.4,0,1.2,29,79.5,3,58274.3
Spring,2012/2013,Final,5K6,Q36,E16000046,Adult,5840,10167,1452,660,0,0,***,***,0,23500.0
Q4,2008/2009,Final,5PW,Q5,E16000129,Adult,12u087,10518,1296,598.8,0,1.y2,1,80.25,1,987654321.
4Q,2008/2009,Final,5GC,Q3t1,E16000088,Premium,6315,18279,8072,3572.4,0,0,87,111.75,1,26358.89
Q4,2008/2009,Final,5NE,Q4,E16000066,Premiium,3832,13785,21192,2038.8,0,1.2,87,113.25,5,95412.67
Q4,2007/2008,Final,5PY,Q3g0,E16000019,Adult,2990,4851,576,618,0,0,2,20.25,0,10543.90
Q4,2012/2013,Final,5NE,Q36,E16000007,Adult,7665,9654,864,565.2,0,***,0,8.5,0,"25,999.5"
Spring,2008/2009,Final,5C9,Q36,E16000013,Aduqlt,6378,13506,1260,624,0,***,0,51,0,45729.5
Q4,2009/2010,Final,5LE,Q36,E16000046,Premium,2501,9393,17388,1875.6,0,4.8,31,202.5,3,59218.7
Q4,2007/2008,Final,5ND,Q34,E16000119,Students,b14960,21591,11616,1z711.2,0,y8.4,141,723,3,13466.712
Q4,2012/2013,Final,5C9,Q35,E16000129,Adult,10353,10074,1788,801.6,0,0,0,12.75,1,60594.2
Q4,2009/j2010,Final,5FE,Q36,E16000006,Premium,3146,11562,24132,1767.6,2.4,0,32,12.25,2,50984.22
Q4,2009/2010,Final,5GC,Q31,E16000088,Students,25499,35529,22152,5847.6,0,10.8,41r6,541.5,5,23489.99
Q4,2012/2013,Final,5C3,Q36,E16000010,Premium,2319,11292,27636,27984.,0,0,58,4h9.5,1,60594.2
Spring,2010/2011,Final,5HX,Q36,E16000035,Students,10341,2993,19932,2806.8,1.2,4.8,131,584.25,4,13579.42
Q4,20d08/2009,Final,5D7,Q30,E16000017,aAdult,7934,10545,708,770.4,0,0,0,40.5,q0,312789.5
Spring,2008/2009,Final,5JX,Q32,E16000076,Students,24364,35280,23424,3390,2.4,1.2,522,804.75,29,84592.7
Q4,008/2009,Final,5FE,Q13,E16000097,Students,10161,18084,9384,1918.8,0,36,209,546.75,8,87921.5
qQ4,2008/2009,Final,5MK,Q32,E16000068,Premium,7593,13500,16428,1870.8,1.2,2p.4,8,261,14,92034.22
Spring,2006/2007,Final,5PV,Q35,E16000046,Premium,z9222,32712,28812,3294,***,0,0,0,0,43456.7
Q4,2010/2011,Final,5CN,Q39,E16000030,Adult,14172,12009,600,874.8,0,0,0,34.5,2,987654321.
Q4,2008/2009,Final,5QV,34,E16000071,Premium,3584,9471,8232,1282.8,***,0,43,68.25,4,10543.90
Q4,2010/2011,Final,5LH,Q35,E16000011,Adult,9136,11829,1212,799.2,0,0,0,51.75,1,24576.50
Spring,2011/2012,Final,5D9,Q36,E16000011,dAult,3329,93g36,1008,802.8,,0,0,54,u0,256745.8
Spring,2012/2013,Final,5K6,Q32,E16000075,Students,27440,41313,22740,3618,0,1.2,425,0,9,92734.89
Q4,2008/2009,Final,5GC,Q34,E16000116,Students,11557,24435,19704,2498.4,3.6,1.2,396,1047.75,13,24576.50
zSpring,2008/2009,Final,5PY,Q36,E16000057,Adult,2501,6585,828,08,c0,0,0,3t3,,48201.3
Q4,2007/2008,Fnial,5QV,Q36,E16000012,Premium,3228,18144,28656,246c1.2,0,6,36,202m.5,4,43456.7
Q4,2009/2010,Final,5LH,Q31,E16000062,Premium,4445***,1058,17544***,2082,a0,1.2,49,120.75,0,45729.5
Q4,2009/2010,Final,5FE,Q39,E17000003,Adult,4981,6348,120,349.2,0,a0,1,24.75,0,23489.99
Spring,2008/2009,Final,5GC,32,E16000102,Premium,11078,28569,25512,4986,0,3.6,125,276.75,3,4345.67
Q4,2012/2013,Final,5D9,Q30,E16000052,Adult,9810,11382,1248,775.2,0,0,z2,66,1,23500.0
Spring,2012/2013,Final,5HX,Q31,E16000149,Premium,8880,40509,76476,7747.2,0,15.6,166,0.75,6,23500.0
4Q,20m09/2010,Final,5MK,Q34,E16000071,Adult,8054,8985,636,580.8,0,0,0,54.75,0,37829.47
Q4,2007p/2008,Final,5ND,Q36,E16000017,Students,3123,4950,3408,105r0,0,12,20,79.5,0,312789.5
Q4,2007/2008,Final,5C9,Q38,E16000107,Adult,14173,13233,600,681.6,2.4,0,0,43.5,1,26358.89
Q4,2010/2011,Final,5D9,kQ31,E16000097,Premium,36c56,11412,17244,1962,0,0,55,109.5,,26358.89
Q4,2007/2008,Final,5LE,Q36,E16000009,Students,4016,10737,11184,663,0,1.2,158,264,1,10543.90
Spring,2007/2008,Final,5CN,Q36,E16000003,Students,444,9042,7464,925.2,0,0,68,105,***,134667.12
Q4,2011/2012,Final,5K6,36,E16000012,Adfult,4l960,r13635,1572,944.4,0,***,0,27,0,59827.50
Q4,2011/2012,Fyinal,5FE,Q36,E16000121,Adult,6444,7737,852,416.4,0,0,1,20.25,0,50984.22
Q4,2007/2008,Final,5QV,Qb36,E16000061,Adult,5010,8478,7x20,288,0,0,0,21.75,0,25896.75
Sporing,2012/2013,Final,5QV,Q31,E16000110,Premium,5826,19473,19284,7218,0,1.2,61,3,3,23489.99
Q4,2009/2010,Final,5D9,Q43,E16000015,Premium,2244,5580,5112,1635.6,0,0,33,27.75,a5,30587.92
Q4,2009/2010,inal,5D9,Q36,E16000048,Adult,3067,6303,804,313.2,0,0,0,26.25,0,24576.50
Q4,2008/2009,Final,5QV,Q5,E16000128,Adult,7320,10455,912,745.2,0,1.2,1,41.25,0,10543.90
Q4,2008/2009,Fial,5LE,aQ35,E16000129,Premium,5482,10419,14436,1498.8,0,1.2,t73,230.25,3,987654321.
Q4,2007/2008,Final,5FE,Q31,E16000032,Adut,9664,16053,1116,1016.4,0,0,3,128.25,0,45987.3
Q4,2012/2013,Final,5LD,Q31,E16000087,Premium,5715,12945,15096,2692.8,0,0,75,153.75,4,134667.12
Q4,2009/2010,Final,5ND,Q37,E16000063,Students,12331,t21330,17160,467.2,1.2,10.8,122,507.75,8,987654321.
Q4,2012/2013,Final,5JX,Q32,E16000074,Adult,25906,31794,2148,2512.8,,0,1,114,0,50987.1
Spring,2012/2013,Final,5CN,Q34,E16000121,Students,31474,52386,41592,3894,24,12,343,2.25,10,25896.75
Q4,2007/2008,Final,5QV,Q36,E16000043,Premium,3604,18972,35472,2464.8,2.4,3.6,94,177.75,0,50984.22
Spring,2011/2012,Final,5M7,Q32,E16000097,Students,24203,390t45,21132,4347.6,2.4,2.4,354,636.75,7,23489.99
Q4,2012/2013,Final,5PJ,Q31,E16000150,Students,4753,9573,8040,963.6,0,19.2,124,20.925,1,45729.5
Q4,2009/2010,Final,5QV,Qp31,E16000043,Studentzs,10251,13707,10800,3152.4,2.4,34.8,201,651,15,327591.73
Q4,2007/2008,Final,5PY,Q37,E16000110,Premium,2550,9150,8676,1089.6,0,4.8,39,138.75,0,30587.92
Spring,2006/2007,Finl,5KM,Q30,E16000053,Adult,18992,30351,1572,1947.6,.,.,.,.,.,10543.90
Q4,2007/2008,Final,5QK,Qj39,E16000140,Premium,375s7,9186,6840,1948.8,1.2,2.4,61,975,4,23489.99
Q4,2007/2008,Final,5GC,Q83,E16000137,Students,13733,20709,11412,2924.4,0,2.4,106,729,27,92734.89
Q4,2008/2009,Final,5NF,mQ38,E16000133,Students,5951,81747,36900,12175.2,8.4,34.8,602,1660.5,24,26358.89
Spring,2007/2008,Fnial,5PV,Q30,E16000131,Premium,355,9534,12228,1585.2,1.2,0,65,99.x75,0,58274.3
Q4,2010/2011,Final,5JX,Q36,E16000049,Students,10206,21351,2864,3590.4,1.2,3.6,52,527.25,2,10543.90
Spring,2008/2009,Final,5CN,Q34,E16000122,Premium,8702,18456,24648,1800,,0,76,162,0,23500.0
Spring,2008/2009,Final,5D9,hQ32,E16000100,Adult,9072,9324,1068,411.6,0,0,3,45.5,0,87921.5
Q4,2012/2013,Final,5M7,Q37,E16000109,Students,18975,29469,24204,4921.8,1.2,1.2,154,493.5,5,134667.12
Q4,2012/2013,Final,5NF,Q33,E16000113,remium,7786,23988,26280,3081.6,0,1.2,111,561,2,482920.0
Spring,2010/2011,Fjinal,5NE,Q35,E16000126,Stcudents,16182,24921,16764,4286.4,p3.6,312.,383,513.75,47,2576.50
Q4,20112/012,Final,5ND,Q30,E16000146,Premium,3217,8706,1424,1617.6,0,3.6,65,135,1,"25,999.5"
Q4,2011/2012,Final,5C3,Q39,E16000144,Students,26928,52536,33024,7336.8,2.4,13.2,429,903,13,134667.12
Q4,2010/0211,Fnial,5NE,32,E16000075,Adult,19060,22782,1176,1c225.2,0,0,1,9j3.75,0,312789.5
Spring,2006/2007,Final,5C3,Q31,E16000038,rPemium,097,42903,68244,5695.2,0,0,0,0,0,256745.8
Q4,011/2012,Final,5PY,Q39,E16000142,Premium,5958,13035,12744,1872,0,0,60,69,,5921y8.7
Q4,2011/2012,Final,5GC,Q32,E16000042,Premium,4569,15423,21540,1735.2,1.2,0,75,630,3,95412.67
Q4,2008/2009,Finaal,5N8,Q33,E16000081,Premium,0518,23457,24936,2868,0,6,10,254.25,9,95412.67
Spring,2011/2012,Final,5NE,Q36,E16000068,Students,11642,25854,23604,3151.2,3.6,8.4,154,468.75,4,256745.8
Q4,2007/2008,Final,5PY,Q36,E16000026,Students,7211,13068,10992,1261.2,1.2,9.6,103,285,8,256745.8
Q4,2008/2009,Final,5NF,Q36,E16000008,Students,720,16311,13644,2203.2,0,15.6,126,459,10,37829.47
Q4,2009/010,Finla,5PW,Q36,E16000067,Students,4319,6150,5532,1288.8,0,,19,152.25,,60594.2
Q4,2011/2012,Final,5PY,Q13,E16000025,Adult,7381,11010,2112,826.8,0,1.2,0,69.75,0,43456.7
Q4,2008/2009,Fnial,5M7,36,E16000007,Adult,7671,11952,720,5952.,0,2.4,0,54.75,1,10543.90
Spring,2008/2009,Final,5LH,Q34,E16000150,Preymium,5084,14469,27336,2010,0,***,103,148.5,5,87921.5
Q4,2008/2009,Final,5F7,32,E16000042,Audlt,7106,11013,70,459.6,***,0,1,1133.25***,0,10543.90
Spring,2010/2011,Fixnal,5FE,Q39,E16000028,Adult,8082,8247,360,436.8,0,0,1,22.5,0,134667.12
