UK_CSV0000000000000916::0::region_code,UK_CSV0000000000000916::1::region_name,UK_CSV0000000000000916::2::company_code,UK_CSV0000000000000916::3::company_name,UK_CSV0000000000000916::4::branch_code,UK_CSV0000000000000916::5::branch_name,UK_CSV0000000000000916::6::branch_address,UK_CSV0000000000000916::7::branch_post_code,UK_CSV0000000000000916::8::branch_start_date,UK_CSV0000000000000916::9::branch_end_date,UK_CSV0000000000000916::10::contract_type,UK_CSV0000000000000916::11::inventory_facility,UK_CSV0000000000000916::12::transaction_value,UK_CSV0000000000000916::13::transaction_description
UK_CSV0000000000000916 § 0 § 0,UK_CSV0000000000000916 § 1 § 0,UK_CSV0000000000000916 § 2 § 0,UK_CSV0000000000000916 § 3 § 0,UK_CSV0000000000000916 § 4 § 0,UK_CSV0000000000000916 § 5 § 0,UK_CSV0000000000000916 § 6 § 0,UK_CSV0000000000000916 § 7 § 0,UK_CSV0000000000000916 § 8 § 0,UK_CSV0000000000000916 § 9 § 0,UK_CSV0000000000000916 § 10 § 0,UK_CSV0000000000000916 § 11 § 0,UK_CSV0000000000000916 § 12 § 0,UK_CSV0000000000000916 § 13 § 0
UK_CSV0000000000000916 § 0 § 1,UK_CSV0000000000000916 § 1 § 1,UK_CSV0000000000000916 § 2 § 1,UK_CSV0000000000000916 § 3 § 1,UK_CSV0000000000000916 § 4 § 1,UK_CSV0000000000000916 § 5 § 1,UK_CSV0000000000000916 § 6 § 1,UK_CSV0000000000000916 § 7 § 1,UK_CSV0000000000000916 § 8 § 1,UK_CSV0000000000000916 § 9 § 1,UK_CSV0000000000000916 § 10 § 1,UK_CSV0000000000000916 § 11 § 1,UK_CSV0000000000000916 § 12 § 1,UK_CSV0000000000000916 § 13 § 1
UK_CSV0000000000000916 § 0 § 2,UK_CSV0000000000000916 § 1 § 2,UK_CSV0000000000000916 § 2 § 2,UK_CSV0000000000000916 § 3 § 2,UK_CSV0000000000000916 § 4 § 2,UK_CSV0000000000000916 § 5 § 2,UK_CSV0000000000000916 § 6 § 2,UK_CSV0000000000000916 § 7 § 2,UK_CSV0000000000000916 § 8 § 2,UK_CSV0000000000000916 § 9 § 2,UK_CSV0000000000000916 § 10 § 2,UK_CSV0000000000000916 § 11 § 2,UK_CSV0000000000000916 § 12 § 2,UK_CSV0000000000000916 § 13 § 2
UK_CSV0000000000000916 § 0 § 3,UK_CSV0000000000000916 § 1 § 3,UK_CSV0000000000000916 § 2 § 3,UK_CSV0000000000000916 § 3 § 3,UK_CSV0000000000000916 § 4 § 3,UK_CSV0000000000000916 § 5 § 3,UK_CSV0000000000000916 § 6 § 3,UK_CSV0000000000000916 § 7 § 3,UK_CSV0000000000000916 § 8 § 3,UK_CSV0000000000000916 § 9 § 3,UK_CSV0000000000000916 § 10 § 3,UK_CSV0000000000000916 § 11 § 3,UK_CSV0000000000000916 § 12 § 3,UK_CSV0000000000000916 § 13 § 3
UK_CSV0000000000000916 § 0 § 4,UK_CSV0000000000000916 § 1 § 4,UK_CSV0000000000000916 § 2 § 4,UK_CSV0000000000000916 § 3 § 4,UK_CSV0000000000000916 § 4 § 4,UK_CSV0000000000000916 § 5 § 4,UK_CSV0000000000000916 § 6 § 4,UK_CSV0000000000000916 § 7 § 4,UK_CSV0000000000000916 § 8 § 4,UK_CSV0000000000000916 § 9 § 4,UK_CSV0000000000000916 § 10 § 4,UK_CSV0000000000000916 § 11 § 4,UK_CSV0000000000000916 § 12 § 4,UK_CSV0000000000000916 § 13 § 4
UK_CSV0000000000000916 § 0 § 5,UK_CSV0000000000000916 § 1 § 5,UK_CSV0000000000000916 § 2 § 5,UK_CSV0000000000000916 § 3 § 5,UK_CSV0000000000000916 § 4 § 5,UK_CSV0000000000000916 § 5 § 5,UK_CSV0000000000000916 § 6 § 5,UK_CSV0000000000000916 § 7 § 5,UK_CSV0000000000000916 § 8 § 5,UK_CSV0000000000000916 § 9 § 5,UK_CSV0000000000000916 § 10 § 5,UK_CSV0000000000000916 § 11 § 5,UK_CSV0000000000000916 § 12 § 5,UK_CSV0000000000000916 § 13 § 5
UK_CSV0000000000000916 § 0 § 6,UK_CSV0000000000000916 § 1 § 6,UK_CSV0000000000000916 § 2 § 6,UK_CSV0000000000000916 § 3 § 6,UK_CSV0000000000000916 § 4 § 6,UK_CSV0000000000000916 § 5 § 6,UK_CSV0000000000000916 § 6 § 6,UK_CSV0000000000000916 § 7 § 6,UK_CSV0000000000000916 § 8 § 6,UK_CSV0000000000000916 § 9 § 6,UK_CSV0000000000000916 § 10 § 6,UK_CSV0000000000000916 § 11 § 6,UK_CSV0000000000000916 § 12 § 6,UK_CSV0000000000000916 § 13 § 6
UK_CSV0000000000000916 § 0 § 7,UK_CSV0000000000000916 § 1 § 7,UK_CSV0000000000000916 § 2 § 7,UK_CSV0000000000000916 § 3 § 7,UK_CSV0000000000000916 § 4 § 7,UK_CSV0000000000000916 § 5 § 7,UK_CSV0000000000000916 § 6 § 7,UK_CSV0000000000000916 § 7 § 7,UK_CSV0000000000000916 § 8 § 7,UK_CSV0000000000000916 § 9 § 7,UK_CSV0000000000000916 § 10 § 7,UK_CSV0000000000000916 § 11 § 7,UK_CSV0000000000000916 § 12 § 7,UK_CSV0000000000000916 § 13 § 7
UK_CSV0000000000000916 § 0 § 8,UK_CSV0000000000000916 § 1 § 8,UK_CSV0000000000000916 § 2 § 8,UK_CSV0000000000000916 § 3 § 8,UK_CSV0000000000000916 § 4 § 8,UK_CSV0000000000000916 § 5 § 8,UK_CSV0000000000000916 § 6 § 8,UK_CSV0000000000000916 § 7 § 8,UK_CSV0000000000000916 § 8 § 8,UK_CSV0000000000000916 § 9 § 8,UK_CSV0000000000000916 § 10 § 8,UK_CSV0000000000000916 § 11 § 8,UK_CSV0000000000000916 § 12 § 8,UK_CSV0000000000000916 § 13 § 8
UK_CSV0000000000000916 § 0 § 9,UK_CSV0000000000000916 § 1 § 9,UK_CSV0000000000000916 § 2 § 9,UK_CSV0000000000000916 § 3 § 9,UK_CSV0000000000000916 § 4 § 9,UK_CSV0000000000000916 § 5 § 9,UK_CSV0000000000000916 § 6 § 9,UK_CSV0000000000000916 § 7 § 9,UK_CSV0000000000000916 § 8 § 9,UK_CSV0000000000000916 § 9 § 9,UK_CSV0000000000000916 § 10 § 9,UK_CSV0000000000000916 § 11 § 9,UK_CSV0000000000000916 § 12 § 9,UK_CSV0000000000000916 § 13 § 9
UK_CSV0000000000000916 § 0 § 10,UK_CSV0000000000000916 § 1 § 10,UK_CSV0000000000000916 § 2 § 10,UK_CSV0000000000000916 § 3 § 10,UK_CSV0000000000000916 § 4 § 10,UK_CSV0000000000000916 § 5 § 10,UK_CSV0000000000000916 § 6 § 10,UK_CSV0000000000000916 § 7 § 10,UK_CSV0000000000000916 § 8 § 10,UK_CSV0000000000000916 § 9 § 10,UK_CSV0000000000000916 § 10 § 10,UK_CSV0000000000000916 § 11 § 10,UK_CSV0000000000000916 § 12 § 10,UK_CSV0000000000000916 § 13 § 10
UK_CSV0000000000000916 § 0 § 11,UK_CSV0000000000000916 § 1 § 11,UK_CSV0000000000000916 § 2 § 11,UK_CSV0000000000000916 § 3 § 11,UK_CSV0000000000000916 § 4 § 11,UK_CSV0000000000000916 § 5 § 11,UK_CSV0000000000000916 § 6 § 11,UK_CSV0000000000000916 § 7 § 11,UK_CSV0000000000000916 § 8 § 11,UK_CSV0000000000000916 § 9 § 11,UK_CSV0000000000000916 § 10 § 11,UK_CSV0000000000000916 § 11 § 11,UK_CSV0000000000000916 § 12 § 11,UK_CSV0000000000000916 § 13 § 11
