UK_CSV0000000000002183__16::0::upload_two_fourmaxave,UK_CSV0000000000002183__16::1::download_two_fourminave,UK_CSV0000000000002183__16::2::netflix_failed_two_fourhr,UK_CSV0000000000002183__16::3::download_two_one_two_twopm,UK_CSV0000000000002183__16::4::ruralweight,UK_CSV0000000000002183__16::5::download_zero_sixam,UK_CSV0000000000002183__16::6::downloadpeakave,UK_CSV0000000000002183__16::7::packet_loss_two_fourh,UK_CSV0000000000002183__16::8::dns_failurepeak,UK_CSV0000000000002183__16::9::jitterupstreampeak,UK_CSV0000000000002183__16::10::download_one_eight_one_ninepm,UK_CSV0000000000002183__16::11::i_player_startup_delay_peak,UK_CSV0000000000002183__16::12::dns_rate_two_fourh,UK_CSV0000000000002183__16::13::ispwghts,UK_CSV0000000000002183__16::14::i_player_sd_two_fourhr,UK_CSV0000000000002183__16::15::netflix_sd_peak,UK_CSV0000000000002183__16::16::netflix_failed_peak,UK_CSV0000000000002183__16::17::latency_two_fourh,UK_CSV0000000000002183__16::18::download_two_threepm_zero_zeromidnight,UK_CSV0000000000002183__16::19::netflix_startup_delay_two_fourhr,UK_CSV0000000000002183__16::20::country,UK_CSV0000000000002183__16::21::webloading_two_fourh,UK_CSV0000000000002183__16::22::uploadpeakminave,UK_CSV0000000000002183__16::23::jitterdownstream_two_fourh,UK_CSV0000000000002183__16::24::downloadpeakminave,UK_CSV0000000000002183__16::25::download_sixam_one_twoam,UK_CSV0000000000002183__16::26::netflix_startup_delay_peak,UK_CSV0000000000002183__16::27::jitterupstream_two_fourh,UK_CSV0000000000002183__16::28::you_tube_failed_two_fourhr,UK_CSV0000000000002183__16::29::i_player_uhd_peak
UK_CSV0000000000002183__16 § 0 § 0,UK_CSV0000000000002183__16 § 1 § 0,UK_CSV0000000000002183__16 § 2 § 0,UK_CSV0000000000002183__16 § 3 § 0,UK_CSV0000000000002183__16 § 4 § 0,UK_CSV0000000000002183__16 § 5 § 0,UK_CSV0000000000002183__16 § 6 § 0,UK_CSV0000000000002183__16 § 7 § 0,UK_CSV0000000000002183__16 § 8 § 0,UK_CSV0000000000002183__16 § 9 § 0,UK_CSV0000000000002183__16 § 10 § 0,UK_CSV0000000000002183__16 § 11 § 0,UK_CSV0000000000002183__16 § 12 § 0,UK_CSV0000000000002183__16 § 13 § 0,UK_CSV0000000000002183__16 § 14 § 0,UK_CSV0000000000002183__16 § 15 § 0,UK_CSV0000000000002183__16 § 16 § 0,UK_CSV0000000000002183__16 § 17 § 0,UK_CSV0000000000002183__16 § 18 § 0,UK_CSV0000000000002183__16 § 19 § 0,UK_CSV0000000000002183__16 § 20 § 0,UK_CSV0000000000002183__16 § 21 § 0,UK_CSV0000000000002183__16 § 22 § 0,UK_CSV0000000000002183__16 § 23 § 0,UK_CSV0000000000002183__16 § 24 § 0,UK_CSV0000000000002183__16 § 25 § 0,UK_CSV0000000000002183__16 § 26 § 0,UK_CSV0000000000002183__16 § 27 § 0,UK_CSV0000000000002183__16 § 28 § 0,UK_CSV0000000000002183__16 § 29 § 0
UK_CSV0000000000002183__16 § 0 § 1,UK_CSV0000000000002183__16 § 1 § 1,UK_CSV0000000000002183__16 § 2 § 1,UK_CSV0000000000002183__16 § 3 § 1,UK_CSV0000000000002183__16 § 4 § 1,UK_CSV0000000000002183__16 § 5 § 1,UK_CSV0000000000002183__16 § 6 § 1,UK_CSV0000000000002183__16 § 7 § 1,UK_CSV0000000000002183__16 § 8 § 1,UK_CSV0000000000002183__16 § 9 § 1,UK_CSV0000000000002183__16 § 10 § 1,UK_CSV0000000000002183__16 § 11 § 1,UK_CSV0000000000002183__16 § 12 § 1,UK_CSV0000000000002183__16 § 13 § 1,UK_CSV0000000000002183__16 § 14 § 1,UK_CSV0000000000002183__16 § 15 § 1,UK_CSV0000000000002183__16 § 16 § 1,UK_CSV0000000000002183__16 § 17 § 1,UK_CSV0000000000002183__16 § 18 § 1,UK_CSV0000000000002183__16 § 19 § 1,UK_CSV0000000000002183__16 § 20 § 1,UK_CSV0000000000002183__16 § 21 § 1,UK_CSV0000000000002183__16 § 22 § 1,UK_CSV0000000000002183__16 § 23 § 1,UK_CSV0000000000002183__16 § 24 § 1,UK_CSV0000000000002183__16 § 25 § 1,UK_CSV0000000000002183__16 § 26 § 1,UK_CSV0000000000002183__16 § 27 § 1,UK_CSV0000000000002183__16 § 28 § 1,UK_CSV0000000000002183__16 § 29 § 1
UK_CSV0000000000002183__16 § 0 § 2,UK_CSV0000000000002183__16 § 1 § 2,UK_CSV0000000000002183__16 § 2 § 2,UK_CSV0000000000002183__16 § 3 § 2,UK_CSV0000000000002183__16 § 4 § 2,UK_CSV0000000000002183__16 § 5 § 2,UK_CSV0000000000002183__16 § 6 § 2,UK_CSV0000000000002183__16 § 7 § 2,UK_CSV0000000000002183__16 § 8 § 2,UK_CSV0000000000002183__16 § 9 § 2,UK_CSV0000000000002183__16 § 10 § 2,UK_CSV0000000000002183__16 § 11 § 2,UK_CSV0000000000002183__16 § 12 § 2,UK_CSV0000000000002183__16 § 13 § 2,UK_CSV0000000000002183__16 § 14 § 2,UK_CSV0000000000002183__16 § 15 § 2,UK_CSV0000000000002183__16 § 16 § 2,UK_CSV0000000000002183__16 § 17 § 2,UK_CSV0000000000002183__16 § 18 § 2,UK_CSV0000000000002183__16 § 19 § 2,UK_CSV0000000000002183__16 § 20 § 2,UK_CSV0000000000002183__16 § 21 § 2,UK_CSV0000000000002183__16 § 22 § 2,UK_CSV0000000000002183__16 § 23 § 2,UK_CSV0000000000002183__16 § 24 § 2,UK_CSV0000000000002183__16 § 25 § 2,UK_CSV0000000000002183__16 § 26 § 2,UK_CSV0000000000002183__16 § 27 § 2,UK_CSV0000000000002183__16 § 28 § 2,UK_CSV0000000000002183__16 § 29 § 2
UK_CSV0000000000002183__16 § 0 § 3,UK_CSV0000000000002183__16 § 1 § 3,UK_CSV0000000000002183__16 § 2 § 3,UK_CSV0000000000002183__16 § 3 § 3,UK_CSV0000000000002183__16 § 4 § 3,UK_CSV0000000000002183__16 § 5 § 3,UK_CSV0000000000002183__16 § 6 § 3,UK_CSV0000000000002183__16 § 7 § 3,UK_CSV0000000000002183__16 § 8 § 3,UK_CSV0000000000002183__16 § 9 § 3,UK_CSV0000000000002183__16 § 10 § 3,UK_CSV0000000000002183__16 § 11 § 3,UK_CSV0000000000002183__16 § 12 § 3,UK_CSV0000000000002183__16 § 13 § 3,UK_CSV0000000000002183__16 § 14 § 3,UK_CSV0000000000002183__16 § 15 § 3,UK_CSV0000000000002183__16 § 16 § 3,UK_CSV0000000000002183__16 § 17 § 3,UK_CSV0000000000002183__16 § 18 § 3,UK_CSV0000000000002183__16 § 19 § 3,UK_CSV0000000000002183__16 § 20 § 3,UK_CSV0000000000002183__16 § 21 § 3,UK_CSV0000000000002183__16 § 22 § 3,UK_CSV0000000000002183__16 § 23 § 3,UK_CSV0000000000002183__16 § 24 § 3,UK_CSV0000000000002183__16 § 25 § 3,UK_CSV0000000000002183__16 § 26 § 3,UK_CSV0000000000002183__16 § 27 § 3,UK_CSV0000000000002183__16 § 28 § 3,UK_CSV0000000000002183__16 § 29 § 3
UK_CSV0000000000002183__16 § 0 § 4,UK_CSV0000000000002183__16 § 1 § 4,UK_CSV0000000000002183__16 § 2 § 4,UK_CSV0000000000002183__16 § 3 § 4,UK_CSV0000000000002183__16 § 4 § 4,UK_CSV0000000000002183__16 § 5 § 4,UK_CSV0000000000002183__16 § 6 § 4,UK_CSV0000000000002183__16 § 7 § 4,UK_CSV0000000000002183__16 § 8 § 4,UK_CSV0000000000002183__16 § 9 § 4,UK_CSV0000000000002183__16 § 10 § 4,UK_CSV0000000000002183__16 § 11 § 4,UK_CSV0000000000002183__16 § 12 § 4,UK_CSV0000000000002183__16 § 13 § 4,UK_CSV0000000000002183__16 § 14 § 4,UK_CSV0000000000002183__16 § 15 § 4,UK_CSV0000000000002183__16 § 16 § 4,UK_CSV0000000000002183__16 § 17 § 4,UK_CSV0000000000002183__16 § 18 § 4,UK_CSV0000000000002183__16 § 19 § 4,UK_CSV0000000000002183__16 § 20 § 4,UK_CSV0000000000002183__16 § 21 § 4,UK_CSV0000000000002183__16 § 22 § 4,UK_CSV0000000000002183__16 § 23 § 4,UK_CSV0000000000002183__16 § 24 § 4,UK_CSV0000000000002183__16 § 25 § 4,UK_CSV0000000000002183__16 § 26 § 4,UK_CSV0000000000002183__16 § 27 § 4,UK_CSV0000000000002183__16 § 28 § 4,UK_CSV0000000000002183__16 § 29 § 4
UK_CSV0000000000002183__16 § 0 § 5,UK_CSV0000000000002183__16 § 1 § 5,UK_CSV0000000000002183__16 § 2 § 5,UK_CSV0000000000002183__16 § 3 § 5,UK_CSV0000000000002183__16 § 4 § 5,UK_CSV0000000000002183__16 § 5 § 5,UK_CSV0000000000002183__16 § 6 § 5,UK_CSV0000000000002183__16 § 7 § 5,UK_CSV0000000000002183__16 § 8 § 5,UK_CSV0000000000002183__16 § 9 § 5,UK_CSV0000000000002183__16 § 10 § 5,UK_CSV0000000000002183__16 § 11 § 5,UK_CSV0000000000002183__16 § 12 § 5,UK_CSV0000000000002183__16 § 13 § 5,UK_CSV0000000000002183__16 § 14 § 5,UK_CSV0000000000002183__16 § 15 § 5,UK_CSV0000000000002183__16 § 16 § 5,UK_CSV0000000000002183__16 § 17 § 5,UK_CSV0000000000002183__16 § 18 § 5,UK_CSV0000000000002183__16 § 19 § 5,UK_CSV0000000000002183__16 § 20 § 5,UK_CSV0000000000002183__16 § 21 § 5,UK_CSV0000000000002183__16 § 22 § 5,UK_CSV0000000000002183__16 § 23 § 5,UK_CSV0000000000002183__16 § 24 § 5,UK_CSV0000000000002183__16 § 25 § 5,UK_CSV0000000000002183__16 § 26 § 5,UK_CSV0000000000002183__16 § 27 § 5,UK_CSV0000000000002183__16 § 28 § 5,UK_CSV0000000000002183__16 § 29 § 5
UK_CSV0000000000002183__16 § 0 § 6,UK_CSV0000000000002183__16 § 1 § 6,UK_CSV0000000000002183__16 § 2 § 6,UK_CSV0000000000002183__16 § 3 § 6,UK_CSV0000000000002183__16 § 4 § 6,UK_CSV0000000000002183__16 § 5 § 6,UK_CSV0000000000002183__16 § 6 § 6,UK_CSV0000000000002183__16 § 7 § 6,UK_CSV0000000000002183__16 § 8 § 6,UK_CSV0000000000002183__16 § 9 § 6,UK_CSV0000000000002183__16 § 10 § 6,UK_CSV0000000000002183__16 § 11 § 6,UK_CSV0000000000002183__16 § 12 § 6,UK_CSV0000000000002183__16 § 13 § 6,UK_CSV0000000000002183__16 § 14 § 6,UK_CSV0000000000002183__16 § 15 § 6,UK_CSV0000000000002183__16 § 16 § 6,UK_CSV0000000000002183__16 § 17 § 6,UK_CSV0000000000002183__16 § 18 § 6,UK_CSV0000000000002183__16 § 19 § 6,UK_CSV0000000000002183__16 § 20 § 6,UK_CSV0000000000002183__16 § 21 § 6,UK_CSV0000000000002183__16 § 22 § 6,UK_CSV0000000000002183__16 § 23 § 6,UK_CSV0000000000002183__16 § 24 § 6,UK_CSV0000000000002183__16 § 25 § 6,UK_CSV0000000000002183__16 § 26 § 6,UK_CSV0000000000002183__16 § 27 § 6,UK_CSV0000000000002183__16 § 28 § 6,UK_CSV0000000000002183__16 § 29 § 6
UK_CSV0000000000002183__16 § 0 § 7,UK_CSV0000000000002183__16 § 1 § 7,UK_CSV0000000000002183__16 § 2 § 7,UK_CSV0000000000002183__16 § 3 § 7,UK_CSV0000000000002183__16 § 4 § 7,UK_CSV0000000000002183__16 § 5 § 7,UK_CSV0000000000002183__16 § 6 § 7,UK_CSV0000000000002183__16 § 7 § 7,UK_CSV0000000000002183__16 § 8 § 7,UK_CSV0000000000002183__16 § 9 § 7,UK_CSV0000000000002183__16 § 10 § 7,UK_CSV0000000000002183__16 § 11 § 7,UK_CSV0000000000002183__16 § 12 § 7,UK_CSV0000000000002183__16 § 13 § 7,UK_CSV0000000000002183__16 § 14 § 7,UK_CSV0000000000002183__16 § 15 § 7,UK_CSV0000000000002183__16 § 16 § 7,UK_CSV0000000000002183__16 § 17 § 7,UK_CSV0000000000002183__16 § 18 § 7,UK_CSV0000000000002183__16 § 19 § 7,UK_CSV0000000000002183__16 § 20 § 7,UK_CSV0000000000002183__16 § 21 § 7,UK_CSV0000000000002183__16 § 22 § 7,UK_CSV0000000000002183__16 § 23 § 7,UK_CSV0000000000002183__16 § 24 § 7,UK_CSV0000000000002183__16 § 25 § 7,UK_CSV0000000000002183__16 § 26 § 7,UK_CSV0000000000002183__16 § 27 § 7,UK_CSV0000000000002183__16 § 28 § 7,UK_CSV0000000000002183__16 § 29 § 7
UK_CSV0000000000002183__16 § 0 § 8,UK_CSV0000000000002183__16 § 1 § 8,UK_CSV0000000000002183__16 § 2 § 8,UK_CSV0000000000002183__16 § 3 § 8,UK_CSV0000000000002183__16 § 4 § 8,UK_CSV0000000000002183__16 § 5 § 8,UK_CSV0000000000002183__16 § 6 § 8,UK_CSV0000000000002183__16 § 7 § 8,UK_CSV0000000000002183__16 § 8 § 8,UK_CSV0000000000002183__16 § 9 § 8,UK_CSV0000000000002183__16 § 10 § 8,UK_CSV0000000000002183__16 § 11 § 8,UK_CSV0000000000002183__16 § 12 § 8,UK_CSV0000000000002183__16 § 13 § 8,UK_CSV0000000000002183__16 § 14 § 8,UK_CSV0000000000002183__16 § 15 § 8,UK_CSV0000000000002183__16 § 16 § 8,UK_CSV0000000000002183__16 § 17 § 8,UK_CSV0000000000002183__16 § 18 § 8,UK_CSV0000000000002183__16 § 19 § 8,UK_CSV0000000000002183__16 § 20 § 8,UK_CSV0000000000002183__16 § 21 § 8,UK_CSV0000000000002183__16 § 22 § 8,UK_CSV0000000000002183__16 § 23 § 8,UK_CSV0000000000002183__16 § 24 § 8,UK_CSV0000000000002183__16 § 25 § 8,UK_CSV0000000000002183__16 § 26 § 8,UK_CSV0000000000002183__16 § 27 § 8,UK_CSV0000000000002183__16 § 28 § 8,UK_CSV0000000000002183__16 § 29 § 8
