expense_type,transaction_date,security_operation,latitude,longitude,employee_gender,employee_age_range,selfdefined_ethnicity,officially_recorded_ethnicity,regulation,search_target,resultof_search
Travel,2022-01-15T08:45:00+00:00,False,51.463466,-0.102866,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Prosecution
Travel,2022-11-15T08:30:00+00:00,False,51.458795,-0.011531,Male,25-34,White - Any other White background,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Prosecution
Fuel,2020-07-11T09:30:00+00:00,False,51.473926,-0.16112,Male,25-34,Black/African/Caribbean/Black British - Caribbean,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Fine Receipt
Travel,2022-08-21T14:45:00+00:00,False,51.450961,-0.016218,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Prosecution
Travel,2022-04-14T11:30:00+00:00,False,51.531676,-0.230118,Male,18-24,Other ethnic group - Not stated,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Prosecution
Travel,2022-05-15T14:45:00+00:00,False,51.525993,-0.073233,Male,18-24,Asian/Asian British - Bangladeshi,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Prosecution
Travel,2022-11-10T09:30:00+00:00,False,51.514915,-0.169241,Male,18-24,Asian/Asian British - Indian,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Prosecution
Travel,2022-06-25T14:30:00+00:00,False,51.546371,-0.076007,Male,18-24,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Prosecution
Travel,2022-05-15T14:45:00+00:00,False,51.463466,-0.102866,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Prosecution
Travel,2022-08-15T10:20:00+00:00,False,51.424826,-0.131562,Male,18-24,Black/African/Caribbean/Black British - Caribbean,Black,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Discovery
Travel,2023-08-15T09:30:00+00:00,False,51.463466,-0.102866,Male,25-34,Asian/Asian British - Chinese,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Fine Receipt
Travel,2022-05-15T14:30:00+00:00,False,51.528064,-0.12271,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Discovery
Fuel,2023-09-21T10:30:00+00:00,False,51.59321,0.210064,Male,25-34,White - Any other White background,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Prosecution
Travel,2022-01-15T10:00:00+00:00,False,51.554091,0.118945,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Prosecution
Travel,2022-07-15T09:30:00+00:00,False,51.378427,-0.102657,Male,18-24,Other ethnic group - Not stated,Other,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Prosecution
Travel,2022-07-23T14:30:00+00:00,False,51.521147,-0.194202,Male,18-24,Other ethnic group - Any other ethnic group,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Prosecution
Travel,2022-07-21T14:45:00+00:00,False,51.482833,-0.003097,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Discovery
Travel,2022-05-10T14:30:00+00:00,False,51.511428,-0.238123,Male,10-17,Other ethnic group - Not stated,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Prosecution
Travel,2022-05-14T13:25:00+00:00,False,51.494542,-0.083952,Male,25-34,Other ethnic group - Not stated,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Discovery
Fuel,2022-04-28T09:45:00+00:00,False,51.544291,-0.102919,Male,18-24,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Prosecution
Travel,2020-05-15T08:30:00+00:00,False,51.475614,0.082098,Male,10-17,Black/African/Caribbean/Black British - Caribbean,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Prosecution
Fuel,2022-07-15T08:45:00+00:00,False,51.456705,-0.192918,Male,18-24,Other ethnic group - Not stated,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Fine Receipt
Travel,2022-05-10T18:45:00+00:00,False,51.463466,-0.102866,Male,25-34,Asian/Asian British - Any other Asian background,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Prosecution
Travel,2022-07-15T09:45:00+00:00,False,51.463466,-0.102866,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Prosecution
Fuel,2022-01-15T14:00:00+00:00,False,51.484563,0.101187,Male,18-24,Other ethnic group - Not stated,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Investigation report
Fuel,2022-07-15T10:30:00+00:00,False,51.474993,-0.392207,Male,25-34,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,White,Police and Criminal Evidence Act 1984 (section 1),Evidence of offences under the Act,Discovery
Travel,2020-07-15T09:45:00+01:00,False,51.385514,-0.100482,Male,over 34,Other ethnic group - Not stated,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Prosecution
Fuel,2022-04-24T10:15:00+00:00,False,51.523088,0.025029,Male,18-24,White - Irish,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Prosecution
Travel,2020-07-14T13:30:00+00:00,False,51.59472,-0.330104,Male,25-34,Asian/Asian British - Any other Asian background,Asian,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Investigation report
Travel,2022-04-12T14:20:00+00:00,False,51.463466,-0.01068,Male,18-24,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Prosecution
Travel,2022-05-15T10:30:00+00:00,False,51.501729,0.003103,Female,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Prosecution
Travel,2022-05-15T14:30:00+00:00,False,51.503164,-0.223226,Male,over 34,Other ethnic group - Not stated,White,Criminal Justice and Public Order Act 1994 (section 60),Anything to threaten or harm anyone,Prosecution
Travel,2023-08-15T09:30:00+00:00,False,51.565035,-0.010997,Male,10-17,Black/African/Caribbean/Black British - African,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Prosecution
Travel,2022-07-15T08:45:00+00:00,False,51.432634,-0.340221,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Prosecution
Fuel,2023-08-15T09:30:00+00:00,False,51.406151,-0.293229,Male,over 34,White - Any other White background,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Prosecution
Fuel,2022-04-12T14:20:00+00:00,False,51.556646,-0.065403,Male,over 34,Black/African/Caribbean/Black British - Caribbean,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Discovery
