UK_CSV0000000000002685::0::crimeid,UK_CSV0000000000002685::1::monthvalue,UK_CSV0000000000002685::2::reportedby,UK_CSV0000000000002685::3::fallswithin,UK_CSV0000000000002685::4::longitude,UK_CSV0000000000002685::5::latitude,UK_CSV0000000000002685::6::locationvalue,UK_CSV0000000000002685::7::lsoacode,UK_CSV0000000000002685::8::lsoaname,UK_CSV0000000000002685::9::crimetype,UK_CSV0000000000002685::10::lastoutcomecategory
UK_CSV0000000000002685 § 0 § 0,UK_CSV0000000000002685 § 1 § 0,UK_CSV0000000000002685 § 2 § 0,UK_CSV0000000000002685 § 3 § 0,UK_CSV0000000000002685 § 4 § 0,UK_CSV0000000000002685 § 5 § 0,UK_CSV0000000000002685 § 6 § 0,UK_CSV0000000000002685 § 7 § 0,UK_CSV0000000000002685 § 8 § 0,UK_CSV0000000000002685 § 9 § 0,UK_CSV0000000000002685 § 10 § 0
UK_CSV0000000000002685 § 0 § 1,UK_CSV0000000000002685 § 1 § 1,UK_CSV0000000000002685 § 2 § 1,UK_CSV0000000000002685 § 3 § 1,UK_CSV0000000000002685 § 4 § 1,UK_CSV0000000000002685 § 5 § 1,UK_CSV0000000000002685 § 6 § 1,UK_CSV0000000000002685 § 7 § 1,UK_CSV0000000000002685 § 8 § 1,UK_CSV0000000000002685 § 9 § 1,UK_CSV0000000000002685 § 10 § 1
UK_CSV0000000000002685 § 0 § 2,UK_CSV0000000000002685 § 1 § 2,UK_CSV0000000000002685 § 2 § 2,UK_CSV0000000000002685 § 3 § 2,UK_CSV0000000000002685 § 4 § 2,UK_CSV0000000000002685 § 5 § 2,UK_CSV0000000000002685 § 6 § 2,UK_CSV0000000000002685 § 7 § 2,UK_CSV0000000000002685 § 8 § 2,UK_CSV0000000000002685 § 9 § 2,UK_CSV0000000000002685 § 10 § 2
UK_CSV0000000000002685 § 0 § 3,UK_CSV0000000000002685 § 1 § 3,UK_CSV0000000000002685 § 2 § 3,UK_CSV0000000000002685 § 3 § 3,UK_CSV0000000000002685 § 4 § 3,UK_CSV0000000000002685 § 5 § 3,UK_CSV0000000000002685 § 6 § 3,UK_CSV0000000000002685 § 7 § 3,UK_CSV0000000000002685 § 8 § 3,UK_CSV0000000000002685 § 9 § 3,UK_CSV0000000000002685 § 10 § 3
UK_CSV0000000000002685 § 0 § 4,UK_CSV0000000000002685 § 1 § 4,UK_CSV0000000000002685 § 2 § 4,UK_CSV0000000000002685 § 3 § 4,UK_CSV0000000000002685 § 4 § 4,UK_CSV0000000000002685 § 5 § 4,UK_CSV0000000000002685 § 6 § 4,UK_CSV0000000000002685 § 7 § 4,UK_CSV0000000000002685 § 8 § 4,UK_CSV0000000000002685 § 9 § 4,UK_CSV0000000000002685 § 10 § 4
UK_CSV0000000000002685 § 0 § 5,UK_CSV0000000000002685 § 1 § 5,UK_CSV0000000000002685 § 2 § 5,UK_CSV0000000000002685 § 3 § 5,UK_CSV0000000000002685 § 4 § 5,UK_CSV0000000000002685 § 5 § 5,UK_CSV0000000000002685 § 6 § 5,UK_CSV0000000000002685 § 7 § 5,UK_CSV0000000000002685 § 8 § 5,UK_CSV0000000000002685 § 9 § 5,UK_CSV0000000000002685 § 10 § 5
UK_CSV0000000000002685 § 0 § 6,UK_CSV0000000000002685 § 1 § 6,UK_CSV0000000000002685 § 2 § 6,UK_CSV0000000000002685 § 3 § 6,UK_CSV0000000000002685 § 4 § 6,UK_CSV0000000000002685 § 5 § 6,UK_CSV0000000000002685 § 6 § 6,UK_CSV0000000000002685 § 7 § 6,UK_CSV0000000000002685 § 8 § 6,UK_CSV0000000000002685 § 9 § 6,UK_CSV0000000000002685 § 10 § 6
UK_CSV0000000000002685 § 0 § 7,UK_CSV0000000000002685 § 1 § 7,UK_CSV0000000000002685 § 2 § 7,UK_CSV0000000000002685 § 3 § 7,UK_CSV0000000000002685 § 4 § 7,UK_CSV0000000000002685 § 5 § 7,UK_CSV0000000000002685 § 6 § 7,UK_CSV0000000000002685 § 7 § 7,UK_CSV0000000000002685 § 8 § 7,UK_CSV0000000000002685 § 9 § 7,UK_CSV0000000000002685 § 10 § 7
UK_CSV0000000000002685 § 0 § 8,UK_CSV0000000000002685 § 1 § 8,UK_CSV0000000000002685 § 2 § 8,UK_CSV0000000000002685 § 3 § 8,UK_CSV0000000000002685 § 4 § 8,UK_CSV0000000000002685 § 5 § 8,UK_CSV0000000000002685 § 6 § 8,UK_CSV0000000000002685 § 7 § 8,UK_CSV0000000000002685 § 8 § 8,UK_CSV0000000000002685 § 9 § 8,UK_CSV0000000000002685 § 10 § 8
UK_CSV0000000000002685 § 0 § 9,UK_CSV0000000000002685 § 1 § 9,UK_CSV0000000000002685 § 2 § 9,UK_CSV0000000000002685 § 3 § 9,UK_CSV0000000000002685 § 4 § 9,UK_CSV0000000000002685 § 5 § 9,UK_CSV0000000000002685 § 6 § 9,UK_CSV0000000000002685 § 7 § 9,UK_CSV0000000000002685 § 8 § 9,UK_CSV0000000000002685 § 9 § 9,UK_CSV0000000000002685 § 10 § 9
UK_CSV0000000000002685 § 0 § 10,UK_CSV0000000000002685 § 1 § 10,UK_CSV0000000000002685 § 2 § 10,UK_CSV0000000000002685 § 3 § 10,UK_CSV0000000000002685 § 4 § 10,UK_CSV0000000000002685 § 5 § 10,UK_CSV0000000000002685 § 6 § 10,UK_CSV0000000000002685 § 7 § 10,UK_CSV0000000000002685 § 8 § 10,UK_CSV0000000000002685 § 9 § 10,UK_CSV0000000000002685 § 10 § 10
UK_CSV0000000000002685 § 0 § 11,UK_CSV0000000000002685 § 1 § 11,UK_CSV0000000000002685 § 2 § 11,UK_CSV0000000000002685 § 3 § 11,UK_CSV0000000000002685 § 4 § 11,UK_CSV0000000000002685 § 5 § 11,UK_CSV0000000000002685 § 6 § 11,UK_CSV0000000000002685 § 7 § 11,UK_CSV0000000000002685 § 8 § 11,UK_CSV0000000000002685 § 9 § 11,UK_CSV0000000000002685 § 10 § 11
UK_CSV0000000000002685 § 0 § 12,UK_CSV0000000000002685 § 1 § 12,UK_CSV0000000000002685 § 2 § 12,UK_CSV0000000000002685 § 3 § 12,UK_CSV0000000000002685 § 4 § 12,UK_CSV0000000000002685 § 5 § 12,UK_CSV0000000000002685 § 6 § 12,UK_CSV0000000000002685 § 7 § 12,UK_CSV0000000000002685 § 8 § 12,UK_CSV0000000000002685 § 9 § 12,UK_CSV0000000000002685 § 10 § 12
UK_CSV0000000000002685 § 0 § 13,UK_CSV0000000000002685 § 1 § 13,UK_CSV0000000000002685 § 2 § 13,UK_CSV0000000000002685 § 3 § 13,UK_CSV0000000000002685 § 4 § 13,UK_CSV0000000000002685 § 5 § 13,UK_CSV0000000000002685 § 6 § 13,UK_CSV0000000000002685 § 7 § 13,UK_CSV0000000000002685 § 8 § 13,UK_CSV0000000000002685 § 9 § 13,UK_CSV0000000000002685 § 10 § 13
UK_CSV0000000000002685 § 0 § 14,UK_CSV0000000000002685 § 1 § 14,UK_CSV0000000000002685 § 2 § 14,UK_CSV0000000000002685 § 3 § 14,UK_CSV0000000000002685 § 4 § 14,UK_CSV0000000000002685 § 5 § 14,UK_CSV0000000000002685 § 6 § 14,UK_CSV0000000000002685 § 7 § 14,UK_CSV0000000000002685 § 8 § 14,UK_CSV0000000000002685 § 9 § 14,UK_CSV0000000000002685 § 10 § 14
UK_CSV0000000000002685 § 0 § 15,UK_CSV0000000000002685 § 1 § 15,UK_CSV0000000000002685 § 2 § 15,UK_CSV0000000000002685 § 3 § 15,UK_CSV0000000000002685 § 4 § 15,UK_CSV0000000000002685 § 5 § 15,UK_CSV0000000000002685 § 6 § 15,UK_CSV0000000000002685 § 7 § 15,UK_CSV0000000000002685 § 8 § 15,UK_CSV0000000000002685 § 9 § 15,UK_CSV0000000000002685 § 10 § 15
UK_CSV0000000000002685 § 0 § 16,UK_CSV0000000000002685 § 1 § 16,UK_CSV0000000000002685 § 2 § 16,UK_CSV0000000000002685 § 3 § 16,UK_CSV0000000000002685 § 4 § 16,UK_CSV0000000000002685 § 5 § 16,UK_CSV0000000000002685 § 6 § 16,UK_CSV0000000000002685 § 7 § 16,UK_CSV0000000000002685 § 8 § 16,UK_CSV0000000000002685 § 9 § 16,UK_CSV0000000000002685 § 10 § 16
UK_CSV0000000000002685 § 0 § 17,UK_CSV0000000000002685 § 1 § 17,UK_CSV0000000000002685 § 2 § 17,UK_CSV0000000000002685 § 3 § 17,UK_CSV0000000000002685 § 4 § 17,UK_CSV0000000000002685 § 5 § 17,UK_CSV0000000000002685 § 6 § 17,UK_CSV0000000000002685 § 7 § 17,UK_CSV0000000000002685 § 8 § 17,UK_CSV0000000000002685 § 9 § 17,UK_CSV0000000000002685 § 10 § 17
UK_CSV0000000000002685 § 0 § 18,UK_CSV0000000000002685 § 1 § 18,UK_CSV0000000000002685 § 2 § 18,UK_CSV0000000000002685 § 3 § 18,UK_CSV0000000000002685 § 4 § 18,UK_CSV0000000000002685 § 5 § 18,UK_CSV0000000000002685 § 6 § 18,UK_CSV0000000000002685 § 7 § 18,UK_CSV0000000000002685 § 8 § 18,UK_CSV0000000000002685 § 9 § 18,UK_CSV0000000000002685 § 10 § 18
UK_CSV0000000000002685 § 0 § 19,UK_CSV0000000000002685 § 1 § 19,UK_CSV0000000000002685 § 2 § 19,UK_CSV0000000000002685 § 3 § 19,UK_CSV0000000000002685 § 4 § 19,UK_CSV0000000000002685 § 5 § 19,UK_CSV0000000000002685 § 6 § 19,UK_CSV0000000000002685 § 7 § 19,UK_CSV0000000000002685 § 8 § 19,UK_CSV0000000000002685 § 9 § 19,UK_CSV0000000000002685 § 10 § 19
UK_CSV0000000000002685 § 0 § 20,UK_CSV0000000000002685 § 1 § 20,UK_CSV0000000000002685 § 2 § 20,UK_CSV0000000000002685 § 3 § 20,UK_CSV0000000000002685 § 4 § 20,UK_CSV0000000000002685 § 5 § 20,UK_CSV0000000000002685 § 6 § 20,UK_CSV0000000000002685 § 7 § 20,UK_CSV0000000000002685 § 8 § 20,UK_CSV0000000000002685 § 9 § 20,UK_CSV0000000000002685 § 10 § 20
UK_CSV0000000000002685 § 0 § 21,UK_CSV0000000000002685 § 1 § 21,UK_CSV0000000000002685 § 2 § 21,UK_CSV0000000000002685 § 3 § 21,UK_CSV0000000000002685 § 4 § 21,UK_CSV0000000000002685 § 5 § 21,UK_CSV0000000000002685 § 6 § 21,UK_CSV0000000000002685 § 7 § 21,UK_CSV0000000000002685 § 8 § 21,UK_CSV0000000000002685 § 9 § 21,UK_CSV0000000000002685 § 10 § 21
UK_CSV0000000000002685 § 0 § 22,UK_CSV0000000000002685 § 1 § 22,UK_CSV0000000000002685 § 2 § 22,UK_CSV0000000000002685 § 3 § 22,UK_CSV0000000000002685 § 4 § 22,UK_CSV0000000000002685 § 5 § 22,UK_CSV0000000000002685 § 6 § 22,UK_CSV0000000000002685 § 7 § 22,UK_CSV0000000000002685 § 8 § 22,UK_CSV0000000000002685 § 9 § 22,UK_CSV0000000000002685 § 10 § 22
UK_CSV0000000000002685 § 0 § 23,UK_CSV0000000000002685 § 1 § 23,UK_CSV0000000000002685 § 2 § 23,UK_CSV0000000000002685 § 3 § 23,UK_CSV0000000000002685 § 4 § 23,UK_CSV0000000000002685 § 5 § 23,UK_CSV0000000000002685 § 6 § 23,UK_CSV0000000000002685 § 7 § 23,UK_CSV0000000000002685 § 8 § 23,UK_CSV0000000000002685 § 9 § 23,UK_CSV0000000000002685 § 10 § 23
UK_CSV0000000000002685 § 0 § 24,UK_CSV0000000000002685 § 1 § 24,UK_CSV0000000000002685 § 2 § 24,UK_CSV0000000000002685 § 3 § 24,UK_CSV0000000000002685 § 4 § 24,UK_CSV0000000000002685 § 5 § 24,UK_CSV0000000000002685 § 6 § 24,UK_CSV0000000000002685 § 7 § 24,UK_CSV0000000000002685 § 8 § 24,UK_CSV0000000000002685 § 9 § 24,UK_CSV0000000000002685 § 10 § 24
UK_CSV0000000000002685 § 0 § 25,UK_CSV0000000000002685 § 1 § 25,UK_CSV0000000000002685 § 2 § 25,UK_CSV0000000000002685 § 3 § 25,UK_CSV0000000000002685 § 4 § 25,UK_CSV0000000000002685 § 5 § 25,UK_CSV0000000000002685 § 6 § 25,UK_CSV0000000000002685 § 7 § 25,UK_CSV0000000000002685 § 8 § 25,UK_CSV0000000000002685 § 9 § 25,UK_CSV0000000000002685 § 10 § 25
UK_CSV0000000000002685 § 0 § 26,UK_CSV0000000000002685 § 1 § 26,UK_CSV0000000000002685 § 2 § 26,UK_CSV0000000000002685 § 3 § 26,UK_CSV0000000000002685 § 4 § 26,UK_CSV0000000000002685 § 5 § 26,UK_CSV0000000000002685 § 6 § 26,UK_CSV0000000000002685 § 7 § 26,UK_CSV0000000000002685 § 8 § 26,UK_CSV0000000000002685 § 9 § 26,UK_CSV0000000000002685 § 10 § 26
UK_CSV0000000000002685 § 0 § 27,UK_CSV0000000000002685 § 1 § 27,UK_CSV0000000000002685 § 2 § 27,UK_CSV0000000000002685 § 3 § 27,UK_CSV0000000000002685 § 4 § 27,UK_CSV0000000000002685 § 5 § 27,UK_CSV0000000000002685 § 6 § 27,UK_CSV0000000000002685 § 7 § 27,UK_CSV0000000000002685 § 8 § 27,UK_CSV0000000000002685 § 9 § 27,UK_CSV0000000000002685 § 10 § 27
UK_CSV0000000000002685 § 0 § 28,UK_CSV0000000000002685 § 1 § 28,UK_CSV0000000000002685 § 2 § 28,UK_CSV0000000000002685 § 3 § 28,UK_CSV0000000000002685 § 4 § 28,UK_CSV0000000000002685 § 5 § 28,UK_CSV0000000000002685 § 6 § 28,UK_CSV0000000000002685 § 7 § 28,UK_CSV0000000000002685 § 8 § 28,UK_CSV0000000000002685 § 9 § 28,UK_CSV0000000000002685 § 10 § 28
UK_CSV0000000000002685 § 0 § 29,UK_CSV0000000000002685 § 1 § 29,UK_CSV0000000000002685 § 2 § 29,UK_CSV0000000000002685 § 3 § 29,UK_CSV0000000000002685 § 4 § 29,UK_CSV0000000000002685 § 5 § 29,UK_CSV0000000000002685 § 6 § 29,UK_CSV0000000000002685 § 7 § 29,UK_CSV0000000000002685 § 8 § 29,UK_CSV0000000000002685 § 9 § 29,UK_CSV0000000000002685 § 10 § 29
UK_CSV0000000000002685 § 0 § 30,UK_CSV0000000000002685 § 1 § 30,UK_CSV0000000000002685 § 2 § 30,UK_CSV0000000000002685 § 3 § 30,UK_CSV0000000000002685 § 4 § 30,UK_CSV0000000000002685 § 5 § 30,UK_CSV0000000000002685 § 6 § 30,UK_CSV0000000000002685 § 7 § 30,UK_CSV0000000000002685 § 8 § 30,UK_CSV0000000000002685 § 9 § 30,UK_CSV0000000000002685 § 10 § 30
UK_CSV0000000000002685 § 0 § 31,UK_CSV0000000000002685 § 1 § 31,UK_CSV0000000000002685 § 2 § 31,UK_CSV0000000000002685 § 3 § 31,UK_CSV0000000000002685 § 4 § 31,UK_CSV0000000000002685 § 5 § 31,UK_CSV0000000000002685 § 6 § 31,UK_CSV0000000000002685 § 7 § 31,UK_CSV0000000000002685 § 8 § 31,UK_CSV0000000000002685 § 9 § 31,UK_CSV0000000000002685 § 10 § 31
UK_CSV0000000000002685 § 0 § 32,UK_CSV0000000000002685 § 1 § 32,UK_CSV0000000000002685 § 2 § 32,UK_CSV0000000000002685 § 3 § 32,UK_CSV0000000000002685 § 4 § 32,UK_CSV0000000000002685 § 5 § 32,UK_CSV0000000000002685 § 6 § 32,UK_CSV0000000000002685 § 7 § 32,UK_CSV0000000000002685 § 8 § 32,UK_CSV0000000000002685 § 9 § 32,UK_CSV0000000000002685 § 10 § 32
UK_CSV0000000000002685 § 0 § 33,UK_CSV0000000000002685 § 1 § 33,UK_CSV0000000000002685 § 2 § 33,UK_CSV0000000000002685 § 3 § 33,UK_CSV0000000000002685 § 4 § 33,UK_CSV0000000000002685 § 5 § 33,UK_CSV0000000000002685 § 6 § 33,UK_CSV0000000000002685 § 7 § 33,UK_CSV0000000000002685 § 8 § 33,UK_CSV0000000000002685 § 9 § 33,UK_CSV0000000000002685 § 10 § 33
UK_CSV0000000000002685 § 0 § 34,UK_CSV0000000000002685 § 1 § 34,UK_CSV0000000000002685 § 2 § 34,UK_CSV0000000000002685 § 3 § 34,UK_CSV0000000000002685 § 4 § 34,UK_CSV0000000000002685 § 5 § 34,UK_CSV0000000000002685 § 6 § 34,UK_CSV0000000000002685 § 7 § 34,UK_CSV0000000000002685 § 8 § 34,UK_CSV0000000000002685 § 9 § 34,UK_CSV0000000000002685 § 10 § 34
UK_CSV0000000000002685 § 0 § 35,UK_CSV0000000000002685 § 1 § 35,UK_CSV0000000000002685 § 2 § 35,UK_CSV0000000000002685 § 3 § 35,UK_CSV0000000000002685 § 4 § 35,UK_CSV0000000000002685 § 5 § 35,UK_CSV0000000000002685 § 6 § 35,UK_CSV0000000000002685 § 7 § 35,UK_CSV0000000000002685 § 8 § 35,UK_CSV0000000000002685 § 9 § 35,UK_CSV0000000000002685 § 10 § 35
UK_CSV0000000000002685 § 0 § 36,UK_CSV0000000000002685 § 1 § 36,UK_CSV0000000000002685 § 2 § 36,UK_CSV0000000000002685 § 3 § 36,UK_CSV0000000000002685 § 4 § 36,UK_CSV0000000000002685 § 5 § 36,UK_CSV0000000000002685 § 6 § 36,UK_CSV0000000000002685 § 7 § 36,UK_CSV0000000000002685 § 8 § 36,UK_CSV0000000000002685 § 9 § 36,UK_CSV0000000000002685 § 10 § 36
UK_CSV0000000000002685 § 0 § 37,UK_CSV0000000000002685 § 1 § 37,UK_CSV0000000000002685 § 2 § 37,UK_CSV0000000000002685 § 3 § 37,UK_CSV0000000000002685 § 4 § 37,UK_CSV0000000000002685 § 5 § 37,UK_CSV0000000000002685 § 6 § 37,UK_CSV0000000000002685 § 7 § 37,UK_CSV0000000000002685 § 8 § 37,UK_CSV0000000000002685 § 9 § 37,UK_CSV0000000000002685 § 10 § 37
UK_CSV0000000000002685 § 0 § 38,UK_CSV0000000000002685 § 1 § 38,UK_CSV0000000000002685 § 2 § 38,UK_CSV0000000000002685 § 3 § 38,UK_CSV0000000000002685 § 4 § 38,UK_CSV0000000000002685 § 5 § 38,UK_CSV0000000000002685 § 6 § 38,UK_CSV0000000000002685 § 7 § 38,UK_CSV0000000000002685 § 8 § 38,UK_CSV0000000000002685 § 9 § 38,UK_CSV0000000000002685 § 10 § 38
UK_CSV0000000000002685 § 0 § 39,UK_CSV0000000000002685 § 1 § 39,UK_CSV0000000000002685 § 2 § 39,UK_CSV0000000000002685 § 3 § 39,UK_CSV0000000000002685 § 4 § 39,UK_CSV0000000000002685 § 5 § 39,UK_CSV0000000000002685 § 6 § 39,UK_CSV0000000000002685 § 7 § 39,UK_CSV0000000000002685 § 8 § 39,UK_CSV0000000000002685 § 9 § 39,UK_CSV0000000000002685 § 10 § 39
UK_CSV0000000000002685 § 0 § 40,UK_CSV0000000000002685 § 1 § 40,UK_CSV0000000000002685 § 2 § 40,UK_CSV0000000000002685 § 3 § 40,UK_CSV0000000000002685 § 4 § 40,UK_CSV0000000000002685 § 5 § 40,UK_CSV0000000000002685 § 6 § 40,UK_CSV0000000000002685 § 7 § 40,UK_CSV0000000000002685 § 8 § 40,UK_CSV0000000000002685 § 9 § 40,UK_CSV0000000000002685 § 10 § 40
UK_CSV0000000000002685 § 0 § 41,UK_CSV0000000000002685 § 1 § 41,UK_CSV0000000000002685 § 2 § 41,UK_CSV0000000000002685 § 3 § 41,UK_CSV0000000000002685 § 4 § 41,UK_CSV0000000000002685 § 5 § 41,UK_CSV0000000000002685 § 6 § 41,UK_CSV0000000000002685 § 7 § 41,UK_CSV0000000000002685 § 8 § 41,UK_CSV0000000000002685 § 9 § 41,UK_CSV0000000000002685 § 10 § 41
UK_CSV0000000000002685 § 0 § 42,UK_CSV0000000000002685 § 1 § 42,UK_CSV0000000000002685 § 2 § 42,UK_CSV0000000000002685 § 3 § 42,UK_CSV0000000000002685 § 4 § 42,UK_CSV0000000000002685 § 5 § 42,UK_CSV0000000000002685 § 6 § 42,UK_CSV0000000000002685 § 7 § 42,UK_CSV0000000000002685 § 8 § 42,UK_CSV0000000000002685 § 9 § 42,UK_CSV0000000000002685 § 10 § 42
UK_CSV0000000000002685 § 0 § 43,UK_CSV0000000000002685 § 1 § 43,UK_CSV0000000000002685 § 2 § 43,UK_CSV0000000000002685 § 3 § 43,UK_CSV0000000000002685 § 4 § 43,UK_CSV0000000000002685 § 5 § 43,UK_CSV0000000000002685 § 6 § 43,UK_CSV0000000000002685 § 7 § 43,UK_CSV0000000000002685 § 8 § 43,UK_CSV0000000000002685 § 9 § 43,UK_CSV0000000000002685 § 10 § 43
UK_CSV0000000000002685 § 0 § 44,UK_CSV0000000000002685 § 1 § 44,UK_CSV0000000000002685 § 2 § 44,UK_CSV0000000000002685 § 3 § 44,UK_CSV0000000000002685 § 4 § 44,UK_CSV0000000000002685 § 5 § 44,UK_CSV0000000000002685 § 6 § 44,UK_CSV0000000000002685 § 7 § 44,UK_CSV0000000000002685 § 8 § 44,UK_CSV0000000000002685 § 9 § 44,UK_CSV0000000000002685 § 10 § 44
UK_CSV0000000000002685 § 0 § 45,UK_CSV0000000000002685 § 1 § 45,UK_CSV0000000000002685 § 2 § 45,UK_CSV0000000000002685 § 3 § 45,UK_CSV0000000000002685 § 4 § 45,UK_CSV0000000000002685 § 5 § 45,UK_CSV0000000000002685 § 6 § 45,UK_CSV0000000000002685 § 7 § 45,UK_CSV0000000000002685 § 8 § 45,UK_CSV0000000000002685 § 9 § 45,UK_CSV0000000000002685 § 10 § 45
UK_CSV0000000000002685 § 0 § 46,UK_CSV0000000000002685 § 1 § 46,UK_CSV0000000000002685 § 2 § 46,UK_CSV0000000000002685 § 3 § 46,UK_CSV0000000000002685 § 4 § 46,UK_CSV0000000000002685 § 5 § 46,UK_CSV0000000000002685 § 6 § 46,UK_CSV0000000000002685 § 7 § 46,UK_CSV0000000000002685 § 8 § 46,UK_CSV0000000000002685 § 9 § 46,UK_CSV0000000000002685 § 10 § 46
UK_CSV0000000000002685 § 0 § 47,UK_CSV0000000000002685 § 1 § 47,UK_CSV0000000000002685 § 2 § 47,UK_CSV0000000000002685 § 3 § 47,UK_CSV0000000000002685 § 4 § 47,UK_CSV0000000000002685 § 5 § 47,UK_CSV0000000000002685 § 6 § 47,UK_CSV0000000000002685 § 7 § 47,UK_CSV0000000000002685 § 8 § 47,UK_CSV0000000000002685 § 9 § 47,UK_CSV0000000000002685 § 10 § 47
UK_CSV0000000000002685 § 0 § 48,UK_CSV0000000000002685 § 1 § 48,UK_CSV0000000000002685 § 2 § 48,UK_CSV0000000000002685 § 3 § 48,UK_CSV0000000000002685 § 4 § 48,UK_CSV0000000000002685 § 5 § 48,UK_CSV0000000000002685 § 6 § 48,UK_CSV0000000000002685 § 7 § 48,UK_CSV0000000000002685 § 8 § 48,UK_CSV0000000000002685 § 9 § 48,UK_CSV0000000000002685 § 10 § 48
UK_CSV0000000000002685 § 0 § 49,UK_CSV0000000000002685 § 1 § 49,UK_CSV0000000000002685 § 2 § 49,UK_CSV0000000000002685 § 3 § 49,UK_CSV0000000000002685 § 4 § 49,UK_CSV0000000000002685 § 5 § 49,UK_CSV0000000000002685 § 6 § 49,UK_CSV0000000000002685 § 7 § 49,UK_CSV0000000000002685 § 8 § 49,UK_CSV0000000000002685 § 9 § 49,UK_CSV0000000000002685 § 10 § 49
UK_CSV0000000000002685 § 0 § 50,UK_CSV0000000000002685 § 1 § 50,UK_CSV0000000000002685 § 2 § 50,UK_CSV0000000000002685 § 3 § 50,UK_CSV0000000000002685 § 4 § 50,UK_CSV0000000000002685 § 5 § 50,UK_CSV0000000000002685 § 6 § 50,UK_CSV0000000000002685 § 7 § 50,UK_CSV0000000000002685 § 8 § 50,UK_CSV0000000000002685 § 9 § 50,UK_CSV0000000000002685 § 10 § 50
