crimeid,monthvalue,reportedby,outcometype,latitude,fallswithin,locationvalue
f39e2541dad3cbe974967e5da6365ace96623054f86ca8eb2123c3e5effbc942,2023-05,Gloucestershire Constabulary,Investigation complete; no suspect identified,51.864813,Gloucestershire Constabulary,No location
aa9c11ec404e40f93de36b1ad32d2df483099078f275e62bd33eb2c69120cffb,2023-05,Gloucestershir Constabulary,Local resolution,51.864813,Gloucestershire Constabulary,No location
fb93ffac8eec72311b75f078654390c10507f7a9d4768a664ca47f15455dab75,2023-05,Gloucestershire Constabulary,Investigation complete; no suspecyt identified,51.864813,Gloucestershire Constabulary,No location
b987ed2cb196862f2e17203a92dfddfaae0abe4f330709edfdf14d2d4a7d939c,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
214303a5e85a8d530b7389fa14d65271458460e8ee2fbed3fb98fc2458025175,023-05,Gloucestershir Constabulary,Investiagtion complete; no suspect identified,51.864813,Gloucestershire Constabulary,No location
0544e0f44c67af1989a941711b0c1710a9f89caeae9201ff5c1fb18a40b727f9,2023-05,Gloucestershire Constabulary,Investigation complete; no suspect identified,51.864813,Gloucestershire Constabulary,No location
111d5a295c5fdfdb9f594a7d789760fa4ffa302ff2eebc7a2af6d5df7f94ccc5,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
54096d9aeca058a74450e9e94a3a4e42736787af9d1a1d77d9202ad43d74a685,2023-05,Gloucestershire Constabulary,Local resolution,51.864813,Gloucestershire Constabulary,No location
3ffd066d3366c811070b87705a7a9ae361fd98b7f7bb4e0349c371c5d5dcff3e,2023-05,Gloucestershire Constabulary,Investigation complete; no suspect identified,51.864813,Gloucestershire Constabulary,No location
d840fcfe8c0a38ddaaa473cd4eda3158f27c18df25c52040cf76757ee211df7c,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
886614d843fe47fd8f1526fd02a3e3db1b30c9ad1c7e186bf70ec282df52da80,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
6f954b5a4335c3590c75e52ba953864bcf311a28c3ef94b9d7612655435f3670,2023-05,Gloucestershire Constabulary,Investigation complete; no suspect identified,51.864813,Gloucestershire Constabulary,No location
0e8b2cd080ccf81d4636bdd772104912618192b559ff71c0fed8cadeb65b4d00,0223-05,Gloucestershire Constabulary,Investigation complete; no suspect identified,51.864813,Gloucestershire Constabulary,No location
745877742b2f688e3eaff17aa17081693cf176dca499611a4b24674759d54494,2023-05,Gloucestershire Constabulary,Investigation complete; no suspect identified,51.864813,Gloucestershire Constabulary,No location
e4c2c218b977e5e96f4e9ea5a293c56e19089e6b7a9e2dc15ff31413c9f3b17a,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
c2e1050dcfce09e486a262d6be52e383153078d2dcbe6d24deb05a7d70e4a246,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
e05a5f016e4dfce221d460b0c3fc786de8c462be10d7e4cfb895217c47cd3e30,2023-05,Gloucestershire Constabulary,Offender given a caution,51.864813,Gloucestershire Constabulary,No location
1a8ded191121aa59bc9e87388154c44b5bbb21225e3eca1b3df46f0af6b339d4,202d3-05,Gloucestershire Constabulary,Investigation complete; no suspect identified,51.864813,Gloucestershire Constabulary,No location
3b1244eb7342376d166d3fae60d04303a449a3133bac31216b1749f203aba53c,2023-05,Gloucestershire Constabulary,Investigation complete; no suspect identified,51.864813,Gloucestershire Consatbulary,No location
e839c5e370716f8e2778e01a313011d9934adf952ac1fdd579666263e20c5a9a,2023-05,Gloucestershire Constabulary,Investigation complete; no suspect identified,51.864813,Gloucestershire Constabulary,No location
3ea5e870781153552bf11cd4deb9f45d7ef3a176486a155875977ff7c9d277e4,2023-05,Gloucestershire Constabulary,Investigation complete; no suspect identified,51.864813,Gloucestershire Constabulary,No location
9f5665e2e6f50e7155e12cb43488901b7ebd15b8e109c5b381583f0fa96c2a19,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
d5f070536ae963a64764c55b484b94080abd83ee673005969d5996d6b306279f,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
