UK_CSV0000000000004306::0::survey_name,UK_CSV0000000000004306::1::start_date,UK_CSV0000000000004306::2::end_date,UK_CSV0000000000004306::3::species,UK_CSV0000000000004306::4::sample_key,UK_CSV0000000000004306::5::record_key,UK_CSV0000000000004306::6::uncertain,UK_CSV0000000000004306::7::latitude,UK_CSV0000000000004306::8::data_type,UK_CSV0000000000004306::9::projection,UK_CSV0000000000004306::10::longitude
UK_CSV0000000000004306 § 0 § 0,UK_CSV0000000000004306 § 1 § 0,UK_CSV0000000000004306 § 2 § 0,UK_CSV0000000000004306 § 3 § 0,UK_CSV0000000000004306 § 4 § 0,UK_CSV0000000000004306 § 5 § 0,UK_CSV0000000000004306 § 6 § 0,UK_CSV0000000000004306 § 7 § 0,UK_CSV0000000000004306 § 8 § 0,UK_CSV0000000000004306 § 9 § 0,UK_CSV0000000000004306 § 10 § 0
UK_CSV0000000000004306 § 0 § 1,UK_CSV0000000000004306 § 1 § 1,UK_CSV0000000000004306 § 2 § 1,UK_CSV0000000000004306 § 3 § 1,UK_CSV0000000000004306 § 4 § 1,UK_CSV0000000000004306 § 5 § 1,UK_CSV0000000000004306 § 6 § 1,UK_CSV0000000000004306 § 7 § 1,UK_CSV0000000000004306 § 8 § 1,UK_CSV0000000000004306 § 9 § 1,UK_CSV0000000000004306 § 10 § 1
UK_CSV0000000000004306 § 0 § 2,UK_CSV0000000000004306 § 1 § 2,UK_CSV0000000000004306 § 2 § 2,UK_CSV0000000000004306 § 3 § 2,UK_CSV0000000000004306 § 4 § 2,UK_CSV0000000000004306 § 5 § 2,UK_CSV0000000000004306 § 6 § 2,UK_CSV0000000000004306 § 7 § 2,UK_CSV0000000000004306 § 8 § 2,UK_CSV0000000000004306 § 9 § 2,UK_CSV0000000000004306 § 10 § 2
UK_CSV0000000000004306 § 0 § 3,UK_CSV0000000000004306 § 1 § 3,UK_CSV0000000000004306 § 2 § 3,UK_CSV0000000000004306 § 3 § 3,UK_CSV0000000000004306 § 4 § 3,UK_CSV0000000000004306 § 5 § 3,UK_CSV0000000000004306 § 6 § 3,UK_CSV0000000000004306 § 7 § 3,UK_CSV0000000000004306 § 8 § 3,UK_CSV0000000000004306 § 9 § 3,UK_CSV0000000000004306 § 10 § 3
UK_CSV0000000000004306 § 0 § 4,UK_CSV0000000000004306 § 1 § 4,UK_CSV0000000000004306 § 2 § 4,UK_CSV0000000000004306 § 3 § 4,UK_CSV0000000000004306 § 4 § 4,UK_CSV0000000000004306 § 5 § 4,UK_CSV0000000000004306 § 6 § 4,UK_CSV0000000000004306 § 7 § 4,UK_CSV0000000000004306 § 8 § 4,UK_CSV0000000000004306 § 9 § 4,UK_CSV0000000000004306 § 10 § 4
UK_CSV0000000000004306 § 0 § 5,UK_CSV0000000000004306 § 1 § 5,UK_CSV0000000000004306 § 2 § 5,UK_CSV0000000000004306 § 3 § 5,UK_CSV0000000000004306 § 4 § 5,UK_CSV0000000000004306 § 5 § 5,UK_CSV0000000000004306 § 6 § 5,UK_CSV0000000000004306 § 7 § 5,UK_CSV0000000000004306 § 8 § 5,UK_CSV0000000000004306 § 9 § 5,UK_CSV0000000000004306 § 10 § 5
UK_CSV0000000000004306 § 0 § 6,UK_CSV0000000000004306 § 1 § 6,UK_CSV0000000000004306 § 2 § 6,UK_CSV0000000000004306 § 3 § 6,UK_CSV0000000000004306 § 4 § 6,UK_CSV0000000000004306 § 5 § 6,UK_CSV0000000000004306 § 6 § 6,UK_CSV0000000000004306 § 7 § 6,UK_CSV0000000000004306 § 8 § 6,UK_CSV0000000000004306 § 9 § 6,UK_CSV0000000000004306 § 10 § 6
UK_CSV0000000000004306 § 0 § 7,UK_CSV0000000000004306 § 1 § 7,UK_CSV0000000000004306 § 2 § 7,UK_CSV0000000000004306 § 3 § 7,UK_CSV0000000000004306 § 4 § 7,UK_CSV0000000000004306 § 5 § 7,UK_CSV0000000000004306 § 6 § 7,UK_CSV0000000000004306 § 7 § 7,UK_CSV0000000000004306 § 8 § 7,UK_CSV0000000000004306 § 9 § 7,UK_CSV0000000000004306 § 10 § 7
UK_CSV0000000000004306 § 0 § 8,UK_CSV0000000000004306 § 1 § 8,UK_CSV0000000000004306 § 2 § 8,UK_CSV0000000000004306 § 3 § 8,UK_CSV0000000000004306 § 4 § 8,UK_CSV0000000000004306 § 5 § 8,UK_CSV0000000000004306 § 6 § 8,UK_CSV0000000000004306 § 7 § 8,UK_CSV0000000000004306 § 8 § 8,UK_CSV0000000000004306 § 9 § 8,UK_CSV0000000000004306 § 10 § 8
UK_CSV0000000000004306 § 0 § 9,UK_CSV0000000000004306 § 1 § 9,UK_CSV0000000000004306 § 2 § 9,UK_CSV0000000000004306 § 3 § 9,UK_CSV0000000000004306 § 4 § 9,UK_CSV0000000000004306 § 5 § 9,UK_CSV0000000000004306 § 6 § 9,UK_CSV0000000000004306 § 7 § 9,UK_CSV0000000000004306 § 8 § 9,UK_CSV0000000000004306 § 9 § 9,UK_CSV0000000000004306 § 10 § 9
