source_table,source_row,source_column,occurrence_count,merged_row_indices,error_type
UK_CSV0000000000004768,0,reportedby,1,0,RANDOM_TYPO
UK_CSV0000000000004768,0,locationvalue,1,0,FD_VIOLATION
UK_CSV0000000000004768,2,reportedby,1,2,RANDOM_TYPO
UK_CSV0000000000004768,8,crimeid,1,8,FD_VIOLATION
UK_CSV0000000000004768,8,monthvalue,1,8,RANDOM_TYPO
UK_CSV0000000000004768,10,lsoacode,1,10,FD_VIOLATION
UK_CSV0000000000004768,11,crimeid,1,11,FD_VIOLATION
UK_CSV0000000000004768,12,monthvalue,1,12,RANDOM_TYPO
UK_CSV0000000000004768,13,crimeid,1,13,FD_VIOLATION
UK_CSV0000000000004768,13,lsoacode,1,13,FD_VIOLATION
UK_CSV0000000000004768,14,crimeid,1,14,FD_VIOLATION
UK_CSV0000000000004768,15,lsoacode,1,15,FD_VIOLATION
UK_CSV0000000000004768,16,crimeid,1,16,FD_VIOLATION
UK_CSV0000000000004768,16,lsoacode,1,16,FD_VIOLATION
UK_CSV0000000000004768,17,crimeid,1,17,FD_VIOLATION
UK_CSV0000000000004768,17,lsoacode,1,17,FD_VIOLATION
UK_CSV0000000000004768,18,crimeid,1,18,FD_VIOLATION
UK_CSV0000000000004768,18,lsoacode,1,18,FD_VIOLATION
UK_CSV0000000000004768,20,crimeid,1,20,FD_VIOLATION
UK_CSV0000000000004768,20,lsoacode,1,20,FD_VIOLATION
UK_CSV0000000000004768,21,crimeid,1,21,FD_VIOLATION
UK_CSV0000000000004768,21,lsoacode,1,21,FD_VIOLATION
UK_CSV0000000000004768,22,crimeid,1,22,FD_VIOLATION
UK_CSV0000000000004768,22,locationvalue,1,22,FD_VIOLATION
UK_CSV0000000000004768,22,lsoacode,1,22,FD_VIOLATION
UK_CSV0000000000004768,23,monthvalue,1,23,RANDOM_TYPO
UK_CSV0000000000004768,26,crimeid,1,26,FD_VIOLATION
UK_CSV0000000000004768,27,crimeid,1,27,FD_VIOLATION
UK_CSV0000000000004768,27,lsoacode,1,27,FD_VIOLATION
UK_CSV0000000000004768,29,crimeid,1,29,FD_VIOLATION
UK_CSV0000000000004768,29,lsoacode,1,29,FD_VIOLATION
UK_CSV0000000000004768,30,crimeid,1,30,FD_VIOLATION
UK_CSV0000000000004768,30,locationvalue,1,30,FD_VIOLATION
UK_CSV0000000000004768,30,lsoaname,1,30,FD_VIOLATION
UK_CSV0000000000004768,31,crimeid,1,31,FD_VIOLATION
UK_CSV0000000000004768,31,fallswithin,1,31,RANDOM_TYPO
UK_CSV0000000000004768,31,lsoaname,1,31,FD_VIOLATION
UK_CSV0000000000004768,32,outcometype,1,32,FD_VIOLATION
UK_CSV0000000000004768,33,crimeid,1,33,FD_VIOLATION
UK_CSV0000000000004768,33,lsoacode,1,33,FD_VIOLATION
UK_CSV0000000000004768,33,outcometype,1,33,FD_VIOLATION
UK_CSV0000000000004768,34,crimeid,1,34,FD_VIOLATION
UK_CSV0000000000004768,34,lsoaname,1,34,FD_VIOLATION
UK_CSV0000000000004768,35,crimeid,1,35,FD_VIOLATION
UK_CSV0000000000004768,35,monthvalue,1,35,RANDOM_TYPO
UK_CSV0000000000004768,35,lsoaname,1,35,FD_VIOLATION
UK_CSV0000000000004768,36,outcometype,1,36,FD_VIOLATION
UK_CSV0000000000004768,37,lsoaname,1,37,FD_VIOLATION
UK_CSV0000000000004768,38,crimeid,1,38,FD_VIOLATION
UK_CSV0000000000004768,38,reportedby,1,38,RANDOM_TYPO
