cell_id,table_id,column_id,row_number,column_name,source_table,source_row,source_column,error_type
50.0.0,50,0,0,questionnaire_title,UK_CSV0000000000006632,0,questionnaire_title,
50.1.0,50,1,0,species,UK_CSV0000000000006632,0,species,
50.2.0,50,2,0,aphia_id,UK_CSV0000000000006632,0,aphia_id,
50.3.0,50,3,0,date_type,UK_CSV0000000000006632,0,date_type,
50.4.0,50,4,0,abundance_sacforn,UK_CSV0000000000006632,0,abundance_sacforn,
50.5.0,50,5,0,end_date,UK_CSV0000000000006632,0,end_date,
50.6.0,50,6,0,sample_comment,UK_CSV0000000000006632,0,sample_comment,
50.7.0,50,7,0,survey_key,UK_CSV0000000000006632,0,survey_key,
50.8.0,50,8,0,projection,UK_CSV0000000000006632,0,projection,
50.9.0,50,9,0,start_date,UK_CSV0000000000006632,0,start_date,
50.0.1,50,0,1,questionnaire_title,UK_CSV0000000000006632,1,questionnaire_title,
50.1.1,50,1,1,species,UK_CSV0000000000006632,1,species,
50.2.1,50,2,1,aphia_id,UK_CSV0000000000006632,1,aphia_id,
50.3.1,50,3,1,date_type,UK_CSV0000000000006632,1,date_type,FD_VIOLATION
50.4.1,50,4,1,abundance_sacforn,UK_CSV0000000000006632,1,abundance_sacforn,
50.5.1,50,5,1,end_date,UK_CSV0000000000006632,1,end_date,
50.6.1,50,6,1,sample_comment,UK_CSV0000000000006632,1,sample_comment,
50.7.1,50,7,1,survey_key,UK_CSV0000000000006632,1,survey_key,
50.8.1,50,8,1,projection,UK_CSV0000000000006632,1,projection,
50.9.1,50,9,1,start_date,UK_CSV0000000000006632,1,start_date,
50.0.2,50,0,2,questionnaire_title,UK_CSV0000000000006632,2,questionnaire_title,
50.1.2,50,1,2,species,UK_CSV0000000000006632,2,species,
50.2.2,50,2,2,aphia_id,UK_CSV0000000000006632,2,aphia_id,
50.3.2,50,3,2,date_type,UK_CSV0000000000006632,2,date_type,
50.4.2,50,4,2,abundance_sacforn,UK_CSV0000000000006632,2,abundance_sacforn,
50.5.2,50,5,2,end_date,UK_CSV0000000000006632,2,end_date,
50.6.2,50,6,2,sample_comment,UK_CSV0000000000006632,2,sample_comment,
50.7.2,50,7,2,survey_key,UK_CSV0000000000006632,2,survey_key,
50.8.2,50,8,2,projection,UK_CSV0000000000006632,2,projection,
50.9.2,50,9,2,start_date,UK_CSV0000000000006632,2,start_date,
50.0.3,50,0,3,questionnaire_title,UK_CSV0000000000006632,3,questionnaire_title,
50.1.3,50,1,3,species,UK_CSV0000000000006632,3,species,
50.2.3,50,2,3,aphia_id,UK_CSV0000000000006632,3,aphia_id,
50.3.3,50,3,3,date_type,UK_CSV0000000000006632,3,date_type,
50.4.3,50,4,3,abundance_sacforn,UK_CSV0000000000006632,3,abundance_sacforn,
50.5.3,50,5,3,end_date,UK_CSV0000000000006632,3,end_date,
50.6.3,50,6,3,sample_comment,UK_CSV0000000000006632,3,sample_comment,
50.7.3,50,7,3,survey_key,UK_CSV0000000000006632,3,survey_key,
50.8.3,50,8,3,projection,UK_CSV0000000000006632,3,projection,
50.9.3,50,9,3,start_date,UK_CSV0000000000006632,3,start_date,
50.0.4,50,0,4,questionnaire_title,UK_CSV0000000000006632,4,questionnaire_title,
50.1.4,50,1,4,species,UK_CSV0000000000006632,4,species,
50.2.4,50,2,4,aphia_id,UK_CSV0000000000006632,4,aphia_id,
50.3.4,50,3,4,date_type,UK_CSV0000000000006632,4,date_type,
50.4.4,50,4,4,abundance_sacforn,UK_CSV0000000000006632,4,abundance_sacforn,
50.5.4,50,5,4,end_date,UK_CSV0000000000006632,4,end_date,
50.6.4,50,6,4,sample_comment,UK_CSV0000000000006632,4,sample_comment,
50.7.4,50,7,4,survey_key,UK_CSV0000000000006632,4,survey_key,
50.8.4,50,8,4,projection,UK_CSV0000000000006632,4,projection,RANDOM_TYPO
50.9.4,50,9,4,start_date,UK_CSV0000000000006632,4,start_date,
50.0.5,50,0,5,questionnaire_title,UK_CSV0000000000006632,5,questionnaire_title,
50.1.5,50,1,5,species,UK_CSV0000000000006632,5,species,FD_VIOLATION
50.2.5,50,2,5,aphia_id,UK_CSV0000000000006632,5,aphia_id,
50.3.5,50,3,5,date_type,UK_CSV0000000000006632,5,date_type,
50.4.5,50,4,5,abundance_sacforn,UK_CSV0000000000006632,5,abundance_sacforn,
50.5.5,50,5,5,end_date,UK_CSV0000000000006632,5,end_date,
50.6.5,50,6,5,sample_comment,UK_CSV0000000000006632,5,sample_comment,FD_VIOLATION
50.7.5,50,7,5,survey_key,UK_CSV0000000000006632,5,survey_key,
50.8.5,50,8,5,projection,UK_CSV0000000000006632,5,projection,
50.9.5,50,9,5,start_date,UK_CSV0000000000006632,5,start_date,FD_VIOLATION
50.0.6,50,0,6,questionnaire_title,UK_CSV0000000000006632,6,questionnaire_title,
