UK_CSV0000000000006632::0::questionnaire_title,UK_CSV0000000000006632::1::species,UK_CSV0000000000006632::2::aphia_id,UK_CSV0000000000006632::3::date_type,UK_CSV0000000000006632::4::abundance_sacforn,UK_CSV0000000000006632::5::end_date,UK_CSV0000000000006632::6::sample_comment,UK_CSV0000000000006632::7::survey_key,UK_CSV0000000000006632::8::projection,UK_CSV0000000000006632::9::start_date
UK_CSV0000000000006632 § 0 § 0,UK_CSV0000000000006632 § 1 § 0,UK_CSV0000000000006632 § 2 § 0,UK_CSV0000000000006632 § 3 § 0,UK_CSV0000000000006632 § 4 § 0,UK_CSV0000000000006632 § 5 § 0,UK_CSV0000000000006632 § 6 § 0,UK_CSV0000000000006632 § 7 § 0,UK_CSV0000000000006632 § 8 § 0,UK_CSV0000000000006632 § 9 § 0
UK_CSV0000000000006632 § 0 § 1,UK_CSV0000000000006632 § 1 § 1,UK_CSV0000000000006632 § 2 § 1,UK_CSV0000000000006632 § 3 § 1,UK_CSV0000000000006632 § 4 § 1,UK_CSV0000000000006632 § 5 § 1,UK_CSV0000000000006632 § 6 § 1,UK_CSV0000000000006632 § 7 § 1,UK_CSV0000000000006632 § 8 § 1,UK_CSV0000000000006632 § 9 § 1
UK_CSV0000000000006632 § 0 § 2,UK_CSV0000000000006632 § 1 § 2,UK_CSV0000000000006632 § 2 § 2,UK_CSV0000000000006632 § 3 § 2,UK_CSV0000000000006632 § 4 § 2,UK_CSV0000000000006632 § 5 § 2,UK_CSV0000000000006632 § 6 § 2,UK_CSV0000000000006632 § 7 § 2,UK_CSV0000000000006632 § 8 § 2,UK_CSV0000000000006632 § 9 § 2
UK_CSV0000000000006632 § 0 § 3,UK_CSV0000000000006632 § 1 § 3,UK_CSV0000000000006632 § 2 § 3,UK_CSV0000000000006632 § 3 § 3,UK_CSV0000000000006632 § 4 § 3,UK_CSV0000000000006632 § 5 § 3,UK_CSV0000000000006632 § 6 § 3,UK_CSV0000000000006632 § 7 § 3,UK_CSV0000000000006632 § 8 § 3,UK_CSV0000000000006632 § 9 § 3
UK_CSV0000000000006632 § 0 § 4,UK_CSV0000000000006632 § 1 § 4,UK_CSV0000000000006632 § 2 § 4,UK_CSV0000000000006632 § 3 § 4,UK_CSV0000000000006632 § 4 § 4,UK_CSV0000000000006632 § 5 § 4,UK_CSV0000000000006632 § 6 § 4,UK_CSV0000000000006632 § 7 § 4,UK_CSV0000000000006632 § 8 § 4,UK_CSV0000000000006632 § 9 § 4
UK_CSV0000000000006632 § 0 § 5,UK_CSV0000000000006632 § 1 § 5,UK_CSV0000000000006632 § 2 § 5,UK_CSV0000000000006632 § 3 § 5,UK_CSV0000000000006632 § 4 § 5,UK_CSV0000000000006632 § 5 § 5,UK_CSV0000000000006632 § 6 § 5,UK_CSV0000000000006632 § 7 § 5,UK_CSV0000000000006632 § 8 § 5,UK_CSV0000000000006632 § 9 § 5
UK_CSV0000000000006632 § 0 § 6,UK_CSV0000000000006632 § 1 § 6,UK_CSV0000000000006632 § 2 § 6,UK_CSV0000000000006632 § 3 § 6,UK_CSV0000000000006632 § 4 § 6,UK_CSV0000000000006632 § 5 § 6,UK_CSV0000000000006632 § 6 § 6,UK_CSV0000000000006632 § 7 § 6,UK_CSV0000000000006632 § 8 § 6,UK_CSV0000000000006632 § 9 § 6
UK_CSV0000000000006632 § 0 § 7,UK_CSV0000000000006632 § 1 § 7,UK_CSV0000000000006632 § 2 § 7,UK_CSV0000000000006632 § 3 § 7,UK_CSV0000000000006632 § 4 § 7,UK_CSV0000000000006632 § 5 § 7,UK_CSV0000000000006632 § 6 § 7,UK_CSV0000000000006632 § 7 § 7,UK_CSV0000000000006632 § 8 § 7,UK_CSV0000000000006632 § 9 § 7
UK_CSV0000000000006632 § 0 § 8,UK_CSV0000000000006632 § 1 § 8,UK_CSV0000000000006632 § 2 § 8,UK_CSV0000000000006632 § 3 § 8,UK_CSV0000000000006632 § 4 § 8,UK_CSV0000000000006632 § 5 § 8,UK_CSV0000000000006632 § 6 § 8,UK_CSV0000000000006632 § 7 § 8,UK_CSV0000000000006632 § 8 § 8,UK_CSV0000000000006632 § 9 § 8
