UK_CSV0000000000009641::0::record_key,UK_CSV0000000000009641::1::survey_key,UK_CSV0000000000009641::2::survey_name,UK_CSV0000000000009641::3::sample_key,UK_CSV0000000000009641::4::start_date,UK_CSV0000000000009641::5::end_date,UK_CSV0000000000009641::6::date_type,UK_CSV0000000000009641::7::location_name,UK_CSV0000000000009641::8::data_type,UK_CSV0000000000009641::9::latitude,UK_CSV0000000000009641::10::longitude,UK_CSV0000000000009641::11::projection,UK_CSV0000000000009641::12::aphia_id,UK_CSV0000000000009641::13::species,UK_CSV0000000000009641::14::uncertain,UK_CSV0000000000009641::15::abundance_sacforn,UK_CSV0000000000009641::16::is_dead,UK_CSV0000000000009641::17::sample_comment
UK_CSV0000000000009641 § 0 § 0,UK_CSV0000000000009641 § 1 § 0,UK_CSV0000000000009641 § 2 § 0,UK_CSV0000000000009641 § 3 § 0,UK_CSV0000000000009641 § 4 § 0,UK_CSV0000000000009641 § 5 § 0,UK_CSV0000000000009641 § 6 § 0,UK_CSV0000000000009641 § 7 § 0,UK_CSV0000000000009641 § 8 § 0,UK_CSV0000000000009641 § 9 § 0,UK_CSV0000000000009641 § 10 § 0,UK_CSV0000000000009641 § 11 § 0,UK_CSV0000000000009641 § 12 § 0,UK_CSV0000000000009641 § 13 § 0,UK_CSV0000000000009641 § 14 § 0,UK_CSV0000000000009641 § 15 § 0,UK_CSV0000000000009641 § 16 § 0,UK_CSV0000000000009641 § 17 § 0
UK_CSV0000000000009641 § 0 § 1,UK_CSV0000000000009641 § 1 § 1,UK_CSV0000000000009641 § 2 § 1,UK_CSV0000000000009641 § 3 § 1,UK_CSV0000000000009641 § 4 § 1,UK_CSV0000000000009641 § 5 § 1,UK_CSV0000000000009641 § 6 § 1,UK_CSV0000000000009641 § 7 § 1,UK_CSV0000000000009641 § 8 § 1,UK_CSV0000000000009641 § 9 § 1,UK_CSV0000000000009641 § 10 § 1,UK_CSV0000000000009641 § 11 § 1,UK_CSV0000000000009641 § 12 § 1,UK_CSV0000000000009641 § 13 § 1,UK_CSV0000000000009641 § 14 § 1,UK_CSV0000000000009641 § 15 § 1,UK_CSV0000000000009641 § 16 § 1,UK_CSV0000000000009641 § 17 § 1
UK_CSV0000000000009641 § 0 § 2,UK_CSV0000000000009641 § 1 § 2,UK_CSV0000000000009641 § 2 § 2,UK_CSV0000000000009641 § 3 § 2,UK_CSV0000000000009641 § 4 § 2,UK_CSV0000000000009641 § 5 § 2,UK_CSV0000000000009641 § 6 § 2,UK_CSV0000000000009641 § 7 § 2,UK_CSV0000000000009641 § 8 § 2,UK_CSV0000000000009641 § 9 § 2,UK_CSV0000000000009641 § 10 § 2,UK_CSV0000000000009641 § 11 § 2,UK_CSV0000000000009641 § 12 § 2,UK_CSV0000000000009641 § 13 § 2,UK_CSV0000000000009641 § 14 § 2,UK_CSV0000000000009641 § 15 § 2,UK_CSV0000000000009641 § 16 § 2,UK_CSV0000000000009641 § 17 § 2
UK_CSV0000000000009641 § 0 § 3,UK_CSV0000000000009641 § 1 § 3,UK_CSV0000000000009641 § 2 § 3,UK_CSV0000000000009641 § 3 § 3,UK_CSV0000000000009641 § 4 § 3,UK_CSV0000000000009641 § 5 § 3,UK_CSV0000000000009641 § 6 § 3,UK_CSV0000000000009641 § 7 § 3,UK_CSV0000000000009641 § 8 § 3,UK_CSV0000000000009641 § 9 § 3,UK_CSV0000000000009641 § 10 § 3,UK_CSV0000000000009641 § 11 § 3,UK_CSV0000000000009641 § 12 § 3,UK_CSV0000000000009641 § 13 § 3,UK_CSV0000000000009641 § 14 § 3,UK_CSV0000000000009641 § 15 § 3,UK_CSV0000000000009641 § 16 § 3,UK_CSV0000000000009641 § 17 § 3
UK_CSV0000000000009641 § 0 § 4,UK_CSV0000000000009641 § 1 § 4,UK_CSV0000000000009641 § 2 § 4,UK_CSV0000000000009641 § 3 § 4,UK_CSV0000000000009641 § 4 § 4,UK_CSV0000000000009641 § 5 § 4,UK_CSV0000000000009641 § 6 § 4,UK_CSV0000000000009641 § 7 § 4,UK_CSV0000000000009641 § 8 § 4,UK_CSV0000000000009641 § 9 § 4,UK_CSV0000000000009641 § 10 § 4,UK_CSV0000000000009641 § 11 § 4,UK_CSV0000000000009641 § 12 § 4,UK_CSV0000000000009641 § 13 § 4,UK_CSV0000000000009641 § 14 § 4,UK_CSV0000000000009641 § 15 § 4,UK_CSV0000000000009641 § 16 § 4,UK_CSV0000000000009641 § 17 § 4
UK_CSV0000000000009641 § 0 § 5,UK_CSV0000000000009641 § 1 § 5,UK_CSV0000000000009641 § 2 § 5,UK_CSV0000000000009641 § 3 § 5,UK_CSV0000000000009641 § 4 § 5,UK_CSV0000000000009641 § 5 § 5,UK_CSV0000000000009641 § 6 § 5,UK_CSV0000000000009641 § 7 § 5,UK_CSV0000000000009641 § 8 § 5,UK_CSV0000000000009641 § 9 § 5,UK_CSV0000000000009641 § 10 § 5,UK_CSV0000000000009641 § 11 § 5,UK_CSV0000000000009641 § 12 § 5,UK_CSV0000000000009641 § 13 § 5,UK_CSV0000000000009641 § 14 § 5,UK_CSV0000000000009641 § 15 § 5,UK_CSV0000000000009641 § 16 § 5,UK_CSV0000000000009641 § 17 § 5
UK_CSV0000000000009641 § 0 § 6,UK_CSV0000000000009641 § 1 § 6,UK_CSV0000000000009641 § 2 § 6,UK_CSV0000000000009641 § 3 § 6,UK_CSV0000000000009641 § 4 § 6,UK_CSV0000000000009641 § 5 § 6,UK_CSV0000000000009641 § 6 § 6,UK_CSV0000000000009641 § 7 § 6,UK_CSV0000000000009641 § 8 § 6,UK_CSV0000000000009641 § 9 § 6,UK_CSV0000000000009641 § 10 § 6,UK_CSV0000000000009641 § 11 § 6,UK_CSV0000000000009641 § 12 § 6,UK_CSV0000000000009641 § 13 § 6,UK_CSV0000000000009641 § 14 § 6,UK_CSV0000000000009641 § 15 § 6,UK_CSV0000000000009641 § 16 § 6,UK_CSV0000000000009641 § 17 § 6
UK_CSV0000000000009641 § 0 § 7,UK_CSV0000000000009641 § 1 § 7,UK_CSV0000000000009641 § 2 § 7,UK_CSV0000000000009641 § 3 § 7,UK_CSV0000000000009641 § 4 § 7,UK_CSV0000000000009641 § 5 § 7,UK_CSV0000000000009641 § 6 § 7,UK_CSV0000000000009641 § 7 § 7,UK_CSV0000000000009641 § 8 § 7,UK_CSV0000000000009641 § 9 § 7,UK_CSV0000000000009641 § 10 § 7,UK_CSV0000000000009641 § 11 § 7,UK_CSV0000000000009641 § 12 § 7,UK_CSV0000000000009641 § 13 § 7,UK_CSV0000000000009641 § 14 § 7,UK_CSV0000000000009641 § 15 § 7,UK_CSV0000000000009641 § 16 § 7,UK_CSV0000000000009641 § 17 § 7
UK_CSV0000000000009641 § 0 § 8,UK_CSV0000000000009641 § 1 § 8,UK_CSV0000000000009641 § 2 § 8,UK_CSV0000000000009641 § 3 § 8,UK_CSV0000000000009641 § 4 § 8,UK_CSV0000000000009641 § 5 § 8,UK_CSV0000000000009641 § 6 § 8,UK_CSV0000000000009641 § 7 § 8,UK_CSV0000000000009641 § 8 § 8,UK_CSV0000000000009641 § 9 § 8,UK_CSV0000000000009641 § 10 § 8,UK_CSV0000000000009641 § 11 § 8,UK_CSV0000000000009641 § 12 § 8,UK_CSV0000000000009641 § 13 § 8,UK_CSV0000000000009641 § 14 § 8,UK_CSV0000000000009641 § 15 § 8,UK_CSV0000000000009641 § 16 § 8,UK_CSV0000000000009641 § 17 § 8
