record_key,survey_key,survey_name,sample_key,start_date,end_date,date_type,location_name,data_type,latitude,longitude,projection,aphia_id,species,uncertain,abundance_sacforn,is_dead,sample_comment
JNCCMNCR10407216,JNCCMNCR10000465,1994 MNCR Lizard Peninsula and Falmouth Bay sublittoral survey,JNCCMNCR10021901,1994-07-31,1994-07-31,D,"Wagland Reef, E of The Manacles (Coverack)",Point,50.0399342352186,-5.04004951061186,WGS84,139523.0,Dendronotus frondosus,False,R,False,"Steep bedrock in the lower infralittoral was characterised by Metridium senile and Corynactis viridis with Alcyonium digitatum, hydroids and algal turf on the flatter areas. Among the algal turf Aglaothamnion priceanum (i.d. by C. Maggs) was found. This is the first record for England and has not been found outside of north Scotland and Mayo."
JNCCMNCR10406922,JNCCMNCR10000465,1994 MNCR Lizard Peninsula and Falmouth Bay sublittoral survey,JNCCMNCR10021895,1994-07-28,1994-07-28,D,"Jangye-ryn, NW of Poldhu Cove (Mullion)",Point,50.0379133110013,-5.27514340414358,WGS84,126792.0,Callionymus lyra,False,R,False,"Low lying sand covered bedrock with foliose algae and some kelp. Dense Cladostephus spongiosus a feature and many other algal species in lesser abundance. Of interest were Scinaia forcellata, Jania corniculata, Taonia atomaria and the very rarely recorded Platoma marginifera. Ceramium secundatum was also present."
JNCCMNCR10407520,JNCCMNCR10000465,1994 MNCR Lizard Peninsula and Falmouth Bay sublittoral survey,JNCCMNCR10021907,1994-07-31,1994-07-31,***,Pencra Head (Coverack),Point,50.0611167853774,-5.05452669601298,WGS84,126792.0,Callionymus lyra,False,,False,"Aglaozonia (asexual cutleria), Bryozoa indet crusts, Scinaia trigona has been given a nominal abundance value of Present for this record as in Arev it had no abundance value. Lower infralittoral mixed substrata between 12.5 and 13.9 m bcd. Angular and rounded boulders (5 m x 2 m) were mixed with pebbles, cobbles and silty gravel with occasional outcrops of bedrock. Red and brown algae provided the main cover on the upper surfaces with encrusting species on steeper faces, all with a silty covering."
JNCCMNCR10412563,JNCCMNCR10000465,1994 MNCR Lizard Peninsula and Falmouth Bay sublittoral survey,JNCCMNCR10022093,1994-08-01,1994-08-01,D,Nare Head (shallow transect) (Coverack),Point,50.0812433699776,-5.06908787965913,WGS84,126792.0,Callionymus lyra,False,O,False,"Diplosoma has been removed from the species list for this record as more specific related taxa were also present, these are now marked as characterising. Diplosoma has been given a nominal abundance value of Present for this record as in Arev it had no abundance value. Upper infralittoral kelp forest dominated by Laminaria hyperborea with Saccorhiza polyschides and a dense understorey of red algae. The dominant epiphytes were Delesseria sanguinea and Palmaria palmata, with sponges and didemnids found on the vertical bedrock surfaces."
JNCCMNCR10412620,JNCCMNCR10000465,1994 MNCR Lizard Peninsulaand Falmouth Bay sublittoral survey,JNCCMNCR10022094,1994-08-02,1994-08-02,D,Black Head (Coverack),Point,49.9976292374873,-5.09767101588957,WGS84,883.0,Polychaeta,False,R,False,"Tide-swept, wave exposed bedrock plain with nearby coarse, clean sediment. Corynactis viridis and Alcyonium digitatum were the most abundant epifauna with a turf of hydroids and bryozoans including Nemertesia antennina, Cellaria fistulosa and Pentapora foliacea. Patches of Cliona celata plus other massive and branching sponges were present along with one colony of Eunicella verrucosa."
JNCCMNCR10406516,JNCCMNCR10000465,1994 MNCR Lizard Penicnsula and Falmouth Bay sublittoral survey,JNCCMNCR10021887,1994-07-28,1994-07-28,D,Inshore Kynance Cove (Lizard Point),Point,49.9662681118356,-5.2185311865692,WGS84,883.0,Ahnfeltia plicata,False,mO,False,"Upper infralittoral bedrock outcrops dominated by Laminaria hyperborea with red algae and scoured by adjacent sand. Sand filled gullies were heavily scoured, with Pomatoceros spp. and sand tolerant algae. Vertical and overhanging rocks dominated by a Bugula spp. turf."
JNCCMNCR10406652,JNCCMNCR10000465,1994 MNCR Lizard Peninsula and Falmouth Bay sublittoral survey,JNCCMNCR10022093,1994-07-29,1994-07-29,D,Bumble Rock (Lizard Point),Point,49.9589514223073,-5.19684636128202,WGS84,144422.0,Ahnfeltia plicata,False,O,False,"Upper infralittoral extensive flat bedrock with sandy gullies 2 m deep and vertical faces with crevices. Dense foliose algae gave 90% cover and open kelp forest. Conspicuous species include Heterosiphonia plumosa, Dictyota dichotoma, Dilsea carnosa. Pseudolithoderma extensum covered much of the underlying rock. Interesting vertical faces. Interesting algae included Scinaia spp."
JNCCMNCR10412620,JNCCMNCR10000465,1994 MNCR Lizard Peninsula and Falmouth Bay sublittoral survey,JNCCMNCR10021887,199407-28,1994-07-28,D,"Jangye-ryn, NW of Poldhu Cove (Mullion)",Point,50.0379133110013,-5.27514340414358,WGS84,144422.0,Ahnfeltia plicata,False,O,False,"Low lying sand covered bedrock with foliose algae and some kelp. Dense Cladostephus spongiosus a feature and many other algal species in lesser abundance. Of interest were Scinaia forcellata, Jania corniculata, Taonia atomaria and the very rarely recorded Platoma marginifera. Ceramium secundatum was also present."
JNCCMNCR10412570,JNCCMNCR10000465,1994 MNCR Lizard Peninsula and Falmouth Bay sublittoral survey,JNCCMNCR10022093,1994-08-01,1994-08-01,D,Nare Head (shallow transect) (Coverack),Point,50.0812433699776,-5.06908787965913,WGS84,144422.0,Ahnfeltia plicata,False,O,False,"Diplosoma has been removed from the species list for this record as more specific related taxa were also present, these are now marked as characterising. Diplosoma has been given a nominal abundance value of Present for this record as in Arev it had no abundance value. Upper infralittoral kelp forest dominated by Laminaria hyperborea with Saccorhiza polyschides and a dense understorey of red algae. The dominant epiphytes were Delesseria sanguinea and Palmaria palmata, with sponges and didemnids found on the vertical bedrock surfaces."
JNCCMNCR10412563,JNCCMNCR10000465,1994 MNCR Lizard Peninsula and Falmouth Bay sublittoral survey,JNCCMNCR10022096,1994-08-02,1994-08-02,D,SW of Great Wrea (Coverack),Point,49.9589514223073,-5.07671272728978,WGS84,126792.0,Ahnfeltia plicata,False,O,False,Antithamnion has been given a nominal abundance value of Present for this record as in Arev it had no abundance value. Low lying bedrock outcrops about 1 m high protruding through a covering of coarse sand (to depth of 15 cm). The rounded outcrops were covered by a dense kelp forest with various red and brown foliose algae forming an understorey with patches of encrusting non-calcareous reds. Most animal life was on the holdfasts. Poor mobile fauna present. The sediment was virtually devoid of life but much plant debris was suspended above it.
