UK_CSV0000000000000246__4::0::procedurevalue,UK_CSV0000000000000246__4::1::hip_replacement_pre_opq_stairs | UK_CSV0000000000003896__22::2::pre_opq_discomfort,UK_CSV0000000000000246__4::2::post_opqeq_five_d_index | UK_CSV0000000000003896__22::5::varicose_veineq_five_d_index,UK_CSV0000000000000246__4::3::kidney_disease,UK_CSV0000000000000246__4::4::hip_replacementeq_five_d_index_post_opq_predicted,UK_CSV0000000000000246__4::5::hip_replacement_post_opq_pain,UK_CSV0000000000000246__4::6::heart_disease,UK_CSV0000000000000246__4::7::hip_replacement_post_opq_limping | UK_CSV0000000000003896__22::3::varicose_vein_post_opq_right_pain_days,UK_CSV0000000000000246__4::8::hip_replacement_post_opq_transport | UK_CSV0000000000003896__22::10::varicose_vein_pre_opq_swelling,UK_CSV0000000000000246__4::9::pre_opq_disability | UK_CSV0000000000003896__22::6::varicose_vein_pre_opq_left_discolour,UK_CSV0000000000000246__4::10::post_opq_activity | UK_CSV0000000000003896__22::7::post_opq_discomfort,UK_CSV0000000000000246__4::11::pre_opqeq_five_d_index_profile,UK_CSV0000000000000246__4::12::hip_replacement_post_opq_washing | UK_CSV0000000000003896__22::0::varicose_vein_post_opq_left_support,UK_CSV0000000000000246__4::13::stroke,UK_CSV0000000000000246__4::14::pre_opq_mobility | UK_CSV0000000000003896__22::1::post_opq_anxiety,UK_CSV0000000000000246__4::15::hip_replacement_pre_opq_night_pain | UK_CSV0000000000003896__22::11::varicose_vein_post_opq_right_discolour,UK_CSV0000000000003896__22::4::varicose_vein_pre_opq_score,UK_CSV0000000000003896__22::8::pre_opqeq_five_d_index_profile,UK_CSV0000000000003896__22::9::post_opqeq_five_d_index_profile
UK_CSV0000000000000246__4 § 0 § 0,UK_CSV0000000000000246__4 § 1 § 0,UK_CSV0000000000000246__4 § 2 § 0,UK_CSV0000000000000246__4 § 3 § 0,UK_CSV0000000000000246__4 § 4 § 0,UK_CSV0000000000000246__4 § 5 § 0,UK_CSV0000000000000246__4 § 6 § 0,UK_CSV0000000000000246__4 § 7 § 0,UK_CSV0000000000000246__4 § 8 § 0,UK_CSV0000000000000246__4 § 9 § 0,UK_CSV0000000000000246__4 § 10 § 0,UK_CSV0000000000000246__4 § 11 § 0,UK_CSV0000000000000246__4 § 12 § 0,UK_CSV0000000000000246__4 § 13 § 0,UK_CSV0000000000000246__4 § 14 § 0,UK_CSV0000000000000246__4 § 15 § 0,,,
UK_CSV0000000000000246__4 § 0 § 1,UK_CSV0000000000000246__4 § 1 § 1,UK_CSV0000000000000246__4 § 2 § 1,UK_CSV0000000000000246__4 § 3 § 1,UK_CSV0000000000000246__4 § 4 § 1,UK_CSV0000000000000246__4 § 5 § 1,UK_CSV0000000000000246__4 § 6 § 1,UK_CSV0000000000000246__4 § 7 § 1,UK_CSV0000000000000246__4 § 8 § 1,UK_CSV0000000000000246__4 § 9 § 1,UK_CSV0000000000000246__4 § 10 § 1,UK_CSV0000000000000246__4 § 11 § 1,UK_CSV0000000000000246__4 § 12 § 1,UK_CSV0000000000000246__4 § 13 § 1,UK_CSV0000000000000246__4 § 14 § 1,UK_CSV0000000000000246__4 § 15 § 1,,,
UK_CSV0000000000000246__4 § 0 § 2,UK_CSV0000000000000246__4 § 1 § 2,UK_CSV0000000000000246__4 § 2 § 2,UK_CSV0000000000000246__4 § 3 § 2,UK_CSV0000000000000246__4 § 4 § 2,UK_CSV0000000000000246__4 § 5 § 2,UK_CSV0000000000000246__4 § 6 § 2,UK_CSV0000000000000246__4 § 7 § 2,UK_CSV0000000000000246__4 § 8 § 2,UK_CSV0000000000000246__4 § 9 § 2,UK_CSV0000000000000246__4 § 10 § 2,UK_CSV0000000000000246__4 § 11 § 2,UK_CSV0000000000000246__4 § 12 § 2,UK_CSV0000000000000246__4 § 13 § 2,UK_CSV0000000000000246__4 § 14 § 2,UK_CSV0000000000000246__4 § 15 § 2,,,
UK_CSV0000000000000246__4 § 0 § 3,UK_CSV0000000000000246__4 § 1 § 3,UK_CSV0000000000000246__4 § 2 § 3,UK_CSV0000000000000246__4 § 3 § 3,UK_CSV0000000000000246__4 § 4 § 3,UK_CSV0000000000000246__4 § 5 § 3,UK_CSV0000000000000246__4 § 6 § 3,UK_CSV0000000000000246__4 § 7 § 3,UK_CSV0000000000000246__4 § 8 § 3,UK_CSV0000000000000246__4 § 9 § 3,UK_CSV0000000000000246__4 § 10 § 3,UK_CSV0000000000000246__4 § 11 § 3,UK_CSV0000000000000246__4 § 12 § 3,UK_CSV0000000000000246__4 § 13 § 3,UK_CSV0000000000000246__4 § 14 § 3,UK_CSV0000000000000246__4 § 15 § 3,,,
UK_CSV0000000000000246__4 § 0 § 4,UK_CSV0000000000000246__4 § 1 § 4,UK_CSV0000000000000246__4 § 2 § 4,UK_CSV0000000000000246__4 § 3 § 4,UK_CSV0000000000000246__4 § 4 § 4,UK_CSV0000000000000246__4 § 5 § 4,UK_CSV0000000000000246__4 § 6 § 4,UK_CSV0000000000000246__4 § 7 § 4,UK_CSV0000000000000246__4 § 8 § 4,UK_CSV0000000000000246__4 § 9 § 4,UK_CSV0000000000000246__4 § 10 § 4,UK_CSV0000000000000246__4 § 11 § 4,UK_CSV0000000000000246__4 § 12 § 4,UK_CSV0000000000000246__4 § 13 § 4,UK_CSV0000000000000246__4 § 14 § 4,UK_CSV0000000000000246__4 § 15 § 4,,,
UK_CSV0000000000000246__4 § 0 § 5,UK_CSV0000000000000246__4 § 1 § 5,UK_CSV0000000000000246__4 § 2 § 5,UK_CSV0000000000000246__4 § 3 § 5,UK_CSV0000000000000246__4 § 4 § 5,UK_CSV0000000000000246__4 § 5 § 5,UK_CSV0000000000000246__4 § 6 § 5,UK_CSV0000000000000246__4 § 7 § 5,UK_CSV0000000000000246__4 § 8 § 5,UK_CSV0000000000000246__4 § 9 § 5,UK_CSV0000000000000246__4 § 10 § 5,UK_CSV0000000000000246__4 § 11 § 5,UK_CSV0000000000000246__4 § 12 § 5,UK_CSV0000000000000246__4 § 13 § 5,UK_CSV0000000000000246__4 § 14 § 5,UK_CSV0000000000000246__4 § 15 § 5,,,
UK_CSV0000000000000246__4 § 0 § 6,UK_CSV0000000000000246__4 § 1 § 6,UK_CSV0000000000000246__4 § 2 § 6,UK_CSV0000000000000246__4 § 3 § 6,UK_CSV0000000000000246__4 § 4 § 6,UK_CSV0000000000000246__4 § 5 § 6,UK_CSV0000000000000246__4 § 6 § 6,UK_CSV0000000000000246__4 § 7 § 6,UK_CSV0000000000000246__4 § 8 § 6,UK_CSV0000000000000246__4 § 9 § 6,UK_CSV0000000000000246__4 § 10 § 6,UK_CSV0000000000000246__4 § 11 § 6,UK_CSV0000000000000246__4 § 12 § 6,UK_CSV0000000000000246__4 § 13 § 6,UK_CSV0000000000000246__4 § 14 § 6,UK_CSV0000000000000246__4 § 15 § 6,,,
UK_CSV0000000000000246__4 § 0 § 7,UK_CSV0000000000000246__4 § 1 § 7,UK_CSV0000000000000246__4 § 2 § 7,UK_CSV0000000000000246__4 § 3 § 7,UK_CSV0000000000000246__4 § 4 § 7,UK_CSV0000000000000246__4 § 5 § 7,UK_CSV0000000000000246__4 § 6 § 7,UK_CSV0000000000000246__4 § 7 § 7,UK_CSV0000000000000246__4 § 8 § 7,UK_CSV0000000000000246__4 § 9 § 7,UK_CSV0000000000000246__4 § 10 § 7,UK_CSV0000000000000246__4 § 11 § 7,UK_CSV0000000000000246__4 § 12 § 7,UK_CSV0000000000000246__4 § 13 § 7,UK_CSV0000000000000246__4 § 14 § 7,UK_CSV0000000000000246__4 § 15 § 7,,,
UK_CSV0000000000000246__4 § 0 § 8,UK_CSV0000000000000246__4 § 1 § 8,UK_CSV0000000000000246__4 § 2 § 8,UK_CSV0000000000000246__4 § 3 § 8,UK_CSV0000000000000246__4 § 4 § 8,UK_CSV0000000000000246__4 § 5 § 8,UK_CSV0000000000000246__4 § 6 § 8,UK_CSV0000000000000246__4 § 7 § 8,UK_CSV0000000000000246__4 § 8 § 8,UK_CSV0000000000000246__4 § 9 § 8,UK_CSV0000000000000246__4 § 10 § 8,UK_CSV0000000000000246__4 § 11 § 8,UK_CSV0000000000000246__4 § 12 § 8,UK_CSV0000000000000246__4 § 13 § 8,UK_CSV0000000000000246__4 § 14 § 8,UK_CSV0000000000000246__4 § 15 § 8,,,
