cell_id,table_id,column_id,row_number,column_name,old_value,new_value,error_type,source_table,source_row,source_column
11.2.0,11,2,0,reportedby,Glucestershire Constabulary,Gloucestershire Constabulary,RANDOM_TYPO,UK_CSV0000000000001793,0,reportedby
11.3.3,11,3,3,fallswithin,Gloucetershire Constabulary,Gloucestershire Constabulary,RANDOM_TYPO,UK_CSV0000000000001793,3,fallswithin
11.1.11,11,1,11,monthvalue_UK_CSV0000000000001793,2032-04,2023-04,RANDOM_TYPO,UK_CSV0000000000001793,11,monthvalue
11.1.20,11,1,20,monthvalue_UK_CSV0000000000001793,202-04,2023-04,RANDOM_TYPO,UK_CSV0000000000001793,20,monthvalue
11.1.23,11,1,23,monthvalue_UK_CSV0000000000001793,2023h-04,2023-04,RANDOM_TYPO,UK_CSV0000000000001793,23,monthvalue
11.3.23,11,3,23,fallswithin,Gloucestershire onstabulary,Gloucestershire Constabulary,RANDOM_TYPO,UK_CSV0000000000001793,23,fallswithin
11.2.25,11,2,25,reportedby,Glocuestershire Constabulary,Gloucestershire Constabulary,RANDOM_TYPO,UK_CSV0000000000001793,25,reportedby
11.6.25,11,6,25,locationvalue,No olcation,No location,FD_VIOLATION,UK_CSV0000000000001793,25,locationvalue
11.9.25,11,9,25,outcometype,Unable t prosecute suspect,Unable to prosecute suspect,FD_VIOLATION,UK_CSV0000000000001793,25,outcometype
11.8.27,11,8,27,lsoaname,Cheltenham 004D,Gloucester 004F,FD_VIOLATION,UK_CSV0000000000001793,27,lsoaname
11.3.28,11,3,28,fallswithin,Gloucestgershire Constabulary,Gloucestershire Constabulary,RANDOM_TYPO,UK_CSV0000000000001793,28,fallswithin
11.6.28,11,6,28,locationvalue,oN location,No location,FD_VIOLATION,UK_CSV0000000000001793,28,locationvalue
11.8.30,11,8,30,lsoaname,Cheltenham 009B,Gloucester 004F,FD_VIOLATION,UK_CSV0000000000001793,30,lsoaname
11.8.31,11,8,31,lsoaname,Cotswold 005D,Gloucester 004F,FD_VIOLATION,UK_CSV0000000000001793,31,lsoaname
11.9.32,11,9,32,outcometype,Ungable to prosecute suspect,Unable to prosecute suspect,FD_VIOLATION,UK_CSV0000000000001793,32,outcometype
11.6.34,11,6,34,locationvalue,Nfo location,No location,FD_VIOLATION,UK_CSV0000000000001793,34,locationvalue
11.8.34,11,8,34,lsoaname,Cotswold 008A,Gloucester 004F,FD_VIOLATION,UK_CSV0000000000001793,34,lsoaname
