crimeid_UK_CSV0000000000007276,monthvalue_UK_CSV0000000000007276,reportedby,fallswithin,longitude_UK_CSV0000000000007276,latitude_UK_CSV0000000000007276,locationvalue_UK_CSV0000000000007276,lsoacode,lsoaname,outcometype,crimeid_UK_CSV0000000000010195,monthvalue_UK_CSV0000000000010195,longitude_UK_CSV0000000000010195,latitude_UK_CSV0000000000010195,locationvalue_UK_CSV0000000000010195
6cd6d79492a62e32d7155b560b6946b3ed9fcac256250718c6202a80c059c0f9,2022-03,South Wales Police,South Wales Police,-3.562601,51.532832,No location,W01001939,Cardiff 032F,Investigation complete; no suspect identified,,,,,
6e5f5c0ac8975f671656f946f9b0873d33979d095a6037d437a5f2272f8c1fab,2022-03,South Wales Police,South Wales Police,-3.562601,51.532832,No location,W01001939,Cardiff 032F,Investigation complete; no suspect identified,,,,,
985e6c002b7f567b28d716e2fe64dbf268d24c19a25c864f32b46cda7589ce17,2022-03,South Wales Police,South Wales Police,-3.562601,51.532832,No location,W01001939,Cardiff 032F,Investigation complete; no suspect identified,,,,,
2f47051b7be84f3878a04ffd30cea9a0aed5105a94b2e250c38760bec52fa150,2022-03,South Wales Police,South Wales Police,-3.562601,51.532832,No location,W01001939,Cardiff 032F,Investigation complete; no suspect identified,,,,,
bc0c9224586d57e101f4680daf0b76a4f4a29885af2b5c1d961dbb11dff6aba5,2022-03,South Wales Police,South Wales Police,-3.562601,51.532832,No location,W01001939,Cardiff 032F,Investigation complete; no suspect identified,,,,,
ff5249e5f6bef64b75db0e31b8d8d95a4351aa8d68e335a303fc0680bbfe37cf,2022-03,South Wales Police,South Wales Police,-3.562601,51.532832,No location,W01001939,Cardiff 032F,Investigation complete; no suspect identified,,,,,
114a36cbe9775966b7f79f88bee7713fb792c8714baa3eb9002a601e649eed6b,2022-03,South Wales Police,South Wales Police,-3.562601,51.532832,No location,W01001939,Cardiff 032F,Investigation complete; no suspect identified,,,,,
346208052acb27cf896d8a96f3aaf7ffb4044392ca74e61f2189f3e74a291b19,2022-03,South Wales Police,South Wales Police,-3.562601,51.532832,No location,W01001939,Cardiff 032F,Investigation complete; no suspect identified,,,,,
59ddecc1c1946af8f3502faa24542827c77afbf773e991bcefe799d2a45033cd,2022-03,South Wales Police,South Wales Police,-3.562601,51.532832,No location,W01001939,Cardiff 032F,Investigation complete; no suspect identified,,,,,
125b2e34e5c1eb7d61271d29fed5041578d4dcffc7cdd161dcc5732c6443f006,2022-03,South Wales Police,South Wales Police,-3.562601,51.532832,No location,W01001939,Cardiff 032F,Investigation complete; no suspect identified,,,,,
6a5c9dfa1299c111439faec667bc177cfef64516679de5ecca00187fe14628a0,2022-03,South Wales Police,South Wales Police,-3.562601,51.532832,No location,W01001939,Cardiff 032F,Investigation complete; no suspect identified,,,,,
a2b08abbdae15feb8d69b2fe940fa26246e58b69ea92f4c943e1e34021c376e5,2022-03,South Wales Police,South Wales Police,-3.562601,51.532832,No location,W01001939,Cardiff 032F,Investigation complete; no suspect identified,,,,,
620911f90978520fbfa55e014759c0898191af2b1f6c9d52230ce7ef2d8ccc43,2022-03,South Wales Police,South Wales Police,-3.129319,51.533003,On or near LIDDEL CLOSE,W01001843,Cardiff 003C,Investigation complete; no suspect identified,,,,,
996a383eb4986f712bdbbf11eb31b57482e45a845a3bd48c7e04ce473b34654f,2022-03,South Wales Police,South Wales Police,-3.562601,51.532832,No location,W01001939,Cardiff 032F,Investigation complete; no suspect identified,,,,,
4304f99d9aba7d7b768fe3305e0f35f0ebcac1a422160c52d163cafa440bdb87,2022-03,South Wales Police,South Wales Police,-3.562601,51.532832,No location,W01001939,Cardiff 032F,Investigation complete; no suspect identified,,,,,
