order_id,customer_id,location_code,location_id,total_cost,shipping_length,region_code,region_name,package_length,package_area
4598,A839BX,E00003876,E09000006,67432.184702,2009.34164701,A1,Urban major conurbation,0.0245846353463522,1.35267719840107e-05
ORD002314,78521,E00046832,E08000025,75000.00,1283.51738979,A1,Urban major conurbation,0.0150794926455206,7.87030674503228e-06
ORD98247,CUSTID12345,E00086273,E06000044,18273.450912,719.321638761213,C1,Urban city and town,0.0083087649569711,2.42717160218527e-06
ORD-98765,78245,E00016532,E09000023,18392.37526,902.812727852285,A1,Urban major conurbation,0.0099578741420903,3.54866252301778e-06
ORD-98234,523980,E00169124,E07000004,378194.367092,4090.90270669,E1,Rural village,0.0506240434983344,0.0001117591949861
ORD-98765,CUST567890,E00106087,E06000047,"$252,894.07",1977.49244332,D1,Rural town and fringe,0.0225782956741365,2.46550754931593e-05
8349B1,CST20231234,E00071468,E06000020,256789.997432,1985.12886161,C1,Urban city and town,0.023891844410046,1.74668369814278e-05
ORD19859,48392,E00019820,E09000028,5600.99,582.134519928754,A1,Urban major conurbation,0.0069299473333058,1.18286533187165e-06
ORD134390,A2B-673849,E00138306,E07000154,78534.67321,1783.17385368,C1,Urban city and town,0.0228272085898441,1.39305685406201e-05
ORD-965374,A73920,E00161313,E07000227,8547312.62,19976.8860011,F1,Rural hamlets and isolated dwellings,0.234169601262688,0.0010123163821635
48219,A38265,E00097813,E07000031,78712345.678,19737.1028364,F1,Rural hamlets and isolated dwellings,0.247050562678551,0.0020428757420847
ORD-9857,312874,E00156688,E07000213,278530.459203,1505.44118164,A1,Urban major conurbation,0.0160689517859658,1.41541004702362e-05
A123B456,99123,E00026995,E08000004,179.99,2031.27785484,A1,Urban major conurbation,0.0265029496642035,9.02561245187459e-06
ORD789321,CSTMR-123456,E00164344,E07000235,6547891.34275,12469.4524335,F1,Rural hamlets and isolated dwellings,0.151583572066403,0.0006963066411923
ORD12345,CUST20231234,E00110459,E07000072,"$31,500.00",751.097385716357,A1,Urban major conurbation,0.0097756467488036,3.27507382900688e-06
A37446,345XYZ999,W00001753,W06000005,"$1,800,719.56",7995.57177616,D1,Rural town and fringe,0.0933638360679225,0.0001402293092374
OID78356,282838,W00000353,W06000002,892463.212980,5687.06037183,E2,Rural village in a sparse setting,0.0691562315552901,7.928292891405e-05
ODR102948,A4829237,E00102980,E07000047,52437.64,1391.07043052,D2,Rural town and fringe in a sparse setting,0.0160699952936061,9.79192005009942e-06
ORD-001236,CST-20231019,E00101744,E07000043,15005000.75,35122.9593421,F1,Rural hamlets and isolated dwellings,0.416220390177869,0.002589775245494
#96585,A29374612,E00019066,E09000026,32549.639182,847.893079228275,A1,Urban major conurbation,0.0095664328879661,5.19869904637426e-06
A97853,32A880NR,E00068717,E06000016,303145.759214,3415.64651194,C1,Urban city and town,0.0422852834698914,6.21377773737265e-05
ORD-75931,8923746258361,E00143132,E07000172,89420.15,1784.85503453,B1,Urban minor conurbation,0.0206676881435337,9.73555137201656e-06
845927,348276,E00162198,E07000229,18746.493281,835.181281217984,C1,Urban city and town,0.008592394369436,3.58784664555961e-06
95031,ID23597,E00083213,E06000039,72340.50,1814.6857563,C1,Urban city and town,0.0213590480023115,7.82246484423772e-06
O584012,50439,E00021526,E09000030,15876.459120,753.211715169848,A1,Urban major conurbation,0.0087470568094995,3.01869877831782e-06
ORD12345,A693X47B,E00081625,E06000035,10549.3267802,1283.82276497,C1,Urban city and town,0.0146243857901737,7.10957597050375e-06
ODR987654,CST574839,E00115868,E07000088,$48320.57,1301.53019955,C1,Urban city and town,0.0144757682762791,6.7975085363863e-06
10492,312B57,E00059070,E08000035,88213.759462,1521.82336716,A1,Urban major conurbation,0.0188241099631713,1.38815542149815e-05
1023A7,45678,E00086365,E06000044,25489.7593209,780.763667557898,C1,Urban city and town,0.0100373499315921,1.90483606386811e-06
B374785,AB123456C,E00093252,E06000049,63000.55,1069.75087847,C1,Urban city and town,0.0133921931828399,6.57226714060094e-06
#RD20231020,528401BXT,E00144248,E07000175,"$8,179,034.50",19300.1290976,E1,Rural village,0.232307579060065,0.0012333086163043
ODR987654,A73920,E00022494,E09000032,18273.450912,716.213226219296,A1,Urban major conurbation,0.0085984331146207,3.35120919395685e-06
A97853,AB123456C,W00006956,W06000018,892463.212980,2314.20511816,C1,Urban city and town,0.0274679934343267,1.23494315004002e-05
ORD-98765,99123,E00150301,E07000194,256789.997432,5278.73438746,E1,Rural village,0.0612938069843407,7.50624193275963e-05
ORD789321,A2B-673849,E00155825,E07000210,"$8,179,034.50",1698.54892589,A1,Urban major conurbation,0.0205907935356047,8.77596008730909e-06
ODR102948,50439,E00031764,E08000010,"$31,500.00",1298.63689697,A1,Urban major conurbation,0.0176609279685791,6.71401759151478e-06
ORD-98234,282838,E00064723,E06000010,"$31,500.00",786.900769174928,C1,Urban city and town,0.0102539940023215,3.98582266998534e-06
ORD-98765,345XYZ999,W00004240,W06000011,15005000.75,2844.70817307,C1,Urban city and town,0.0317808669084361,1.54402226979515e-05
ORD-965374,32A880NR,E00048791,E08000026,52437.64,1859.77057751,C1,Urban city and town,0.0212979058304877,6.41838892910206e-06
ORD-75931,CST20231234,E00146400,E07000180,"$31,500.00",1628.15511597,C1,Urban city and town,0.0185313994284461,1.77335612062085e-05
