UK_CSV0000000000000127::0::order_id,UK_CSV0000000000000127::1::customer_id,UK_CSV0000000000000127::2::location_code,UK_CSV0000000000000127::3::location_id,UK_CSV0000000000000127::4::total_cost,UK_CSV0000000000000127::5::shipping_length,UK_CSV0000000000000127::6::region_code,UK_CSV0000000000000127::7::region_name,UK_CSV0000000000000127::8::package_length,UK_CSV0000000000000127::9::package_area
UK_CSV0000000000000127 § 0 § 0,UK_CSV0000000000000127 § 1 § 0,UK_CSV0000000000000127 § 2 § 0,UK_CSV0000000000000127 § 3 § 0,UK_CSV0000000000000127 § 4 § 0,UK_CSV0000000000000127 § 5 § 0,UK_CSV0000000000000127 § 6 § 0,UK_CSV0000000000000127 § 7 § 0,UK_CSV0000000000000127 § 8 § 0,UK_CSV0000000000000127 § 9 § 0
UK_CSV0000000000000127 § 0 § 1,UK_CSV0000000000000127 § 1 § 1,UK_CSV0000000000000127 § 2 § 1,UK_CSV0000000000000127 § 3 § 1,UK_CSV0000000000000127 § 4 § 1,UK_CSV0000000000000127 § 5 § 1,UK_CSV0000000000000127 § 6 § 1,UK_CSV0000000000000127 § 7 § 1,UK_CSV0000000000000127 § 8 § 1,UK_CSV0000000000000127 § 9 § 1
UK_CSV0000000000000127 § 0 § 2,UK_CSV0000000000000127 § 1 § 2,UK_CSV0000000000000127 § 2 § 2,UK_CSV0000000000000127 § 3 § 2,UK_CSV0000000000000127 § 4 § 2,UK_CSV0000000000000127 § 5 § 2,UK_CSV0000000000000127 § 6 § 2,UK_CSV0000000000000127 § 7 § 2,UK_CSV0000000000000127 § 8 § 2,UK_CSV0000000000000127 § 9 § 2
UK_CSV0000000000000127 § 0 § 3,UK_CSV0000000000000127 § 1 § 3,UK_CSV0000000000000127 § 2 § 3,UK_CSV0000000000000127 § 3 § 3,UK_CSV0000000000000127 § 4 § 3,UK_CSV0000000000000127 § 5 § 3,UK_CSV0000000000000127 § 6 § 3,UK_CSV0000000000000127 § 7 § 3,UK_CSV0000000000000127 § 8 § 3,UK_CSV0000000000000127 § 9 § 3
UK_CSV0000000000000127 § 0 § 4,UK_CSV0000000000000127 § 1 § 4,UK_CSV0000000000000127 § 2 § 4,UK_CSV0000000000000127 § 3 § 4,UK_CSV0000000000000127 § 4 § 4,UK_CSV0000000000000127 § 5 § 4,UK_CSV0000000000000127 § 6 § 4,UK_CSV0000000000000127 § 7 § 4,UK_CSV0000000000000127 § 8 § 4,UK_CSV0000000000000127 § 9 § 4
UK_CSV0000000000000127 § 0 § 5,UK_CSV0000000000000127 § 1 § 5,UK_CSV0000000000000127 § 2 § 5,UK_CSV0000000000000127 § 3 § 5,UK_CSV0000000000000127 § 4 § 5,UK_CSV0000000000000127 § 5 § 5,UK_CSV0000000000000127 § 6 § 5,UK_CSV0000000000000127 § 7 § 5,UK_CSV0000000000000127 § 8 § 5,UK_CSV0000000000000127 § 9 § 5
UK_CSV0000000000000127 § 0 § 6,UK_CSV0000000000000127 § 1 § 6,UK_CSV0000000000000127 § 2 § 6,UK_CSV0000000000000127 § 3 § 6,UK_CSV0000000000000127 § 4 § 6,UK_CSV0000000000000127 § 5 § 6,UK_CSV0000000000000127 § 6 § 6,UK_CSV0000000000000127 § 7 § 6,UK_CSV0000000000000127 § 8 § 6,UK_CSV0000000000000127 § 9 § 6
UK_CSV0000000000000127 § 0 § 7,UK_CSV0000000000000127 § 1 § 7,UK_CSV0000000000000127 § 2 § 7,UK_CSV0000000000000127 § 3 § 7,UK_CSV0000000000000127 § 4 § 7,UK_CSV0000000000000127 § 5 § 7,UK_CSV0000000000000127 § 6 § 7,UK_CSV0000000000000127 § 7 § 7,UK_CSV0000000000000127 § 8 § 7,UK_CSV0000000000000127 § 9 § 7
UK_CSV0000000000000127 § 0 § 8,UK_CSV0000000000000127 § 1 § 8,UK_CSV0000000000000127 § 2 § 8,UK_CSV0000000000000127 § 3 § 8,UK_CSV0000000000000127 § 4 § 8,UK_CSV0000000000000127 § 5 § 8,UK_CSV0000000000000127 § 6 § 8,UK_CSV0000000000000127 § 7 § 8,UK_CSV0000000000000127 § 8 § 8,UK_CSV0000000000000127 § 9 § 8
