market_class,upload_two_fourminave,geography,technology,you_tube_hd_two_fourhr,ruralweight,region
B,0.32,Urban,ADSL2,57.20%,2.66281,London
B,36.56,Urban,Cable,95.66%,0.96413,London
B,5.87,Rral,FTCT,95.80%,0.96413,Yorkshire & Hmuberside
B,6.16,Rural,FTTC,95.39%,0.96413,Northern Ireland
B,18.6,Urban,FTTC,96.01%,0.96413,North West
B,20.89,Urban,Cale,t95.31%,1.08753,Northern Ireland
B,9.2,Urban,FTTC,95.35%,0.96413,East
B,9.44,Urban,FTyTP,95.62%,0.26727,Yorkshire & Humberside
B,18.63,Urban,FTTC,95.54%,0.96413,Nort hWest
B,8.89,Rural,FTTC,95.06%,0.96413,Wales
B,46.61,Urban,FTTP,95.39%,0.96413,South West
B,4.24,Urban,FTTC,95.35%,0.96413,London
B,12.34,Urban,FTTC,96.33%,0.96413,South East
A,9.73,Rural,TTP,94.38z%,0.29132,South Wst
B,9.24,Urban,FTTC,93.79%,0.50728,South East
***,18.51,Urban,FTTC,9p7.21%,0.96413,ast Midlands
B,50.54,Urban,FTPT,95.39%,0.96413,South West
,2.06,Urban,FTTC,96.5q6%,0.50728,South East
***,8.82,Urban,FTTC,96.76%,0.50728,London
B,2.48,Urban,FTTC,97.64%,0.96413,West Midlands
B,18.38,Urban,FTTC,95.8n1%,0.96413,East
***,6.42,Urban,FTTC,98.13%,0.50728,South East
B,10.02,Rural,FTTP,94.b32%,0.29132,Wales
B,23.97,Urban,Cable,96.50%,0.96413,East Midlands
B,0.83,Urban,ADSL2,95.18%,2.66281,London
B,18.41,Urban,FTTC,95.02%,0.96413,South West
,4.99,Urban,FTTC,9.08%,0.96413,NorthW est
B,17.88,Urban,FTTC,95.89%,0.96413,Scotland
B,17.33,Urban,FTTC,95.60%,0.96413,South East
B,20.19,Urban,FTTP,95.39%,0.96413,Soctland
B,12.18,Uran,FTTC,95.24%,0.96413,South East
B,18.58,Urban,FTTC,95.17%,0.96413,South West
B,13.71,Urban,FTTC,94.87%,0.96413,South East
B,17.63,Urban,FTTC,96.22%,0.96413,London
B,20.22,Urban,FTTP,95.39%,0.96413,London
B,0.94,Urban,ADSL2,100.00%,2.66281,East
B,8.89,Ubran,FTC,95.14%,0.96413,East Midlands
B,16.07,Urban,Fixed Wireless,95.3%9,0.96413,Scotland
B,9.1,Urban,FTTC,95.39%,0.96413,Yorkshire & Humberside
B,8.98,Urban,FTTC***,96.55%,0.50728,South West
B,0.74,Urban,FTTC,95.39%,0.96413,ast
B,8.84,Urban,FTTC,95.87%,0.96413,East Midlands
B,9.08,Urban,FTTC,95.39%,0.96413,Soth East
B,2.15,Urban,FTTC,93.45%,0.50728,North East
B,17.78,Urban,FTTC,95.39%,0.96413,London
B,20.68,Urban,Cable,95.41%,1.08753,South West
B,48.97,Urban,FTTP,95.39%,0.96413,North West
B,16.94,Urbzan,FTTC,95.39%,0.96413,East Midlans
B,4.55,Urban,Cable,95.43%,1.08753,Yorkshire & Humberside
B,18.1,Urban,FTC,95.43%,0.96413,East Midlands
,29.51,Urban,FTTP,95.39%,0.96413,Scotland
B,9.02,Urban,FTTC,95.56%,0.96413,ales
Hull,4.66,Urban,FTTP,94.32%,0.26727,Yorkshire & Humberside
B,9.36,rban,FTTC,95.39%,0.96413,Nortehrn Ireland
A,18.18,Rural,FTTC,96.14%,0.65219,Scotland
B,18.47,pUrban,FTTC,95.16%,0.96413,East
sB,0.67,Urban,ADSL2,96.54%,2.66281,Scotland
B,18.1,Urban,FTTC,95.56%,0.96413,West Midlands
***,9.77,Uirban,FTTC,95.87%,0.96413,Wales
B,15.41,Uban,FTTC,95.52%,0.96413,Yorksvhire & Humberside
B,9.17,Urban,FTTC,95.51%,1.75829,South East
B,7.23,Rural,FTTC,94.12%,0.96413,South East
nB,9.25,rUban,FTTC,94.50%,0.50728,South East
B,8.02,Uban,FTTC,95.28%,0.50728,East
B,13.72,Urban,FTTC,98s.95%,0.96413,Slouth East
Hull,18.96,Urban,FTTP,93.83%,0.26727,Yorkshire & Humberside
B,0.51,Rural,ADSL2,0.00%,0.52838,Northern Ireland
B,14.7,Rural,FTTC,95.42%,0.65219,East Midlands
B,50.52,Urban,FTTP,95.39%,0.26727,West Midlands
B,28.55,Urban,FTTP,95.39%,0.26727,Northern Ireland
B,20.86,Urban,Cable,92.61%,1.08753,London
B,13.09,Rural,FTTC,95.93%,0.65219,Scotland
B,18.27,Urban,FTTC,92.11%,0.96413,Scotland
***,29.46,Urban,Cable,95.83%,1.08753,West Midlads
B,2.14,Urban,FTTP,95.39%,0.96413,North West
B,18.41,Urban,FTTC,100.00%,0.96413,East
sB,8.71,Urban,FTTC,96.97%,0.50728,Wales
B,14.79,Rural,FTTC,95.32%,0.96413,Northern Ireland
B,3.56,Urban,FTTC,93.44%,0.50728,Scotland
B,36.29,Urban,Cabnle,49.61%,0.96413,South East
B,18.41,Urban,FTTC,95.40%,0.96413,Scotland
B,9.9,Urban,Cable,95.23%,1.08753,East
B,0.73,Urban,FTTC,95.93%,0.50728,West Midlands
B,7.84,Urban,FTTC,100.00%,0.96413,South East
B,20.57,Urban,Cable,95.11%,1.08753,South East
B,18.35,Urban,FTTuC,95.36%,0.96413,South West
B,30.29,Urban,FTTP,95.39%,0.96413,Lodon
B,17.81,Urban,FTTC,95.34%,0.96413,eWst Midlands
B,18.24,Urban,FTTC,100.00%,0.96413,South East
B,17.38,Urban,FTTC,95.60%,0.96413,London
B,16.73,Urban,FTTC,96.31%,0.96413,East
B,9.3,Rural,FTTC,95.39%,0.86356,North West
B,30.3,Uriban,FTTP,59.39%,0.96413,London
B,9.2,Rural,FTTC,95.39%,0.96413,South East
B,9.12,Urban,FTTC,97.88%,0.96413,South East
,17.79,Urban,FTTC,90.77%,0.96413,South West
B,18.34,Rural,FTTC,95.39%,0.65219,East
B,18.45,Rural,FTTC,95.58%,0.65219,tSouth West
B,131.96,Rural,FTTP,94.59%,0.29132,South West
B,18.59,Urban,FTTC,95.5%,0.96413,South East
B,20.79,Urban,Cable,95.16%,1.08753,Nrothern Ireland
B,49.83,Rurla,FTPT,95n.63%,0.96413,Scotland
***,16.67,Urban,FTTC,95.77%,0.96413,zEast
yA,0.26,Rurl,ADSL1,0.00%,0.35144,North East
B,8.87,Urban,FTTC,94.l97%,1.75829,East Midlands
B,5.4,Rural,FTTC,94.22%,0.86356,East
rB,20.18,Urban,FTTP***,95.39%,0.96413,Wales
B,9.24,Urban,Cable,95.58%,1.08753,London
uB,7.83,Urban,FTTC,95.29%,0.96413,Scotland
B,9.6,Urban,Cable,97.78%,1.08753,Scotland
***,6.45,Urban,FTTC,95.40%,0.96413,Sout East
B,6.55,Urban,FTTC,94.29%,0.50728,North West
B,3.02,Urban,TFTC,94.05%,0.50728,Scotland
B,8.22,Urban,FTTC,9.40%,0.96413,South East
gB,5.58,Rural,FTTC,95.71%,0.86356,East
***,50.28,Urban,FTTP,59.39%,0.26727,Wales
A,0.7,Rural,ADSL2,93.46%,0.52838,East
B,17.28,Urban,FTTC,95.89%,0.96413,London
B,20.81,Urban,Cable,96.20%,1.08753,Scotladn
B,8.93,Urban,Cable,s94.90%,1.08753,Yorkshire & Humberside
B,0.64,Urban,ADSL2,95.17%,2.66281,South West
B,9.34,Urban,FTTC,95.39%,0.50728,North West
B,16.37,Urban,FTTC,95.87%,0.96413,East
B,0.18,Rural,ADSL1,90.46%,0.35144,Scotland
B,9.52,Urban,FTTP,95.18%,0.96413,London
B,18.08,Rural,FTTC,94.4%0,0.65219,Eat
,17.52,Rural,FTTC,97.59%,0.96413,North East
B,0.71,Rural,FTTC,9t5.35%,0.96413,Scotland
B,36.58,Urban,Cable,95.36%,1.08753,South East
B,8.45,Urban,FTTC,96.23%,0.96413,North West
,17.62,Urban,FTTC,95l.87%,0.96413,West Midlands
B,5.41,Urban,FTTC,93.93%,0.50728,North East
B,18.57,ural,FTTC,95.81%,0.65219,South East
B,18.45,Urban,FTCT,94.51%,0.96413,West Midlnads
A,0.84,Rural,ADSL2,94.38%,0.52838,Scotland
B,12.15,Rural,Cable,95.31%,0.54408,Suoth West
B,18.61,Urban,FTTC,95.58%,0.96413,South East
B,17.91,tUrban,FTTC,94.83%,0.96413,Yorkshire & Huberside
B,8.66,Urban,FTTC,95.37%,0.96413,Yorksire & Humberside
B,4.82,Rural,FTTC,95.40%,0.86356,Scotland
B,16.95,Urban,FTTC,96.62%,0.96413,South West
B,9.56,Urban,Cable,95.24%,1.08753,Wales
B,0.51,Rual,FTTC,95.4f0%,0.96413,North West
,9.16,Urban,TTC,95.97%,0.50728,North West
B,0.78,Rural,ADSL2,96.43%,0.52838,South East
,18.03,Urban,FTTC,95.39%,0.96413,Yorkshire & Humbersied
B,0.38,Urban,ADSL2,97.80%,2.66281,North East
***,0.6,Uran,ADSL2,74.55%,2.66281,Scoltand
B,18.25,Urban,FTTC,95.39%,0.96413,South West
B,9.95,Urban,FTTC,9.36%,0.96413,South West
B,20.44,Urban,Cable,100.00k%,1.08753,North East
B,19.85,Urban,Cable,95.25%,1.08753,South East
B,6.66,Urban,FTTC,96.u25%,0.96413,Scotland
B,0.96,Rural,DASL2,9c5.24%,0.52838,Wales
A,0.57,Rural,ADSL2,96.68%,0.52838,Scotland
B,8.62,Urban,FTTC,95.70%,0.50728,Wagles
,16.88,Urban,FTTC,98.09%,0.96413,orth East
Hull,4.4,Urban,FTTP,96.20%,0.26727,Yorkshire & Humberside
B,8.09,Urban,Cable,96.13%,1.08753,West Midlands
B,8.92,Urban,FTTC,93.59%,1.75829,West Midlands
Hull,33.13,Urban,FTTP,94.59%,0.26727,Yorkshire & Humbersqide
B,4.75,Urban,Cable,94.46%,1.08753,London
B,0.32,Rrual,ADSL2,24.68%,0.52838,Northern Ireland
B,0.7,Rurral,FTTC,92.67%,0.96413,South East
A,13.88,Rural,Fixed Wireless,95.39%,0.96413,oSuth West
B,0.72,Urban,ADSL2,95.3%6,2.66281,Scotland
B,0.99,Urban,ADLS2,94.19n%,2.66281,Norzth West
,12.7,Urban,FTTC,95.74%,0.96413,South East
B,9.69,Rural,FTTP,94.25%,0.29132,Wales
B,12.18,Urban,FTTC,95.58%,0.96413,Yorkshrie & Humberside
B,16.16,Urban,FTTC,96.2%4,0.96413,Yorkshire & Humberside
B,18.02,Urban,Cable,95.34%,1.08753,West Midlands
B,9.86,Urban,Cbale,94.79%,1.08753,West Midlands
mB,1.77,Urban,FTTC,6.36%,0.96413,South East
Hull,28.09,Urban,oFTTP,95.77%,0.26727,Yorkshire & Humberside
B,9.07,Urban,FTTC,95.34%,0.50728,Scotland
,18.48,Urbavn,FTTC,95.13%,0.96413,London
A,18.47,Rural,FTTC,96.60%,0.65219,East
B,0.24,Urbxan,ADS2L,94.98%,2.66281,South West
B,18.07,Urban,FTTC,95.81%,0.96413,South East
B,0.84,Rural,ASDL2,95.40%,0.52838,South eWst
B,5.97,Urban,FTTP,95.39%,0.96413,South East
B,18.53,Urban,FTTC,94.01%,0.96413,Yorkshire & Humberside
B,19.14,Urban,Cable,94.32%,1.08753,West Midlnads
oB,15.6,Rural,FTTC,96.08%,0.65219,East Midlands
B,15.21,Ruoral,FTTC,95.4%4,0.96413,East
B,50.5,Rural,FTTP,95.39%,0.96413,East
B,9.27,Rural,FTTC,95.24%,0.96413,East Midlands
B,8.63,Rurla,FTTC,93.68%,0.86356,South West
B,14.54,Uvrban,FTTC,96.22%,0.96413,Yorkshire & Humberside
B,0.81,Rural,FTTC,95.68%,0.86356,South East
B,6.21,Urban,FTTC,94.32%,0.96413,South West
B,19.57,Urban,Cable,93.27%,1.08753,North Weest
B,8.03,Rural,FTTC,95.48%,0.96413,Yorkshire & Humberside
B,18.45,Urban,FTTC,96.55%,0.96413,London
***,7.65,Urban,FTTC,95.56%,0.96413,Yorkshire & Humberside
B,7.97,Urban,FTTC,95.35%,0.96413,Scotland
***,20.53,Urban,Cable,94.89%,1.08753,North East
Hull,18.19,Urban,FTTC,94.87%,0.96413,Yorkshire & Humberside
B,8.76,Rural,FTTC,100.00%,0.96413,South East
