UK_CSV0000000000000711::0::quarter_reporting_period,UK_CSV0000000000000711::1::fiscal_year,UK_CSV0000000000000711::2::status,UK_CSV0000000000000711::3::regional_office_code,UK_CSV0000000000000711::4::area_code,UK_CSV0000000000000711::5::geographical_indicator_code,UK_CSV0000000000000711::6::customer_category,UK_CSV0000000000000711::7::level_one_procedure,UK_CSV0000000000000711::8::level_two_procedure,UK_CSV0000000000000711::9::level_three_procedure,UK_CSV0000000000000711::10::immediate_care_procedures,UK_CSV0000000000000711::11::complimentary_bleeding_control,UK_CSV0000000000000711::12::complimentary_bridge_maintenance,UK_CSV0000000000000711::13::complimentary_denture_maintenance,UK_CSV0000000000000711::14::complimentary_prescription_allocation,UK_CSV0000000000000711::15::complimentary_suture_removal,UK_CSV0000000000000711::16::overall_total_value
UK_CSV0000000000000711 § 0 § 0,UK_CSV0000000000000711 § 1 § 0,UK_CSV0000000000000711 § 2 § 0,UK_CSV0000000000000711 § 3 § 0,UK_CSV0000000000000711 § 4 § 0,UK_CSV0000000000000711 § 5 § 0,UK_CSV0000000000000711 § 6 § 0,UK_CSV0000000000000711 § 7 § 0,UK_CSV0000000000000711 § 8 § 0,UK_CSV0000000000000711 § 9 § 0,UK_CSV0000000000000711 § 10 § 0,UK_CSV0000000000000711 § 11 § 0,UK_CSV0000000000000711 § 12 § 0,UK_CSV0000000000000711 § 13 § 0,UK_CSV0000000000000711 § 14 § 0,UK_CSV0000000000000711 § 15 § 0,UK_CSV0000000000000711 § 16 § 0
UK_CSV0000000000000711 § 0 § 1,UK_CSV0000000000000711 § 1 § 1,UK_CSV0000000000000711 § 2 § 1,UK_CSV0000000000000711 § 3 § 1,UK_CSV0000000000000711 § 4 § 1,UK_CSV0000000000000711 § 5 § 1,UK_CSV0000000000000711 § 6 § 1,UK_CSV0000000000000711 § 7 § 1,UK_CSV0000000000000711 § 8 § 1,UK_CSV0000000000000711 § 9 § 1,UK_CSV0000000000000711 § 10 § 1,UK_CSV0000000000000711 § 11 § 1,UK_CSV0000000000000711 § 12 § 1,UK_CSV0000000000000711 § 13 § 1,UK_CSV0000000000000711 § 14 § 1,UK_CSV0000000000000711 § 15 § 1,UK_CSV0000000000000711 § 16 § 1
UK_CSV0000000000000711 § 0 § 2,UK_CSV0000000000000711 § 1 § 2,UK_CSV0000000000000711 § 2 § 2,UK_CSV0000000000000711 § 3 § 2,UK_CSV0000000000000711 § 4 § 2,UK_CSV0000000000000711 § 5 § 2,UK_CSV0000000000000711 § 6 § 2,UK_CSV0000000000000711 § 7 § 2,UK_CSV0000000000000711 § 8 § 2,UK_CSV0000000000000711 § 9 § 2,UK_CSV0000000000000711 § 10 § 2,UK_CSV0000000000000711 § 11 § 2,UK_CSV0000000000000711 § 12 § 2,UK_CSV0000000000000711 § 13 § 2,UK_CSV0000000000000711 § 14 § 2,UK_CSV0000000000000711 § 15 § 2,UK_CSV0000000000000711 § 16 § 2
UK_CSV0000000000000711 § 0 § 3,UK_CSV0000000000000711 § 1 § 3,UK_CSV0000000000000711 § 2 § 3,UK_CSV0000000000000711 § 3 § 3,UK_CSV0000000000000711 § 4 § 3,UK_CSV0000000000000711 § 5 § 3,UK_CSV0000000000000711 § 6 § 3,UK_CSV0000000000000711 § 7 § 3,UK_CSV0000000000000711 § 8 § 3,UK_CSV0000000000000711 § 9 § 3,UK_CSV0000000000000711 § 10 § 3,UK_CSV0000000000000711 § 11 § 3,UK_CSV0000000000000711 § 12 § 3,UK_CSV0000000000000711 § 13 § 3,UK_CSV0000000000000711 § 14 § 3,UK_CSV0000000000000711 § 15 § 3,UK_CSV0000000000000711 § 16 § 3
UK_CSV0000000000000711 § 0 § 4,UK_CSV0000000000000711 § 1 § 4,UK_CSV0000000000000711 § 2 § 4,UK_CSV0000000000000711 § 3 § 4,UK_CSV0000000000000711 § 4 § 4,UK_CSV0000000000000711 § 5 § 4,UK_CSV0000000000000711 § 6 § 4,UK_CSV0000000000000711 § 7 § 4,UK_CSV0000000000000711 § 8 § 4,UK_CSV0000000000000711 § 9 § 4,UK_CSV0000000000000711 § 10 § 4,UK_CSV0000000000000711 § 11 § 4,UK_CSV0000000000000711 § 12 § 4,UK_CSV0000000000000711 § 13 § 4,UK_CSV0000000000000711 § 14 § 4,UK_CSV0000000000000711 § 15 § 4,UK_CSV0000000000000711 § 16 § 4
UK_CSV0000000000000711 § 0 § 5,UK_CSV0000000000000711 § 1 § 5,UK_CSV0000000000000711 § 2 § 5,UK_CSV0000000000000711 § 3 § 5,UK_CSV0000000000000711 § 4 § 5,UK_CSV0000000000000711 § 5 § 5,UK_CSV0000000000000711 § 6 § 5,UK_CSV0000000000000711 § 7 § 5,UK_CSV0000000000000711 § 8 § 5,UK_CSV0000000000000711 § 9 § 5,UK_CSV0000000000000711 § 10 § 5,UK_CSV0000000000000711 § 11 § 5,UK_CSV0000000000000711 § 12 § 5,UK_CSV0000000000000711 § 13 § 5,UK_CSV0000000000000711 § 14 § 5,UK_CSV0000000000000711 § 15 § 5,UK_CSV0000000000000711 § 16 § 5
UK_CSV0000000000000711 § 0 § 6,UK_CSV0000000000000711 § 1 § 6,UK_CSV0000000000000711 § 2 § 6,UK_CSV0000000000000711 § 3 § 6,UK_CSV0000000000000711 § 4 § 6,UK_CSV0000000000000711 § 5 § 6,UK_CSV0000000000000711 § 6 § 6,UK_CSV0000000000000711 § 7 § 6,UK_CSV0000000000000711 § 8 § 6,UK_CSV0000000000000711 § 9 § 6,UK_CSV0000000000000711 § 10 § 6,UK_CSV0000000000000711 § 11 § 6,UK_CSV0000000000000711 § 12 § 6,UK_CSV0000000000000711 § 13 § 6,UK_CSV0000000000000711 § 14 § 6,UK_CSV0000000000000711 § 15 § 6,UK_CSV0000000000000711 § 16 § 6
UK_CSV0000000000000711 § 0 § 7,UK_CSV0000000000000711 § 1 § 7,UK_CSV0000000000000711 § 2 § 7,UK_CSV0000000000000711 § 3 § 7,UK_CSV0000000000000711 § 4 § 7,UK_CSV0000000000000711 § 5 § 7,UK_CSV0000000000000711 § 6 § 7,UK_CSV0000000000000711 § 7 § 7,UK_CSV0000000000000711 § 8 § 7,UK_CSV0000000000000711 § 9 § 7,UK_CSV0000000000000711 § 10 § 7,UK_CSV0000000000000711 § 11 § 7,UK_CSV0000000000000711 § 12 § 7,UK_CSV0000000000000711 § 13 § 7,UK_CSV0000000000000711 § 14 § 7,UK_CSV0000000000000711 § 15 § 7,UK_CSV0000000000000711 § 16 § 7
UK_CSV0000000000000711 § 0 § 8,UK_CSV0000000000000711 § 1 § 8,UK_CSV0000000000000711 § 2 § 8,UK_CSV0000000000000711 § 3 § 8,UK_CSV0000000000000711 § 4 § 8,UK_CSV0000000000000711 § 5 § 8,UK_CSV0000000000000711 § 6 § 8,UK_CSV0000000000000711 § 7 § 8,UK_CSV0000000000000711 § 8 § 8,UK_CSV0000000000000711 § 9 § 8,UK_CSV0000000000000711 § 10 § 8,UK_CSV0000000000000711 § 11 § 8,UK_CSV0000000000000711 § 12 § 8,UK_CSV0000000000000711 § 13 § 8,UK_CSV0000000000000711 § 14 § 8,UK_CSV0000000000000711 § 15 § 8,UK_CSV0000000000000711 § 16 § 8
