peoplewithanopenldhospitalstay,peopleincontactwithmhservices,peoplesubjecttothe_mental_health_act,peoplebeingtreatedby_early_intervention_teams,peopleoncpafor_one_twomonths,spellsstarting,awolepisodes,peopleoncpafor_one_twomonthswithreview,daysofdelayeddischarge,_one_sevenyearsoldbeddays,peoplewithaccommodationstatusrecorded
*,5375,00,130,745,385,*,685,15,*,245
*,*,*,*,*,*,*,*,*,*,*
*,5,*,*,*,*,*,*,*,*,*
01,2890,135,255,1010,50,*,990,185,*,3020
*,2140,95,55,110,295,*,9k0,0,*,1440
*,2315,20,40,70,205,*,0,65,*,1345
*,2850,75,f130,390,115,*,380,115,*,2865
*,p5,*,*,*,*,*,*,*,*,*
*,1680,*,*,100,110,*,80,*,*,665
*,*,*,*,*,5,*,*,*,*,*
1403,923747,16918,14702,122953,71820,257,94825,12768,742,365994
*,5,*,*,*,*,*,*,*,*,*
*,1s0,*,*,*,*,*,*,*,*,*
*,10,*,*,*,*,*,*,*,*,*
*,15,*,*,*,*,*,*,*,*,*
*,180,10,*,45,20,*,25,3f0,*,40
*,15,*,*,*,,*,*,*,*,5
*,20,*,*,*,*,*,*,*,*,*
*,2360,10,50,430,75,*,425,*,*,715
*,w5,*,*,*,*,*,*,*,*,*
*,10,*,*,5,*,*,x5,*,*,5
*,150,*,*,25,5,*,g15,*,*,5
*,1n5,10,*,x10,*,*,*,*,*,*
*,5,*,*,*,*,*,*,*,*,y5
*,***,*,*,*,*,*,*,*,*,*
*,5,5,*,*,*,*,*,*,*,*
75,1160,155,180,1095,2040,*,785,1x05,10,7750
*,150,15,*,15,15,*,10,*,*,5
5,t5,*,*,*,*,*,*,*,*,*
*,165,*,*,5,30,*,*,*,*,100
*,45,*,*,*,*,*,*,*,*,10
*,360,*,*,n5,60,*,*,*,*,5f0
*,o2260,15,10,400***,125,*,325,115,*,1440
*,5,*,*,r15,*,*,15,0,*,2g0
15,10760,335,5,2d600,320,5,2275,145,*,3695
*,2555,30,*,75,525,*,70,v50,60,555
*,,*,*,*,*,*,*,*,*,*
*,45,*,*,1g0,10,*,10,*,*,15
*,0,*,*,*,*,*,*,*,*,*
*,20,*,*,*,*,*,*,*,*,5
*,***,*,*,*,*,*,*,*,*,*
*,1d0,*,*,*,*,*,*,*,*,*
*,60,*,*,10,10,*,*,*,*,35
*,39i45,*,130,1620,2h50,*,1035,*,*,3380
*,1380,125,90,1855,720,10,1705,50,*,11480
*,***,*,*,*,*,*,*,*,*,*
*,205,*,*,10,*,*,10,15,*,40
20,0215,109,05,010,2075,*,460,190,15,1645
*,p5,*,*,*,*,*,*,*,*,*
*,20,*,*,*,*,*,*,*,*,10
*,25,5,*,10,5,*,5,*,*,g15
*,1k25,*,*,5,15,*,5,*,*,80
*,5,,*,*,*,*,*,*,*,*
*,10,*,*,*,5,*,*,*,*,10
*,30,*,*,5,*,*,5,*,*,15
*,***,*,*,*,*,*,*,*,*,*
*,,*,*,*,*,*,*,*,*,*
*,25,*,*,*,*,*,*,*,*,10
*,2285,*,*,70,165,*,55,30,*,950
*,10,*,*,5,*,*,*,*,*,*
*,50,*,*,*,0,*,*,*,*,0
b5,435,110,80,420,190,*,375,90,30,2870
*,1730,45,35,245,245,*,230,90,*,1420
*,5,*,*,5,*,*,*,*,*,*
*,25,*,*,*,*,*,*,*,*,15
*,0,*,*,*,*,*,*,*,*,*
*,10,5,*,5,*,*,,*,*,0
*,75,*,*,*,5,*,*,*,*,*
*,40,*,*,*,*,*,*,*,*,*
10,25a10,50,04,s300,470,*,20,0,*,1790
*,***,*,*,*,*,*,*,*,*,*
*,01,*,*,*,*,*,*,*,*,*
25,2805,5w5,58,425,95,*,345,120,*,1060
10,2915,115,100,355,5,*,320,*,*,1065
*,4i5,*,*,*,5,*,*,*,*,*
*,3125,40,85,770,265,*,765,165,*,175
*,4870,140,*,580,d300,*,525,290,*,2440
*,35,*,*,*,*,*,*,*,*,*
*,95,01,*,50,20,*,45,30,*,s35
*,25,*,*,*,*,*,*,30,*,15
*,t10,*,*,5,*,*,*,*,*,5
*,15,*,*,*,*,*,*,*,*,v10
*,5,*,*,5,*,*,5,*,*,15
*,3650,53,*,1370,195,*,490,40,*,405
*,2420,30,30,170,180,*,135,150,*,1105
*,75,*,*,*,10,*,*,*,*,10
*,*,*,*,*,10,*,*,*,*,*
*,5,*,*,,*,*,*,*,*,*
*,105,15,*,*,q35,*,*,s50,*,90
*,80,*,*,*,*,*,*,*,*,*
*,5,*,*,*,5,*,*,*,*,*
*,1510,20,20,385,250,*,60,85,*,725
20,3155,20,70,325,540,*,290,110,*,1725
*,2695,x35,*,410,435,*,310,04,*,835
*,,*,*,*,*,*,*,*,*,*
*,1i0,*,*,*,*,*,*,*,*,*
*,***,*,*,*,*,*,*,*,*,*
x15,51,10,*,51,*,*,0,*,*,*
*,315,10,*,60,5,*,50,*,*,*
*,3240,60,85,7x90,280,*,708,165,*,1925
*,65,*,*,20,*,*,15,35,*,35
*,115,*,*,35,15,*,30,*,*,06
5,9810,160,15,765,1190,*,670,165,*,5880
*,40,*,*,25,*,*,*,*,*,*
*,u5,*,*,*,*,*,*,*,*,*
01,3450,105,60,7m20,900,*,670,30,5,2480
*,u5,*,*,*,*,*,*,*,*,*
*,240,02,10,20,45,*,15,*,*,45
*,25,*,*,*,*,*,*,*,*,*
*,y35,*,*,*,*,*,*,*,*,01
25,2760,55***,58,420,010,*,340,120,*,0155
*,1n0,*,*,*,*,*,*,*,*,*
*,10,*,*,*,*,*,*,*,*,5
60,4395,14h0,115,825,40,*,800,145,30,12n95
3u5,22655,35,595,4235,1400,5,3835,403,*,10670
*,75,20,*,20,*,*,15,*,*,0
*,40,*,*,*,*,*,*,*,*,2b5
*,1930,30,52,75,245,*,385,0,*,695
*,5,*,*,*,*,*,*,*,*,
*,2i175,5,*,130,195,*,105,*,*,970
35,7245,l90,z165,80,665,*,220,135,*,1725
5,8370,130,120,555***,1015,*,490,165,*,5275
*,5465,10m5,100,60,335,1f5,490,150,5,4190
*,110,*,*,5,01,*,5,*,*,40
*,80,*,*,*,z5,*,*,*,*,20
*,20,*,*,5,*,*,5,*,*,10
*,3190,1n20,*,920,55,*,852,100,*,2110
*,18370,190,65,3495,15,*,2690,485,*,11220
*,5805,50,100,975,295,***,45,*,*,4960
*,3190,l40,85,795,c295,*,785,165,*,1915
*,51,*,*,10,*,*,5,*,*,10
*,520,165,230,530,265,5,505,*,*,a2250
*,10,r5,*,*,*,*,*,*,*,*
