UK_CSV0000000000002536::0::expense_type,UK_CSV0000000000002536::1::transaction_date,UK_CSV0000000000002536::2::security_operation,UK_CSV0000000000002536::3::latitude,UK_CSV0000000000002536::4::longitude,UK_CSV0000000000002536::5::employee_gender,UK_CSV0000000000002536::6::employee_age_range,UK_CSV0000000000002536::7::selfdefined_ethnicity,UK_CSV0000000000002536::8::officially_recorded_ethnicity,UK_CSV0000000000002536::9::regulation,UK_CSV0000000000002536::10::search_target,UK_CSV0000000000002536::11::resultof_search
UK_CSV0000000000002536 § 0 § 0,UK_CSV0000000000002536 § 1 § 0,UK_CSV0000000000002536 § 2 § 0,UK_CSV0000000000002536 § 3 § 0,UK_CSV0000000000002536 § 4 § 0,UK_CSV0000000000002536 § 5 § 0,UK_CSV0000000000002536 § 6 § 0,UK_CSV0000000000002536 § 7 § 0,UK_CSV0000000000002536 § 8 § 0,UK_CSV0000000000002536 § 9 § 0,UK_CSV0000000000002536 § 10 § 0,UK_CSV0000000000002536 § 11 § 0
UK_CSV0000000000002536 § 0 § 1,UK_CSV0000000000002536 § 1 § 1,UK_CSV0000000000002536 § 2 § 1,UK_CSV0000000000002536 § 3 § 1,UK_CSV0000000000002536 § 4 § 1,UK_CSV0000000000002536 § 5 § 1,UK_CSV0000000000002536 § 6 § 1,UK_CSV0000000000002536 § 7 § 1,UK_CSV0000000000002536 § 8 § 1,UK_CSV0000000000002536 § 9 § 1,UK_CSV0000000000002536 § 10 § 1,UK_CSV0000000000002536 § 11 § 1
UK_CSV0000000000002536 § 0 § 2,UK_CSV0000000000002536 § 1 § 2,UK_CSV0000000000002536 § 2 § 2,UK_CSV0000000000002536 § 3 § 2,UK_CSV0000000000002536 § 4 § 2,UK_CSV0000000000002536 § 5 § 2,UK_CSV0000000000002536 § 6 § 2,UK_CSV0000000000002536 § 7 § 2,UK_CSV0000000000002536 § 8 § 2,UK_CSV0000000000002536 § 9 § 2,UK_CSV0000000000002536 § 10 § 2,UK_CSV0000000000002536 § 11 § 2
UK_CSV0000000000002536 § 0 § 3,UK_CSV0000000000002536 § 1 § 3,UK_CSV0000000000002536 § 2 § 3,UK_CSV0000000000002536 § 3 § 3,UK_CSV0000000000002536 § 4 § 3,UK_CSV0000000000002536 § 5 § 3,UK_CSV0000000000002536 § 6 § 3,UK_CSV0000000000002536 § 7 § 3,UK_CSV0000000000002536 § 8 § 3,UK_CSV0000000000002536 § 9 § 3,UK_CSV0000000000002536 § 10 § 3,UK_CSV0000000000002536 § 11 § 3
UK_CSV0000000000002536 § 0 § 4,UK_CSV0000000000002536 § 1 § 4,UK_CSV0000000000002536 § 2 § 4,UK_CSV0000000000002536 § 3 § 4,UK_CSV0000000000002536 § 4 § 4,UK_CSV0000000000002536 § 5 § 4,UK_CSV0000000000002536 § 6 § 4,UK_CSV0000000000002536 § 7 § 4,UK_CSV0000000000002536 § 8 § 4,UK_CSV0000000000002536 § 9 § 4,UK_CSV0000000000002536 § 10 § 4,UK_CSV0000000000002536 § 11 § 4
UK_CSV0000000000002536 § 0 § 5,UK_CSV0000000000002536 § 1 § 5,UK_CSV0000000000002536 § 2 § 5,UK_CSV0000000000002536 § 3 § 5,UK_CSV0000000000002536 § 4 § 5,UK_CSV0000000000002536 § 5 § 5,UK_CSV0000000000002536 § 6 § 5,UK_CSV0000000000002536 § 7 § 5,UK_CSV0000000000002536 § 8 § 5,UK_CSV0000000000002536 § 9 § 5,UK_CSV0000000000002536 § 10 § 5,UK_CSV0000000000002536 § 11 § 5
UK_CSV0000000000002536 § 0 § 6,UK_CSV0000000000002536 § 1 § 6,UK_CSV0000000000002536 § 2 § 6,UK_CSV0000000000002536 § 3 § 6,UK_CSV0000000000002536 § 4 § 6,UK_CSV0000000000002536 § 5 § 6,UK_CSV0000000000002536 § 6 § 6,UK_CSV0000000000002536 § 7 § 6,UK_CSV0000000000002536 § 8 § 6,UK_CSV0000000000002536 § 9 § 6,UK_CSV0000000000002536 § 10 § 6,UK_CSV0000000000002536 § 11 § 6
UK_CSV0000000000002536 § 0 § 7,UK_CSV0000000000002536 § 1 § 7,UK_CSV0000000000002536 § 2 § 7,UK_CSV0000000000002536 § 3 § 7,UK_CSV0000000000002536 § 4 § 7,UK_CSV0000000000002536 § 5 § 7,UK_CSV0000000000002536 § 6 § 7,UK_CSV0000000000002536 § 7 § 7,UK_CSV0000000000002536 § 8 § 7,UK_CSV0000000000002536 § 9 § 7,UK_CSV0000000000002536 § 10 § 7,UK_CSV0000000000002536 § 11 § 7
UK_CSV0000000000002536 § 0 § 8,UK_CSV0000000000002536 § 1 § 8,UK_CSV0000000000002536 § 2 § 8,UK_CSV0000000000002536 § 3 § 8,UK_CSV0000000000002536 § 4 § 8,UK_CSV0000000000002536 § 5 § 8,UK_CSV0000000000002536 § 6 § 8,UK_CSV0000000000002536 § 7 § 8,UK_CSV0000000000002536 § 8 § 8,UK_CSV0000000000002536 § 9 § 8,UK_CSV0000000000002536 § 10 § 8,UK_CSV0000000000002536 § 11 § 8
UK_CSV0000000000002536 § 0 § 9,UK_CSV0000000000002536 § 1 § 9,UK_CSV0000000000002536 § 2 § 9,UK_CSV0000000000002536 § 3 § 9,UK_CSV0000000000002536 § 4 § 9,UK_CSV0000000000002536 § 5 § 9,UK_CSV0000000000002536 § 6 § 9,UK_CSV0000000000002536 § 7 § 9,UK_CSV0000000000002536 § 8 § 9,UK_CSV0000000000002536 § 9 § 9,UK_CSV0000000000002536 § 10 § 9,UK_CSV0000000000002536 § 11 § 9
UK_CSV0000000000002536 § 0 § 10,UK_CSV0000000000002536 § 1 § 10,UK_CSV0000000000002536 § 2 § 10,UK_CSV0000000000002536 § 3 § 10,UK_CSV0000000000002536 § 4 § 10,UK_CSV0000000000002536 § 5 § 10,UK_CSV0000000000002536 § 6 § 10,UK_CSV0000000000002536 § 7 § 10,UK_CSV0000000000002536 § 8 § 10,UK_CSV0000000000002536 § 9 § 10,UK_CSV0000000000002536 § 10 § 10,UK_CSV0000000000002536 § 11 § 10
