crimeid,monthvalue,reportedby,fallswithin,longitude,latitude,locationvalue,lsoacode,lsoaname,outcometype
deca2efa2e57b84d9d9971fc17da6aa933eeeb1ebbda8b876bef2cd940437707,2021-07,Nottinghamshire Police,Nottinghamshire Police,-1.149045,52.953187,No location,E01033406,Nottingham 039E,Unable to prosecute suspect
5ce42621c228ddac2f0f56e60f82a2298cd042b2adac9facdc594b1bd4dd0921,2021-07,Nottinghamshire Police,Nottinghmshire Police,-0.896745,53.24808,On or near BECKLAND HILL,E01028007,Bassetlaw 015B,Investigation complete; no suspect identified
5bdf97f7901cf99ae23b3d10fb36d208a083b26866f976fe6a86576685045cf3,2021-07,Nottinghamshire Police,Nottinghamshire Police,-1.149045,52.953187,No location,E01028007,Nottingham 039E,Suspect charged
f8e4240ae921d2a9894b76d04cd34a65ad8da85461a3d04286037005b3f70f4a,2021-07,Nottinghamshire Police,Nottinghamshire Police,-1.149045,52.953187,No location,E01033406,Nottingham 039E,Unable to prosecute suspect
f338544c3646bb8afa289d81452ea96b8e37deffa1b4fbcc2a1eee68fde33808,2021-07,Nottinghamshire Police,Nottinghamshire Police,-1.149045,52.953187,No location,E01033406,Nottingham 039E,Suspect charged
d7b38a53e9064aa67a1e52408d1f11014d415f07980c61bc9fa02d7fd1abc629,2021-07,Nottinghamshire Police,Nottinghamshire Police,-1.149045,52.953187,No location,E01033406,Nottingham 039E,Investigation complete; no suspect identified
9b96690772b10f9d6fc37fce5a9955c2c71eab1e666fd19bc3b30b57fd24912d,2021-07,Nottinghamshire Police,Nottinghamshire Police,-1.149045,52.953187,No location,E01033406,Nottingham 039E,Investigation complete; no suspect identified
040de38472d48a6f4e2aa17461846b63ddc8c49293535328b675fa5e840f82f5,2021-07,Nottinghamshire Police,Nottinghamshire Police,-1.149045,52.953187,No location,E01033406,Nottingham 039E,Investigation complete; no suspect identified
d7b38a53e9064aa67a1e52408d1f11014d415f07980c61bc9fa02d7fd1abc629,2021-07,Nottinghamshire Police,Nottinghamshire Police,-1.160804,52.969308,On or near FOXHALL ROAD,E01013847,Nottingham 017D,Unable to prosecute suspect
f2a3cde9cd8d7a8638c281b2da0fed00d4afa585378102b43ff20fa666ae0774,2021-07,Nottinghamshire Police,Nottinghamshire Police,-1.151198,52.987659,On or near BRADMORE RISE,E01013966,Nottingham 007D,Investigation complete; no suspect identified
58a0c2fa140f2e45f197abfc36c4d2c1dd0aaae56aaf4c94e602c764d96e65ba,2021-07,Nottinghamshire Police,Nottinghamshire Police,-1.149045,52.953187,Nro location,E01033406,Nottingham 039E,Investigation complete; no suspect identified
ca999b7e14cc7cf519e13c65f80eb8950778e354100482e589232b19e46123d6,202x1-07,Nottinghamshire Police,Nottinghamshire Police,-1.189209,53.003862,On or near COLSTON ROAD,E01033406,Nottingham 004A,Unable to prosecute suspect
3b4b059f13e05bd4f0ae59d1a2cf5a087b457b7425e3e3a09386bf027bcdbb21,2021-07,Nottinghamshire Police,Nottinghamshire Police,-1.149045,52.953187,No location,E01033406,Nottingham 039E,Investigation complete; no suspect identified
