source_table,source_row,source_column,occurrence_count,merged_row_indices,error_type
UK_CSV0000000000003654,1,fallswithin,1,1,RANDOM_TYPO
UK_CSV0000000000003654,2,lsoacode,1,2,FD_VIOLATION
UK_CSV0000000000003654,8,crimeid,1,8,FD_VIOLATION
UK_CSV0000000000003654,10,locationvalue,1,10,FD_VIOLATION
UK_CSV0000000000003654,11,monthvalue,1,11,RANDOM_TYPO
UK_CSV0000000000003654,11,lsoacode,1,11,FD_VIOLATION
UK_CSV0000000000003654,13,outcometype,1,13,FD_VIOLATION
UK_CSV0000000000003654,14,outcometype,1,14,FD_VIOLATION
UK_CSV0000000000003654,17,reportedby,1,17,RANDOM_TYPO
UK_CSV0000000000003654,19,monthvalue,1,19,RANDOM_TYPO
UK_CSV0000000000003654,19,outcometype,1,19,FD_VIOLATION
UK_CSV0000000000003654,20,crimeid,1,20,FD_VIOLATION
UK_CSV0000000000003654,21,crimeid,1,21,FD_VIOLATION
UK_CSV0000000000003654,21,reportedby,1,21,RANDOM_TYPO
UK_CSV0000000000003654,21,lsoacode,1,21,FD_VIOLATION
UK_CSV0000000000003654,22,lsoaname,1,22,FD_VIOLATION
UK_CSV0000000000003654,24,crimeid,1,24,FD_VIOLATION
UK_CSV0000000000003654,24,lsoacode,1,24,FD_VIOLATION
UK_CSV0000000000003654,26,crimeid,1,26,FD_VIOLATION
UK_CSV0000000000003654,26,locationvalue,1,26,FD_VIOLATION
UK_CSV0000000000003654,26,lsoaname,1,26,FD_VIOLATION
UK_CSV0000000000003654,27,lsoaname,1,27,FD_VIOLATION
UK_CSV0000000000003654,28,crimeid,1,28,FD_VIOLATION
UK_CSV0000000000003654,28,lsoaname,1,28,FD_VIOLATION
UK_CSV0000000000003654,29,lsoacode,1,29,FD_VIOLATION
UK_CSV0000000000003654,30,crimeid,1,30,FD_VIOLATION
UK_CSV0000000000003654,30,lsoacode,1,30,FD_VIOLATION
UK_CSV0000000000003654,31,crimeid,1,31,FD_VIOLATION
UK_CSV0000000000003654,31,lsoaname,1,31,FD_VIOLATION
UK_CSV0000000000003654,32,locationvalue,1,32,FD_VIOLATION
UK_CSV0000000000003654,32,lsoacode,1,32,FD_VIOLATION
UK_CSV0000000000003654,33,crimeid,1,33,FD_VIOLATION
UK_CSV0000000000003654,33,lsoaname,1,33,FD_VIOLATION
UK_CSV0000000000003654,34,crimeid,1,34,FD_VIOLATION
UK_CSV0000000000003654,34,fallswithin,1,34,RANDOM_TYPO
UK_CSV0000000000003654,34,lsoaname,1,34,FD_VIOLATION
UK_CSV0000000000003654,34,outcometype,1,34,FD_VIOLATION
UK_CSV0000000000003654,35,monthvalue,1,35,RANDOM_TYPO
UK_CSV0000000000003654,36,crimeid,1,36,FD_VIOLATION
UK_CSV0000000000003654,37,fallswithin,1,37,RANDOM_TYPO
UK_CSV0000000000003654,37,locationvalue,1,37,FD_VIOLATION
UK_CSV0000000000003654,37,lsoaname,1,37,FD_VIOLATION
UK_CSV0000000000003654,38,lsoaname,1,38,FD_VIOLATION
UK_CSV0000000000003654,39,crimeid,1,39,FD_VIOLATION
UK_CSV0000000000003654,39,reportedby,1,39,RANDOM_TYPO
UK_CSV0000000000003654,39,locationvalue,1,39,FD_VIOLATION
UK_CSV0000000000003654,39,lsoacode,1,39,FD_VIOLATION
UK_CSV0000000000003654,40,crimeid,1,40,FD_VIOLATION
UK_CSV0000000000003654,41,crimeid,1,41,FD_VIOLATION
UK_CSV0000000000003654,43,crimeid,1,43,FD_VIOLATION
UK_CSV0000000000003654,43,lsoacode,1,43,FD_VIOLATION
UK_CSV0000000000003654,44,crimeid,1,44,FD_VIOLATION
UK_CSV0000000000003654,44,locationvalue,1,44,FD_VIOLATION
UK_CSV0000000000003654,44,lsoacode,1,44,FD_VIOLATION
UK_CSV0000000000003654,45,crimeid,1,45,FD_VIOLATION
UK_CSV0000000000003654,46,lsoaname,1,46,FD_VIOLATION
UK_CSV0000000000003654,47,crimeid,1,47,FD_VIOLATION
UK_CSV0000000000003654,47,lsoaname,1,47,FD_VIOLATION
UK_CSV0000000000003654,48,locationvalue,1,48,FD_VIOLATION
UK_CSV0000000000003654,48,lsoaname,1,48,FD_VIOLATION
UK_CSV0000000000003654,49,crimeid,1,49,FD_VIOLATION
UK_CSV0000000000003654,49,lsoacode,1,49,FD_VIOLATION
UK_CSV0000000000003654,50,crimeid,1,50,FD_VIOLATION
UK_CSV0000000000003654,50,lsoaname,1,50,FD_VIOLATION
UK_CSV0000000000003654,51,reportedby,1,51,RANDOM_TYPO
UK_CSV0000000000003654,51,fallswithin,1,51,RANDOM_TYPO
UK_CSV0000000000003654,51,lsoaname,1,51,FD_VIOLATION
UK_CSV0000000000003654,52,crimeid,1,52,FD_VIOLATION
UK_CSV0000000000003654,52,monthvalue,1,52,RANDOM_TYPO
UK_CSV0000000000003654,52,lsoaname,1,52,FD_VIOLATION
UK_CSV0000000000003654,52,outcometype,1,52,FD_VIOLATION
UK_CSV0000000000003654,53,crimeid,1,53,FD_VIOLATION
UK_CSV0000000000003654,53,reportedby,1,53,RANDOM_TYPO
UK_CSV0000000000003654,53,lsoaname,1,53,FD_VIOLATION
UK_CSV0000000000003654,54,crimeid,1,54,FD_VIOLATION
UK_CSV0000000000003654,54,lsoaname,1,54,FD_VIOLATION
UK_CSV0000000000003654,55,crimeid,1,55,FD_VIOLATION
UK_CSV0000000000003654,55,lsoacode,1,55,FD_VIOLATION
UK_CSV0000000000003654,56,crimeid,1,56,FD_VIOLATION
UK_CSV0000000000003654,56,locationvalue,1,56,FD_VIOLATION
UK_CSV0000000000003654,56,lsoaname,1,56,FD_VIOLATION
UK_CSV0000000000003654,57,crimeid,1,57,FD_VIOLATION
UK_CSV0000000000003654,57,reportedby,1,57,RANDOM_TYPO
UK_CSV0000000000003654,57,lsoaname,1,57,FD_VIOLATION
UK_CSV0000000000003654,58,crimeid,1,58,FD_VIOLATION
UK_CSV0000000000003654,58,lsoacode,1,58,FD_VIOLATION
UK_CSV0000000000003654,58,outcometype,1,58,FD_VIOLATION
UK_CSV0000000000003654,59,crimeid,1,59,FD_VIOLATION
UK_CSV0000000000003654,59,lsoaname,1,59,FD_VIOLATION
UK_CSV0000000000003654,59,outcometype,1,59,FD_VIOLATION
UK_CSV0000000000003654,60,crimeid,1,60,FD_VIOLATION
UK_CSV0000000000003654,60,fallswithin,1,60,RANDOM_TYPO
UK_CSV0000000000003654,60,lsoaname,1,60,FD_VIOLATION
UK_CSV0000000000003654,61,crimeid,1,61,FD_VIOLATION
UK_CSV0000000000003654,61,lsoacode,1,61,FD_VIOLATION
UK_CSV0000000000003654,62,crimeid,1,62,FD_VIOLATION
UK_CSV0000000000003654,62,reportedby,1,62,RANDOM_TYPO
UK_CSV0000000000003654,62,locationvalue,1,62,FD_VIOLATION
UK_CSV0000000000003654,62,lsoaname,1,62,FD_VIOLATION
UK_CSV0000000000003654,63,crimeid,1,63,FD_VIOLATION
UK_CSV0000000000003654,63,lsoacode,1,63,FD_VIOLATION
UK_CSV0000000000003654,64,crimeid,1,64,FD_VIOLATION
UK_CSV0000000000003654,65,crimeid,1,65,FD_VIOLATION
UK_CSV0000000000003654,65,lsoaname,1,65,FD_VIOLATION
UK_CSV0000000000003654,66,crimeid,1,66,FD_VIOLATION
UK_CSV0000000000003654,66,lsoaname,1,66,FD_VIOLATION
UK_CSV0000000000003654,66,outcometype,1,66,FD_VIOLATION
UK_CSV0000000000003654,67,crimeid,1,67,FD_VIOLATION
UK_CSV0000000000003654,67,reportedby,1,67,RANDOM_TYPO
UK_CSV0000000000003654,67,fallswithin,1,67,RANDOM_TYPO
UK_CSV0000000000003654,67,lsoaname,1,67,FD_VIOLATION
UK_CSV0000000000003654,68,crimeid,1,68,FD_VIOLATION
UK_CSV0000000000003654,68,monthvalue,1,68,RANDOM_TYPO
