isp,you_tube_startup_delay_peak,webloading_two_fourh,packet_losspeak,download_two_zero_two_onepm,upload_two_fourmaxave,download_one_two_one_eightpm,you_tube_sd_two_fourhr,latency_two_fourh,region,i_player_uhd_two_fourhr,upload_two_fourminave,technology,dns_failurepeak,unitid,downloadpeakminave,dns_ratepeak,i_player_sd_two_fourhr
AT&T,710.0,328.26,0.05%,25.67,6.38,26.26,4.04%,28.26,North East,0.00%,6.11,FTTC,0.00%,633038.0,24.13,28.88,0.00%
Sky,1374.94,421.33,0.22%,14.19,0.87,15.05,3.75%,13.6,West Midlands,0.00%,0.6,ADSL2,0.42%,34083.0,12.01,20.18,1.12%
Comcast,504.48,282.2,0.02%,218.51,20.82,217.8,9.30%,16.38,Yorkshire & Humberside,0.00%,19.16,Cable,0.00%,941352.0,218.16,11.87,0.00%
Comcast,453.68,255.66,0.01%,361.41,36.95,356.43,8.80%,14.96,West Midlands,0.00%,36.61,Cable,0.00%,1012014.0,313.78,13.99,0.00%
Verizon,817.28,373.36,0.00%,35.5,9.29,35.48,6.67%,8.73,South East,0.00%,9.25,FTTC,0.00%,182566.0,35.35,11.11,0.00%
Verizon,1011.93,110.42,0.11%,73.86,18.45,74.01,3.46%,9.95,Wales,0.00%,18.29,FTTC,0.00%,812782.0,73.54,17.48,0.00%
Verizon,592.47,110.64,0.00%,50.65,12.07,50.94,3.43%,9.1,West Midlands,0.00%,11.85,FTTC,0.08%,532372.0,50.44,10.17,0.00%
Comcast,482.94,277.21,0.01%,212.02,20.96,210.15,4.24%,18.27,Scotland,0.00%,19.93,Cable,0.00%,947286.0,198.04,21.87,0.00%
Verizon,985.03,152.44,0.03%,69.32,18.7,69.93,3.52%,15.3,Wales,0.00%,18.14,FTTC,0.00%,143966.0,66.45,16.17,0.00%
Comcast,663.88,182.52,0.00%,217.04,21.07,214.41,3.48%,18.3,East,0.00%,20.49,Cable,0.00%,148460.0,212.64,21.47,0.00%
Sky,1081.13,225.02,0.00%,36.92,16.45,37.12,3.21%,20.62,South West,0.00%,16.05,FTTC,0.00%,813909.0,36.57,23.37,0.00%
Comcast,1888.99,1024.94,0.56%,4.21,0.86,4.24,11.30%,29.23,South West,0.00%,0.7,ADSL2,0.00%,159822.0,4.15,29.13,93.18%
Verizon,1037.16,183.89,0.02%,67.22,18.55,69.71,3.51%,7.13,South East,0.00%,15.83,FTTC,0.00%,473242.0,65.45,13.06,0.00%
Comcast,640.23,273.23,0.00%,359.54,36.62,376.43,3.61%,16.48,South East,0.00%,35.3,Cable,0.00%,662360.0,353.04,12.77,0.00%
Sky,743.21,244.46,0.11%,66.38,18.48,70.09,3.76%,10.33,South West,0.00%,17.02,FTTC,0.07%,950400.0,64.24,18.16,0.00%
Verizon,2468.35,822.48,0.47%,4.83,0.74,5.42,6.93%,10.84,East,0.00%,0.43,FTTC,0.00%,849751.0,4.52,23.94,5.02%
Sky,928.0,288.3,0.00%,70.18,18.46,70.33,2.37%,19.05,Scotland,0.00%,17.25,FTTC,0.00%,660012.0,70.13,34.34,0.00%
Verizon,1024.8,267.47,0.27%,33.34,9.35,35.76,3.38%,12.23,North East,0.00%,8.38,FTTC,0.00%,143866.0,30.4,17.33,0.29%
