cell_id,table_id,column_id,row_number,column_name,source_table,source_row,source_column,error_type
46.0.0,46,0,0,isp,UK_CSV0000000000003780__7,0,isp,
46.1.0,46,1,0,you_tube_startup_delay_peak,UK_CSV0000000000003780__7,0,you_tube_startup_delay_peak,FD_VIOLATION
46.2.0,46,2,0,webloading_two_fourh,UK_CSV0000000000003780__7,0,webloading_two_fourh,FD_VIOLATION
46.3.0,46,3,0,packet_losspeak,UK_CSV0000000000003780__7,0,packet_losspeak,
46.4.0,46,4,0,download_two_zero_two_onepm,UK_CSV0000000000003780__7,0,download_two_zero_two_onepm,FD_VIOLATION
46.5.0,46,5,0,upload_two_fourmaxave,UK_CSV0000000000003780__7,0,upload_two_fourmaxave,
46.6.0,46,6,0,download_one_two_one_eightpm,UK_CSV0000000000003780__7,0,download_one_two_one_eightpm,FD_VIOLATION
46.7.0,46,7,0,you_tube_sd_two_fourhr,UK_CSV0000000000003780__7,0,you_tube_sd_two_fourhr,
46.8.0,46,8,0,latency_two_fourh,UK_CSV0000000000003780__7,0,latency_two_fourh,
46.9.0,46,9,0,region,UK_CSV0000000000003780__7,0,region,
46.10.0,46,10,0,i_player_uhd_two_fourhr,UK_CSV0000000000003780__7,0,i_player_uhd_two_fourhr,
46.11.0,46,11,0,upload_two_fourminave,UK_CSV0000000000003780__7,0,upload_two_fourminave,
46.12.0,46,12,0,technology,UK_CSV0000000000003780__7,0,technology,
46.13.0,46,13,0,dns_failurepeak,UK_CSV0000000000003780__7,0,dns_failurepeak,
46.14.0,46,14,0,unitid,UK_CSV0000000000003780__7,0,unitid,
46.15.0,46,15,0,downloadpeakminave,UK_CSV0000000000003780__7,0,downloadpeakminave,FD_VIOLATION
46.16.0,46,16,0,dns_ratepeak,UK_CSV0000000000003780__7,0,dns_ratepeak,
46.17.0,46,17,0,i_player_sd_two_fourhr,UK_CSV0000000000003780__7,0,i_player_sd_two_fourhr,
46.0.1,46,0,1,isp,UK_CSV0000000000003780__7,1,isp,
46.1.1,46,1,1,you_tube_startup_delay_peak,UK_CSV0000000000003780__7,1,you_tube_startup_delay_peak,FD_VIOLATION
46.2.1,46,2,1,webloading_two_fourh,UK_CSV0000000000003780__7,1,webloading_two_fourh,
46.3.1,46,3,1,packet_losspeak,UK_CSV0000000000003780__7,1,packet_losspeak,
46.4.1,46,4,1,download_two_zero_two_onepm,UK_CSV0000000000003780__7,1,download_two_zero_two_onepm,
46.5.1,46,5,1,upload_two_fourmaxave,UK_CSV0000000000003780__7,1,upload_two_fourmaxave,
46.6.1,46,6,1,download_one_two_one_eightpm,UK_CSV0000000000003780__7,1,download_one_two_one_eightpm,
46.7.1,46,7,1,you_tube_sd_two_fourhr,UK_CSV0000000000003780__7,1,you_tube_sd_two_fourhr,
46.8.1,46,8,1,latency_two_fourh,UK_CSV0000000000003780__7,1,latency_two_fourh,
46.9.1,46,9,1,region,UK_CSV0000000000003780__7,1,region,
46.10.1,46,10,1,i_player_uhd_two_fourhr,UK_CSV0000000000003780__7,1,i_player_uhd_two_fourhr,
46.11.1,46,11,1,upload_two_fourminave,UK_CSV0000000000003780__7,1,upload_two_fourminave,
46.12.1,46,12,1,technology,UK_CSV0000000000003780__7,1,technology,
46.13.1,46,13,1,dns_failurepeak,UK_CSV0000000000003780__7,1,dns_failurepeak,
46.14.1,46,14,1,unitid,UK_CSV0000000000003780__7,1,unitid,
46.15.1,46,15,1,downloadpeakminave,UK_CSV0000000000003780__7,1,downloadpeakminave,
46.16.1,46,16,1,dns_ratepeak,UK_CSV0000000000003780__7,1,dns_ratepeak,
46.17.1,46,17,1,i_player_sd_two_fourhr,UK_CSV0000000000003780__7,1,i_player_sd_two_fourhr,
46.0.2,46,0,2,isp,UK_CSV0000000000003780__7,2,isp,
46.1.2,46,1,2,you_tube_startup_delay_peak,UK_CSV0000000000003780__7,2,you_tube_startup_delay_peak,FD_VIOLATION
46.2.2,46,2,2,webloading_two_fourh,UK_CSV0000000000003780__7,2,webloading_two_fourh,FD_VIOLATION
46.3.2,46,3,2,packet_losspeak,UK_CSV0000000000003780__7,2,packet_losspeak,FD_VIOLATION
46.4.2,46,4,2,download_two_zero_two_onepm,UK_CSV0000000000003780__7,2,download_two_zero_two_onepm,
46.5.2,46,5,2,upload_two_fourmaxave,UK_CSV0000000000003780__7,2,upload_two_fourmaxave,
46.6.2,46,6,2,download_one_two_one_eightpm,UK_CSV0000000000003780__7,2,download_one_two_one_eightpm,FD_VIOLATION
46.7.2,46,7,2,you_tube_sd_two_fourhr,UK_CSV0000000000003780__7,2,you_tube_sd_two_fourhr,
46.8.2,46,8,2,latency_two_fourh,UK_CSV0000000000003780__7,2,latency_two_fourh,
46.9.2,46,9,2,region,UK_CSV0000000000003780__7,2,region,
46.10.2,46,10,2,i_player_uhd_two_fourhr,UK_CSV0000000000003780__7,2,i_player_uhd_two_fourhr,
46.11.2,46,11,2,upload_two_fourminave,UK_CSV0000000000003780__7,2,upload_two_fourminave,
46.12.2,46,12,2,technology,UK_CSV0000000000003780__7,2,technology,
46.13.2,46,13,2,dns_failurepeak,UK_CSV0000000000003780__7,2,dns_failurepeak,
46.14.2,46,14,2,unitid,UK_CSV0000000000003780__7,2,unitid,FD_VIOLATION
46.15.2,46,15,2,downloadpeakminave,UK_CSV0000000000003780__7,2,downloadpeakminave,
46.16.2,46,16,2,dns_ratepeak,UK_CSV0000000000003780__7,2,dns_ratepeak,
46.17.2,46,17,2,i_player_sd_two_fourhr,UK_CSV0000000000003780__7,2,i_player_sd_two_fourhr,
46.0.3,46,0,3,isp,UK_CSV0000000000003780__7,3,isp,FD_VIOLATION
46.1.3,46,1,3,you_tube_startup_delay_peak,UK_CSV0000000000003780__7,3,you_tube_startup_delay_peak,
46.2.3,46,2,3,webloading_two_fourh,UK_CSV0000000000003780__7,3,webloading_two_fourh,FD_VIOLATION
46.3.3,46,3,3,packet_losspeak,UK_CSV0000000000003780__7,3,packet_losspeak,
46.4.3,46,4,3,download_two_zero_two_onepm,UK_CSV0000000000003780__7,3,download_two_zero_two_onepm,
46.5.3,46,5,3,upload_two_fourmaxave,UK_CSV0000000000003780__7,3,upload_two_fourmaxave,
46.6.3,46,6,3,download_one_two_one_eightpm,UK_CSV0000000000003780__7,3,download_one_two_one_eightpm,FD_VIOLATION
46.7.3,46,7,3,you_tube_sd_two_fourhr,UK_CSV0000000000003780__7,3,you_tube_sd_two_fourhr,
46.8.3,46,8,3,latency_two_fourh,UK_CSV0000000000003780__7,3,latency_two_fourh,
46.9.3,46,9,3,region,UK_CSV0000000000003780__7,3,region,
46.10.3,46,10,3,i_player_uhd_two_fourhr,UK_CSV0000000000003780__7,3,i_player_uhd_two_fourhr,
46.11.3,46,11,3,upload_two_fourminave,UK_CSV0000000000003780__7,3,upload_two_fourminave,
46.12.3,46,12,3,technology,UK_CSV0000000000003780__7,3,technology,
46.13.3,46,13,3,dns_failurepeak,UK_CSV0000000000003780__7,3,dns_failurepeak,
46.14.3,46,14,3,unitid,UK_CSV0000000000003780__7,3,unitid,
