UK_CSV0000000000006729::0::record_key,UK_CSV0000000000006729::1::survey_key,UK_CSV0000000000006729::2::survey_name,UK_CSV0000000000006729::3::sample_key,UK_CSV0000000000006729::4::start_date,UK_CSV0000000000006729::5::end_date,UK_CSV0000000000006729::6::date_type,UK_CSV0000000000006729::7::location_name,UK_CSV0000000000006729::8::data_type,UK_CSV0000000000006729::9::latitude,UK_CSV0000000000006729::10::longitude,UK_CSV0000000000006729::11::projection,UK_CSV0000000000006729::12::aphia_id,UK_CSV0000000000006729::13::species,UK_CSV0000000000006729::14::uncertain,UK_CSV0000000000006729::15::abundance_sacforn,UK_CSV0000000000006729::16::is_dead,UK_CSV0000000000006729::17::sample_comment
UK_CSV0000000000006729 § 0 § 0,UK_CSV0000000000006729 § 1 § 0,UK_CSV0000000000006729 § 2 § 0,UK_CSV0000000000006729 § 3 § 0,UK_CSV0000000000006729 § 4 § 0,UK_CSV0000000000006729 § 5 § 0,UK_CSV0000000000006729 § 6 § 0,UK_CSV0000000000006729 § 7 § 0,UK_CSV0000000000006729 § 8 § 0,UK_CSV0000000000006729 § 9 § 0,UK_CSV0000000000006729 § 10 § 0,UK_CSV0000000000006729 § 11 § 0,UK_CSV0000000000006729 § 12 § 0,UK_CSV0000000000006729 § 13 § 0,UK_CSV0000000000006729 § 14 § 0,UK_CSV0000000000006729 § 15 § 0,UK_CSV0000000000006729 § 16 § 0,UK_CSV0000000000006729 § 17 § 0
UK_CSV0000000000006729 § 0 § 1,UK_CSV0000000000006729 § 1 § 1,UK_CSV0000000000006729 § 2 § 1,UK_CSV0000000000006729 § 3 § 1,UK_CSV0000000000006729 § 4 § 1,UK_CSV0000000000006729 § 5 § 1,UK_CSV0000000000006729 § 6 § 1,UK_CSV0000000000006729 § 7 § 1,UK_CSV0000000000006729 § 8 § 1,UK_CSV0000000000006729 § 9 § 1,UK_CSV0000000000006729 § 10 § 1,UK_CSV0000000000006729 § 11 § 1,UK_CSV0000000000006729 § 12 § 1,UK_CSV0000000000006729 § 13 § 1,UK_CSV0000000000006729 § 14 § 1,UK_CSV0000000000006729 § 15 § 1,UK_CSV0000000000006729 § 16 § 1,UK_CSV0000000000006729 § 17 § 1
UK_CSV0000000000006729 § 0 § 2,UK_CSV0000000000006729 § 1 § 2,UK_CSV0000000000006729 § 2 § 2,UK_CSV0000000000006729 § 3 § 2,UK_CSV0000000000006729 § 4 § 2,UK_CSV0000000000006729 § 5 § 2,UK_CSV0000000000006729 § 6 § 2,UK_CSV0000000000006729 § 7 § 2,UK_CSV0000000000006729 § 8 § 2,UK_CSV0000000000006729 § 9 § 2,UK_CSV0000000000006729 § 10 § 2,UK_CSV0000000000006729 § 11 § 2,UK_CSV0000000000006729 § 12 § 2,UK_CSV0000000000006729 § 13 § 2,UK_CSV0000000000006729 § 14 § 2,UK_CSV0000000000006729 § 15 § 2,UK_CSV0000000000006729 § 16 § 2,UK_CSV0000000000006729 § 17 § 2
UK_CSV0000000000006729 § 0 § 3,UK_CSV0000000000006729 § 1 § 3,UK_CSV0000000000006729 § 2 § 3,UK_CSV0000000000006729 § 3 § 3,UK_CSV0000000000006729 § 4 § 3,UK_CSV0000000000006729 § 5 § 3,UK_CSV0000000000006729 § 6 § 3,UK_CSV0000000000006729 § 7 § 3,UK_CSV0000000000006729 § 8 § 3,UK_CSV0000000000006729 § 9 § 3,UK_CSV0000000000006729 § 10 § 3,UK_CSV0000000000006729 § 11 § 3,UK_CSV0000000000006729 § 12 § 3,UK_CSV0000000000006729 § 13 § 3,UK_CSV0000000000006729 § 14 § 3,UK_CSV0000000000006729 § 15 § 3,UK_CSV0000000000006729 § 16 § 3,UK_CSV0000000000006729 § 17 § 3
UK_CSV0000000000006729 § 0 § 4,UK_CSV0000000000006729 § 1 § 4,UK_CSV0000000000006729 § 2 § 4,UK_CSV0000000000006729 § 3 § 4,UK_CSV0000000000006729 § 4 § 4,UK_CSV0000000000006729 § 5 § 4,UK_CSV0000000000006729 § 6 § 4,UK_CSV0000000000006729 § 7 § 4,UK_CSV0000000000006729 § 8 § 4,UK_CSV0000000000006729 § 9 § 4,UK_CSV0000000000006729 § 10 § 4,UK_CSV0000000000006729 § 11 § 4,UK_CSV0000000000006729 § 12 § 4,UK_CSV0000000000006729 § 13 § 4,UK_CSV0000000000006729 § 14 § 4,UK_CSV0000000000006729 § 15 § 4,UK_CSV0000000000006729 § 16 § 4,UK_CSV0000000000006729 § 17 § 4
UK_CSV0000000000006729 § 0 § 5,UK_CSV0000000000006729 § 1 § 5,UK_CSV0000000000006729 § 2 § 5,UK_CSV0000000000006729 § 3 § 5,UK_CSV0000000000006729 § 4 § 5,UK_CSV0000000000006729 § 5 § 5,UK_CSV0000000000006729 § 6 § 5,UK_CSV0000000000006729 § 7 § 5,UK_CSV0000000000006729 § 8 § 5,UK_CSV0000000000006729 § 9 § 5,UK_CSV0000000000006729 § 10 § 5,UK_CSV0000000000006729 § 11 § 5,UK_CSV0000000000006729 § 12 § 5,UK_CSV0000000000006729 § 13 § 5,UK_CSV0000000000006729 § 14 § 5,UK_CSV0000000000006729 § 15 § 5,UK_CSV0000000000006729 § 16 § 5,UK_CSV0000000000006729 § 17 § 5
UK_CSV0000000000006729 § 0 § 6,UK_CSV0000000000006729 § 1 § 6,UK_CSV0000000000006729 § 2 § 6,UK_CSV0000000000006729 § 3 § 6,UK_CSV0000000000006729 § 4 § 6,UK_CSV0000000000006729 § 5 § 6,UK_CSV0000000000006729 § 6 § 6,UK_CSV0000000000006729 § 7 § 6,UK_CSV0000000000006729 § 8 § 6,UK_CSV0000000000006729 § 9 § 6,UK_CSV0000000000006729 § 10 § 6,UK_CSV0000000000006729 § 11 § 6,UK_CSV0000000000006729 § 12 § 6,UK_CSV0000000000006729 § 13 § 6,UK_CSV0000000000006729 § 14 § 6,UK_CSV0000000000006729 § 15 § 6,UK_CSV0000000000006729 § 16 § 6,UK_CSV0000000000006729 § 17 § 6
UK_CSV0000000000006729 § 0 § 7,UK_CSV0000000000006729 § 1 § 7,UK_CSV0000000000006729 § 2 § 7,UK_CSV0000000000006729 § 3 § 7,UK_CSV0000000000006729 § 4 § 7,UK_CSV0000000000006729 § 5 § 7,UK_CSV0000000000006729 § 6 § 7,UK_CSV0000000000006729 § 7 § 7,UK_CSV0000000000006729 § 8 § 7,UK_CSV0000000000006729 § 9 § 7,UK_CSV0000000000006729 § 10 § 7,UK_CSV0000000000006729 § 11 § 7,UK_CSV0000000000006729 § 12 § 7,UK_CSV0000000000006729 § 13 § 7,UK_CSV0000000000006729 § 14 § 7,UK_CSV0000000000006729 § 15 § 7,UK_CSV0000000000006729 § 16 § 7,UK_CSV0000000000006729 § 17 § 7
UK_CSV0000000000006729 § 0 § 8,UK_CSV0000000000006729 § 1 § 8,UK_CSV0000000000006729 § 2 § 8,UK_CSV0000000000006729 § 3 § 8,UK_CSV0000000000006729 § 4 § 8,UK_CSV0000000000006729 § 5 § 8,UK_CSV0000000000006729 § 6 § 8,UK_CSV0000000000006729 § 7 § 8,UK_CSV0000000000006729 § 8 § 8,UK_CSV0000000000006729 § 9 § 8,UK_CSV0000000000006729 § 10 § 8,UK_CSV0000000000006729 § 11 § 8,UK_CSV0000000000006729 § 12 § 8,UK_CSV0000000000006729 § 13 § 8,UK_CSV0000000000006729 § 14 § 8,UK_CSV0000000000006729 § 15 § 8,UK_CSV0000000000006729 § 16 § 8,UK_CSV0000000000006729 § 17 § 8
