country_code,country_name,region_code,region_geography_code,region_name,sub_region_code,sub_region_geography_code,sub_region_name,area_team_code,area_team_geography_code,area_team_name,periodenddate,yearvalue,sourcevalue,variablevalue,raw_value,adjusted_value
E1,England,Y55,E40000002,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,Q79,E39000029,NHS ENGLAND EAST,Q57,E39000014,ESSEX AREA TEAM,31/03/2016,2015/16,Repairs_report,ESTthrLensFOne,0.0,0.0
E1,England,Y54,E40000001,NORTH OF ENGLAND COMMISSIONING REGION,Q74,E39000027,NHS ENGLAND SOUTH WEST,Q45,E39000002,"DURHAM, DARLINGTON AND TEES AREA TEAM",13/03/2016,2015/16,Voucher_report,ESTtwoBJSA,699.0,771.1109368
E1,England,Y57,E40000004,SOUTH OF ENGLAND COMMISSIONING REGION,Q80,E39000036,NHS ENGLAND SOUTH WEST,Q66,E39000021,"DEVON, CORNWALL AND ISLES OF SCILLY AREA TEAM",31/03/2016,2015/16,Voucher_report,ESTtwoFCU16,0.0,0.0
E1,England,Y55,E40000004,SOUTH OF ENGLAND COMMISSIONING REGION,Q80,E39000029,NHS ENGLAND EAST,Q59,E39000020,"BRISTOL, NORTH SOMERSET, SOMERSET AND SOUTH GLOUCESTERSHIRE AREA TEAM",31/03/2016,2015/16,Repairs_report,ESTthrLensTintBoth,7.0,7.0
E1,England,Y54,E40000001,NORTH OF ENGLAND COMMISSIONING REGION,Q74,E39000027,NHS ENGLAND YORKSHIRE AND HUMBER,Q59,E39000002,"DURHAM, DARLINGTON AND TEES AREA TEAM",31/03/0216,2015/16,Voucher_report,ESTthrLensTintBoth,12.0,13.237956
E1,England,Y55,E40000002,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,Q78,E39000027,NHS ENGLAND CENTRAL MIDLANDS,Q45,E39000016,LEICESTERSHIRE AND LINCOLNSHIRE AREA TEAM,31/03/2016,2015/16,Sight_test,ESTthrLensTintBoth,10538.0,0.0
E1,England,Y57,E40000004,SOUTH OF ENGLAND COMMISSIONING REGION,Q71,E39000035,NHS ENGLAND SOUTH WEST,Q57,E39000016,KENT AND MEDWAY AREA TEAM,31/03/2016,2015/16,Voucher_report,ESTthrLensTintBoth,0.0,13.237956
E1,England,Y54,E40000001,NORTH OF ENGLAND COMMISSIONING REGION,Q80,E39000036,NHS ENGLAND WESSEX,Q66,E39000016,GREATER MANCHESTER AREA TEAM,31/03/2016,2015/16,Repairs_report,ESTthrLensHOne,1.0,7.0
E1,England,Y55,E40000002,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,Q80,E39000033,NHS ENGLAND SOUTH WEST,Q53,E39000010,"ARDEN, HEREFORDSHIRE AND WORCESTERSHIRE AREA TEAM",31/03/2016,2015/16,Voucher_report,ESTthrLensFOne,55.0,771.1109368
E1,hEngland,Y55,E40000004,SOUTH OF ENGLAND COMMISSIONING REGION,Q80,E39000029,NHS ENGLAND SOUTH WEST,Q53,E39000002,"BRISTOL, NORTH SOMERSET, SOMERSET AND SOUTH GLOUCESTERSHIRE AREA TEAM",31/03/2016,2015/16,Voucher_report,ESTthrLensHOne,0.0,7.0
E1,England,Y54,E40000001,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,Q72,E39000029,NHS ENGLAND YORKSHIRE AND HUMBER,Q68,E39000010,WEST YORKSHIRE AREA TEAM,31/03/2016,2015/16,Voucher_report,ESTthrLensHOne,0.0,0.0
E1,England,Y55,E40000002,SOUTH OF ENGLAND COMMISSIONING REGION,Q81,E39000029,NHS ENGLAND EAST,Q68,E39000010,SURREY AND SUSSEX AREA TEAM,31/03/2016,2015/16,Repairs_report,ESTthrLensTotalOne,435.0,0.0
E1,England,Y55,E40000002,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,Q80,E39000027,NHS ENGLAND YORKSHIRE AND HUMBER,Q59,E39000002,LEICESTERSHIRE AND LINCOLNSHIRE AREA TEAM,31/03/2016,2015/16,Voucher_report,ESTthrLensTotalOne,36.0,7.0
E1,England,Y54,E40000003,LONDON COMMISSIONING REGION,Q71,E39000018,NHS ENGLAND YORKSHIRE AND HUMBER,Q53,E39000002,"DURHAM, DARLINGTON AND TEES AREA TEAM",31/03/2016,2015/16,Repairs_report,ESTtwoFCU16,549.0,0.0
1E,Engladn,Y55,E40000004,NORTH OF ENGLAND COMMISSIONING REGION,Q74,E39000018,NHS ENGLAND YORKSHIRE AND HUMBER,Q59,E39000021,HERTFORDSHIRE AND THE SOUTH MIDLANDS AREA TEAM,31/03/2016,2015/16,Voucher_report,ESTthrLensHOne,11116.0,0.0
E1,Enhgland,Y57,E40000004,SOUTH OF ENGLAND COMMISSIONING REGION,Q79,E39000030,NHS ENGLAND CENTRAL MIDLANDS,Q68,E39000021,THAMES VALLEY AREA TEAM,31/03/2061,2015/16,Voucher_report,ESTthrLensTotalOne,0.0,7.0
