record_key,survey_key,survey_name,sample_key,start_date,end_date,date_type,location_name,data_type,latitude,longitude,projection,aphia_id,species,uncertain,abundance_sacforn,is_dead,sample_comment
JNCCMNCR10244703,JNCCMNCR10000228,1977 UCNW Bardsey Island survey,JNCCMNCR10010485,1977-01-01,1977-12-31,DD,Bae Henllwyn (Bardsey Island),Point,52.7527294660292,-4.79601901141549,WGS84,144549.0,Ceramium gaditanum,False,C,False,"A flat rocky area facing south-easterly with boulders and some silty mud and sand, mainly covered by Ascophyllum, some Fucus vesiculosus and F. serratus. Pelvetia was found on the upper shore and much Himanthalia at lower levels and in pools. In the upper littoral, there were shallow pools with rock bottoms; at lower levels, the pools often contained shingle. On the southern side of the bay there were many gullies, overhangs and crevices containing a rich anemone and sponge community. Patella was fairly common but Balanus cover was low over the whole bay. The fauna under the boulders was dominated by the tail-less lugworm Arenicola ecaudata, with other annelids."
JNCCMNCR10248517,JNCCMNCR10000228,1977 UCNW Bardsey Island survey,JNCCMNCR10010590,1977-01-01,1977-12-31,DD,Bae Henllwyn (Bardsey Island),Point,52.7527992561698,-4.79305934525138,WGS84,126792.0,Callionymus lyra,False,C,False,"This was the only site which consisted mostly of soft bottom material occasionally interrupted by a small rock outcrop. Three major zones were distinguished. The limit of the Laminaria zone was at a depth of about 10m; its extension was restricted rather by the absence of rock than by the attenuation of light due to depth. The rock gave way to small boulders and a mixture of silty mud and coarse gravel, characterised by large species such as Axinellid sponges, Polymastia and Asterias. In a depth of about 13.5m, this zone merged into a coarse shelly sand and mud mixture with occasional rock outcrops; here sand waves indicated bottom mobility. Flustra was present on the rock as well as Axinellid sponges, while Cerianthus, Corymorpha and Cancer were prominent on the mud. At about 17m depth (point z) stones and boulders began to appear with some mud and shell debris. The stones were characterised by the presence of Alcyonidium gelatinosum and Bugula spp. together with various hydroids such as Nemertesia spp.."
JNCCMNCR10245836,JNCCMNCR10000228,1977 UCNW Bardsey Island survey,JNCCMNCR10010515,1977-01-01,1977-12-31,DD,Pen Cristin (Bardsey Island),Point,52.7529734259221,-4.78566012539679,WGS84,103788.0,Molgula manhattensis,True,R,False,"This was a very gently sloping area of shelly mud and stones. Pentapora foliacea and tufts of Aglaophenia tubulifera were occasionally noted. All the rocks below the algal zone possessed a dense `undergrowth fauna' of hydroids and still more numerous bryozoans such as Bugula spp. Off Pen Cristin and to the south west are several large rocky reefs rising up to 12m from the bottom. These bore a rich variety of sponges (Axinellids), anemones such as Epizoanthus couchi and Corynactis viridis as well as lobsters and crawfish."
JNCCMNCR10248515,JNCCMNCR10000228,1977 UCNW Bardsey Island survey,JNCCMNCR10010590,1977-01-01,1977-12-31,DD,Bae Henllwyn (Bardsey Island),Point,52.7527992561698,-4.79305934525138,WGS84,103788.0,Molgula manhattensis,False,C,False,"This was the only site which consisted mostly of soft bottom material occasionally interrupted by a small rock outcrop. Three major zones were distinguished. The limit of the Laminaria zone was at a depth of about 10m; its extension was restricted rather by the absence of rock than by the attenuation of light due to depth. The rock gave way to small boulders and a mixture of silty mud and coarse gravel, characterised by large species such as Axinellid sponges, Polymastia and Asterias. In a depth of about 13.5m, this zone merged into a coarse shelly sand and mud mixture with occasional rock outcrops; here sand waves indicated bottom mobility. Flustra was present on the rock as well as Axinellid sponges, while Cerianthus, Corymorpha and Cancer were prominent on the mud. At about 17m depth (point z) stones and boulders began to appear with some mud and shell debris. The stones were characterised by the presence of Alcyonidium gelatinosum and Bugula spp. together with various hydroids such as Nemertesia spp.."
JNCCMNCR10247788,JNCCMNCR10000228,1977 UCNW Bardsey Island survey,JNCCMNCR10010567,1977-01-01,1977-12-31,DD,Ogof Barcut (Bardsey Island),Point,52.7575671571712,-4.78150660752752,WGS84,103788.0,Molgula manhattensis,True,C,False,"The bottom consisted of shelly mud and stones and prominent species included Crisiidae, Alcyonidium gelatinosum and Epizoanthus couchii."
JNCCMNCR10248843,JNCCMNCR10000228,1977 UCNW Bardsey Island survey,JNCCMNCR10010599,1977-01-01,1977-12-31,DD,E of Maen Du (Bardsey Island),Point,52.7454415849156,-4.79999776091408,WGS84,140684.0,Patella ulyssiponensis,False,C,False,"This shore, which had a south south-easterly aspect, had as its dominant (80-90% cover) Balanus/Patella with Chthamalus at the top. A shallow shelf occurred in the lower littoral with many gullies and coralline pools. Above this, the shore was steeper and backed by high cliffs. Laminaria and Alaria fringed the lower shore while Pelvetia occurred higher up. Between here and Maen Du there was a narrow steep-sided inlet, about 20-30m long with a boulder bottom; Chthamalus extends right to the top of this inlet."
JNCCMNCR10249169,JNCCMNCR10000228,1977 UCNW Bardsey Island survey,JNCCMNCR10010605,1977-01-01,1977-12-31,DD,Porth Solfach (Bardsey Island),Point,52.7563209914779,-4.79624908344971,WGS84,140684.0,Patella ulyssiponensis,False,O,False,"This beach faced WNW, and consisted of a rocky shelf with boulders, sand and shingle at the top. Large areas of drift weed were found to accumulate in the bay. Pelvetia, Ascophyllum, Fucus vesiculosus and Fucus serratus were very common and the barnacle cover was about 30%. Many sandy-bottomed pools occurred in midshore whilst lower down there were many overhangs and crevices. On the lower shore the rocks were covered with sand and silt; some Codium is found at this level. Near low water more gravel occurs. Arenicoloides ecaudata was found under boulders, together with Platynereis coccinea."
JNCCMNCR10246006,JNCCMNCR10000228,1977 UCNW Bardsey Island survey,JNCCMNCR10010519,1977-01-01,1977-12-31,DD,E of Cafn Enlli (2) (Bardsey Island),Point,52.753766870161,-4.79015705952262,WGS84,140684.0,Patella ulyssiponensis,False,C,False,"This was a medium-sloping shore with a SE aspect, bearing a mixed Ascophyllum/Fucus/Balanus/Patella community, indicating a `semi-sheltered' condition. Less Fucus was found to the west where the shore becomes steeper. Balanus cover was 50% to 80% on parts of the midshore. Lower down were many pools with encrusting coralline floors. Himanthalia was abundant on open rock and in pools. A limestone band was present similar to that at Maen Du, pitted by Patella and some Hiatella holes containing anemones (Cereus?). On this the cover was mostly Audouinella with encrusting coralline algae and Corallina together with a little Balanus and Fucus. Shells of the boring bivalve Hiatella as well as burrows of the polychaete Polydora were found in the limestone."
JNCCMNCR10247209,JNCCMNCR10000228,1977 UCNW Bardsey Island survey,JNCCMNCR10010553,1977-01-01,1977-12-31,DD,N of Pen Cristin (Bardsey Island),Point,52.7575671571712,-4.78150660752752,WGS84,140684.0,Patella ulyssiponensis,False,C,False,"A steep grassy slope made access to the rocky shore difficult. The upper and mid shore was steep but the slope eased lower down to form a platform with shallow coralline pools. Beyond this there was a steep drop into the sublittoral, fringed with Alaria and Laminaria. Apart from red algae on the lower shore and a Chthamalus belt at the top the shore was dominated by Balanus (70%-80% cover) and Patella."
JNCCMNCR10249315,JNCCMNCR10000228,1977 UCNW Bardsey Island survey,JNCCMNCR10010608,1977-01-01,1977-12-31,DD,N of Porth Solfach (1) (Bardsey Island),Point,52.7581167592054,-4.79636413768393,WGS84,140684.0,Patella ulyssiponensis,False,O,False,This flat rock and boulder shore had a Westerly aspect; the top being bare and slimy. There were many large and small `coralline' pools. Balanus cover up to 50% occurred in places together with abundant Patella and some fucoids.
JNCCMNCR10244663,JNCCMNCR10000228,1977 UCNW Bardsey Island survey,JNCCMNCR10010485,1977-01-01,1977-12-31,DD,Bae Henllwyn (Bardsey Island),Point,52.7527294660292,-4.79601901141549,WGS84,140684.0,Patella ulyssiponensis,False,R,False,"A flat rocky area facing south-easterly with boulders and some silty mud and sand, mainly covered by Ascophyllum, some Fucus vesiculosus and F. serratus. Pelvetia was found on the upper shore and much Himanthalia at lower levels and in pools. In the upper littoral, there were shallow pools with rock bottoms; at lower levels, the pools often contained shingle. On the southern side of the bay there were many gullies, overhangs and crevices containing a rich anemone and sponge community. Patella was fairly common but Balanus cover was low over the whole bay. The fauna under the boulders was dominated by the tail-less lugworm Arenicola ecaudata, with other annelids."
JNCCMNCR10245748,JNCCMNCR10000228,1977 UCNW Bardsey Island survey,JNCCMNCR10010514,1977-01-01,1977-12-31,DD,N of Ogof Lladron (2) (Bardsey Island),Point,52.7462694987327,-4.80301455029953,WGS84,140684.0,Patella ulyssiponensis,False,C,False,"Steep rock at the top of the shore shelved off to a platform fringed by Laminaria. The dominant cover was Chthamalus spp. and Balanus balanoides, with occasional fucoids. Some shallow coralline pools were present."
JNCCMNCR10244262,JNCCMNCR10000228,1977 UCNW Bardsey Island survey,JNCCMNCR10010474,1977-01-01,1977-12-31,DD,N of Ogof Hir (Bardsey Island),Point,52.7662326038567,-4.79540175246574,WGS84,140684.0,Patella ulyssiponensis,False,C,False,"The shore faced WSW, the upper part was steep but lower down it flattened into an area of pools with encrusting coralline cover on the bottoms. The upper and mid shore pools were deep but those lower down were large and shallow. The lower shore dropped steeply into the sea. The major cover was Balanus, Chthamalus and Patella with occasional fucoids."
JNCCMNCR10245388,JNCCMNCR10000228,1977 UCNW Bardsey Island survey,JNCCMNCR10010505,1977-01-01,1977-12-31,DD,E side of Trwyn y Gorlech (Bardsey Island),Point,52.7680981716414,-4.79255611210722,WGS84,140684.0,Patella ulyssiponensis,False,C,False,"These steep, barnacle covered shores faced NNE, and were backed by cliffs; small rock platforms occurred lower down the shore. Fucoids were rare, the main cover consisting of Balanus, Chthamalus and Patella around a few coralline pools."
