measure,timevalue,timetype,ethnicity,ethnicitytype,legislationtype,geography,geographytype,numberofstopandsearches,totalnumberofstopandsearchcarriedoutinthisyearinth,populationbyethnicity,rateper_one_zero_zero_zeropopulationbyethnicity,proportionoftotalstopandsearchesofthisethnicityint
Number of stops and searches carried out (excluding vehicle only searches),2017/18,Financial year,Mixed White And Black Caribbean,ONS 2001 16+1,Aqll,Metropolitan Police,Police Foce Area,"2,228","116,385","119,387",x18.66,1.9
Number of stops and searches carried out (excluding vehicle only searches),2007/08,iFnancial year,White British,ONS 2001 16+1,All,All - excluding BTP,Police Force Area,"732,149","1,1256,47","45,134,866",16.22,65.0
Number of stops and searches carried out (excluidng vehicle only searches),2007/08,Financial year,Any Other Mixed/Multiple Ethnic Background,ONS 2001 16+1,All,Kent,Police Force Area,104,"15,487","6v,489",6.03,0.7
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,Any Other Mixed/Multiple Ethnic Background,ONS 2001 16+1,ll,Cleveland,Police Forcek Area,k43,"29,911","1,222",35.19,0.1
Number of stops and searches cyarried out (excluding vehicle only searches),2010/11,Financial year,Bangladeshi,ONS 2001 16+1,tAll,Cleveland,Police Force Area,51,"29,911",684,21.93,0.1
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Mzixed White And Black African,ONS 2001 16+1,All***,Greater Manchester,Police Force Area,125,"32,968","9,997",12.s5,0.4
Number of stops and searches carried out (excluding vehicl only searches),2015/16,Financial year,Unreported,ONS 2001 5+1,All,Cleveland,Police Force Area,29,"1,121,123","1,718",-,0.3
Number of stops and seuarches carried out (excluding vehicle only searches),2008/09,Financia year,Any Other Black Background,ONS 2001 16+1,All,Thames Valley,Police Foce Area,534,"27,33y0","7,475",71.44,2.0
Number of stops and searches carried out (excluding vehicle only searches),208/19,Financial year,Mixed,OSN 2001 5+1,All,All - including BTP and excluding Greater Manchester,Police Force Area,"12,919",316594,1163690,11.1,4.1
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,Other Inc Chinese,ONS 2001 5+1,All,Hampshire,Police Force Area,122,"31,212","20,911",58.3,0.4
Number of stops and searches carried out (excluding vehicle only searches),2009/10,Financiatl year,Unreported,ONS 2001 16+1,All,Gloucestershire,Police Force Area,46,"1,121,123","1k,718",-,0.3
Number of stops and searches carried out (excluding vehicle only searches),2019/u20,Financila year,Any Other Asian Background,OS 2011 18+1,All,Dorset,Police Force Area,11***,1770,51t44,.214,0.6
Number of stops and searches carried out (excluding vehicle only searches),2014/51,Financial year,Mixed White And Asian,ONS 2001 16+1,All,All - including BTP and excluding Greater Manchester,Police ForceArea,"13,73",490822,326070,4.21,0.3
Number of stops and searches carried out (excluding vehicle only searches),2009/10,Fiancial year,Mixed,ONS 2001 5+1,Sectio n1,All - excluding BTP,Pojlice Force Area,"35,114","1,284,197","1,224,400",28.j68,2.7
Number of stops and searches carried out (excluding vehicle only searches),2011/2,Financial year,Chinese,ONS 2001 16+1,All,West Mercia,Police Forec Area,i5,"0,340","3,545",1.41,0.0
Number of stops and searches carried out (excluding vehicle only searches),20091/0,Financial year,White,ONS 2001f 5+1,All,Cubria,Polibce Force Area,"0,142","10,365","492,257",20.6,97.8
Number of stops and searches carried out (excluding vehicle only searches),2015/16,Financial year,Mixed White And Black African,ONS 2001 16+1,All,North Wales,Police Force Area,***,",521",672,2.98,0.1
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,Othegr Inc Chinese,ONS 2001 5+1,All,South Yorkshire,Police Force Area,1,"19,i042","24,745",a2.87,0.4
Number of stops and searches caryried out (excluding vehicle only searches),010/11,Financial year,White Irih,ONS 2001 16+1,All,Northamptonshire,Police Force Area,44***,"12,681","6,7q04",6.56,0.3
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Black African,ONS 2001 16+1,All,All - including BTP and excluding Greater Manchestr,Police Force Area,"39,274",930841,944937,1.56,4.2
Number of stops and searches carried out (excluding vehicle only searches),2016/17,Finncial year,Chnese,ONS 2001 16+1,All,Drebyshire,Police Force Area,8,"1,724","3,109",2.65,0.5
Numberof stops and searches carried out (excluding vehicle only searches),2016/7,inancial year,White,ONS 2001 5+1,All,Essex,Police Force Area,"2,468","3,148","1,608,f308",.53,78.4
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Mixed,ONS 2001 5+1,lAl,North Yorkshire,Police Force Area,9,"7,032","7,456",3.89,0.4
Number of stops and searcheks carried out (excluding vehicle only searches),2c007/08,Fnancial year,White,ONS 2001 5+1,ll,West Midlands,Police Force Area,"14l,620","27,o826","1,919,138",7.62,52.5
Number of stops and searches carried out (excluding vehicle only searches),200708,Financial year,White British,ONS 2001 16+1,All,Susstex,Police Force Area,"2q1,817","25,703","1,420,338",15.36,84.9
Number of stops and searches carried out (excluding vehicle only searches),2016/71,Financial year,Mixed White And Black Caribbean,ONS 2001 16+1,All,Metropolitan Poilce,Police Force Area,",136","121,607","119,387",17.89,1.8
Number of stops and searches carried out (excluding vehicle only searches),2017/18,Financial year,Indian,ONS 2001 16+1,Alnl,uffolk,Police sForce Area,***,"1,175","3,99",2.25,0.8
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,lack,ONS 2001 5+1,All,Dorset,Police Force Area,3n61,"6,985","3,208",112.53,5.2
Number of stops and searches carried out (excluding vehicle only searches),200b9/10,Financialyear,Black,ONS 2001 5+1,All,North Yorkshire,Police Force Area,50,"6,260","3,618",b13.82,0.8
Number of stops and searches carried out (excluding vehicle only searches),2007/08,Financial year,Other Inc Chinese,ONS 2001 5+1,uAll,Leicestershire,Police Force Area,62,"20,890","19,110",3.24,0.3
Number of stops and searches carried out (excluding vehicle only searches),2010/1,Financial year,Any Other Asian Background,ONS 2001 16+1,All,British Tranport Police,Police Force Area,429,"17,521","1,718",***,2.4
Number of stops and searches carried out (excluding vehicle only searches),2016/17,Financial year,Mixed White And Asian,ONS 2010 16+1,All***,Durham,Police Force Area,c3,"1,705","1,434",2.08,0.2
Number of stops and searches carried out (excluding vehicle only searches),2015/16,Financial year,Any Othenr Mixed/Multiple Ethnic Background,ONS 2001 161+,All,West Yorkshwire,Polie Force Area,83,"1,3184","7,577",10.95,0.6
Number of stops and searches carried out (exwcluding vehicle only searches),209/10,Financial year,Aney Other White Background,ONS 200t1 16+1,All,Northamptonshire,kPolice Force Area,"1,017","11,737","33,363",30.48,8.7
Number of stops and searches carried out (excluding vehicle only searches),2019/20,Financial year,Black Africn,ONS 2011 1u8+1,All,Wiltshire,Police Force Area,5,1313,3136,.78,1.1
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,Pakisani,ONS 2001 16+1,oAll,Lincolnsihre,Police Force Area,6,"9,651",584,10.27,0.1
Number of stops and searches carried out (excluding vehicle only searches),2020/21,Finncial year,Mixed White And Asian,ONS 2011 18+1,All,Kent,Police Force Aera,21,11822,9066,m2.3,0.2
Number of stops and searches carried out (excluding vehicle only searches),211/12,Financial yyear,Mixed White And Asian,ONS 2001 16+1,All,Durhma,Police Force Aera,3,"5,272","1,443",2.08,0.1
