UK_CSV0000000000026508::0::measure,UK_CSV0000000000026508::1::timevalue,UK_CSV0000000000026508::2::timetype,UK_CSV0000000000026508::3::ethnicity,UK_CSV0000000000026508::4::ethnicitytype,UK_CSV0000000000026508::5::legislationtype,UK_CSV0000000000026508::6::geography,UK_CSV0000000000026508::7::geographytype,UK_CSV0000000000026508::8::numberofstopandsearches,UK_CSV0000000000026508::9::totalnumberofstopandsearchcarriedoutinthisyearinth,UK_CSV0000000000026508::10::populationbyethnicity,UK_CSV0000000000026508::11::rateper_one_zero_zero_zeropopulationbyethnicity,UK_CSV0000000000026508::12::proportionoftotalstopandsearchesofthisethnicityint
UK_CSV0000000000026508 § 0 § 0,UK_CSV0000000000026508 § 1 § 0,UK_CSV0000000000026508 § 2 § 0,UK_CSV0000000000026508 § 3 § 0,UK_CSV0000000000026508 § 4 § 0,UK_CSV0000000000026508 § 5 § 0,UK_CSV0000000000026508 § 6 § 0,UK_CSV0000000000026508 § 7 § 0,UK_CSV0000000000026508 § 8 § 0,UK_CSV0000000000026508 § 9 § 0,UK_CSV0000000000026508 § 10 § 0,UK_CSV0000000000026508 § 11 § 0,UK_CSV0000000000026508 § 12 § 0
UK_CSV0000000000026508 § 0 § 1,UK_CSV0000000000026508 § 1 § 1,UK_CSV0000000000026508 § 2 § 1,UK_CSV0000000000026508 § 3 § 1,UK_CSV0000000000026508 § 4 § 1,UK_CSV0000000000026508 § 5 § 1,UK_CSV0000000000026508 § 6 § 1,UK_CSV0000000000026508 § 7 § 1,UK_CSV0000000000026508 § 8 § 1,UK_CSV0000000000026508 § 9 § 1,UK_CSV0000000000026508 § 10 § 1,UK_CSV0000000000026508 § 11 § 1,UK_CSV0000000000026508 § 12 § 1
UK_CSV0000000000026508 § 0 § 2,UK_CSV0000000000026508 § 1 § 2,UK_CSV0000000000026508 § 2 § 2,UK_CSV0000000000026508 § 3 § 2,UK_CSV0000000000026508 § 4 § 2,UK_CSV0000000000026508 § 5 § 2,UK_CSV0000000000026508 § 6 § 2,UK_CSV0000000000026508 § 7 § 2,UK_CSV0000000000026508 § 8 § 2,UK_CSV0000000000026508 § 9 § 2,UK_CSV0000000000026508 § 10 § 2,UK_CSV0000000000026508 § 11 § 2,UK_CSV0000000000026508 § 12 § 2
UK_CSV0000000000026508 § 0 § 3,UK_CSV0000000000026508 § 1 § 3,UK_CSV0000000000026508 § 2 § 3,UK_CSV0000000000026508 § 3 § 3,UK_CSV0000000000026508 § 4 § 3,UK_CSV0000000000026508 § 5 § 3,UK_CSV0000000000026508 § 6 § 3,UK_CSV0000000000026508 § 7 § 3,UK_CSV0000000000026508 § 8 § 3,UK_CSV0000000000026508 § 9 § 3,UK_CSV0000000000026508 § 10 § 3,UK_CSV0000000000026508 § 11 § 3,UK_CSV0000000000026508 § 12 § 3
UK_CSV0000000000026508 § 0 § 4,UK_CSV0000000000026508 § 1 § 4,UK_CSV0000000000026508 § 2 § 4,UK_CSV0000000000026508 § 3 § 4,UK_CSV0000000000026508 § 4 § 4,UK_CSV0000000000026508 § 5 § 4,UK_CSV0000000000026508 § 6 § 4,UK_CSV0000000000026508 § 7 § 4,UK_CSV0000000000026508 § 8 § 4,UK_CSV0000000000026508 § 9 § 4,UK_CSV0000000000026508 § 10 § 4,UK_CSV0000000000026508 § 11 § 4,UK_CSV0000000000026508 § 12 § 4
UK_CSV0000000000026508 § 0 § 5,UK_CSV0000000000026508 § 1 § 5,UK_CSV0000000000026508 § 2 § 5,UK_CSV0000000000026508 § 3 § 5,UK_CSV0000000000026508 § 4 § 5,UK_CSV0000000000026508 § 5 § 5,UK_CSV0000000000026508 § 6 § 5,UK_CSV0000000000026508 § 7 § 5,UK_CSV0000000000026508 § 8 § 5,UK_CSV0000000000026508 § 9 § 5,UK_CSV0000000000026508 § 10 § 5,UK_CSV0000000000026508 § 11 § 5,UK_CSV0000000000026508 § 12 § 5
UK_CSV0000000000026508 § 0 § 6,UK_CSV0000000000026508 § 1 § 6,UK_CSV0000000000026508 § 2 § 6,UK_CSV0000000000026508 § 3 § 6,UK_CSV0000000000026508 § 4 § 6,UK_CSV0000000000026508 § 5 § 6,UK_CSV0000000000026508 § 6 § 6,UK_CSV0000000000026508 § 7 § 6,UK_CSV0000000000026508 § 8 § 6,UK_CSV0000000000026508 § 9 § 6,UK_CSV0000000000026508 § 10 § 6,UK_CSV0000000000026508 § 11 § 6,UK_CSV0000000000026508 § 12 § 6
UK_CSV0000000000026508 § 0 § 7,UK_CSV0000000000026508 § 1 § 7,UK_CSV0000000000026508 § 2 § 7,UK_CSV0000000000026508 § 3 § 7,UK_CSV0000000000026508 § 4 § 7,UK_CSV0000000000026508 § 5 § 7,UK_CSV0000000000026508 § 6 § 7,UK_CSV0000000000026508 § 7 § 7,UK_CSV0000000000026508 § 8 § 7,UK_CSV0000000000026508 § 9 § 7,UK_CSV0000000000026508 § 10 § 7,UK_CSV0000000000026508 § 11 § 7,UK_CSV0000000000026508 § 12 § 7
UK_CSV0000000000026508 § 0 § 8,UK_CSV0000000000026508 § 1 § 8,UK_CSV0000000000026508 § 2 § 8,UK_CSV0000000000026508 § 3 § 8,UK_CSV0000000000026508 § 4 § 8,UK_CSV0000000000026508 § 5 § 8,UK_CSV0000000000026508 § 6 § 8,UK_CSV0000000000026508 § 7 § 8,UK_CSV0000000000026508 § 8 § 8,UK_CSV0000000000026508 § 9 § 8,UK_CSV0000000000026508 § 10 § 8,UK_CSV0000000000026508 § 11 § 8,UK_CSV0000000000026508 § 12 § 8
UK_CSV0000000000026508 § 0 § 9,UK_CSV0000000000026508 § 1 § 9,UK_CSV0000000000026508 § 2 § 9,UK_CSV0000000000026508 § 3 § 9,UK_CSV0000000000026508 § 4 § 9,UK_CSV0000000000026508 § 5 § 9,UK_CSV0000000000026508 § 6 § 9,UK_CSV0000000000026508 § 7 § 9,UK_CSV0000000000026508 § 8 § 9,UK_CSV0000000000026508 § 9 § 9,UK_CSV0000000000026508 § 10 § 9,UK_CSV0000000000026508 § 11 § 9,UK_CSV0000000000026508 § 12 § 9
UK_CSV0000000000026508 § 0 § 10,UK_CSV0000000000026508 § 1 § 10,UK_CSV0000000000026508 § 2 § 10,UK_CSV0000000000026508 § 3 § 10,UK_CSV0000000000026508 § 4 § 10,UK_CSV0000000000026508 § 5 § 10,UK_CSV0000000000026508 § 6 § 10,UK_CSV0000000000026508 § 7 § 10,UK_CSV0000000000026508 § 8 § 10,UK_CSV0000000000026508 § 9 § 10,UK_CSV0000000000026508 § 10 § 10,UK_CSV0000000000026508 § 11 § 10,UK_CSV0000000000026508 § 12 § 10
UK_CSV0000000000026508 § 0 § 11,UK_CSV0000000000026508 § 1 § 11,UK_CSV0000000000026508 § 2 § 11,UK_CSV0000000000026508 § 3 § 11,UK_CSV0000000000026508 § 4 § 11,UK_CSV0000000000026508 § 5 § 11,UK_CSV0000000000026508 § 6 § 11,UK_CSV0000000000026508 § 7 § 11,UK_CSV0000000000026508 § 8 § 11,UK_CSV0000000000026508 § 9 § 11,UK_CSV0000000000026508 § 10 § 11,UK_CSV0000000000026508 § 11 § 11,UK_CSV0000000000026508 § 12 § 11
UK_CSV0000000000026508 § 0 § 12,UK_CSV0000000000026508 § 1 § 12,UK_CSV0000000000026508 § 2 § 12,UK_CSV0000000000026508 § 3 § 12,UK_CSV0000000000026508 § 4 § 12,UK_CSV0000000000026508 § 5 § 12,UK_CSV0000000000026508 § 6 § 12,UK_CSV0000000000026508 § 7 § 12,UK_CSV0000000000026508 § 8 § 12,UK_CSV0000000000026508 § 9 § 12,UK_CSV0000000000026508 § 10 § 12,UK_CSV0000000000026508 § 11 § 12,UK_CSV0000000000026508 § 12 § 12
UK_CSV0000000000026508 § 0 § 13,UK_CSV0000000000026508 § 1 § 13,UK_CSV0000000000026508 § 2 § 13,UK_CSV0000000000026508 § 3 § 13,UK_CSV0000000000026508 § 4 § 13,UK_CSV0000000000026508 § 5 § 13,UK_CSV0000000000026508 § 6 § 13,UK_CSV0000000000026508 § 7 § 13,UK_CSV0000000000026508 § 8 § 13,UK_CSV0000000000026508 § 9 § 13,UK_CSV0000000000026508 § 10 § 13,UK_CSV0000000000026508 § 11 § 13,UK_CSV0000000000026508 § 12 § 13
UK_CSV0000000000026508 § 0 § 14,UK_CSV0000000000026508 § 1 § 14,UK_CSV0000000000026508 § 2 § 14,UK_CSV0000000000026508 § 3 § 14,UK_CSV0000000000026508 § 4 § 14,UK_CSV0000000000026508 § 5 § 14,UK_CSV0000000000026508 § 6 § 14,UK_CSV0000000000026508 § 7 § 14,UK_CSV0000000000026508 § 8 § 14,UK_CSV0000000000026508 § 9 § 14,UK_CSV0000000000026508 § 10 § 14,UK_CSV0000000000026508 § 11 § 14,UK_CSV0000000000026508 § 12 § 14
