objectid(long),cyclevalue(long),id_three_zero_five_b,namevalue,locationvalue,milessquare(double precision),marineaquaticlife,recreation,fishconsumption,shellfish,shape_length(double precision),shape_area(double precision)
1.0,2008,CT-E1_017,"LIS EB Inner - Alewife Cove, Waterford/New London","See Map for Boundaries. Western portion of LIS, Inner Estuary, from SA/SB water quality line at mouth at Fayerweather Island area, US to saltwater limit at I95 (includes Burr Creek, Cedar Creek, all SB water of Harbor area), Bridgeport.",0.06301777,Not Supporting,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,18206.973821278,1756834.61613291
2.0,2008,CT-E1_018-SB,"LIS WB Inner - Black Rock Harbor, Bridgeport","See Map for Boundaries. Eastern portion of LIS, Inner Estuary, Goshen Cove from outlet at Goshen Point (Includes western side of Harkness Memorial State Park), US to Saltwater limit at Route 213 crossing, Waterford.",0.04400874,Not Assessed,Not Assessed,Fully Supporting,Fully Supporting Commercial Harvesting where Authorized,16372.4488744129,1226893.42780065
3.0,2008,CT-W1_003-SB,"LIS WB Inner - Black Rock Harbor, Bridgeport","See Map for Boundaries. Western portion of LIS, Inner Estuary, from SA/SB water quality line at mouth near South Benson Road, US to saltwater limit at I95, Fairfield/Bridgeport.",0.15690629,Not Supporting,Not Supporting,Fully Supporting,Not Supporting Commercial Harvesting where Authorized,17920.6845387681,4374296.52055561
4.0,2008,CT-W1_006,"LIS WB Inner - Black Rock Harbor, Bridgeport","See Map for Boundaries. Western portion of LIS, Inner Estuary, from SA/SB water quality line at mouth at Fayerweather Island area, US to saltwater limit at I95 (includes Burr Creek, Cedar Creek, all SB water of Harbor area), Bridgeport.",0.63756137,Not Supporting,Not Supporting,Fully Supporting,Not Supporting Commercial Harvesting where Authorized,18206.973821278,4374296.52055561
8.0,2008,CT-W1_022-SB,"LIS WB Inner - Byram River (CT), Greenwich","See Map for Boundaries. Eastern portion of LIS, Inner Estuary, Goshen Cove from outlet at Goshen Point (Includes western side of Harkness Memorial State Park), US to Saltwater limit at Route 213 crossing, Waterford.",0.04400874,Not Assessed,Not Supporting,Fully Supporting,Not Supporting Commercial Harvesting where Authorized,22885.8049632469,1226893.42780065
6.0,2008,CT-W1_022-SB,"LIS EB Inner - Outer Stonington Harbor, Stonington","See Map for Boundaries. Eastern portion of LIS, Inner Estuary, Outer Stonington Harbor from SB/SA water quality boundary near Wamphassuc Point to offshore Stonington Point, US to RR crossing, Stonington.",0.63756137,Not Assessed,Fully Supporting,Fully Supporting,Fully Supporting Commercial Harvesting where Authorized,16372.4488744129,17774190.9364025
7.0,2008,CT-W1_006,"LIS EB Inner - Beebe Cove (Mystic Harbor), Groton","See Map for Boundaries. Eastern portion of LIS, Inner Estuary, Goshen Cove from outlet at Goshen Point (Includes western side of Harkness Memorial State Park), US to Saltwater limit at Route 213 crossing, Waterford.",0.04400874,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,18206.973821278,1226893.42780065
8.0,2008,CT-E1_022,"LIS CB Inner - Branford River, Branford","See Map for Boundaries. Eastern portion of LIS, Inner Estuary, Outer Stonington Harbor from SB/SA water quality boundary near Wamphassuc Point to offshore Stonington Point, US to RR crossing, Stonington.",0.06301777,Not Assessed,Not Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,16954.2219209858,4374296.52055561
9.0,2008,CT-W1_006,"LIS EB Inner - Black Hall River (upper), Old Lyme","See Map for Boundaries. Western portion of LIS, Inner Estuary, from SA/SB water quality line at mouth near South Benson Road, US to saltwater limit at I95, Fairfield/Bridgeport.",0.06301777,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Commercial Harvesting where Authorized,16954.2219209858,4374296.52055561
10.0,2008,CT-W1_006,"LIS CB Inner - Branford River, Branford","See Map for Boundaries. Eastern portion of LIS, Inner Estuary, Outer Stonington Harbor from SB/SA water quality boundary near Wamphassuc Point to offshore Stonington Point, US to RR crossing, Stonington.",0.02598032,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,16372.4488744129,17774190.9364025
