objectid(long),cyclevalue(long),id_three_zero_five_b,namevalue,locationvalue,milessquare(double precision),marineaquaticlife,recreation,fishconsumption,shellfish,shape_length(double precision),shape_area(double precision)
190,1620,CT-W2_009,"LIS WB Shore - Compo Cove, SISP, Westport","See Map for Boundaries. Western portion of LIS from Compo Cove to Burying Hill Road area (includes Sherwood Island State Park Beach, Sherwood Point, Sherwood Millpond outlet, Greens Farms Brook outlet) out approximately 1000 ft offshore, Westport.",0.32394672,Not Assessed,Fully Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,19624.6261910146,9031116.49476509
191,2008,CT-W2_018,"LIS WB Shore - Westcott Cove, Stamford","See Map for Boundaries. Western portion of LIS from near intersection of Hobson St and Sea Beach Drive to Greenway Island area of outer Cove Harbor (includes West Beach, Cummings Beach, Vincent Island) out approximately 1000 ft offshore, Stamford.",0.36631344,Not Assessed,Fully Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,30453.3335210629,10212232.6800324
192,2008,CT-E2_017,"LIS EB Shore - Rocky Neck (Fourmile Rvr), Old Lyme","See Map for Boundaries. Eastern portion of LIS from Hatchett Point to Seal Rock (Great Neck) Includes Rocky Neck State Park Beach, out approximately 1000 ft offshore.",0.53066426,Not Assessed,Fully Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,31440.7690128098,14794070.7502903
193,2008,CT-E2_016,"LIS EB Shore - Pattagansett River Mouth, East Lyme","See Map for Boundaries. Eastern portion of LIS from Seal Rock (Great Neck) to Point East of Griswald Island (entire mouth of Pattagansett River, including area around Watts Island), out approximately 1000 ft offshore.",0.32228638,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,45121.3071412189,8984828.84291954
194,1472,CT-W4_004,LIS WB Offshore - Darien,See Map for Boundaries. Western portion of LIS from 50ft contour to CT/NY State line.,16.76666636,Not Supporting,Not Assessed,Fully Supporting,"Not Evaluated, Natural Conditions Not Viable For Shellfish",90155.7593096468,467427831.506097
195,2008,CT-W4_003,LIS WB Offshore - Norwalk,See Map for Boundaries. Western portion of LIS from 50ft contour to CT/NY State line.,15.05978456,Not Supporting,Not Assessed,Fully Supporting,"Not Evaluated, Natural Conditions Not Viable For Shellfish",101854.417648844,419842698.091694
196,2008,CT-W4_002,LIS WB Offshore - Fairfield,See Map for Boundaries. Western portion of LIS from 50ft contour to CT/NY State line.,26.40297741,Not Supporting,Not Assessed,Fully Supporting,"Not Evaluated, Natural Conditions Not Viable For Shellfish",114464.039438385,736072765.605199
197,2008,CT-W2_008,"LIS WB Shore - Green Farms, Westport","See Map for Boundaries. Western portion of LIS from Burying Hill Road to Beachside Lane area (includes Burying Hill Beach, Frost Point) out approximately 1000 ft offshore, Westport.",0.23650811,Not Assessed,Fully Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,15197.4134739193,6593467.73596213
198,2026,CT-W3_015-I,"LIS WB Midshore - Captain Harbor, Greenwich","See Map for Boundaries. Western portion of LIS from approximately 1000 ft offshore (Byrant Point at Connecticut/New York state line, to Brush Island, Captain Harbor area), out to just beyond Great Captain Island to Wee Captain Island, Greenwich.",3.4218329,Not Supporting,Fully Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,69674.4477115553,95395226.590069
199,2008,CT-W2_021,"LIS WB Shore - Greenwich Cove, Greenwich","See Map for Boundaries. Western portion of LIS from Todd Point to Greenwich Point (includes Elias Point, Greenwich Island, Pelican Island, Flat Neck Point, Greenwich Cove) out approximately 1000 ft offshore, Greenwich.",1.24361268,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,90586.798712189,34669931.7429547
200,2008,CT-C1_022,"LIS CB Inner - West River (Upper), West Haven","See Map for Boundaries. Central portion of LIS, Inner Estuary, from SA/SB water quality line at Route 1 crossing, US past Route 34 crossing to southside of Edgewood Avenue (near Edgewood Park Pond), West Haven.",0.06260362,Not Supporting,Not Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,29827.1772992521,1745288.91024107
201,2008,CT-C4_002,LIS CB Offshore - Guilford,See Map for Boundaries. Central portion of LIS from 50ft contour to CT/NY State line.,27.16585542,Fully Supporting,Not Assessed,Fully Supporting,"Not Evaluated, Natural Conditions Not Viable For Shellfish",113305.820724787,757340583.823764
202,1907,CT-C4_003,LIS CB Offshore - East Haven,See Map for Boundaries. Central portion of LIS from 50ft contour to CT/NY State line.,35.33272039,Fully Supporting,Not Assessed,Fully Supporting,"Not Evaluated, Natural Conditions Not Viable For Shellfish",136040.688437132,985019712.339838
203,2008,CT-C4_005,LIS CB Offshore - Milford,See Map for Boundaries. Central portion of LIS from 50ft contour to CT/NY State line.,24.24753559,Not Supporting,Not Assessed,Fully Supporting,"Not Evaluated, Natural Conditions Not Viable For Shellfish",119197.018145473,675982496.327386
204,2008,CT-C4_004,LIS CB Offshore - West Haven,See Map for Boundaries. Central portion of LIS from 50ft contour to CT/NY State line.,34.33230229,Not Supporting,Not Assessed,Fully Supporting,"Not Evaluated, Natural Conditions Not Viable For Shellfish",140024.546744534,957129656.186359
205,2008,CT-W4_001,LIS WB Offshore - Bridgeport,See Map for Boundaries. Western portion of LIS from 50ft contour to CT/NY State line.,19.76713828,Not Supporting,Not Assessed,Fully Supporting,"Not Evaluated, Natural Conditions Not Viable For Shellfish",102427.967850485,551076187.852598
206,2284,CT-E4_002,LIS EB Offshore - East Lyme,See Map for Boundaries. Eastern portion of LIS from 50ft contour to CT/NY State line.,15.98435215,Fully Supporting,Not Assessed,Fully Supporting,"Not Evaluated, Natural Conditions Not Viable For Shellfish",92940.5870904589,445618163.202576
207,2008,CT-E4_001,LIS EB Offshore - Waterford,See Map for Boundaries. Eastern portion of LIS from 50ft contour to CT/NY State line.,5.93493614,Fully Supporting,Not Assessed,Fully Supporting,"Not Evaluated, Natural Conditions Not Viable For Shellfish",62268.5197071846,165456523.698928
208,1043,CT-C1_006,"LIS CB Inner - East and Neck Rivers, Guilford","See Map for Boundaries. Central portion of LIS, Inner Estuary, from mouth of East River at outlet into Guilford Harbor, US to saltwater limit at Planter Pond outlet (includes Neck River from mouth to above River Edge Farms Road, Guilford.",0.15057521,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,89946.8589312529,4197796.13060644
