objectid(long),cyclevalue(long),id_three_zero_five_b,namevalue,locationvalue,milessquare(double precision),marineaquaticlife,recreation,fishconsumption,shellfish,shape_length(double precision),shape_area(double precision)
169,2008,CT-E3_003,"LIS EB Midshore -G roton, Mystic River","See Map for Boundaries. Eastern portion of LIS from approximately 1000 ft offshore, Groton Long Point to Enders Island, out to CT/NY State line.",2.85345865,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,51645.453069475,79549861.8470054
170,2008,CT-W3_001,"LIS WB Midshore - Lordship, Stratford","See Map for Boundaries. Western portion of LIS from approximately 1000 ft offshore (Point No Point, Lordship), out to 50 ft contour, Stratford. Odd shape due to 50 ft contour.",7.91626831,Not Sudpporting,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consupmtion,65137.7927317268,220692894.477064
171,2008,CT-C3_011,LIS CB Midshore - East Haven,"See Map for Boundaries. Central portion of LIS, SA water from SA/SB water boundary along outer New Haven and Branford Harbors out to 50 ft contour, East Haven.",8.15236955,Not Supporting,Not Assessed,Fully Supporting,Not uSpporting Harvesting for Direct Consumption,102225.020796068,227275019.495257
172,2008,C-C3_006,"LIS CB Midshore - Outer Guilford Harbor, Guilford","See Map for Boundaries. Central portion of LIS from approximately 1000 ft offshore (Guilford Harbor), out to 50 ft contour, Guilford.",8.36436235,Fully Supporting,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,71762.5629232049,233185039.502516
173,2008,CT-C3_081,"LIS CB Midshore - Fort Trumbull, Milford","See Map for Boundaries. Central portion of LIS from approximately 1000 ft offshore (Silver Sands State Park area, water beyond Island), out to 50 ft contour, Milford.",11.31111947,Not Supporting,Not Assessed,Fully Supporting,Fully Supporting Harvesting for Direct Consumption,79956.74412669,315335913.110471
174,2008,CT-E3_005-SB,"LIS EB Midshore - Waterford, Thames River","See Map for Boundaries. Eastern portion of LIS from SB/SA water quality boundary, approximately 1000 ft offshore of Magonk Point, Waterford to BushyPoint, Groton, out to SB/SA water quality boundary (Thames River mouth).",5.25617347,Not Supporting,Not Assessed,Fully Supporting,Fully Supporting Commercial Harvesting where Authorized,76086.9683476362,146533706.576228
175,2008,CT-C3_015-SB,"LIS CB Midshore - New Haven Harbor, New Haven","See Map for Boundaries. Central portion of LIS from approximately 1000 ft offshore (West Shore to Morgan Point), from Sandy Point out to segments CT-C3_013/014, outer New Haven Harbor, West Haven/New Haven.",4.56066698,Not Supporting,Not Assessed,Fully Supprting,Fully Supporting Commercial Harvesting where Authorized,58465.9078673902,127144098.594887
176,2008,CT-W3_014,"LIS WB Midshore - Outer Captin Harbor, Greenwich","See Map for Boundaries. Western portion of LIS from Connecticut New York state line just beyond Great Captain Island to east of Wee Captain Island, out to 50 ft contour, Greenwich.",2.00650769,Not Supporting,Not Assessed,Fully Supporting,Fully Supporting Harvesting for Direct Consumption,31574.7271153362,55938224.128471
177,2008,CT-C3_013-SB,"LIS CB Midshore - New Haven Harbor, East Haven","See Map for Boundaries. Central portion of LIS from approximately 1000 ft offshore (South End, Morgan Point), out to extent of SB water at SA/SB water quality line for outer New Haven Harbor, East Haven.",6.05142806,Not Supporting,Not Assessed,Fully Supporting,Fully Supporting Commercial Harvesting where Authorized,54179.7350316777,168704132.153548
178,2008,CT-C3_014-SB,"LIS CB Midshore - New Haven Harbor, West Haven","See Map for Boundaries. Central portion of LIS from approximately 1000 ft offshore (Morningside to West Shore), out to extent of SB water at SA/SB water quality line for outer New Haven Harbor, Milford/West Haven.",7.96138937,Not Supporting,Not Assessed,Fully Supporting,Fully Supporting Commercial Harvesting where Authorized,69000.5834547377,221950797.418209
