objectid(long),cyclevalue(long),assessmentunitid,assessmentunitname,locationdescription,watertypename,watersize(double precision),units,ctlakeid(long),nhdbasin(long),classid(long),useclassname,ct_two_zero_two_zero_aql_use_usename,ct_two_zero_two_zero_aql_use_attainment,ct_two_zero_two_zero_rec_use_usename,ct_two_zero_two_zero_rec_use_attainment,ct_two_zero_two_zero_fshcon_use_usename,ct_two_zero_two_zero_fshcon_use_attainment,ct_two_zero_two_zero_dw_use_usename,ct_two_zero_two_zero_dw_use_attainment,impaired,shape_length(double precision),shape_area(double precision)
1.0,2020,CT3600-00-3-L6_01,Glasgo Pond (Griswold/Voluntown),"Just upstream of Yellow Mill Channel, US side of RailRoad crossing, and DS of Stillman Pond and Route 1 crossing, Bridgeport. (Includes Arms Pond, Remington Arms Company Pond, and Barnum Avenue Pond)","LAKE, FRESHWATER",140.42,Acres,1148.0,1100001,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,14645.9219289448,208496.927382221
2.0,2020,CT2104-00-1-L2_01,Pembroke Lakes (Bridgeport),"US of Stillman Pond, Pembroke Lakes & Yellowmill Channel, Bridgeport.","LAKE, FRESHWATER",4.79,Acres,2134.0,1100003,50.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Insufficient Information,Recreation,Insufficient Information,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,65539.5657708328,36456081.6141571
3.0,2020,CT3206-00-1-L1_01,Morey Pond (Union/Ashford),"Just upstream of Yellow Mill Channel, US side of RailRoad crossing, and DS of Stillman Pond and Route 1 crossing, Bridgeport. (Includes Arms Pond, Remington Arms Company Pond, and Barnum Avenue Pond)","LAKE, FRESHWATER",47.22,Acres,2798.0,1100002,49.0,INLAND SURFACE WATERS CLASS AA,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Existing or proposed drinking water,Not Assessed,No,4462.58250687571,3072259.65923727
4.0,2020,CT3600-00-3-L7_01,Pachaug Pond (Griswold),Northwest Ridgefield.,"LAKE, FRESHWATER",4.97,Acres,2134.0,1100001,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,3312.56720850954,36456081.6141571
5.0,2020,CT3400-00-2-L11_01,Quaddick Reservoir (Thompson),"Just upstream of Yellow Mill Channel, US side of RailRoad crossing, and DS of Stillman Pond and Route 1 crossing, Bridgeport. (Includes Arms Pond, Remington Arms Company Pond, and Barnum Avenue Pond)","LAKE, FRESHWATER",391.3,Acres,2337.0,1100001,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,65539.5657708328,2878025.34371249
6.0,2020,CT3203-00-1-L1_01,Glasgo Pond (Griswold/Voluntown),"Just upstream of Yellow Mill Channel, US side of RailRoad crossing, and DS of Stillman Pond and Route 1 crossing, Bridgeport. (Includes Arms Pond, Remington Arms Company Pond, and Barnum Avenue Pond)","LAKE, FRESHWATER",47.22,Acres,2346.0,1100002,48.0,INLAND SURFACE WATERS CLASS AA,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Existing or proposed drinking water,Not Assessed,No,13890.2632894758,2878025.34371249
7.0,2020,CT7103-00-2-L5_01,Pembroke Lakes (Bridgeport),"Just upstream of Yellow Mill Channel, US side of RailRoad crossing, and DS of Stillman Pond and Route 1 crossing, Bridgeport. (Includes Arms Pond, Remington Arms Company Pond, and Barnum Avenue Pond)","LAKE, FRESHWATER",85.9,Acres,2381.0,1100006,48.0,INLAND SURFACE WATERS CLASS B,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Supporting,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,Yes,65539.5657708328,3741697.38323461
8.0,2020,CT8104-00-2-L5_01,Pachaug Pond (Griswold),Northwest Ridgefield.,"LAKE, FRESHWATER",85.9,Acres,2759.0,2030101,48.0,INLAND SURFACE WATERS CLASS AA,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Supporting,Recreation,Not Supporting,Fish Consumption,Insufficient Information,Existing or proposed drinking water,Not Assessed,Yes,4462.58250687571,3741697.38323461
9.0,2020,CT7409-00-1-L3_01,Putnam Lake Reservoir (Greenwich),"Headwaters of Island Brook, a tributary to the Pequonnock River, Bpt.","LAKE, FRESHWATER",95.56,Acres,2381.0,1100006,50.0,INLAND SURFACE WATERS CLASS AA,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Supporting,Recreation,Insufficient Information,Fish Consumption,Insufficient Information,Existing or proposed drinking water,Fully Supporting,Yes,14645.9219289448,4162510.79053793
10.0,2020,CT3600-00-3-L6_01,Forest Lake (Bridgeport),"Headwaters of Island Brook, a tributary to the Pequonnock River, Bpt.","LAKE, FRESHWATER",95.56,Acres,2337.0,1100006,49.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Insufficient Information,Recreation,Insufficient Information,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,13890.2632894758,4162510.79053793
11.0,2020,CT5200-00-4-L2_01,Success Lake (Bridgeport),"US of Stillman Pond, Pembroke Lakes & Yellowmill Channel, Bridgeport.","LAKE, FRESHWATER",95.56,Acres,2798.0,1100006,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Supporting,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,Yes,4462.58250687571,4162510.79053793
12.0,2020,CT7103-00-2-L4_01,Morey Pond (Union/Ashford),"Upstream of Yellow Mill Channel, Bridgeport. Downstream of Success Lake.","LAKE, FRESHWATER",4.97,Acres,2759.0,1100006,48.0,INLAND SURFACE WATERS CLASS B,"Habitat for Fish, Other Aquatic Life and Wildlife",Insufficient Information,Recreation,Not Assessed,Fish Consumption,Not Supporting,Not Classified For Drinking Water,Not Evaluated,Yes,3312.56720850954,4186133.74967877
13.0,2020,CT5200-00-4-L2_01,Hanover Pond (Meriden),"Impoundment of Mill River, Hamden. Northern most portion near south side of Route 15, exit 60 (intersection with Route 10).","LAKE, FRESHWATER",95.56,Acres,1148.0,1100004,49.0,INLAND SURFACE WATERS CLASS B,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Supporting,Recreation,Not Supporting,Fish Consumption,Not Supporting,Not Classified For Drinking Water,Not Evaluated,Yes,65539.5657708328,3072259.65923727
14.0,2020,CT5207-00-1-L1_01,North Farms Reservoir (Wallingford),"Impoundment of Mill River, Hamden. Northern most portion near south side of Route 15, exit 60 (intersection with Route 10).","LAKE, FRESHWATER",391.3,Acres,2134.0,1100004,48.0,INLAND URFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Insufficient Information,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,65539.5657708328,2878025.34371249
15.0,2020,CT5207-02-1-L1_01,Allen Brook Pond (North Haven/Wallingford),Northwest Ridgefield.,"LAKE, FRESHWATER",4.79,Acres,2337.0,1100004,48.0,INpLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,18247.4262677462,208496.927382221
16.0,2020,CT5110-04-1-L1_01,Quonnipaug Lake (Guilford),Northwest Ridgefield.,"LAKE, FRESHWATER",95.56,Acres,2346.0,1100004,48.0,INLANzD SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,18247.4262677462,4186133.74967877
13.0,2020,CT8104-00-2-L5_01,Schreeder Pond (Killingworth),Northwest Ridgefield.,"LAKE, FRESHWATER",47.22,Acres,2544.0,1100004,86.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,13890.2632894758,4162510.79053793
12.0,2020,CT5302-00-4-L3_01,"Whitney, Lake (Hamden)","Impoundment of Mill River, Hamden. Northern most portion near south side of Route 15, exit 60 (intersection with Route 10).","LAKE, FRESHWATER",140.42,Acres,2798.0,1100004,50.0,INLAND SURFACE WTAERS CLASS AA,"Habitat for Fish, Other Aquatic Life and Wildlife",Insufficient Information,Recreation,Insufficient Information,Fish Consumption,Insufficient Information,Existing or proposed drinking water,Fully Supporting,No,14645.9219289448,4162510.79053793
13.0,2020,CT7103-00-2-L4_01,Morey Pond (Union/Ashford),"South of Rt. 80, across from Chatfield Hollow State Park, Killingworth.","LAKE, FRESHWATER",95.56,Acres,943.0,1100004,48.0,INLAD SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,4462.58250687571,1216204.57694368
