objectid(long),cyclevalue(long),assessmentunitid,assessmentunitname,locationdescription,watertypename,watersize(double precision),units,ctlakeid(long),nhdbasin(long),classid(long),useclassname,ct_two_zero_two_zero_aql_use_usename,ct_two_zero_two_zero_aql_use_attainment,ct_two_zero_two_zero_rec_use_usename,ct_two_zero_two_zero_rec_use_attainment,ct_two_zero_two_zero_fshcon_use_usename,ct_two_zero_two_zero_fshcon_use_attainment,ct_two_zero_two_zero_dw_use_usename,ct_two_zero_two_zero_dw_use_attainment,impaired,shape_length(double precision),shape_area(double precision)
111,2020,CT6000-00-5+L4_01,Housatonic Lake (Shelton/Derby/Seymour/Oxford/Monroe),"Lake Housatonic Dam (Derby Dam), US to Stevenson Dam (division lower Lake Zoar and upper Lake Housatonic), segment includes Indian Well State Park Beach, Oxford/Monroe. First major impoundment of Housatonic River.","LAKE, FRESHWATER",346.29,Acres,1508,1100005,49,INLAND SURFACE WATERS CLASS B,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Supporting,Fish Consumption,Not Supporting,Not Classified For Drinking Water,Not Evaluated,Yes,69430.8367147932,15084482.8283525
112,2020,CT6000-88-1-L1_01,Brewsters Pond (Stratford),"Stratford, east of Main Street (Rte 113).","LAKE, FRESHWATER",4.02,Acres,310,1100005,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Supporting,Recreation,Insufficient Information,Fish Consumption,Not Supporting,Not Classified For Drinking Water,Not Evaluated,Yes,1855.56413566313,175247.794143589
113,2020,CT6914-06-1-L1_01,Hitchcock Lake (Wolcott),"Southeast corner of Wolcott, near Cheshire border.","LAKE, FRESHWATER",100.3,Acres,1252,1100005,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Insufficient Information,Recreation,Not Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,Yes,19245.3777139289,4369071.70432592
114,2020,CT4704-00-1-L3_01,Babcock Pond (Colchester),"South of Rt 16, southeastern Colchester. Within Babcock Pond Wildlife Management Area.","LAKE, FRESHWATER",122.76,Acres,88,1080205,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,24396.2679771253,5347464.87930803
115,2020,CT4300-00-5+L5_01,Rainbow Reservoir (Windsor/Bloomfield/East Granby),Northwest corner of Windsor. Impoundment of the Farmington River.,"LAKE, FRESHWATER",214.44,Acres,2354,1080207,49,INLAND SURFACE WATERS CLASS B,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Supporting,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,Yes,60317.9244968307,9341263.77225124
116,2020,CT4020-06-1-L1_01,Rogers Lake (Lyme/Old Lyme),Lyme - Old Lyme border.,"LAKE, FRESHWATER",275.37,Acres,2453,1080205,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,31984.5558284626,11994935.5862266
117,2020,CT4300-05-1-L2_01,Howells Pond (Hartland),"Northwest corner of Hartland, Dish Mill Road.","LAKE, FRESHWATER",14.32,Acres,1297,1080207,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,3575.16350728842,623913.792405779
118,2020,CT4308-00-1-L2_01,Compensating Res. (L. McDonough) (Barkhamsted/New Hartford),Southeast Barkhamsted - northeast New Hartford.,"LAKE, FRESHWATER",385.75,Acres,1522,1080207,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fish Consumption,Not Supporting,Existing or proposed drinking water,Fully Supporting,Yes,52352.7224734222,16803189.2427698
119,2020,CT4500-00-1-L1_01,Shenipsit Lake (Tolland/Ellington/Vernon),"At meeting point of Ellington, Vernon and Tolland. CT Water Company watershed.","LAKE, FRESHWATER",511.85,Acres,2596,1080205,50,INLAND SURFACE WATERS CLASS AA,"Habitat for Fish, Other Aquatic Life and Wildlife",Insufficient Information,Recreation,Insufficient Information,Fish Consumption,Insufficient Information,Existing or proposed drinking water,Fully Supporting,No,38880.7337830691,22295951.9761804
120,2020,CT4305-00-1-L1_01,West Hill Pond (New Hartford/Barkhamsted),Northwest corner of New Hartford.,"LAKE, FRESHWATER",245.54,Acres,3448,1080207,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,17327.4032895767,10695983.3037961
121,2020,CT4500-14-1-L1_01,Center Spring Park Pond (Manchester),"Center of Manchester, impoundment of Bigalow Brook.","LAKE, FRESHWATER",5.87,Acres,477,1080205,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,2192.40253628984,255698.926406963
122,2020,CT4707-00-2-L2_01,Gay City Pond (Hebron),CT DEEP Gay City State Park. Impoundment of Black Ledge River. NW corner of Hebron.,"LAKE, FRESHWATER",5.14,Acres,992,1080205,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,Yes,2790.65186704061,223781.077012535
123,2020,CT4401-00-1-L1_01,Batterson Park Pond (Farmington/New Britain),Southeast Farmington - northeastern border of New Britain.,"LAKE, FRESHWATER",145.49,Acres,136,1080205,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Not Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,Yes,11945.7822983171,6337717.80185501
124,1516,CT4402-04-2-L1_01,Mill Pond (Newington),Municipal park in Newington; S of Rt 175 near intersection of Rts 175 and 176,"LAKE, FRESHWATER",2.71,Acres,1853,1080205,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,1732.90177015924,118167.936980312
125,2020,CT4315-05-1-L1_01,Birge Pond (Bristol),"West of Rt 69 and Pond Street, Bristol","LAKE, FRESHWATER",11.84,Acres,225,1080207,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,4085.72462529309,515706.809373345
126,2020,CT4705-00-1-L1_01,Holbrook Pond (Hebron),Northeast corner of Hebron; northeast of Rt 85.,"LAKE, FRESHWATER",68.67,Acres,1262,1080205,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,8150.61640819157,2991123.20141403
127,1185,CT6005-04-1-L1_01,Riga Lake (Salisbury),"Northwestern Salisbury, small portion over boarder in New York.","LAKE, FRESHWATER",155.9,Acres,2421,1100005,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,18898.262984158,6791215.84719876
128,1833,CT5111-09-2-L3_01,"Branford Supply Pond, Northwest (Branford)",Northwest Branford Supply Pond receives water from Pisgah Brook and Pine Gutter Brook (Int trib to Pisgah Brook). Discharges to Southeast Branford Supply Pond. Ponds located on north side of I95 (east of Lake Saltonstall area).,"LAKE, FRESHWATER",9.39,Acres,297,1100004,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Supporting,Recreation,Insufficient Information,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,Yes,4211.48706476863,409075.181713018
