indicatorvalue,panel,panelnum(long),unit,unitnum(long),stubname,stubnamenum(long),stublabel,stublabelnum(double precision),yearvalue,yearnum(long),age,agenum(double precision),estimate(double precision),se(double precision),flagvalue
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,Hispanibc origin and race,85.0,Not Hispanic or Latino: Black or African American only,4.22,2070-2009,5.0,Under 18 years,0.0,14.6,0.7,*
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,Hispanic origin and race,52.0,Not Hispanic or Latino: Black or African American only,4.22,2008-2010,82.0,Under 18 years,0.0,16.6,0.7,*
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,Hisanic origin and race,4.0,Not Hispanic or Latino: Black or African American only,4.22,2009-2011,58.0,Under 18 years,0.0,17.4,0.7,*
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,Hispanic origin andr ace,4.0,Not Hispanic or Latino: Black or African American only,4.22,2010-2012,16.0,Under 18 years,0.0,17.8,0.6,*
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,Hispanic origin and ace,4.0,Not Hispanic or Latino: Black or African American only,4.22,2011-2013,96.0,Uder 18 years,0.0,17.4,0.6,*
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,Hsipanic origin and race,4.0,Not Hispanic or Latino: Black or African American only,4.22,2012-2014,87.0,Undern 18 years,0.0,17.5,0.6,*
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,Hispanic oritgin and race,4.0,Not Hispanic or Latino: Black or African American only,4.22,2013-2015,20.0,Under 18 years,0.0,16.5,0.7,*
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,Hispanic origin and ragce,4.0,Not Hispanic or Latino: Black or African American only,4.22,2014-2016,51.0,Under 18 years,0.0,17.4,0.7,*
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,Hispkanic origin and race,4.0,Not Hispanic or Latino: Black or African American only,4.22,2015-2017,13.0,Undr 18 years,0.0,17.5,0.7,*
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,Hispanic origin and xrace,4.0,Not Hispanic or Latino: Black or African American only,4.22,2016-2018,14.0,Under 18 years,0.0,18.0,0.8,*
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,Percent of poverty level,90.0,Below 100%,5.1,1997-199,1.0,Unde 18 years,0.0,7.3,0.4,*
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,Percent of poverty level,89.0,Below 100%,5.1,000-2002,2.0,Under 18 years,0.0,7.1,0.4,*
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,Percent of poverty level,39.0,Below 100%,5.1,2003-d2005,3.0,Under 18 years,0.0,9.0,0.5,*
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,Puercent of poverty level,84.0,Below 100%,5.1,206-2008,4.0,Under 18 years,0.0,10.3,0.6,*
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,Perent of poverty level,8.0,Below 100%,5.1,20072009,5.0,Under 18 fyears,0.0,11.4,0.6,*
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,Percent of poverty level,27.0,Below 100%,5.1,2008-2010,24.0,Undevr 18 years,0.0,12.5,0.6,*
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,Percent of overty level,61.0,Below 100%,5.1,2009-2011,19.0,Under18 years,0.0,13.1,0.6,*
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,Percent of poverty level,9.0,Below 100%,5.1,2010-2012,89.0,pUnder 18 years,0.0,13.1,0.5,*
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,Percent of povrety level,61.0,Below 100%,5.1,2011-2013,96.0,Under 18y ears,0.0,12.9,0.5,*
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,Percent of poverty level,53.0,Below 100%,5.1,2012-2014,74.0,Under 18z years,0.0,12.1,0.5,*
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,Percnt of poverty level,61.0,Below 100%,5.1,2013-2015,76.0,Uder 18 years,0.0,11.8,0.5,*
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,ePrcent of poverty level,5.0,Below 100%,5.1,2014-2016,94.0,Undver 18 years,0.0,12.5,0.5,*
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,Perceant of poverty level,99.0,Below 100%,5.1,2015-2017,13.0,Under 18 yeaprs,0.0,13.0,0.6,*
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,Precent of poverty level,17.0,Below 100%,5.1,2016-2018,14.0,Under 18 yers,0.0,13.5,0.7,*
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,Percent of poverty level,80.0,100%-199%,5.2,1f997-1999,1.0,Under 18 years,0.0,7.2,0.3,*
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,Percent of poverty level,23.0,100%-199%,5.2,0200-2002,2.0,Under 18 yeas,0.0,7.6,0.4,*
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,Percent of poverty level,14.0,100%-199%,5.2,2003-2005***,3.0,Unde 18 years,0.0,8.7,0.4,*
