objectid(long),cyclevalue(long),id_three_zero_five_b,namevalue,locationvalue,milessquare(double precision),marineaquaticlife,recreation,fishconsumption,shellfish,shape_area(double precision),shape_length(double precision)
84.0,2008,CT-E3_007,"LIS EB Midshore - East Lyme, Rocky Neck","See Map for Boundaries. Eastern portion of LIS from approximately 1000 ft offshore Hatchett Point to Black Point, East Lyme, out to 50 ft contour (offshore of mouths of Fourmile and Pattagasett Rivers).",2.93014055,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,81687630.5792236,53108.9529702101
85.0,2008,CT-C3_019-I,"LIS CB Midshore - Outer Silver Sand Beach, Milford","See Map for Boundaries. Central portion of LIS from SA/SB water quality line along beach, out to Island (THE GULF SA water inside of Island at Silver Sands State Park Beach), Milford.",0.57291732,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,15972018.4317017,17949.3805112372
86.0,2008,CT-C1_004-SB,"LIS CB Inner - Hayden Creek, Clinton","See Map for Boundaries. Central portion of LIS, Inner Estuary, Hayden Creek SB water from mouth at Hammonasset River (parallel with Pratt Road), US to saltwater limit near Maple Avenue (off Route 1), Clinton.",0.0089137,Not Supporting,Not Assessed,Fully Supporting,Not Supporting Commercial Harvesting where Authorized,248499.950561523,12064.5159317706
87.0,2008,CT-C1_013-SB,"LIS CB Inner - New Haven Harbor, New Haven","See Map for Boundaries. Central portion of LIS, Inner Estuary, Inner New Haven Harbor from Sandy Point to I95 crossing (mouth of Quinnipiac and Mill Rivers, and mouth of West River), New Haven/West Haven.",2.34307543,Not Supporting,Not Supporting,Fully Supporting,Not Supporting Commercial Harvesting where Authorized,65321194.3062744,58309.3018228375
88.0,2008,CT-C1_012,"LIS CB Inner - Morris Creek, East Haven","See Map for Boundaries. Central portion of LIS, Inner Estuary, SA water from SA/SB water quality line at New Haven Harbor (near Lighthouse Point Beach) to, US to saltwater limit above Route 337, East Haven/New Haven.",0.01551493,Not Supporting,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,432531.485717773,11231.358200017
89.0,2008,CT-C2_017-SB,"LIS CB Shore - Morris Cove, New Haven","See Map for Boundaries. Central portion of LIS from Black Rock to Morgan Point area (includes Lighthouse Point Beach, Lighthouse Point, South End), out approximately 1000 ft offshore, New Haven.",0.58558219,Not Supporting,Fully Supporting,Fully Supporting,Fully Supporting Commercial Harvesting where Authorized,16325094.713562,36372.4218838786
90.0,2008,CT-C1_005,"LIS CB Inner - Clinton Harbor (SA Inputs), Clinton","See Map for Boundaries. Central portion of LIS, Inner Estuary, (DISCONTINUOUS SEGMENT) SA water of upper Hammonasset, Indian, Hammock Rivers, Dudley Creek and other small tributaries, from SA/SB water quality line, US to saltwater limits, Clinton.",0.13783528,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,3842627.11468506,98107.7573022069
91.0,2008,CT-W2_003,"LIS WB Shore - Seaside Park Beach, Bridgeport","See Map for Boundaries. Western portion of LIS from tip of Fayerweather Island to SA/SB WQ line at Bridgeport Harbor area (includes Seaside Park Beach, SB water is Bridgeport Harbor) out approximately 1000 ft offshore, Bridgeport.",0.49210207,Not Assessed,Fully Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,13719018.5932312,30076.7856384555
92.0,2008,CT-W2_017,"LIS WB Shore - Darien Cove, Darien","See Map for Boundaries. Western portion of LIS from Greenway Island area of outer Cove Harbor to Long Neck Point (includes Pear Tree Point Beach, Nash Island, Darien River mouth) out approximately 1000 ft offshore, Darien.",0.49836911,Not Assessed,Fully Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,13893733.6144714,46949.5096110643
93.0,2008,CT-C1_015-SB,"LIS CB Inner - West River (Lower), West Haven","See Map for Boundaries. Central portion of LIS, Inner Estuary, from mouth just DS of I95 crossing (City Point, New Haven Harbor), US to SA/SB water quality line at Route 1 crossing, West Haven.",0.06520364,Not Supporting,Not Supporting,Fully Supporting,Not Supporting Commercial Harvesting where Authorized,1817773.27990723,27773.310219118
