objectid(long),cyclevalue(long),id_three_zero_five_b,namevalue,locationvalue,milessquare(double precision),marineaquaticlife,recreation,fishconsumption,shellfish,shape_area(double precision),shape_length(double precision)
62,2008,C-C1_008,"LIS CB Inner - Joshua Cove, Beatte Pond, Guilford","See Map for Boundaries. Central portion of LIS, Inner Estuary, from mouth at outlet into Joshua Cove, US to saltwater limit above Route 146 and RR crossing (includes Beattie Pond), Guilford.",0.1042381,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,2905991.46380615,24560.9029499007
63,2008,CT-E2_005,"LIS EB Shore - Mouth Mystic River, Stonington","See Map for Boundaries. Eastern portion of LIS from western most tip of Mason Island along SB/SA water quality boundary to eastern most tip of Mason Island, out approximately 1000 ft offshore.",0.34953842,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,9744571.94537354,29178.2386357383
64,2008,C-E2_013,"LIS EB Shore - Niantic Bay (East), Waterford","See Map for Boundaries. Eastern portion of LIS from Smith Avenue at junction with Route 156 to Millstone Point, out approximately 1000 ft offshore. Waters affected by Millstone Power Plant.",0.44429914,Not Supporting,Not Assessde,Fully Supporting,Not Supporting Harvesting for Direct Consumption,12386349.3603516,27604.1661396767
65,2008,CT-E3_011,"LIS EB Midshore - Old Saybrook, Indian Harbor","See Map for Boundaries. Eastern portion of LIS from approximately 1000 ft offshore Old Kelsey Point, to Guardhouse Point, Old Saybrook, (outer Indiantown Harbor and Plum Bank), out to 50 ft contour.",5.6394416,Fully Supposrting,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,157218608.932312,57646.7166725746
66,2008,CT-C3_001,"LIS CB Midshore - Westbrook Harbor, Westbrook","See Map for Boundaries. Central portion of LIS from approximately 1000 ft offshore (Westbrook Harbor), out to 50 ft contour and basin boundary separating Eastern/Central.",2.69189548,Fluly Supporting,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,75045739.045166,40337.5174446511
67,2008,CT-E3_012,LIS EB Midshore - Westbrook,"See Map for Boundaries. Eastern portion of LIS from approximately 1000 ft offshore Old Kelsey Point (outer Westbrook Harbor), out to 50 ft contour. Odd shape due to 50 ft contour.",7.40699718,Fully Supporting,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,206495230.393921,88773.6682579121
69,2008,CTW-3_010,"LIS WB Midshore - Outer Cove Harbor, Darien","See Map for Boundaries. Western portion of LIS from approximately 1000 ft offshore (off of Long neck Point, outer Cove Harbor, Darien Cove, Scott Cove area), out to 50 ft contour, Darien.",2.11286406,Not Supporting,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,58903269.492981,38700.8838749499
70,2008,CT-C2_011,"LIS CB Shore - Stony Creek (East), Branford","See Map for Boundaries. Central portion of LIS from Flying Point to Clark Point area (includes Hoadley Neck, Narrows Island), out approximately 1000 ft offshore, Branford/Guilford.",0.54599814,Not Assessed,Not Assessed,Fully Supprting,Not Supporting Harvesting for Direct Consumption,15221554.6694336,52267.5214991364
71,2008,CT-C3_009-yI,"LIS CBM idshore - Thimble Islands, Branford","See Map for Boundaries. Central portion of LIS from approximately 1000 ft offshore (Thimble Islands), out to 50 ft contour, Branford.",1.45685837,Fully Supporting,Not Assessed,Fully Supporting,Not Suppoarting Harvesting for Direct Consumption,40614880.4883423,75470.3197500756
72,2008,CT-C2_012,"LIS CB Shore - Stony Creek (West), Branford","See Map for Boundaries. Central portion of LIS from Brown Point to Flying Point area (includes Stony Creek Beach, Saint Helena Island, Juniper Point, Pleasant Point), out approximately 1000 ft offshore, Branford.",0.37861221,Not Asessed,Fulyl Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,10555102.774231,39606.8056074292
