object_id(long),reqid(long),request_date,personpremise,address_one,zip(double precision),activity_date,activitytypeid(long),activity_type_desc
3309.0,710536.0,2020/11/24 05:00:00+00,BOWEN ELEMENTARY SCHOOL,1601 ROOSEVELT LN,40242.0,2020/11/24 05:00:00+00,7,FIELD
3310.0,708640.0,2020/11/11 05:00:00+00,DENNY'S,4030 DUTCHMANS LN,40207.0,2020/11/11 05:00:00+00,7,FIELD
3311.0,703919.0,2020/08/18 03:59:59+00,DOLLAR TREE #5138,3600 SPRINGHURST BLVD,40241.0,2020/08/25 03:59:59+00,7,FIELD
3312.0,702313.0,2020/07/27 03:59:59+00,DOLLAR GENERAL #12016,3430 TAYLOR BLVD,40208.0,2020/07/28 03:59:59+00,7,FIELD
3313.0,710613.0,2020/11/30 05:00:00+00,AURA LOUNGE,5044 POPLAR LEVEL RD,40219.0,2020/12/02 05:00:00+00,7,FIELD
3314.0,703121.0,2020/08/05 03:59:59+00,MCDONALD'S #0258,5600 PRESTON HWY,40219.0,2020/08/12 03:59:59+00,7,FIELD
3315.0,706201.0,2020/10/01 03:59:59+00,ACTIVE DAY OF HIKES POINT,3403 BRECKENRIDGE LN,40220.0,2020/10/08 03:59:59+00,7,FIELD
3316.0,703158.0,2020/07/25 03:59:59+00,EAGLE FOOD & BEER HALL,1314 BARDSTOWN RD,40204.0,2020/07/25 03:59:59+00,7,FIELD
3317.0,701516.0,2020/07/17 03:59:59+00,KROGER L-763,520 N 35TH ST,40212.0,2020/07/20 03:59:59+00,7,FIELD
3318.0,708656.0,2020/11/10 05:00:00+00,KROGER L-763,520 N 35TH ST,40212.0,2020/11/12 05:00:00+00,7,FIELD
3319.0,703964.0,2020/08/18 03:59:59+00,MOBY DICK,3802 DIXIE HWY,40216.0,2020/08/24 03:59:59+00,7,FIELD
3320.0,702444.0,2020/07/29 03:59:59+00,O'REILLY AUTO PARTS,275 BLANKENBAKER PKWY,40243.0,2020/07/31 03:59:59+00,7,FIELD
3321.0,706522.0,2020/10/06 03:59:59+00,GRAB N GO,3110 ROCKFORD LN,40216.0,2020/10/08 03:59:59+00,7,FIELD
3322.0,703159.0,2020/08/01 03:59:59+00,RAMEN HOUSE,1250 BARDSTOWN RD,40204.0,2020/08/01 03:59:59+00,7,FIELD
3323.0,701749.0,2020/07/20 03:59:59+00,DOLLAR TREE,2815 W BROADWAY,40211.0,2020/07/22 03:59:59+00,7,FIELD
3324.0,708833.0,2020/11/13 05:00:00+00,THOROBRED LOUNGE,3634 S 7TH ST,40216.0,2020/11/23 05:00:00+00,7,FIELD
3325.0,704217.0,2020/08/25 03:59:59+00,LABOR WORKS,3206 PRESTON HWY,40213.0,2020/09/08 03:59:59+00,7,FIELD
3326.0,702466.0,2020/07/2 803:59:59+00,BImNGO HALLS,9125 GAENE DRIVE,40359.0,2020/08/04 03:59:59+00,7,FIELD
3327.0,706601.0,2020/10/03 03:59:59+00,BANDIDO'S TAQUERIA MEXICANA,423 UNIVERSITY BLVD,40217.0,2020/10/03 03:59:59+00,7,FIELD
3328.0,703164.0,2020/08/05 03:59:59+00,MIKE LINNIG'S RESTAURANT,9308 CANE RUN RD,40258.0,2020/08/12 03:59:59+00,7,FIELD
3329.0,701755.0,2020/07/20 03:59:59+00,MCDONALD'S,2720 W BROADWAY,40211.0,2020/07/27 03:59:59+00,7,FIELD
3330.0,708842.0,2020/11/16 05:00:00+00,SALVATION ARMY CENTER OF HOPE,911 S BROOK ST,40203.0,2020/11/17 05:00:00+00,7,FIELD
3331.0,704546.0,2020/08/29 03:59:59+00,BLUE DOG BAKERY & CAFE,2868 FRANKFORT AVE,40206.0,2020/08/29 03:59:59+00,7,FIELD
3332.0,702525.0,2020/07/30 03:59:59+00,PALECRIS,5037 PRESTON HWY,40213.0,2020/08/24 03:59:59+00,7,FIELD
3333.0,706615.0,2020/10/08 03:59:59+00,REYNOLDS METAL CO,2827 HALE AVE,40211.0,2020/10/20 03:59:59+00,7,FIELD
3334.0,703182.0,2020/08/06 03:59:59+00,CHARITY BINGO HALL,5001 STEPHAN DR,40258.0,2020/09/02 03:59:59+00,7,FIELD
3335.0,701813.0,2020/07/20 03:5e9:59+00,J-TOWN BINGO AHLL,9g125 GALENE DR,40321.0,2020/07/31 03:59:59+00,7,FIELD
3336.0,709076.0,2020/11/13 05:00:00+00,LUEBERRY,808 E MARKET ST,40206.0,2020/11/13 05:00:00+00,7,FIELD
3337.0,704573.0,2020/08/29 03:59:59+00,FANSTASTIC SAM'S,4237 1/2 OUTER LOOP,40219.0,2020/08/29 03:59:59+00,7,FIELD
3338.0,702534.0,2020/07/30 03:59:59+00,CHARLESTOWN OF DOUGLASS HILLS,407 CHARLESTOWN CT,40243.0,2020/07/31 03:59:59+00,7,FIELD
3339.0,706743.0,2020/10/09 03:59:59+00,ALL SPICE CAFE,200 E CHESTNUT ST,40202.0,2020/10/15 03:59:59+00,7,FIELD
3340.0,705002.0,2020/09/09 03:59:59+00,WESTERNHOFER HARDWARE,2402 S PRESTON ST,40217.0,2020/09/14 03:59:59+00,7,FIELD
3341.0,703305.0,2020/08/06 03:59:59+00,GROUPO,10520 WESTPORT RD,40241.0,2020/08/28 03:59:59+00,7,FIELD
3342.0,701837.0,2020/07/21 03:59:59+00,IMPELLIZZERI'S,4933 OLD BROWNSBORO RD,40222.0,2020/07/22 03:59:59+00,7,FIELD
3343.0,709404.0,2020/11/18 05:00:00+00,SOUTHEAST CHRISTIAN CHURCH,920 BLANKENBAKER PKWY,40243.0,2020/12/13 05:00:00+00,7,FIELD
3344.0,704588.0,2020/08/31 03:59:59+00,FAMILY DOLLAR #32367,701 VALLEY COLLEGE DR,40272.0,2020/09/02 03:59:59+00,7,FIELD
3345.0,702558.0,2020/07/30 03:59:59+00,MASTERBRAND CABINETS,5403 NEW CUT RD,40118.0,2020/09/22 03:59:59+00,7,FIELD
3346.0,706944.0,2020/10/14 03:59:59+00,SONSHINE HOUSE,6105 OUTER LOOP,40219.0,2020/10/19 03:59:59+00,7,FIELD
3347.0,703413.0,2020/08/10 03:59:59+00,COUNTY CLERKS OFFICE,2900 W BROADWAY,40211.0,2020/10/19 03:59:59+00,7,FIELD
3348.0,705147.0,2020/09/10 03:59:59+00,KROGER L-785,4915 DIXIE HWY,40216.0,2020/09/11 03:59:59+00,7,FIELD
3349.0,702052.0,2020/07/23 03:59:59+00,KROGER L-327,2710 W BROADWAY,40211.0,2020/07/27 03:59:59+00,7,FIELD
3350.0,709432.0,2020/11/16 05:00:00+00,KFC Y300-084,2945 BRECKENRIDGE LN,40220.0,2020/11/20 05:00:00+00,7,FIELD
3351.0,704845.0,2020/09/04 03:59:59+00,CROSBY PARK,11500 CEDARDALE RD,40223.0,2020/09/21 03:59:59+00,7,FIELD
3352.0,702618.0,2020/07/30 03:59:59+00,MCDONALD'S,4622 DIXIE HWY,40216.0,2020/08/03 03:59:59+00,7,FIELD
