object_id,reqid,request_date,personpremise,address_one,zip,activity_date,activitytypeid,activity_type_desc
4253.0,710825.0,2020/12/02 05:00:00+00,SUBWAY,5240 DIXIE HWY,40216.0,2020/12/02 05:00:00+00,7,FIELD
4254.0,713465.0,2020/12/22 05:00:00+00,MOBY DICK,3613 BARDSTOWN RD,40218.0,2020/12/23 05:00:00+00,7,FIELD
4255.0,709786.0,2020/11/13 05:00:00+00,TACO LUCHADOR,938 BAXTER AVE,40204.0,2020/11/13 05:00:00+00,7,FIELD
4256.0,713466.0,2020/12/22 05:00:00+00,SAM'S KWIK MART,4060 CANE RUN RD,40215.0,2020/12/30 05:00:00+00,7,FIELD
4257.0,710078.0,2020/11/17 05:00:00+00,LA BODEGUITA DE MIMA,725 E MARKET ST,40206.0,2020/11/17 05:00:00+00,7,FIELD
4258.0,713797.0,2020/12/29 05:00:00+00,BIG O TIRES,12614 DIXIE HWY,40272.0,2020/12/31 05:00:00+00,7,FIELD
4259.0,710281.0,2020/11/23 05:00:00+00,RIVER ROAD BBQ,3017 RIVER RD,40207.0,2020/11/23 05:00:00+00,7,FIELD
4260.0,715334.0,2021/01/20 05:00:00+00,DEAL MASTER,6115 BLEVINS GAP RD,40272.0,2021/01/19 05:00:00+00,7,FIELD
4261.0,710283.0,2020/11/23 05:00:00+00,CRUSHED ICE EVENTS,226 E WASHINGTON ST,40202.0,2020/11/17 05:00:00+00,7,FIELD
4262.0,715469.0,2021/01/22 05:00:00+00,SPEEDWAY #9643,12102 SHELBYVILLE RD,40243.0,2021/01/22 05:00:00+00,7,FIELD
4263.0,710305.0,2020/11/24 05:00:00+00,MCDONALD'S #35,6701 DIXIE HWY,40258.0,2020/11/24 05:00:00+00,7,FIELD
4264.0,715641.0,2021/01/26 05:00:00+00,SUBWAY #11525,4945 BROWNSBORO RD,40222.0,2021/01/26 05:00:00+00,7,FIELD
4265.0,710347.0,2020/11/24 05:00:00+00,MCDONALD'S #6206,3340 BARDSTOWN RD,40218.0,2020/12/01 05:00:00+00,7,FIELD
4266.0,716079.0,2021/02/04 05:00:00+00,JEFFERSONTOWN BINGO HALL,9125 GALENE DR,40299.0,2021/02/12 05:00:00+00,7,FIELD
4267.0,710489.0,2020/11/28 05:00:00+00,CIAO,1201 PAYNE ST,40204.0,2020/11/30 05:00:00+00,7,FIELD
4268.0,716448.0,2021/02/12 05:00:00+00,PLAY IT AGAIN SPORTS,291 N HUBBARDS LN UNIT 105,40207.0,2021/02/12 05:00:00+00,7,FIELD
4269.0,710538.0,2020/11/24 05:00:00+00,MEIJER #164,4100 TOWNE CENTER DR,40241.0,2020/11/24 05:00:00+00,7,FIELD
4270.0,716610.0,2021/02/18 05:00:00+00,KROGER L-753,1265 GOSS AVE,40217.0,2021/02/19 05:00:00+00,7,FIELD
4271.0,710819.0,2020/12/02 05:00:00+00,KING PIN LANES,9525 TAYLORSVILLE RD,40299.0,2020/12/04 05:00:00+00,7,FIELD
4272.0,718673.0,2021/03/29 03:59:59+00,ALDI,4901 OUTER LOOP,40219.0,2021/04/01 03:59:59+00,7,FIELD
4273.0,711184.0,2020/12/04 05:00:00+00,METRO DINER,4901 OUTER LOOP,40219.0,2020/12/07 05:00:00+00,7,FIELD
4274.0,719226.0,2021/04/07 03:59:59+00,GET A DOO,5419 NEW CUT RD,40214.0,2021/04/07 03:59:59+00,7,FIELD
4275.0,721183.0,2021/05/11 03:59:59+00,ZAXBY'S,4949 DIXIE HWY,40216.0,2021/05/12 03:59:59+00,7,FIELD
4276.0,721774.0,2021/05/20 03:59:59+00,MEIJER,9500 PRESTON HWY,40229.0,2021/05/20 03:59:59+00,7,FIELD
4277.0,710396.0,2020/11/25 05:00:00+00,ANGEL HOUSE CHILD DEVELOPMENT CENTER III,3046 HUNSINGER LN,40220.0,2020/12/03 05:00:00+00,7,FIELD
4278.0,710789.0,2020/12/02 05:00:00+00,SOUTHEAST CHRISTIAN CHURCH,920 BLANKENBAKER PKY,40243.0,2020/12/02 05:00:00+00,7,FIELD
4279.0,710880.0,2020/12/02 05:00:00+00,MCDONALD'S,6400 GREENWOOD RD,40258.0,2020/12/03 05:00:00+00,7,FIELD
4280.0,711079.0,2020/12/03 05:00:00+00,THIRSTY HOUND,7207 FEGENBUSH LN,40228.0,2020/12/03 05:00:00+00,7,FIELD
4281.0,711613.0,2020/11/19 05:00:00+00,NEW WAVE BURRITOS,3311 PRESTON HWY,40213.0,2020/11/19 05:00:00+00,7,FIELD
4282.0,711903.0,2020/12/07 05:00:00+00,3RD STREET BAPTIST CHURCH,1726 3RD STREET AVENUE,40208.0,2020/12/10 05:00:00+00,7,FIELD
4283.0,712163.0,2020/12/11 05:00:00+00,AUDUBON COUNTRY CLUB,3265 ROBIN RD,40213.0,2020/12/14 05:00:00+00,7,FIELD
4284.0,713103.0,2020/12/17 05:00:00+00,THEE XCLUSIVE,3608 S 7TH ST,40216.0,2020/12/17 05:00:00+00,7,FIELD
4285.0,713307.0,2020/12/21 05:00:00+00,BUCA DI BEPPO,2051 S HURSTBOURNE LN,40220.0,2020/12/22 05:00:00+00,7,FIELD
4286.0,715461.0,2021/01/22 05:00:00+00,PLANET FITNESS,10713 DIXIE HWY STE 102,40272.0,2021/01/25 05:00:00+00,7,FIELD
4287.0,715942.0,2021/02/02 05:00:00+00,EXCELLENCE LEARNING ACADEMY,1618 LINCOLN AVE,40213.0,2021/02/05 05:00:00+00,7,FIELD
4288.0,716066.0,2021/02/04 05:00:00+00,TREASURE INK TATTOOS,2707 S 7TH ST RD,40215.0,2021/02/08 05:00:00+00,7,FIELD
4289.0,716678.0,2021/02/22 05:00:00+00,FIBERWORKS,2301 BRENNEN BUSINESS CT,40299.0,2021/03/05 05:00:00+00,7,FIELD
