object_id(long),reqid(long),request_date,personpremise,address_one,zip(double precision),activity_date,activitytypeid(long),activity_type_desc
474,699031,2020/06/09 03:59:59+00,TACO BELL,1801 S BROOK ST,40208.0,2020/06/09 03:59:59+00,6,FIELD
475,699162,2020/06/10 03:59:59+00,BURGER KING #891,11300 PRESTON HWY,40229.0,2020/06/26 03:59:59+00,4,FIELD
476,699324,2020/06/15 03:59:59+00,DOMINO'S PIZZA #1435,7924 FEGENBUSH LN,40228.0,2020/06/19 03:59:59+00,7,FIELD
477,699651,2020/06/19 03:59:59+00,ROOSTERS,5338 BARDSTOWN RD,40291.0,2020/06/22 03:59:59+00,5,FIELD
478,699942,2020/06/24 03:59:59+00,DUNDEE TAVERN,2224 DUNDEE RD,40205.0,2020/06/25 03:59:59+00,7,FIELD
479,699961,2020/06/24 03:59:59+00,NORTON BROWNSBORO HOSPITAL,4960 NORTON HEALTHCARE BLVD,40241.0,2020/06/24 03:59:59+00,8,FIELD
480,700204,2020/06/29 03:59:59+00,PRO FITNESS TRAINING STUDIO,11740 SHELBYVILLE RD,40243.0,2020/07/01 03:59:59+00,7,FIELD
481,701025,2020/07/11 03:59:59+00,THIRD STREET GAS STATION,5620 S 3RD ST,40214.0,2020/07/14 03:59:59+00,7,FIELD
482,701109,2020/07/13 03:59:59+00,BURGER KING #544,1820 BLANKENBAKER PKWY,40299.0,2020/07/16 03:59:59+00,7,FIELD
483,701267,2020/07/04 03:59:59+00,DOMINO'S PIZZA #1424,812 EASTERN PKWY,40217.0,2020/07/04 03:59:59+00,7,FIELD
484,701269,2020/07/04 03:59:59+00,SUNERGOS COFFEE,2122 S PRESTON ST,40217.0,2020/07/04 03:59:59+00,6,FIELD
485,701270,2020/07/04 03:59:59+00,WHITE CASTLE #10,793 EASTERN PKWY,40217.0,2020/07/04 03:59:59+00,7,FIELD
486,701275,2020/07/03 03:59:59+00,SUBWAY,1229 GOSS AVE,40217.0,2020/07/03 03:59:59+00,7,FIELD
487,693722,2020/03/23 03:59:59+00,CONSTRUCTION SITE,1741 FRANKFORT AVE,40206.0,2020/03/26 03:59:59+00,7,FIELD
488,693910,2020/03/27 03:59:59+00,MIKE LINNIG'S RESTAURANT,9308 CANE RUN RD,40258.0,2020/03/31 03:59:59+00,7,FIELD
489,694419,2020/04/02 03:59:59+00,UPS,2220 OUTER LOOP,40219.0,2020/04/07 03:59:59+00,7,FIELD
490,694714,2020/04/02 03:59:59+00,UNKNOWN,3 COLONIAL OAKS CT UNIT 4,40214.0,2020/04/04 03:59:59+00,9,FIELD
491,695101,2020/04/08 03:59:59+00,ROSENBURG REYES MEDICAL,320 W. WOODLAWN AVENUE,40214.0,2020/05/08 03:59:59+00,7,FIELD
492,695347,2020/04/09 03:59:59+00,RESIDENT,817 COLONEL ANDERSON PKWY,40222.0,2020/04/10 03:59:59+00,7,FIELD
493,695442,2020/04/13 03:59:59+00,O'CHARLEY'S,962 BRECKENRIDGE LN,40207.0,2020/04/14 03:59:59+00,7,FIELD
494,695486,2020/04/14 03:59:59+00,INTERTECH MECHANICAL SERVICES,5836 FERN VALLEY RD,40228.0,2020/04/14 03:59:59+00,7,FIELD
