object_id,reqid,request_date,personpremise,address_one,zip,activity_date,activitytypeid,activity_type_desc
3781,709879,2020/11/23 05:00:00+00,PAINT SPOT,4600 SHELBYVILLE RD,40207.0,2020/12/02 05:00:00+00,7,FIELD
3782,709969,2020/11/18 05:00:00+00,SCHELLER'S FITNESS & CYCLING,8323 PRESTON HWY,40219.0,2020/11/18 05:00:00+00,7,FIELD
3783,709978,2020/11/18 05:00:00+00,PARTY CITY,4631 OUTER LOOP,40219.0,2020/11/18 05:00:00+00,7,FIELD
3784,710090,2020/11/18 05:00:00+00,ALOFT DOWNTOWN,102 W MAIN ST,40202.0,2020/11/18 05:00:00+00,7,FIELD
3785,710091,2020/11/17 05:00:00+00,FAMILY DOLLAR #26256,1961 BROWNSBORO RD,40206.0,2020/11/17 05:00:00+00,7,FIELD
3786,701072,2020/07/13 03:59:59+00,FAMILY DOLLAR #20750,3022 PORTLAND AVE,40212.0,2020/07/15 03:59:59+00,7,FIELD
3787,704815,2020/09/03 03:59:59+00,PAPA JOHN'S #21,3985 S 7TH ST,40216.0,2020/09/09 03:59:59+00,7,FIELD
3788,716615,2021/02/19 05:00:00+00,BILL COLLINS FORD,4220 BARDSTOWN RD,40218.0,2021/02/22 05:00:00+00,7,FIELD
3789,706827,2020/10/12 03:59:59+00,AGAVE AND RYE,426 BAXTER AVE,40204.0,2020/10/14 03:59:59+00,7,FIELD
3790,695919,2020/04/13 03:59:59+00,LOUISVILLE MEMORIAL AUDITORIUM,970 S 4TH ST,40203.0,2020/04/17 03:59:59+00,7,FIELD
3791,701087,2020/07/13 03:59:59+00,MCDONALD'S,5630 BARDSTOWN RD,40291.0,2020/07/14 03:59:59+00,7,FIELD
3792,704956,2020/09/08 03:59:59+00,KY CENTER FOR AFRICAN AMERICAN HERITAGE,1701 W MUHAMMAD ALI BLVD,40203.0,2020/10/05 03:59:59+00,7,FIELD
3793,716755,2021/02/23 05:00:00+00,REPUBLIC BANK & TRUST COMPANY,2801 BARDSTOWN RD,40205.0,2021/02/24 05:00:00+00,7,FIELD
3794,706861,2020/10/13 03:59:59+00,WALMART #1170,10445 DIXIE HWY,40272.0,2020/10/16 03:59:59+00,7,FIELD
3795,707099,2020/10/16 03:59:59+00,ROYAL CONSUMER PRODUCTS,1450 S 10 ST,40210.0,2020/10/17 03:59:59+00,7,FIELD
3796,707158,2020/10/19 03:59:59+00,BIG-O TIRES,3751 CHAMBERLAIN CT,40241.0,2020/10/20 03:59:59+00,7,FIELD
3797,707647,2020/10/27 03:59:59+00,EMPIRE BEAUTY SCHOOL,5120 DIXIE HWY,40216.0,2020/11/19 05:00:00+00,7,FIELD
3798,707927,2020/10/29 03:59:59+00,FAMILY DOLLAR #21351,790 EASTERN PKWY,40217.0,2020/11/03 05:00:00+00,7,FIELD
3799,708097,2020/11/02 05:00:00+00,UNITED STATES POSTAL SERVICE,7400 JEFFERSON BLVD,40219.0,2020/11/05 05:00:00+00,7,FIELD
3800,708145,2020/11/03 05:00:00+00,KMI ACQUISITIONS LLC DBA/THE BROOK,8521 LAGRANGE RD,40242.0,2020/11/05 05:00:00+00,7,FIELD
3801,708149,2020/11/03 05:00:00+00,STRIKE AND SPARE FAMILY FUN CENTER,6220 OLD SHEPHERDSVILLE RD,40228.0,2020/11/04 05:00:00+00,7,FIELD
3802,708199,2020/11/04 05:00:00+00,HOME DEPOT,10301 WESTPORT RD,40241.0,2020/11/09 05:00:00+00,7,FIELD
3803,708526,2020/11/09 05:00:00+00,TOTAL QUALITY LOGISTICS,462 S 4TH ST #600,40202.0,2020/11/10 05:00:00+00,7,FIELD
3804,708635,2020/11/11 05:00:00+00,TOTAL QUALITY LOGISTICS,462 S 4TH ST #600,40202.0,2020/11/13 05:00:00+00,7,FIELD
3805,708668,2020/11/11 05:00:00+00,AUTOZONE AUTO PARTS,2231 HIKES LN,40218.0,2020/11/18 05:00:00+00,7,FIELD
3806,703502,2020/08/08 03:59:59+00,PAPA JOHN'S #44,10100 TAYLORSVILLE RD,40299.0,2020/08/11 03:59:59+00,7,FIELD
3807,703503,2020/08/08 03:59:59+00,MIKE LINNIG'S RESTAURANT,9308 CANE RUN RD,40258.0,2020/08/12 03:59:59+00,7,FIELD
3808,703593,2020/08/12 03:59:59+00,CIRCLE K #4703232,13401 DIXIE HWY,40272.0,2020/08/12 03:59:59+00,7,FIELD
3809,703829,2020/08/18 03:59:59+00,MONTGOMERY CHEVROLET,5325 PRESTON HWY,40213.0,2020/08/20 03:59:59+00,7,FIELD
3810,703861,2020/08/15 03:59:59+00,MCDONALD'S,3340 TAYLOR BLVD,40215.0,2020/08/18 03:59:59+00,7,FIELD
3811,704011,2020/08/19 03:59:59+00,LANDMARK OF IROQUOIS PARK,900 GAGEL AVE,40217.0,2020/08/21 03:59:59+00,7,FIELD
3812,704289,2020/08/26 03:59:59+00,WENDYS,978 BRECKENRIDGE LN,40207.0,2020/08/28 03:59:59+00,7,FIELD
3813,704952,2020/09/08 03:59:59+00,MCDONALD'S,2800 OUTER LOOP,40219.0,2020/09/09 03:59:59+00,7,FIELD
3814,704962,2020/09/08 03:59:59+00,NORTHEAST BARBERS,10719 MEETING ST.,40059.0,2020/09/24 03:59:59+00,7,FIELD
3815,705085,2020/09/10 03:59:59+00,THORNTONS #28,100 W BROADWAY,40202.0,2020/09/11 03:59:59+00,7,FIELD
3816,705481,2020/09/17 03:59:59+00,WALMART #526,3706 DIANN MARIE RD,40241.0,2020/10/05 03:59:59+00,7,FIELD
3817,705838,2020/09/24 03:59:59+00,MCDONALD'S,2961 BRECKENRIDGE LN,40220.0,2020/09/25 03:59:59+00,7,FIELD
3818,706040,2020/09/29 03:59:59+00,GRAB N GO,3110 ROCKFORD LN,40216.0,2020/10/08 03:59:59+00,7,FIELD
3819,706459,2020/10/06 03:59:59+00,WAYSIDE CHRISTIAN MISSIOIN,432 E JEFFERSON ST,40202.0,2020/10/08 03:59:59+00,7,FIELD
3820,706727,2020/10/09 03:59:59+00,MCDONALD'S,2720 W BROADWAY,40211.0,2020/10/12 03:59:59+00,7,FIELD
3821,706766,2020/10/12 03:59:59+00,PRETTY NAILS & SPA,1382 ENGLISH VILLA DR,40245.0,2020/10/26 03:59:59+00,7,FIELD
3822,707106,2020/10/16 03:59:59+00,THE GRANVILLE PUB,1601 S 3RD ST,40208.0,2020/10/17 03:59:59+00,7,FIELD
3823,707344,2020/10/20 03:59:59+00,SIGNATURE HEALTHCARE AT ROCKFORD,4700 QUINN DR,40216.0,2020/10/21 03:59:59+00,7,FIELD
3824,707460,2020/10/23 03:59:59+00,CENTRAL BANK & TRUST,3541 OUTER LOOP,40219.0,2020/10/26 03:59:59+00,7,FIELD
3825,707616,2020/10/26 03:59:59+00,KROGER L-785,4915 DIXIE HWY,40216.0,2020/10/27 03:59:59+00,7,FIELD
3826,707693,2020/10/27 03:59:59+00,SWIFT COMPANY CAFETERIA,1200 STORY AVE,40206.0,2020/10/28 03:59:59+00,7,FIELD
3827,707706,2020/10/27 03:59:59+00,KFC,5462 NEW CUT RD,40214.0,2020/11/02 05:00:00+00,7,FIELD
3828,707845,2020/10/28 03:59:59+00,MCDONALD'S,287 N HUBBARDS LN,40207.0,2020/11/05 05:00:00+00,7,FIELD
3829,707957,2020/10/29 03:59:59+00,PANERA BREAD #826,6221 DUTCHMANS LN,40207.0,2020/11/06 05:00:00+00,7,FIELD
3830,708071,2020/11/02 05:00:00+00,VIVID IMAGNATION CHILD CARE CENTER,5925 SIX MILE LN,40218.0,2020/11/03 05:00:00+00,7,FIELD
3831,708119,2020/11/02 05:00:00+00,BAXTER BAR & GRILL,942 BAXTER AVE,40204.0,2020/11/04 05:00:00+00,7,FIELD
3832,708276,2020/11/04 05:00:00+00,BURGER KING #885,4030 SHELBYVILLE RD,40207.0,2020/11/11 05:00:00+00,7,FIELD
3833,708607,2020/11/09 05:00:00+00,TUMBLEWEED,4255 OUTER LOOP,40219.0,2020/11/10 05:00:00+00,7,FIELD
3834,708754,2020/11/11 05:00:00+00,DOMINION OF LOUISVILLE,6000 HUNTING RD,40222.0,2020/11/13 05:00:00+00,7,FIELD
3835,708812,2020/11/13 05:00:00+00,LOUIS D BRANDEIS HALL OF JUSTICE,600 W JEFFERSON ST,40202.0,2020/11/17 05:00:00+00,7,FIELD
3836,708826,2020/11/13 05:00:00+00,PORCINI,2730 FRANKFORT AVE,40206.0,2020/11/11 05:00:00+00,7,FIELD
3837,709003,2020/11/10 05:00:00+00,PT'S SHOW CLUB,227 E MARKET ST,40202.0,2020/11/10 05:00:00+00,7,FIELD
3838,709011,2020/11/16 05:00:00+00,VENDOM COOPER & BRASS WORKS,722 FRANKLIN ST,40202.0,2020/11/17 05:00:00+00,7,FIELD
3839,709550,2020/11/17 05:00:00+00,SPEEDWAY #9710,7933 FEGENBUSH LN,40228.0,2020/11/19 05:00:00+00,7,FIELD
3840,695924,2020/04/15 03:59:59+00,RESIDENT,1214 MANITAU AVE,40215.0,2020/04/16 03:59:59+00,7,FIELD
3841,705936,2020/09/28 03:59:59+00,FIRST UNITARIAN CHURCH,809 S 4TH ST,40203.0,2020/09/29 03:59:59+00,7,FIELD
3842,718107,2021/03/19 03:59:59+00,A CHEAPER LOCKSMITH,12342 SHELBYVILLE RD,40243.0,2021/03/19 03:59:59+00,7,FIELD
3843,696162,2020/04/21 03:59:59+00,UP SPRING SHOES,6901 RIVERPORT DR UNIT-A,40258.0,2020/04/29 03:59:59+00,7,FIELD
3844,706401,2020/10/05 03:59:59+00,BURKES STORE,3600 HURSTBOURNE PKWY,40299.0,2020/10/28 03:59:59+00,7,FIELD
3845,718414,2021/03/24 03:59:59+00,MCDONALD'S #1733,4445 CANE RUN RD,40216.0,2021/03/25 03:59:59+00,7,FIELD
3846,696167,2020/04/21 03:59:59+00,FAMILY DOLLAR #31859,2421 W MARKET ST,40212.0,2020/04/22 03:59:59+00,7,FIELD
3847,696220,2020/04/22 03:59:59+00,ELITE STYLING STUDIO,2210 GOLDSMITH LN,40218.0,2020/04/23 03:59:59+00,7,FIELD
3848,696230,2020/04/22 03:59:59+00,CARDINAL ALUMINUM,6910 PRESTON HWY,40219.0,2020/04/27 03:59:59+00,7,FIELD
3849,696323,2020/04/23 03:59:59+00,ITALIAN GLOBAL SOLUTIONS,111 S 11TH STREET,40203.0,2020/04/29 03:59:59+00,7,FIELD
3850,696365,2020/04/24 03:59:59+00,OFFICEMAX PRINT & COPY SERVICES,3501 SPRINGHURST BLVD,40241.0,2020/04/27 03:59:59+00,7,FIELD
3851,696516,2020/04/27 03:59:59+00,KOCH FILTER CORP,8401 AIR COMMERCE DR,40219.0,2020/04/28 03:59:59+00,7,FIELD
3852,696618,2020/04/28 03:59:59+00,BIG SPRING COUNTRY CLUB,5901 DUTCHMAN LANE,40205.0,2020/04/30 03:59:59+00,7,FIELD
3853,696733,2020/04/29 03:59:59+00,KENTUCKY EYE CARE-SPRINGS MEDICAL CTR,6400 NEW DUTCHMANS PKWY #125,40205.0,2020/04/30 03:59:59+00,7,FIELD
3854,696810,2020/04/21 03:59:59+00,RESIDENCE,2912 EDMONIA AVE,40220.0,2020/04/28 03:59:59+00,7,FIELD
3855,696813,2020/04/24 03:59:59+00,PARKING LOT,4025 POPLAR LEVEL RD,40213.0,2020/04/28 03:59:59+00,7,FIELD
3856,697106,2020/05/05 03:59:59+00,BILL COLLINS FORD,4220 BARDSTOWN RD,40218.0,2020/05/05 03:59:59+00,7,FIELD
3857,697149,2020/05/04 03:59:59+00,RESIDENCE,2541 MARTIN ST,40216.0,2020/05/05 03:59:59+00,7,FIELD
3858,697265,2020/05/06 03:59:59+00,MCDONALD'S #1733,4445 CANE RUN RD,40216.0,2020/05/08 03:59:59+00,7,FIELD
3859,697317,2020/05/07 03:59:59+00,KROGER L-327,2710 W BROADWAY,40211.0,2020/05/15 03:59:59+00,7,FIELD
3860,697429,2020/05/11 03:59:59+00,WENDYS,1108 BARDSTOWN RD,40204.0,2020/05/22 03:59:59+00,7,FIELD
3861,697435,2020/05/11 03:59:59+00,WALGREENS #4309,9702 WESTPORT RD,40241.0,2020/05/12 03:59:59+00,7,FIELD
3862,697507,2020/05/08 03:59:59+00,METRO UNITED WAY BUILDING,334 E BROADWAY,40202.0,2020/05/11 03:59:59+00,7,FIELD
