object_id,reqid,request_date,personpremise,address_one,zip,activity_date,activitytypeid,activity_type_desc
2837,701331,2020/07/15 03:59:59+00,MATTRESS FIRM,3337 BARDSTOWN RD,40218.0,2020/07/16 03:59:59+00,7,FIELD
2838,709955,2020/11/18 05:00:00+00,ROBIN'S TAX SERVICE,8512 PRESTON HWY,40219.0,2020/11/18 05:00:00+00,7,FIELD
2839,702059,2020/07/24 03:59:59+00,METROPOLITIAN VETERINARY,11800 CAPITAL WAY,40299.0,2020/07/24 03:59:59+00,7,FIELD
2840,701475,2020/07/16 03:59:59+00,SPEEDWAY #9645,7400 OLD 3RD STREET RD,40214.0,2020/07/20 03:59:59+00,7,FIELD
2841,709958,2020/11/19 05:00:00+00,DAIRY MART #739,3400 TAYLOR BLVD,40215.0,2020/11/24 05:00:00+00,7,FIELD
2842,702234,2020/07/27 03:59:59+00,LIQUOR STORE,509 N 34TH ST,40212.0,2020/08/10 03:59:59+00,7,FIELD
2843,706729,2020/10/12 03:59:59+00,MEINEKE CAR CARE CENTER,11514 SHELBYVILLE RD,40243.0,2020/10/12 03:59:59+00,7,FIELD
2844,708306,2020/11/05 05:00:00+00,UNITED STATES POSTAL SERVICE,8127 LA GRANGE RD,40222.0,2020/11/05 05:00:00+00,7,FIELD
2845,706687,2020/10/09 03:59:59+00,KROGER L-379,9080 TAYLORSVILLE RD,40299.0,2020/10/12 03:59:59+00,7,FIELD
2846,701629,2020/07/20 03:59:59+00,"COCA COLA ENTERPRISES, INC",7100 GLOBAL DRIVE,40258.0,2020/08/10 03:59:59+00,7,FIELD
2847,701810,2020/07/21 03:59:59+00,OLMSTED,3701 FRANKFORT AVE,40206.0,2020/07/22 03:59:59+00,7,FIELD
2848,701813,2020/07/20 03:59:59+00,J-TOWN BINGO HALL,9125 GALENE DR,40299.0,2020/08/12 03:59:59+00,7,FIELD
2849,701913,2020/07/22 03:59:59+00,LOWES,9800 PRESTON CROSSING BLVD,40229.0,2020/07/24 03:59:59+00,7,FIELD
2850,702179,2020/07/24 03:59:59+00,CIRCLE K #4703226,7951 BARDSTOWN RD,40291.0,2020/07/28 03:59:59+00,7,FIELD
2851,702192,2020/07/27 03:59:59+00,WEST END TOKEN CLUB,708 S 16TH ST,40210.0,2020/07/27 03:59:59+00,7,FIELD
2852,702219,2020/07/27 03:59:59+00,HARLEY-DAVIDSON,11701 GATEWORTH WAY,40299.0,2020/07/29 03:59:59+00,7,FIELD
2853,702255,2020/07/25 03:59:59+00,DOLLAR TREE #1944,2221 HIKES LN,40218.0,2020/07/28 03:59:59+00,7,FIELD
2854,702275,2020/07/25 03:59:59+00,STARBUCKS #2561,4400 SHELBYVILLE RD,40207.0,2020/07/28 03:59:59+00,7,FIELD
2855,702428,2020/07/29 03:59:59+00,RCS TRANSPORTATION,11900 WESTPORT RD,40241.0,2020/08/28 03:59:59+00,7,FIELD
2856,702528,2020/07/30 03:59:59+00,BACK DOOR,1250 BARDSTOWN RD,40204.0,2020/08/01 03:59:59+00,7,FIELD
2857,702531,2020/07/30 03:59:59+00,BILLY GOAT TAVERN KY AKA THE GOAT,700 LANDIS RIDGE DR,40245.0,2020/07/31 03:59:59+00,7,FIELD
2858,702768,2020/08/01 03:59:59+00,TAJ LOUISVILLE,807 E MARKET ST,40206.0,2020/08/01 03:59:59+00,7,FIELD
2859,702791,2020/08/03 03:59:59+00,SPEEDWAY #9636,12201 DIXIE HWY,40272.0,2020/08/05 03:59:59+00,7,FIELD
2860,702825,2020/08/01 03:59:59+00,JIMMY JOHN'S,341 W CARDINAL BLVD,40208.0,2020/08/01 03:59:59+00,7,FIELD
2861,703104,2020/08/05 03:59:59+00,MIKE LINNIG'S RESTAURANT,9308 CANE RUN RD,40258.0,2020/08/12 03:59:59+00,7,FIELD
2862,703332,2020/08/07 03:59:59+00,BERRY BLVD LAUNDRY,1739 BERRY BLVD,40215.0,2020/08/26 03:59:59+00,7,FIELD
2863,703350,2020/08/07 03:59:59+00,PLEASURE RIDGE GENERAL BAPTIST CHURCH,5120 STEPHAN DR,40258.0,2020/10/09 03:59:59+00,7,FIELD
2864,703453,2020/08/07 03:59:59+00,OLD RASCALS,1102 W ASHLAND AVE,40215.0,2020/08/12 03:59:59+00,7,FIELD
