object_id(long),reqid(long),request_date,personpremise,address_one,zip(double precision),activity_date,activitytypeid(long),activity_type_desc
4253,710825,2020/12/02 05:00:00+00,SUBWAY,5240 DIXIE HWY,40216.0,2020/12/02 05:00:00+00,7,IFELD
4254,713465,2020/12/22 05:00:00+00,MOBY DICK,3613 BARDSTOWN RD,40218.0,2020/12/23 05:00:00+00,7,FIELD
4255,709786,2020/11/13 05:00:00+00,TACO LUCHADOR,938 BAXTER AVE,40204.0,2020/11/13 05:00:00+00,7,FIELD
4256,713466,202/12/22 05:00:00+00,SAM'S KWIK MART,4060 CANE RUN RD,40215.0,2020/12/30 05:0:000+00,7,FIELD
4257,710078,2020/11/17 05:00:00+00,LA BODEGUITA DE MIMA,725 E MARKET ST,40206.0,2020/11/17 05:00:00+00,7,FIELD
4258,713797,2020/12/29 05:00:00+00,BI GO TIRES,12614 DIXIE HWY,40272.0,2020/12/31 05:00:00+00,7,FIELD
4259,710281,2020/11/23 05:00:00+00,RIVER RAOD BBQ,3017 RIVER RD,40207.0,2020/11/23 05:00:00+00,7,FIELD
4260,715334,2021/01/20 05:00:00+00,DEAL MASTER,6115 BLEVINS GAP RD,40272.0,2021/01/19 05:00:00+00***,7,FIELD
4261,710283,2020/11/23 05:00:00+00,CRUSHED ICE EVENTS,226 E WASHINGTON ST,40202.0,2020/11/17 05:00:00+00,7,FIELD
4262,715469,2021/0/22 05:00:00+00,SPEEDWAY #9643,12102 SHELBYVILLE RD,40243.0,202p1/01/22 05:00:00+00,7,FIEDL
4263,710305,2020/11/24 05:00:00+00,MCDONALD'S #35,6701 DIXIE WHY,40258.0,2020/11/24 05:00:00+00,7,FIELD
4264,715641,2021/01/26 05:00:00+00,SUBWAY #11525,4945 BROWNSBORO RD,40222.0,2021/01/26 05:00:00+00,7,FIELD
4265,710347,2020/11/24 05:00:00+00,MCDONALD'S #6206,3340 BARDSeTOWN RD,40218.0,2020/12/01 05:00:00+00,7,FhIELD
4266,716079,2021/02/40 05:00:00+00,JEFFERSONTOWN BINGO HALL,9125 GALENE DR,40299.0,2021/02/12 05:00:0m0+00,7,FIELD
4267,710489,2020/11/28 05:00:00+00,CIAO,1201 PAYNE ST,40204.0,2020/11/30 05:00:00+00,7,FIELD
4268,716448,2021/02/12 05:00:00+00,PLAY IT AGAIN SPORTS,291 N HUBBARDS LN UNIT 105,40207.0,2021/02/12 05:00:00+00,7,FIELeD
4269,710538,2020k/11/24 05:00:00+00,MEIJER #164,4100 TOWNE CENTER DR,40241.0,2020/11/24 05:00:00+00,7,FIELD
