reqid(long),request_date,personpremise,address_one,zip(double precision),activity_date,activitytypeid(long),activity_type_desc,object_id(long)
709369.0,2020/11/25 05:00:00+00,HANNA ANKLE AND FOOT CARE,3901 DUTCHMANS LN STE 104,40202.0,2020/11/25 05:00:00+00,4,SURVEY,1.0
704623.0,2020/11/25 05:00:00+00,GOULD'S MEDICAL CENTER,3901 DUTCHMANS LN,40202.0,2020/11/25 05:00:00+00,4,SURVEY,2.0
712320.0,2020/11/25 05:00:00+00,PEP BOYS,1001 BRECKENRIDGE LN,40202.0,2020/11/25 05:00:00+00,4,SURVEY,12.0
712321.0,2020/11/25 05:00:00+00,MARATHON GRAB AND GO,1001 BRECKENRIDGE LN,40202.0,2020/11/25 05:00:00+00,4,SURVEY,29.0
712322.0,2020/11/25 05:00:00+00,SALON SERVICE GROUP,6403 DUTCHMANS LN,40202.0,2020/11/25 05:00:00+00,4,SURVEY,18.0
712323.0,2020/11/25 05:00:00+00,LUCKY NAILS,6407 NEW DUTCHMANS PKWY,40202.0,2020/11/25 05:00:00+00,4,SURVEY,19.0
712324.0,2020/11/25 05:00:00+00,FAMILY SELECT INSURANCE,6409 NEW DUTCHMANS PKWY,40202.0,2020/11/25 05:00:00+00,4,SURVEY,10.0
708947.0,2020/11/25 05:00:00+00,GREAT CLIPS,6411 DUTCHMANS PKWY,40202.0,2020/11/25 05:00:00+00,4,SURVEY,42.0
712326.0,2020/11/25 05:00:00+00,"BED, BATH AND BEYOND",996 BRECKENRIDGE LN,40202.0,2020/11/25 05:00:00+00,4,SURVEY,5.0
712328.0,2020/11/25 05:00:00+00,SHAHEEN'S CLOTHING,994 BRECKENRIDGE LN,40202.0,2020/11/25 05:00:00+00,4,SURVEY,2.0
712329.0,2020/11/25 05:00:00+00,BOOKS A MILLION,994 BRECKENRIDGE LN,40202.0,2020/11/25 05:00:00+00,4,SURVEY,2.0
712330.0,2020/11/25 05:00:00+00,HOBBY LOBBY,968 BRECKENRIDGE LN,40202.0,2020/11/25 05:00:00+00,4,SURVEY,5.0
708982.0,2020/11/25 05:00:00+00,HOME DEPOT,964 BRECKENRIDGE LN,40202.0,2020/11/25 05:00:00+00,4,SURVEY,16.0
712333.0,2020/11/25 05:00:00+00,A TASTE OF KENTUCKY,4600 SHELBYVILLE RD,40202.0,2020/11/25 05:00:00+00,4,SURVEY,3.0
712336.0,2020/11/25 05:00:00+00,GUITAR CENTER,4600 SHELBYVILLE RD,40202.0,2020/11/25 05:00:00+00,4,SURVEY,12.0
712338.0,2020/11/25 05:00:00+00,NIKE FACTORY OUTLET,4600 SHELBYVILLE RD,40202.0,2020/11/25 05:00:00+00,4,SURVEY,12.0
708973.0,2020/11/25 05:00:00+00,NORDSTROM RACK,4600 SHELBYVILLE RD,40202.0,2020/11/25 05:00:00+00,4,SURVEY,1.0
709261.0,2020/11/25 05:00:00+00,JOANN FABRICS,4600 SHELBYVILLE RD,40202.0,2020/11/25 05:00:00+00,4,SURVEY,38.0
713154.0,2020/11/26 05:00:00+00,WALGREENS #4309,9702 WESTPORT RD,40241.0,2020/11/26 05:00:00+00,4,SURVEY,196.0
700971.0,2020/11/26 05:00:00+00,KROGER L-186,2219 HOLIDAY MANOR CENTER,40222.0,2020/11/26 05:00:00+00,4,SURVEY,208.0
710447.0,2020/11/26 05:00:00+00,DOLLAR GENERAL #12410,3943 TAYLORSVILLE RD,40220.0,2020/11/26 05:00:00+00,4,SURVEY,5.0
709030.0,2020/11/26 05:00:00+00,WHOLE FOODS MARKET,4944 SHELBYVILLE RD,40207.0,2020/11/26 05:00:00+00,4,SURVEY,1.0
710451.0,2020/11/26 05:00:00+00,TOTAL WINE & MORE,5067 SHELBYVILLE RD,40207.0,2020/11/26 05:00:00+00,4,SURVEY,10.0
710454.0,2020/11/26 05:00:00+00,CABELA'S,5100 NORTON HEALTHCARE BLVD,40241.0,2020/11/26 05:00:00+00,4,SURVEY,18.0
699365.0,2020/11/26 05:00:00+00,CVS #6205,10490 SHELBYVILLE RD,40223.0,2020/11/26 05:00:00+00,4,SURVEY,6.0
710457.0,2020/11/26 05:00:00+00,HILLTOP TAVERN,1800 FRANKFORT AVE,40204.0,2020/11/26 05:00:00+00,4,SURVEY,2.0
698107.0,2020/11/26 05:00:00+00,WALGREENS #10151,3700 FRANKFORT AVE,40206.0,2020/11/26 05:00:00+00,4,SURVEY,361.0
710736.0,2020/11/26 05:00:00+00,HIGHLAND TAP ROOM,1056 BARDSTOWN RD,40202.0,2020/11/26 05:00:00+00,4,SURVEY,19.0
710737.0,2020/11/26 05:00:00+00,BACK DOOR,1250 BARDSTOWN RD,40204.0,2020/11/26 05:00:00+00,4,SURVEY,2.0
710738.0,2020/11/26 05:00:00+00,NOWHERE BAR LOUISVILLE,1133 BARDSTOWN RD,40204.0,2020/11/26 05:00:00+00,4,SURVEY,28.0
709085.0,2020/11/27 05:00:00+00,JIMMY JOHN'S,341 W CARDINAL BLVD,40208.0,2020/11/27 05:00:00+00,4,SURVEY,37.0
710452.0,2020/11/27 05:00:00+00,COMFY COW,339 W CARDINAL BLVD,40208.0,2020/11/27 05:00:00+00,4,SURVEY,28.0
708911.0,2020/11/27 05:00:00+00,QUILLS COFFEE SHOP,327 WEST CARDINAL BLVD,40202.0,2020/11/27 05:00:00+00,4,SURVEY,10.0
708941.0,2020/11/27 05:00:00+00,SIDE BAR,129 NORTH 2ND ST,40202.0,2020/11/27 05:00:00+00,4,SURVEY,251.0
709993.0,2020/11/27 05:00:00+00,ZOMBIE TACO MOXY BAR,101 W MAIN ST,40202.0,2020/11/27 05:00:00+00,4,SURVEY,60.0
710461.0,2020/11/27 05:00:00+00,MERLE'S WHISKEY KITCHEN,122 W MAIN ST,40202.0,2020/11/27 05:00:00+00,4,SURVEY,1.0
708936.0,2020/11/27 05:00:00+00,DOC CROW'S SOUTHERN SMOKEHOUSE,127 W MAIN ST,40202.0,2020/11/27 05:00:00+00,4,SURVEY,2.0
710464.0,2020/11/27 05:00:00+00,BEARNO'S BY THE BRIDGE,133 W MAIN ST,40202.0,2020/11/27 05:00:00+00,4,SURVEY,19.0
