reqid,request_date,personpremise,address_one,zip,activity_date,activitytypeid,activity_type_desc,object_id
714458.0,2021/01/06 05:00:00+00,PROSPECT PARTY CENTER,9521 US HWY 42,40059.0,2021/01/06 05:00:00+00,4,SURVEY,2703.0
714459.0,2021/01/06 05:00:00+00,BUTCHERS BEST MEATS & DELI,9521 US HWY 42,40059.0,2021/01/06 05:00:00+00,4,SURVEY,2704.0
714460.0,2021/01/06 05:00:00+00,DOMINO'S PIZZA #1385,9551 US HWY 42,40059.0,2021/01/06 05:00:00+00,4,SURVEY,2705.0
714461.0,2021/01/06 05:00:00+00,ARATA SUSHI,9207 US HWY 42,40059.0,2021/01/06 05:00:00+00,4,SURVEY,2706.0
714462.0,2021/01/06 05:00:00+00,BRIGADEIRO'CLOCK,9207 US HWY 42,40059.0,2021/01/06 05:00:00+00,4,SURVEY,2707.0
714463.0,2021/01/06 05:00:00+00,STARBUCKS #2464,9205 US HWY 42,40059.0,2021/01/06 05:00:00+00,4,SURVEY,2708.0
714464.0,2021/01/06 05:00:00+00,GRACIOUS PLENTY,9207 US HWY 42,40059.0,2021/01/06 05:00:00+00,4,SURVEY,2709.0
714465.0,2021/01/06 05:00:00+00,WALGREENS #6171,5900 TIMBER RIDGE DR,40059.0,2021/01/06 05:00:00+00,4,SURVEY,2710.0
714466.0,2021/01/06 05:00:00+00,KLA SCHOOL OF PROSPECT,8907 US HWY 42,40059.0,2021/01/06 05:00:00+00,4,SURVEY,2711.0
714467.0,2021/01/06 05:00:00+00,STARBUCKS #24257,10240 WESTPORT RD,40241.0,2021/01/06 05:00:00+00,4,SURVEY,2712.0
714468.0,2021/01/06 05:00:00+00,MCDONALD'S #35637,12627 TAYLORSVILLE RD,40299.0,2021/01/06 05:00:00+00,4,SURVEY,2713.0
714470.0,2021/01/06 05:00:00+00,STARBUCKS #10595,12605 TAYLORSVILLE RD,40299.0,2021/01/06 05:00:00+00,4,SURVEY,2714.0
714471.0,2021/01/06 05:00:00+00,KROGER L-743,12611 TAYLORSVILLE RD,40299.0,2021/01/06 05:00:00+00,4,SURVEY,2715.0
714472.0,2021/01/06 05:00:00+00,HAPPY DRAGON,12613 TAYLORSVILLE RD,40299.0,2021/01/06 05:00:00+00,4,SURVEY,2716.0
714473.0,2021/01/06 05:00:00+00,EL NOPAL,12613 TAYLORSVILLE RD,40299.0,2021/01/06 05:00:00+00,4,SURVEY,2717.0
714474.0,2021/01/06 05:00:00+00,SUBWAY,12613 TAYLORSVILLE RD,40299.0,2021/01/06 05:00:00+00,4,SURVEY,2718.0
714475.0,2021/01/06 05:00:00+00,CIRCLE K #4703363,12415 TAYLORSVILLE RD,40299.0,2021/01/06 05:00:00+00,4,SURVEY,2719.0
714476.0,2021/01/06 05:00:00+00,PENN STATION #5,1933 BLANKENBAKER PKWY,40299.0,2021/01/06 05:00:00+00,4,SURVEY,2720.0
714477.0,2021/01/06 05:00:00+00,HEALTHY JAMES,1929 BLANKENBAKER PKWY,40299.0,2021/01/06 05:00:00+00,4,SURVEY,2721.0
714478.0,2021/01/06 05:00:00+00,ANGIO'S ITALIAN RESTAURANT,1915 BLANKENBAKER PKWY,40299.0,2021/01/06 05:00:00+00,4,SURVEY,2722.0
