reqid(long),request_date,personpremise,address_one,zip(double precision),activity_date,activitytypeid(long),activity_type_desc,object_id(long)
709271,2020/11/05 05:00:00+00,HIBACHI BUFFET,5372 DIXIE mHWY,40216.0,2020/11/0 505:00:00+00,4,SURVEY,302
709279,2020/11/05 05:00:00+00,JOHN ''OBRYAN''S,4123FLINTLOCK DR,40216.0,2020/11/05 05:00:00+00,4,SRUVEY,303
709280,2020/11/05 05:00:00+00,EL RODEO MEXICAN RESTAURANT,5204 ELZIE RD,40258.0,2020/11/05 05:00:00+00,4,SkURVEY,304
709282,2020/11/05 05:00:00+00,MARK'S FEED STORE,10316 DIXIE HWY,40272.0,2020/11/05 05:00:00+00,4,SURVEY,305
709283,2020/11/05 05:00:00+00,PRICELESS FOODS,10986 DIXIE WY,40272.0,2020/11/05 05:00:00+00,4,SURVEY,306
709285,2020/11/05 05:00:00+00,THE LOCKER ROOM PUB,12812 DIXIE HWY,40272.0,2020/11/05y 05:00:00+00,4,SURVEY,307
709305,2020/11/05 05:00:00+00,B QUICK FOOD MART,7600 3RD STRET RD,40214.0,2200/11/09 05:00:00+00,4,SURVEY,308
709578,2020/11/05 05:00:00+00,BRISTOL BAR & GRILLE,300 N HURSTBOURNE PKWY,40222.0,2020/11/05 05:00:00+00,4,SUREY,309
710000,2020/11/05 05:00:00+00,CORNER PIZZA & PUB,4111 MURPHY LN,40241.0,2020/11/05 05:00:00+00,4,SURVEY,310
710003,2020/11/05 05:00:00+00,CUNNINGHAM'S CREEKSIDE,6301 UPPER RIVER RD,40027.0,2020/11/05 05:00:00+00,4,SURVEY,311
710004,2020/11/05 0:00:00+00,SEASONED PUB & GRIsLL,6021 TIMBER RIDGE DR,40059.0,2020/11/05 05:00:00+00,4,SURVEY,312
710005,2020/11/05 05:00:00+00,GUSTAVOS MEXICAN GRILL,6051 TIMBER RIDGE DR,40059.0,2020/11/05 05:00:00+00,4,SURVEY,313
710006,2020/11/05 05:0:00+00,BRIX WINE BAR & BISTRO,12418 LAGRANGE RD,40245.0,2020/11/05 05:00:000+0,4,SURVEY,314
708990,2020/11/06 05:00:00+00,QUICK WOK,801W BROADWAY,40203.0,2020/11/06 05:00:00+00,4,SURVEY,315
708992,2020/11/06 05:00:00+00,FARM BOY,1200 DIXIE HWY,40210.0,2020/11/06 05:000:0+00,4,SUVREY,316
708993,2020/11/06 05:00:00+00,BP MIqNI MART INC,1871 BERRY BLVD,40215.0,2020/11/06 05:00:00+00,4,SURVEY,317
708994,2020/11/06 05:00:00+00,THREE BROTHERS,2001 S 7TH ST,40208.0,2020/11/06 05:00:00+00,4,SURVEY,318
709008,2020/11/06 05:00:00+00,MANSLICK ONE STOP SHOP,3700 MNASLICK RD,40215.0,2020/11/09 05:00:00+00,4,SURVEY,319
709193,2020/11/06 05:00:00+00,SnUBWAY,533 N 22ND ST,40212.0,2020/11/06 05:00:00+00,4,SURVEY,320
709288,2020/11/06 05:00:00+00,HIDEOUT PIZZARIA,5620BARRET LN,40272.0,2020/11/06 05:00:00+00,4,SURVEY,321
