reqid,request_date,personpremise,address_one,zip,activity_date,activitytypeid,activity_type_desc,object_id
710748,2020/12/01 05:00:00+00,TACO LUCHADOR,5205 NEW CUT RD,40214.0,2020/12/01 05:00:00+00,4,SURVEY,903
710753,2020/12/01 05:00:00+00,CIRCLE K #4703226,7951 BARDSTOWN RD,40291.0,2020/12/01 05:00:00+00,4,SURVEY,904
710754,2020/12/01 05:00:00+00,CIRCLE K #4703226,7951 BARDSTOWN RD,40291.0,2020/12/01 05:00:00+00,4,SURVEY,905
710756,2020/12/01 05:00:00+00,DAIRY QUEEN,6205 BARDSTOWN RD,40291.0,2020/12/01 05:00:00+00,4,SURVEY,906
710757,2020/12/01 05:00:00+00,HOMETOWN PIZZA,9601 NEWBRIDGE RD,40291.0,2020/12/01 05:00:00+00,4,SURVEY,907
710759,2020/12/01 05:00:00+00,IROQUOIS PIZZA INC.,6614 MANSLICK RD,40214.0,2020/12/01 05:00:00+00,4,SURVEY,908
710760,2020/12/01 05:00:00+00,SUGAR AND SPICE,5613 BARDSTOWN RD,40219.0,2020/12/01 05:00:00+00,4,SURVEY,909
710762,2020/12/01 05:00:00+00,WING STOP,4812 DIXIE HWY,40216.0,2020/12/01 05:00:00+00,4,SURVEY,910
710763,2020/12/01 05:00:00+00,MAPCO MART,5301 BARDSTOWN RD,40291.0,2020/12/01 05:00:00+00,4,SURVEY,911
710764,2020/12/01 05:00:00+00,HOMEMADE ICE CREAM & PIE KITCHEN,4810 DIXIE HWY,40216.0,2020/12/01 05:00:00+00,4,SURVEY,912
710765,2020/12/01 05:00:00+00,L&B SISTERS GROCERY STORE,4109 BARDSTOWN RD,40218.0,2020/12/01 05:00:00+00,4,SURVEY,913
710766,2020/12/01 05:00:00+00,KROGER L-785,4915 DIXIE HWY,40216.0,2020/12/01 05:00:00+00,4,SURVEY,914
710767,2020/12/01 05:00:00+00,HIBACHI BUFFET,5372 DIXIE HWY,40216.0,2020/12/01 05:00:00+00,4,SURVEY,915
710769,2020/12/01 05:00:00+00,BELEL INTERNATIONAL MARKET,4109 BARDSTOWN RD,40218.0,2020/12/01 05:00:00+00,4,SURVEY,916
710770,2020/12/01 05:00:00+00,SOUTH END BBQ,8610 DIXIE HWY,40258.0,2020/12/01 05:00:00+00,4,SURVEY,917
710771,2020/12/01 05:00:00+00,MASHALLAH AFRICAN RESTAURANT,4109 BARDSTOWN RD,40218.0,2020/12/01 05:00:00+00,4,SURVEY,918
710772,2020/12/01 05:00:00+00,EL RODEO MEXICAN RESTAURANT,5204 ELZIE RD,40258.0,2020/12/01 05:00:00+00,4,SURVEY,919
710773,2020/12/01 05:00:00+00,DISCOVERING IMAGINATIONS,2200 BUECHEL AVE,40218.0,2020/12/01 05:00:00+00,4,SURVEY,920
710775,2020/12/01 05:00:00+00,SENEGAMBIA INTERNATIONAL RESTAURANT,3927 BARDSTOWN RD,40218.0,2020/12/01 05:00:00+00,4,SURVEY,921
710778,2020/12/01 05:00:00+00,ARNO PIZZA,3933 BARDSTOWN RD,40218.0,2020/12/01 05:00:00+00,4,SURVEY,922
710779,2020/12/01 05:00:00+00,WALMART #3294,7101 CEDAR SPRINGS BLVD,40291.0,2020/12/01 05:00:00+00,4,SURVEY,923
710781,2020/12/01 05:00:00+00,KING PIN LANES,9525 TAYLORSVILLE RD,40299.0,2020/12/01 05:00:00+00,4,SURVEY,924
710782,2020/12/01 05:00:00+00,DOUBLE DRAGON #9,9501 TAYLORSVILLE RD,40299.0,2020/12/01 05:00:00+00,4,SURVEY,925
710784,2020/12/01 05:00:00+00,RECBAR,10301 TAYLORSVILLE RD,40299.0,2020/12/01 05:00:00+00,4,SURVEY,926
710785,2020/12/01 05:00:00+00,ROYALS HOT CHICKEN,10305 TAYLORSVILLE RD,40299.0,2020/12/01 05:00:00+00,4,SURVEY,927
710786,2020/12/01 05:00:00+00,FEAST BBQ,10318 TAYLORSVILLE RD,40299.0,2020/12/01 05:00:00+00,4,SURVEY,928
710787,2020/12/01 05:00:00+00,EL NOPAL,10500 WATTERSON TRAIL,40299.0,2020/12/01 05:00:00+00,4,SURVEY,929
710794,2020/12/01 05:00:00+00,FLO'S HOUSE OF SOUL,3400 W MUHAMMAD ALI BLVD,40212.0,2020/12/04 05:00:00+00,4,SURVEY,930
710799,2020/12/01 05:00:00+00,BONEFISH GRILL #7801,657 S HURSTBOURNE PKWY,40222.0,2020/12/01 05:00:00+00,4,SURVEY,931
710800,2020/12/01 05:00:00+00,PF CHANG'S,9120 SHELBYVILLE RD,40222.0,2020/12/01 05:00:00+00,4,SURVEY,932
710802,2020/12/01 05:00:00+00,FAZOLI'S,9433 VIKING CENTER DR,40222.0,2020/12/01 05:00:00+00,4,SURVEY,933
710803,2020/12/01 05:00:00+00,SKYLINE CHILI,340 WHITTINGTON PKWY,40222.0,2020/12/01 05:00:00+00,4,SURVEY,934
710804,2020/12/01 05:00:00+00,CHILI'S,421 S HURSTBOURNE PKWY,40222.0,2020/12/01 05:00:00+00,4,SURVEY,935
710805,2020/12/01 05:00:00+00,PANERA BREAD,500 S HURSTBOURNE PKWY,40222.0,2020/12/01 05:00:00+00,4,SURVEY,936
710806,2020/12/01 05:00:00+00,CARRABBA'S ITALIAN GRILL #6801,617 S HURSTBOURNE PKWY,40223.0,2020/12/01 05:00:00+00,4,SURVEY,937
710854,2020/12/01 05:00:00+00,BROWN LOBBY BAR,335 W BROADWAY,40203.0,2020/12/01 05:00:00+00,4,SURVEY,938
710856,2020/12/01 05:00:00+00,EMBASSY SUITES,501 S 4TH ST,40202.0,2020/12/01 05:00:00+00,4,SURVEY,939
710858,2020/12/01 05:00:00+00,FAMILY DOLLAR #20928,3277 TAYLOR BLVD,40215.0,2020/12/01 05:00:00+00,4,SURVEY,940
711082,2020/12/01 05:00:00+00,WALMART #4450,12981 SHELBYVILLE RD,40223.0,2020/12/01 05:00:00+00,4,SURVEY,941
711083,2020/12/01 05:00:00+00,TARGET T-2728 STARBUCKS,12975 SHELBYVILLE RD,40243.0,2020/12/01 05:00:00+00,4,SURVEY,942
711084,2020/12/01 05:00:00+00,CVS PHARMACY,12975 SHELBYVILLE RD,40202.0,2020/12/01 05:00:00+00,4,SURVEY,943
711085,2020/12/01 05:00:00+00,MID AMERICAN SPORTS CENTER,1906 WATTERSON TRAIL,40299.0,2020/12/01 05:00:00+00,4,SURVEY,944
711089,2020/12/01 05:00:00+00,BROWN LOBBY BAR,335 W BROADWAY,40203.0,2020/12/01 05:00:00+00,4,SURVEY,945
711091,2020/12/01 05:00:00+00,CHIPOTLE,315 S 4TH ST,40202.0,2020/12/01 05:00:00+00,4,SURVEY,946
711092,2020/12/01 05:00:00+00,SMASHBURGER,316 S 4TH ST,40202.0,2020/12/01 05:00:00+00,4,SURVEY,947
711094,2020/12/01 05:00:00+00,QDOBA #2632,312 S 4TH ST,40202.0,2020/12/01 05:00:00+00,4,SURVEY,948
711126,2020/12/01 05:00:00+00,DUNKIN DONUTS #353573,312 S 4TH ST,40202.0,2020/12/01 05:00:00+00,4,SURVEY,949
711127,2020/12/01 05:00:00+00,POTBELLY SANDWICH SHOP,302 S 4TH ST,40202.0,2020/12/01 05:00:00+00,4,SURVEY,950
711131,2020/12/01 05:00:00+00,NATIVITY ACADEMY,529 EAST LIBERTY STREET,40202.0,2020/12/01 05:00:00+00,4,SURVEY,951
710496,2020/11/27 05:00:00+00,ENCORE ON 4TH,630 S 4TH ST,40202.0,2020/11/27 05:00:00+00,4,SURVEY,952
711207,2020/12/03 05:00:00+00,BONEFISH GRILL #7801,657 S HURSTBOURNE PKWY,40222.0,2020/12/03 05:00:00+00,4,SURVEY,953
711209,2020/12/03 05:00:00+00,MOMMA'S MUSTARD PICKLES & BBQ,119 S HURSTBOURNE PKWY,40222.0,2020/12/03 05:00:00+00,4,SURVEY,954
711210,2020/12/03 05:00:00+00,OLIVE GARDEN #1327,1320 S HURSTBOURNE PKWY,40222.0,2020/12/03 05:00:00+00,4,SURVEY,955
711212,2020/12/03 05:00:00+00,PIER 17 CAJUN SEAFOOD & BAR,1975 S HURSTBOURNE PKWY,40220.0,2020/12/03 05:00:00+00,4,SURVEY,956
711246,2020/12/03 05:00:00+00,WEBB'S MARKET,944 E MUHAMMAD ALI BLVD,40202.0,2020/12/03 05:00:00+00,4,SURVEY,957
711247,2020/12/03 05:00:00+00,WHITE CASTLE #7,105 E MARKET ST,40202.0,2020/12/03 05:00:00+00,4,SURVEY,958
711248,2020/12/03 05:00:00+00,FALLS CITY BREWING COMPANY,901 E LIBERTY ST,40202.0,2020/12/03 05:00:00+00,4,SURVEY,959
711249,2020/12/03 05:00:00+00,FLYING AXES,146 N CLAY ST,40202.0,2020/12/03 05:00:00+00,4,SURVEY,960
711250,2020/12/03 05:00:00+00,TEN20 CRAFT BREWERY,1020 E WASHINGTON ST,40206.0,2020/12/03 05:00:00+00,4,SURVEY,961
711251,2020/12/03 05:00:00+00,NAIVE,1001 E WASHINGTON ST,40206.0,2020/12/03 05:00:00+00,4,SURVEY,962
711253,2020/12/03 05:00:00+00,BOURBON RAW KENTUCKY KITCHEN,446 S 4TH ST,40202.0,2020/12/03 05:00:00+00,4,SURVEY,963
711254,2020/12/03 05:00:00+00,BRAZEIROS,450 S 4TH ST,40202.0,2020/12/03 05:00:00+00,4,SURVEY,964
711255,2020/12/03 05:00:00+00,HEINE BROTHERS COFFEE,462 S 4TH ST,40202.0,2020/12/03 05:00:00+00,4,SURVEY,965
711256,2020/12/03 05:00:00+00,GUY FIERI'S SMOKEHOUSE,434 S 4TH ST,40202.0,2020/12/03 05:00:00+00,4,SURVEY,966
711257,2020/12/03 05:00:00+00,HARD ROCK CAFE,424 S 4TH ST,40202.0,2020/12/03 05:00:00+00,4,SURVEY,967
711258,2020/12/03 05:00:00+00,WHISKEY DRY,412 S 4TH ST,40202.0,2020/12/03 05:00:00+00,4,SURVEY,968
711259,2020/12/03 05:00:00+00,HOWL AT THE MOON,434 S 4TH ST,40202.0,2020/12/03 05:00:00+00,4,SURVEY,969
711260,2020/12/03 05:00:00+00,PBR LOUISVILLE,432 S 4TH ST,40202.0,2020/12/03 05:00:00+00,4,SURVEY,970
711261,2020/12/03 05:00:00+00,FUDGERY,416 S 4TH ST,40202.0,2020/12/03 05:00:00+00,4,SURVEY,971
711262,2020/12/03 05:00:00+00,FUDGERY,416 S 4TH ST,40202.0,2020/12/14 05:00:00+00,4,SURVEY,972
711263,2020/12/03 05:00:00+00,JIM BEAM URBAN STILLHOUSE,404 S 4TH ST,40202.0,2020/12/03 05:00:00+00,4,SURVEY,973
711264,2020/12/03 05:00:00+00,GORDON BIERSCH BREWERY RESTAURANT,400 S 4TH ST,40203.0,2020/12/03 05:00:00+00,4,SURVEY,974
711265,2020/12/03 05:00:00+00,TGI FRIDAYS,415 S 4TH ST,40202.0,2020/12/03 05:00:00+00,4,SURVEY,975
711266,2020/12/03 05:00:00+00,SPORTS & SOCIAL CLUB,427 S 4TH ST,40202.0,2020/12/03 05:00:00+00,4,SURVEY,976
711267,2020/12/03 05:00:00+00,PIZZA BAR,427 S 4TH ST,40202.0,2020/12/03 05:00:00+00,4,SURVEY,977
711551,2020/12/03 05:00:00+00,WALGREENS,2490 BARDSTOWN ROAD,40202.0,2020/12/03 05:00:00+00,4,SURVEY,978
711551,2020/12/03 05:00:00+00,WALGREENS,2490 BARDSTOWN ROAD,40202.0,2020/12/03 05:00:00+00,4,SURVEY,979
711553,2020/12/03 05:00:00+00,PLANET FITNESS,3036 BARDSTOWN ROAD,40202.0,2020/12/03 05:00:00+00,4,SURVEY,980
