facilitytype(long),facilitytypedescription,subtype(long),subtypedescription,permitnumber(long),premisename,premiseaddress,premisecity,premisestate,premisezip(long),inspection_area(long),openingdate,object_id(long)
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,101826,QUALITY INN,1301 KENTUCKY MILLS DR,LOUISVILLE,KY,40299,22,2017/02/28 00:00:00,80
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,103009,HYATT REGENCY,311 S 4TH ST,LOUISVILLE,KY,40202,24,2017/07/21 00:00:00,81
620,HOTEL OR MOTELS,67,HOTEL / MOTEL,103430,WINGATE BY WYNDHAM,12301 ALLIANT COURT,JEFFERSONTOWN,KY,40299,22,2017/08/31 00:00:00,82
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,103591,HOME 2 SUITES,240 S HANCOCK ST,LOUISVILLE,KY,40202,26,2017/09/29 00:00:00,83
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,103928,WINGATE LOUISVILLE FAIR & EXPO CENTER,3200 KEMMONS DR,LOUISVILLE,KY,40218,27,2017/11/28 00:00:00,84
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,104028,THE SEELBACH HILTON LOUISVILLE,500 S 4TH ST,LOUISVILLE,KY,40202,24,2018/01/15 00:00:00,85
620,HOTEL OR MOTELS,106,HOTEL / MOTEL,104197,DUPONT SUITES,1401 BROWNS LANE,LOUISVILLE,KY,40207,26,2018/01/19 00:00:00,86
620,HOTEL OR MOTELS,52,HOTEL / MOTEL,104498,OMNI HOTEL,400 S 2ND ST,LOUISVILLE,KY,40202,24,2018/03/07 00:00:00,87
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,104516,TRU BY HILTON,11505 BLUEGRASS PKWY,JEFFERSONTOWN,KY,40299,22,1988/06/02 00:00:00,88
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,104517,TRU BY HILTON,810 PHILLIPS LANE,LOUISVILLE,KY,40209,27,2018/10/04 00:00:00,89
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,104518,FAIRFIELD INN & SUITES,10110 CHAMPION FARMS DR,LOUISVILLE,KY,40241,21,2018/04/18 00:00:00,90
620,HOTEL OR MOTELS,73,HOTEL / MOTEL,104519,TOWNEPLACE SUITES,10110 CHAMPION FARMS DR,LOUISVILLE,KY,40241,21,2018/04/18 00:00:00,91
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,104520,TOWNEPLACE SUITES,6601 PARAMOUNT PARK DR,LOUISVILLE,KY,40213,27,2019/01/31 00:00:00,92
