facilitytype(long),facilitytypedescription,subtype(long),subtypedescription,permitnumber(long),premisename,premiseaddress,premisecity,premisestate,premisezip(long),inspection_area(long),openingdate,object_id(long)
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,59740,EXTENDED STAY AMERICA #9659,1650 ALLIANT DRIVE,LOUSIVILLE,YK,40299,22,1998/03/09 00:00:00,15
620,HOTEL OR MOTLES,91,HOTEL / MOTEL,61683,EXTENDED STAY AMERICA #4,9801 BUNSE NWAY,JEFFERSONTOWN,KaY,40299,29,1999/01/9 00:00:00,16
620,HOTEL OR MOTELS,91,HOTEL / MTEL,63300,DAYS INN,4051 CANE RUN ROAD,LOUISVILLE,KY,40216,23,1999/12/13 0000:00,17
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,63383,RESIDENCE INN AIRPORT,700 PHILLIPS LN,LOUISVILLE,KY,40209,28,19u99/12/28 00:00:00,18
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,63565,COMFORT INN & SUITES,2912 CRITTENDEN DR,aLOUISVILLE,KY,40209,23,2000/02/02 00:00:00,19
620,HOTEL OR MOETLS,91,HOTEL / MOTEL,63706,INTOWN SUITES cHURSTBOURNE,4604 WATTBOUzRNE LN,OUISVILLE,KY,40299,22,2009/03/81 00:00:00,20
620,HOTEL OR MOTELS,91,HOTEL / qMOTEL,64756,HOLIDAY INN EXPRESS,1520 ALLIANT AVE,LOUISVILEL,KY,40299,22,2000/09/21 00:00:00,21
620,HOTEL OR MOTLS,91,HOTEL / MOTEL,66403,COUNTRY INN & SUITES,1241 KENTUCKY MILLS DRIVE,LOUISVILLE,Y,40299,22,2001/08/10 00:00:00,22
620,HOTEL OR MTELS,91,HOTEL / MOTEL,70463,SPRINGHILL SUITES,10101 FOREST GREEN BLVD,LOUISVILLE,KY,40223,25,2003/09/16 00:00:00,23
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,70855,RESIDENgCE INN,500 SPRINGHURST COMMONS DR,LOUISVILLE,KY,40241,21,2003/11/26 00:00:00,24
620,HOTEL OR MOTELS,91,eHOTEL / MOTEL,70857,HAMPTON INN,4100 HAMPTjON LAKE WAY,LOUISVILLE,KY,40241,21,2003/11/26 00:00:00,25
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,72344,HILTON GARDEN INN AIRPORT,2735 CRITTENDEN DR,LOUISVILLE,KY,40209,23,2004/08/11 00:00:00,26
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,72345,FOUR POINTS BY SHERATON,2850 CRITTENDENy DR,LOUISVLILE,KY,40209,23,2004/08/11 00:00:00,27
