facilitytype,facilitytypedescription,subtype,subtypedescription,permitnumber,premisename,premiseaddress,premisecity,premisestate,premisezip,inspection_area,openingdate,object_id
695,SWIMMING AREA,191.0,SWIMMING POOL,100794.0,LAQUINTA INN & SUITES,1501 ALLIANT AVENUE,JEFFERSONTOWN,KY,40299,22,2001/06/11 00:00:00,217.0
695,SWIMMING AREA,199.0,WADING POOL,58233.0,LAKE FOREST COUNTRY CLUB-WADING POOL,14700 LANDMARK DR,LOUISVILLE,KY,40245,25,1997/07/17 00:00:00,218.0
695,SWIMMING AREA,193.0,DIVING POOL,29452.0,WOODHAVEN COUNTRY CLUB,7200 WOODHAVEN ROAD,LOUISVILLE,KY,40291,22,1988/06/07 00:00:00,219.0
695,SWIMMING AREA,191.0,SWIMMING POOL,83216.0,HOME OF THE INNOCENTS,1100 E MARKET ST,LOUISVILLE,KY,40206,28,2009/04/01 00:00:00,220.0
695,SWIMMING AREA,191.0,SWIMMING POOL,29244.0,CARDINAL OAKS CONDOS,7122 CARDINAL OAKS DR,LOUISVILLE,KY,40214,23,1990/08/22 00:00:00,221.0
695,SWIMMING AREA,191.0,SWIMMING POOL,100961.0,THE FLATS AT HURSTBOURNE APTS,3280 SILVER SPRINGS DR,LOUISVILLE,KY,40220,29,2018/05/22 00:00:00,222.0
695,SWIMMING AREA,192.0,SWIMMING / DIVING POOL,58234.0,LAKE FOREST COUNTRY CLUB-POOL,14700 LANDMARK DR,LOUISVILLE,KY,40245,25,1997/07/17 00:00:00,223.0
695,SWIMMING AREA,191.0,SWIMMING POOL,29463.0,YMCA,555 S 2ND ST,LOUISVILLE,KY,40202,24,1988/06/07 00:00:00,224.0
695,SWIMMING AREA,191.0,SWIMMING POOL,83518.0,THE PROVINCE,600 RUGGLES PLACE,LOUISVILLE,KY,40208,23,2009/04/30 00:00:00,225.0
695,SWIMMING AREA,191.0,SWIMMING POOL,29245.0,PARTRIDGE MEADOWS APTS,8102 FOUR WINDS DR,LOUISVILLE,KY,40222,26,1988/06/06 00:00:00,226.0
695,SWIMMING AREA,198.0,SPLASH PAD,101079.0,ADVENTURE PLAYGROUND,1201 RIVER RD,LOUISVILLE,KY,40202,24,1988/06/07 00:00:00,227.0
695,SWIMMING AREA,199.0,WADING POOL,58444.0,SUTHERLAND,6800 WINDHAM PKWY,PROSPECT,KY,40059,21,1997/08/14 00:00:00,228.0
695,SWIMMING AREA,191.0,SWIMMING POOL,29467.0,YMCA SOUTHWEST,2800 FORDHAVEN RD,LOUISVILLE,KY,40214,23,1988/06/07 00:00:00,229.0
