facilitytype(long),facilitytypedescription,subtype(long),subtypedescription,permitnumber(long),premisename,premiseaddress,premisecity,premisestate,premisezip(long),inspection_area(long),openingdate,object_id(long)
1013,SWIMMING AREA,192,SWIMMING / DIVING POOL,42376,OXMOOR COUNTRY CLUB,9000 LIMEHOUSE DRIVE,LOUISVILLE,KY,40220,29,1990/08/15 00:00:00,55
1002,SWIMMING AREA,191,SWIMMING POOL,42377,OXMOOR COUNTRY CLUB,9000 LIMEHOUSE DRIVE,LOUISVILLE,KY,40220,29,1990/08/15 00:00:00,56
472,SWIMMING AREA,191,SWIMMING POOL,42381,THE LANDINGS,5500 TIMBER RIDGE RD,PROSPECT,KY,40059,21,1996/09/03 00:00:00,57
695,SWIMMING AREA,191,SWIMMING POOL,42501,BOULDER CREEK VANTAGE POINT #2 PHASE II,10400 PAVILION WAY EAST,LOUISVILLE,KY,40299,22,1990/08/14 00:00:00,58
1017,SWIMMING AREA,191,SWIMMING POOL,42581,THE SPRINGS CLUBHOUSE,1099 BALMORAL DRIVE,LOUISVILLE,KY,40205,28,1990/08/23 00:00:00,59
945,SWIMMING AREA,191,SWIMMING POOL,43218,SBTS HEALTH & REC CENTER,2825 LEXINGTON RD,LOUISVILLE,KY,40280,26,1990/11/14 00:00:00,60
695,SWIMMING AREA,197,SPA,43219,SBTS HEALTH & REC CENTER,2825 LEXINGTON RD,LOUISVILLE,KY,40280,26,1990/11/14 00:00:00,61
695,SWIMMING AREA,199,WADING POOL,43220,SBTS HEALTH & REC CENTER,2825 LEXINGTON RD,LOUISVILLE,KY,40280,26,1990/11/14 00:00:00,62
695,SWIMMING AREA,199,WADING POOL,43221,SBTS HEALTH & REC CENTER,2825 LEXINGTON RD,LOUISVILLE,KY,40280,26,1990/11/14 00:00:00,63
695,SWIMMING AREA,199,WADING POOL,44615,SOUTH PARK COUNTRY CLUB - WADING POOL,915 SOUTH PARK RD,LOUISVILLE,KY,40118,23,1991/06/17 00:00:00,64
695,SWIMMING AREA,192,SWIMMING / DIVING POOL,44617,SOUTH PARK COUNTRY CLUB,915 SOUTH PARK RD,LOUISVILLE,KY,40118,23,1991/06/17 00:00:00,65
641,SWIMMING AREA,199,WADING POOL,44643,JEWISH COMMUNITY CENTER,3600 DUTCHMANS LN,LOUISVILLE,KY,40205,28,1991/06/20 00:00:00,66
